,Concept_ID,ml,es
103,Anhöhe::N,ഉയർന്ന ഭൂമി,cerro
104,Berg::N,പർവ്വതം,monte
105,Berg::N,പർവ്വതം,montaña
106,Gipfel::N,ഉച്ചകോടി,cima
107,Gipfel::N,ഉച്ചകോടി,cumbre
108,Höhle::N,ഗുഹ,cueva
109,Höhle::N,ഗുഹ,caverna
110,Abhang::N,ചരിവ്,cuesta
111,Abhang::N,ചരിവ്,declive
112,Quelle::N,ഉറവിടം,fuente
113,Quelle::N,ഉറവിടം,manantial
114,Bach::N,അരുവി,arroyo
115,Fluss::N,നദി,río
116,Ufer::N,തീരം,orilla
117,Küste::N,കടൽത്തീരം,costa
118,Festland::N,കര,tierra firme
119,Meer::N,കടൽ,mar
120,Bucht::N,ഉൾക്കടല്,cala
121,Bucht::N,ഉൾക്കടല്,bahía
122,Insel::N,ദ്വീപ്,isla
123,Blume::N,പൂവ്,flor
124,Gras::N,പുല്ല്,hierba
125,Wurzel::N,വേര്,raíz
126,Baum::N,മരം,árbol
127,Stamm::N,തായ്ത്തടി,tronco
128,Rinde::N,പട്ട,corteza
129,Ast::N,ശാഖ,rama
130,Zweig::N,ശാഖ,ramo
131,Blatt::N,ഇല,hoja
132,Birke::N,പൂവരശ്,abedul
133,Kiefer[Baum]::N,പൈൻമരം,pino
134,Weide[Baum]::N,വില്ലോ,sauce
135,Tanne::N,ദേവദാരു,abeto
136,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,asta
137,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,cuerno
138,Feder::N,തൂവൽ,pluma
139,Fell::N,മൃദുരോമം,piel
140,Flügel::N,ചിറക്,ala
141,Klaue::N,നഖം,garra
142,Kralle::N,നഖം,uña
143,Kralle::N,നഖം,garra
144,Schwanz::N,വാൽ,cola
145,Ei::N,മുട്ട,huevo
146,Nest::N,കൂട്,nido
147,Bau::N,മാളം,madriguera
148,Tier::N,മൃഗം,animal
149,Herde::N,കൂട്ടം,rebaño
150,Kuh::N,പശു,vaca
151,Bulle::N,കാള,toro
152,Pferd::N,കുതിര,caballo
153,Schaf::N,ആട്,oveja
154,Schwein::N,പന്നി,cerdo
155,Hund::N,നായ്,perro
156,Katze::N,പൂച്ച,gato
157,Bär::N,കരടി,oso
158,Eichhörnchen::N,അണ്ണാൻ,ardilla
159,Elch::N,കടമാന്,alce
160,Fuchs::N,കുറുക്കൻ,zorro
161,Hase::N,മുയൽ,liebre
162,Maus::N,ചുണ്ടലി,ratón
163,Wolf::N,ചെന്നായ,lobo
164,Vogel::N,പക്ഷി,ave
165,Vogel::N,പക്ഷി,pájaro
166,Schwarm::N,കൂട്ടം,bandada
167,Huhn::N,കോഴി,gallina
168,Hahn::N,പൂവൻകോഴി,gallo
169,Gans::N,അരയന്നം,oca
170,Gans::N,അരയന്നം,ganso
171,Adler::N,കഴുകൻ,águila
172,Ente::N,താറാവ്,pato
173,Eule::N,മൂങ്ങ,lechuza
174,Kranich::N,കൊക്ക്,grulla
175,Krähe::N,കാക്ക,corneja
176,Kuckuck::N,കുയിൽ,cuco
177,Schwan::N,അരയന്നം,cisne
178,Fisch::N,മത്സ്യം,pez
179,Barsch::N,ഒരിനം മത്സ്യം,perca
180,Hecht::N,ഒരു മത്സ്യം,lucio
181,Schlange[Tier]::N,പാമ്പ്,serpiente
182,Wurm::N,വിര,gusano
183,Spinne::N,ചിലന്തി,araña
184,Ameise::N,ഉറുമ്പ്,hormiga
185,Laus::N,പേന്,piojo
186,Mücke::N,മശകം,mosquito
187,Fliege::N,ഈച്ച,mosca
188,Schmetterling::N,ചിത്രശലഭം,mariposa
189,Beere::N,ബെറി,baya
190,Apfel::N,ആപ്പിൾ,manzana
191,Pilz::N,കൂൺ,seta
192,Pilz::N,കൂൺ,hongo
193,Zwiebel::N,സവാള,cebolla
194,Saat::N,വിത്ത്,siembra
195,Korn::N,ധാന്യം,grano
196,Heu::N,വയ്ക്കോൽ,heno
197,Schale::N,തൊലി,cáscara
198,Grube::N,കുഴി,foso
199,Falle::N,കെണി,trampa
200,Schlinge::N,കുടുക്ക്,lazo
201,Spur::N,ചുവട്,huella
202,Asche::N,ചാരം,ceniza
203,Dreck::N,അഴുക്ക്,suciedad
204,Eisen::N,ഇരുമ്പ്,hierro
205,Gold::N,സ്വർണ്ണം,oro
206,Silber::N,വെള്ളി,plata
207,Kohle::N,കൽക്കരി,carbón
208,Glas::N,ഗ്ലാസ്,vidrio
209,Glas::N,ഗ്ലാസ്,cristal
210,Lehm::N,കളിമണ്ണ്,barro
211,Sand::N,മണൽ,arena
212,Mensch::N,മനുഷ്യർ,hombre
213,Mensch::N,മനുഷ്യർ,ser humano
214,Mann::N,പുരുഷൻ,hombre
215,Frau::N,സ്ത്രീ,mujer
216,Kind::N,കുഞ്ഞ്,niño
217,Junge::N,ആൺകുട്ടി,chico
218,Junge::N,ആൺകുട്ടി,muchacho
219,Mädchen::N,പെൺകുട്ടി,chica
220,Mädchen::N,പെൺകുട്ടി,muchacha
221,Familie::N,കുടുംബം,familia
222,Großvater::N,അപ്പൂപ്പൻ,abuelo
223,Großmutter::N,അമ്മുമ്മ,abuela
224,Eltern::N,മാതാപിതാക്കള്,padres
225,Vater::N,അച്ഛൻ,padre
226,Mutter::N,അമ്മ,madre
227,Sohn::N,മകൻ,hijo
228,Tochter::N,മകൾ,hija
229,Bruder::N,ചേട്ടൻ,hermano
230,Bruder::N,അനിയൻ,hermano
231,Schwester::N,ചേച്ചി,hermana
232,Schwester::N,അനിയത്തി,hermana
233,Onkel::N,അമ്മാവൻ,tío
234,Tante::N,മാമി,tía
235,Ehemann::N,ഭർത്താവ്,esposo
236,Ehefrau::N,ഭാര്യ,esposa
237,Freude::N,ആഹ്ലാദം,placer
238,Freude::N,ആഹ്ലാദം,alegría
239,Gelächter::N,ചിരിയുടെ ശബ്ദം,risa
240,Gelächter::N,ചിരിയുടെ ശബ്ദം,carcajada
241,Glück::N,സന്തോഷം,felicidad
242,Glück::N,സന്തുഷ്ടി,felicidad
243,Kummer::N,ശോകം,pena
244,Wunsch::N,ആഗ്രഹം,deseo
245,Lust::N,ആഗ്രഹം,ganas
246,Geist::N,ചുറുചുറുക്ക്,mente
247,Geist::N,ചുറുചുറുക്ക്,espíritu
248,Gedanke::N,ചിന്ത,idea
249,Gedanke::N,ചിന്ത,pensamiento
250,Gedächtnis::N,ഓർമ്മശക്തി,memoria
251,Verstand::N,മനസ്സ്,razón
252,Verstand::N,മനസ്സ്,entendimiento
253,Sinn::N,അർത്ഥം,sentido
254,Sinn::N,അർത്ഥം,significado
255,Grund::N,കാരണം,causa
256,Wahrheit::N,സത്യം,verdad
257,Gespräch::N,സല്ലാപം,conversación
258,Märchen::N,യക്ഷിക്കഥ,cuento
259,Erzählung::N,കഥ,cuento
260,Erzählung::N,കഥ,narración
261,Nachricht::N,സന്ദേശം,mensaje
262,Neuigkeit::N,വാർത്ത,noticia
263,Name::N,പേര്,nombre
264,Rätsel::N,പ്രഹേളിക,acertijo
265,Rätsel::N,പ്രഹേളിക,adivinanza
266,Rede::N,സംസാരം,discurso
267,Sprache::N,ഭാഷ,lengua
268,Stimme::N,സ്വരം,voz
269,Wort::N,വാക്ക്,palabra
270,Zeichen::N,സംജ്ഞ,señal
271,Ruf::N,വിളി,llamada
272,Lärm::N,ആരവം,ruido
273,Lärm::N,ആരവം,barullo
274,Laut::N,ശബ്ദം,sonido
275,Ton::N,സ്വരഭേദം,tono
276,Lied::N,പാട്ട്,canción
277,Ruhe::N,നിശ്ചലത,calma
278,Ruhe::N,നിശ്ചലത,silencio
279,Leute::N,ജനങ്ങൾ,gente
280,Volk::N,രാഷ്ടം,pueblo
281,Arbeit::N,ജോലി,trabajo
282,Gast::N,അതിലി,huésped
283,Gast::N,അതിലി,invitado
284,Geschenk::N,സമ്മാനം,regalo
285,Spiel::N,കളി,juego
286,Gesellschaft::N,കൂട്ടായ്മ,compañía
287,Hilfe::N,സഹായം,ayuda
288,Hilfe::N,സഹായം,socorro
289,Freund::N,സുഹൃത്ത്,amigo
290,Kamerad::N,കൂട്ടാളി,camarada
291,Kamerad::N,കൂട്ടാളി,compañero
292,Angelegenheit::N,കാര്യം,asunto
293,Anzahl::N,എണ്ണം,cantidad
294,Art::N,തരം,tipo
295,Art::N,തരം,clase
296,Stück::N,കഷണം,pieza
297,Teil::N,ഭാഗം,parte
298,Hälfte::N,പകുതി,mitad
299,Kreis::N,വൃത്തം,círculo
300,Kreuz::N,കുരിശടയാളം,cruz
301,Linie::N,വര,línea
302,Linie::N,രേഖ,línea
303,Strich::N,പക്ഷാഘാതം,raya
304,Strich::N,പക്ഷാഘാതം,trazo
305,Abstand::N,വിടവ്,distancia
306,Entfernung::N,അകലം,distancia
307,Gegend::N,പ്രദേശം,región
308,Gegend::N,പ്രദേശം,comarca
309,Platz::N,ഇടം,espacio
310,Ort::N,സ്ഥലം,sitio
311,Seite::N,വശം,lado
312,Seite::N,വശം,costado
313,Mitte::N,മധ്യസ്ഥാനം,medio
314,Mitte::N,മധ്യസ്ഥാനം,centro
315,Gegenstand::N,സാധനം,objeto
316,Sache::N,വസ്തു,cosa
317,Rand::N,തൊങ്ങൽ,borde
318,Kante::N,അറ്റം,borde
319,Ecke::N,മൂല,esquina
320,Spitze::N,അഗ്രം,punta
321,Ende::N,അവസാനം,cabo
322,Ende::N,അവസാനം,extremo
323,Loch::N,ദ്വാരം,agujero
324,Loch::N,ദ്വാരം,abertura
325,Winkel::N,കോൺ,ángulo
326,Muster::N,ക്രമം,dibujo
327,Größe::N,വലുപ്പം,tamaño
328,Länge::N,നീളം,longitud
329,Höhe::N,ഉയരം,altura
330,Höhe::N,ഉയരം,altitud
331,Gewicht::N,കട്ടി,peso
332,Menge::N,അളവ്,cantidad
333,Haufen::N,കൂമ്പാരം,montón
334,Reihe::N,വരി,fila
335,Boot::N,ബോട്ട്,bote
336,Boot::N,ബോട്ട്,barca
337,Ruder::N,പങ്കായം,remo
338,Schlitten::N,ഉരുളില്ലാവണ്ടി,trineo
339,Ski::N,ഹിമപാദുകം,esquí
340,Lagerfeuer::N,തീ,hoguera
341,Last::N,ഭാരം,carga
342,Gang::N,നടത്തം,marcha
343,Schritt::N,ചുവട്,paso
344,Norden::N,വടക്ക്,norte
345,Süden::N,തെക്ക്,sur
346,Westen::N,പടിഞ്ഞാറ്,oeste
347,Osten::N,കിഴക്ക്,este
348,Holz::N,തടി,madera
349,Brett::N,ബോർഡ്,tabla
350,Platte::N,തകിട്,placa
351,Platte::N,തകിട്,plancha
352,Stütze::N,താങ്ങ്,sostén
353,Stütze::N,താങ്ങ്,soporte
354,Stange::N,കമ്പ്,vara
355,Stange::N,കമ്പ്,percha
356,Stock::N,വടി,palo
357,Stock::N,വടി,bastón
358,Stab::N,കുറുവടി,vara
359,Stab::N,കുറുവടി,bastón
360,Rohr::N,കുഴൽ,tubo
361,Haus::N,വീട്,casa
362,Heim::N,വീട്,hogar
363,Ofen::N,സ്റ്റൌ,estufa
364,Fußboden::N,തറ,suelo
365,Tisch::N,മേശ,mesa
366,Stuhl::N,കസേര,silla
367,Wiege::N,തൊട്ടിൽ,cuna
368,Bett::N,കിടക്ക,cama
369,Regal::N,ഷെൽഫ്,estantería
370,Kiste::N,പെട്ടി,caja
371,Fenster::N,ജനൽ,ventana
372,Tür::N,വാതിൽ,puerta
373,Tor::N,കവാടം,puerta
374,Zaun::N,വേലി,valla
375,Zaun::N,വേലി,cercado
376,Dach::N,മേൽക്കുര,techo
377,Dach::N,മേൽക്കുര,tejado
378,Leiter::N,ഏണി,escalera
379,Besen::N,ചൂല്,escoba
380,Spaten::N,തൂമ്പ,pala
381,Schaufel::N,തൂമ്പ,pala
382,Schaufel::N,തൂമ്പ,paleta
383,Gabel::N,മുൾക്കത്തി,tenedor
384,Löffel::N,സ്പൂൺ,cuchara
385,Messer::N,കത്തി,cuchillo
386,Nagel::N,ആണി,clavo
387,Netz::N,വല,red
388,Haken::N,കൊളുത്ത്,gancho
389,Haken::N,കൊളുത്ത്,corchete
390,Griff::N,കൈപ്പിടി,asa
391,Griff::N,കൈപ്പിടി,mango
392,Schloss::N,പൂട്ട്,cerradura
393,Bild::N,ചിത്രം,imagen
394,Figur::N,കണക്ക്,figura
395,Puppe::N,പാവ,muñeca
396,Beutel::N,ബാഗ്,bolsa
397,Bündel::N,കെട്ട്,haz
398,Tasche::N,ബാഗ്,bolso
399,Eimer::N,ബക്കറ്റ്,cubo
400,Deckel::N,ഉറ,tapa
401,Deckel::N,ഉറ,tapadera
402,Geschirr::N,പിഞ്ഞാണം,vajilla
403,Sack::N,ചാക്ക്,saco
404,Tasse::N,കപ്പ്,taza
405,Topf::N,പാത്രം,olla
406,Topf::N,പാത്രം,marmita
407,Kessel::N,കെറ്റ്ല്,caldera
408,Essen::N,ആഹാരസമയം,comida
409,Nahrung::N,ഭക്ഷണം,alimento
410,Speise::N,ഡിഷ്,plato
411,Fleisch::N,മാംസം,carne
412,Getreide::N,ചോളം,cereales
413,Brei::N,കഞ്ഞി,puré
414,Brei::N,കഞ്ഞി,papilla
415,Brot::N,റോട്ടി,pan
416,Scheibe::N,തുണ്ട്,lonja
417,Scheibe::N,തുണ്ട്,rebanada
418,Fett::N,കൊഴുപ്പ്,grasa
419,Butter::N,വെണ്ണ,mantequilla
420,Öl::N,എണ്ണ,aceite
421,Salz::N,ഉപ്പ്,sal
422,Suppe::N,സൂപ്പ്,sopa
423,Honig::N,തേൻ,miel
424,Milch::N,പാൽ,leche
425,Tee::N,ചായ,té
426,Leder::N,തുകൽ,cuero
427,Wolle::N,കമ്പിളി,lana
428,Stoff::N,തുണി,tela
429,Stoff::N,തുണി,tejido
430,Nadel::N,സൂചി,aguja
431,Faden::N,നൂല്,hilo
432,Knopf::N,ബട്ടൺ,botón
433,Knoten::N,കുരുക്ക്,nudo
434,Farbe::N,പെയിൻറ്,pintura
435,Kleidung::N,വസ്ത്രങ്ങൾ,ropa
436,Kleidung::N,വസ്ത്രങ്ങൾ,vestidos
437,Hemd::N,ഷർട്ട്,camisa
438,Kragen::N,കുപ്പായക്കഴുത്ത്,cuello
439,Ärmel::N,കുപ്പായക്കൈ,manga
440,Hose::N,ട്രൌസർ,pantalón
441,Gürtel::N,ബെൽറ്റ്,cinturón
442,Mütze::N,തൊപ്പി,gorro
443,Schuh::N,ഷൂ,zapato
444,Stiefel::N,ബൂട്ട്,bota
445,Ring::N,മോതിരം,anillo
446,Band::N,റിബൺ,cinta
447,Kamm::N,ചീപ്പ്,peine
448,Spiegel::N,കണ്ണാടി,espejo
449,Riemen::N,സ്ട്രാപ്പ്,correa
450,Schnur::N,ചരട്,cuerda
451,Leine::N,കെട്ടാനുള്ള തോൽവാർ,correa
452,Decke::N,പുതപ്പ്,manta
453,Kissen::N,തലയിണ,almohada
454,Tuch::N,സ്കാർഫ്,pañuelo
455,Handtuch::N,തോർത്ത്,toalla
456,Kraft::N,ശക്തി,fuerza
457,Stärke::N,ശക്തി,fuerza
458,Gesundheit::N,ആരോഗ്യം,salud
459,Krankheit::N,അസുഖം,enfermedad
460,Schmerz::N,വേദന,dolor
461,Wunde::N,മുറിവ്,llaga
462,Wunde::N,മുറിവ്,herida
463,Fieber::N,പനി,fiebre
464,Arznei::N,മരുന്ന്,medicina
465,Arznei::N,മരുന്ന്,medicamento
466,Brücke::N,പാലം,puente
467,Brunnen::N,കിണർ,pozo
468,Weide::N,മേച്ചൽ,pasto
469,Pfad::N,വഴി,sendero
470,Weg::N,വഴി,camino
471,Straße::N,റോഡ്,vía
472,Straße::N,റോഡ്,carretera
473,Dorf::N,ഗ്രാമം,aldea
474,Dorf::N,ഗ്രാമം,pueblo
475,Stadt::N,നഗരം,ciudad
476,Brief::N,കത്ത്,carta
477,Buch::N,പുസ്തകം,libro
478,Buchstabe::N,അക്ഷരം,letra
479,Buchstabe::N,അക്ഷരം,carácter
480,Zeitung::N,വർത്തമാനപത്രം,diario
481,Zeitung::N,വർത്തമാനപത്രം,periódico
482,Leben::N,ജീവൻ,vida
483,Tod::N,മരണം,muerte
484,Grab::N,ശവക്കുഴി,tumba
485,Grab::N,ശവക്കുഴി,sepulcro
486,Kirche::N,പള്ളി,iglesia
487,Sünde::N,പാപം,pecado
488,Gott::N,ദൈവം,dios
489,Arbeiter::N,ജോലിക്കാരൻ,obrero
490,Arbeiter::N,ജോലിക്കാരൻ,trabajador
491,Chef::N,മേധാവി,jefe
492,Meister::N,യജമാനൻ,maestro
493,Arzt::N,ഡോക്ടർ,médico
494,Lehrer::N,അധ്യാപകൻ,profesor
495,Geld::N,പണം,dinero
496,Geschäft::N,ബിസിനസ്,negocio
497,Laden::N,കട,tienda
498,Preis::N,വില,precio
499,Ware::N,ചരക്ക്,mercancía
500,Nutzen::N,ലാഭം,provecho
501,Reichtum::N,ധനം,riqueza
502,Welt::N,ലോകം,mundo
503,Land::N,രാജ്യം,país
504,Staat::N,രാജ്യം,Estado
505,König::N,രാജാവ്,rey
506,Macht::N,അധികാരം,poder
507,Macht::N,അധികാരം,potencia
508,Grenze::N,അതിർത്തി,frontera
509,Krieg::N,യുദ്ധം,guerra
510,Feind::N,ശത്രു,enemigo
511,Gewalt::N,അക്രമം,violencia
512,Kampf::N,പോരാട്ടം,lucha
513,Kampf::N,പോരാട്ടം,combate
514,Bogen[Waffe]::N,വില്ല്,arco
515,Pfeil::N,അമ്പ്,flecha
516,Gewehr::N,തോക്ക്,fusil
517,Gewehr::N,തോക്ക്,escopeta
518,Fehler::N,പിശക്,error
519,Lüge::N,കള്ളം,mentira
520,Schaden::N,കേടുപാട്,daño
521,Unglück::N,ദൌർഭാഗ്യം,desgracia
522,Schuld::N,തെറ്റ്,culpa
523,Alter::N,വയസ്സ്,edad
524,Schluss::N,നിഗമനം,fin
525,Schluss::N,നിഗമനം,final
526,Zeit::N,സമയം,tiempo
527,Tag::N,ദിവസം,día
528,Morgen::N,പ്രഭാതം,mañana
529,Mittag::N,ഉച്ച,mediodía
530,Abend::N,സായാഹ്നം,noche
531,Nacht::N,രാത്രി,noche
532,Woche::N,ആഴ്ച,semana
533,Monat::N,മാസം,mes
534,Jahr::N,വർഷം,año
535,Frühling::N,വസന്തം,primavera
536,Sommer::N,വേനൽ,verano
537,Herbst::N,ശരത്കാലം,otoño
538,Winter::N,ശൈത്യം,invierno
539,Januar::N,ജനുവരി,enero
540,Februar::N,ഫെബ്രുവരി,febrero
541,März::N,മാർച്ച്,marzo
542,April::N,ഏപ്രിൾ മാസം,abril
543,Mai::N,മെയ് മാസം,mayo
544,Juni::N,ജൂൺ,junio
545,Juli::N,ജൂലൈ,julio
546,August::N,ആഗസ്റ്റ്,agosto
547,September::N,സെപ്തംബർ,septiembre
548,Oktober::N,ഒക്ടോബർ,octubre
549,November::N,നവംബർ,noviembre
550,Dezember::N,ഡിസംബർ,diciembre
551,Montag::N,തിങ്കളാഴ്ച,lunes
552,Dienstag::N,ചൊവ്വ,martes
553,Mittwoch::N,ബുധനാഴ്ച,miércoles
554,Donnerstag::N,വ്യാഴാഴ്ച,jueves
555,Freitag::N,വെള്ളിയാഴ്ച,viernes
556,Samstag::N,ശനിയാഴ്ച,sábado
557,Sonntag::N,ഞായറാഴ്ച,domingo
558,groß::A,വലിയ,grande
559,klein::A,ചെറിയ,pequeño
560,lang::A,നീണ്ട,largo
561,kurz::A,ഹ്രസ്വമായ,corto
562,breit::A,വിശാലമായ,ancho
563,schmal::A,ഇടുങ്ങിയ,estrecho
564,dicht::A,നിബിഡമായ,denso
565,dick[Gegenstand]::A,തടിച്ച,grueso
566,dünn::A,മെലിഞ്ഞ,fino
567,dünn::A,മെലിഞ്ഞ,delgado
568,fein::A,നേർത്ത,fino
569,fein::A,നേർത്ത,delicado
570,fest::A,ഉറപ്പുള്ള,firme
571,fest::A,ഉറപ്പുള്ള,sólido
572,flach::A,പരന്ന,plano
573,glatt::A,മിനുസമുള്ള,liso
574,hart::A,കട്ടിയുള്ള,duro
575,weich::A,മൃദുവായ,muelle
576,rund::A,വട്ടത്തിലുള്ള,redondo
577,spitz::A,മുനയുള്ള,agudo
578,spitz::A,മുനയുള്ള,apuntado
579,scharf::A,മൂർച്ചയുള്ള,agudo
580,scharf::A,മൂർച്ചയുള്ള,afilado
581,stumpf::A,തുറന്നടിക്കുന്ന,sin filo
582,schwer::A,ഭാരമുള്ള,pesado
583,schön::A,മനോഹരമായ,bello
584,schön::A,മനോഹരമായ,hermoso
585,heiß::A,ചൂടുള്ള,caluroso
586,warm::A,ചൂടുള്ള,cálido
587,warm::A,ചൂടുള്ള,caliente
588,kalt::A,തണുത്ത,frío
589,kühl::A,തണുപ്പുള്ള,fresco
590,frisch::A,ശുദ്ധമായ,fresco
591,feucht::A,ഈറനുള്ള,húmedo
592,nass::A,നനഞ്ഞ,mojado
593,trocken::A,വരണ്ട,seco
594,voll::A,നിറയെ,lleno
595,leer::A,ഒഴിഞ്ഞ,vacío
596,offen::A,തുറന്ന,abierto
597,geschlossen::A,അടച്ച,cerrado
598,sauber::A,വൃത്തിയുള്ള,limpio
599,schmutzig::A,അഴുക്കുനിറഞ്ഞ,sucio
600,roh::A,അസംസ്കൃതമായ,crudo
601,reif::A,പഴുത്ത,maduro
602,lecker::A,രുചികരമായ,rico
603,lecker::A,രുചികരമായ,sabroso
604,süß::A,മധുരമുള്ള,dulce
605,bitter::A,കടുത്ത,amargo
606,sauer::A,പുളിപ്പുള്ള,agrio
607,hell::A,ജ്വലിക്കുന്ന,claro
608,dunkel::A,ഇരുണ്ട,oscuro
609,schwarz::A,കറുത്ത,negro
610,weiß::A,വെളുത്ത,blanco
611,rot::A,ചുവന്ന,rojo
612,gelb::A,മഞ്ഞനിറമായ,amarillo
613,blau::A,നീലനിറമുള്ള,azul
614,grün::A,പച്ചനിറമുള്ള,verde
615,grau::A,ചാരനിറത്തിലുള്ള,gris
616,bunt::A,വർണ്ണശബളമായ,multicolor
617,billig::A,വിലകുറഞ്ഞ,barato
618,teuer::A,ചെലവേറിയ,caro
619,wertvoll::A,വിലപിടിപ്പുള്ള,valioso
620,wertvoll::A,വിലപിടിപ്പുള്ള,precioso
621,blind::A,അന്ധനായ,ciego
622,taub::A,കേൾവിക്കുറവുള്ള,sordo
623,kräftig::A,ശക്തിയുള്ള,fuerte
624,stark::A,ബലമുള്ള,fuerte
625,stark::A,ബലമുള്ള,vigoroso
626,schwach::A,ക്ഷീണിച്ച,débil
627,fett::A,കൊഴുപ്പുള്ള,obeso
628,schlank::A,മെലിഞ്ഞ,esbelto
629,hübsch::A,മനോഹരമായ,mono
630,hübsch::A,മനോഹരമായ,guapo
631,böse::A,പാപിയായ,malo
632,dumm::A,വിവരംകെട്ട,tonto
633,dumm::A,വിവരംകെട്ട,estúpido
634,faul::A,അലസനായ,vago
635,faul::A,അലസനായ,perezoso
636,fleißig::A,അദ്ധ്വാനശീലമുള്ള,aplicado
637,fleißig::A,അദ്ധ്വാനശീലമുള്ള,diligente
638,geizig::A,പിശുക്കനായ,avaro
639,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,sensato
640,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,inteligente
641,geschickt::A,പ്രതിഭാശാലി,hábil
642,lieb::A,പ്രിയപ്പെട്ട,querido
643,lustig::A,ആനന്ദകരമായ,alegre
644,sanft::A,സൌമ്യമായ,suave
