,Concept_ID,mn,mdf
1447,prahlen::V,сайрхах,шна́фтомс пря́
1448,übersetzen::V,орчуулах,ётафтомс
1449,denken::V,санах,арьсемс
1450,glauben::V,итгэх,кемамс
1451,bemerken::V,ажих,ня́емс
1452,bemerken::V,ажиглах,ня́емс
1453,erkennen::V,таних,содамс
1454,begreifen::V,ойлгох,сатомс
1455,verstehen::V,мэдэж авах,шарьхкодемс
1456,lernen::V,сурах,тонафнемс
1457,wissen::V,мэдэх,со́дамс
1458,sich erinnern an::V,дурсах,лятфтамс
1459,vergessen::V,мартах,юкстамс
1460,messen::V,хэмжих,ункснемс
1461,zählen::V,тоолох,лу́вомс
1462,zählen::V,тоолох,а́рьсемс
1463,rechnen::V,тооцоох,лувомс
1464,lesen::V,унших,лувомс
1465,lesen::V,унших,морафтомс
1466,malen::V,зурах,рисова́ндамс
1467,zeichnen::V,дүрслэн бичих,рисова́ндамс
1468,schreiben::V,бичих,сёрмадомс
1469,besitzen::V,эзэмших,улемс азоркс
1470,kaufen::V,худалдан авах,рамамс
1471,verkaufen::V,худалдах,мимс
1472,bezahlen::V,төлөх,пандомс
1473,zahlen::V,төлөх,па́ндомс
1474,beherrschen::V,эзэмших,азорондамс
1475,ertragen::V,тэсэх,кирдемс
