,Concept_ID,el,vep
0,Auge::N,μάτι,sil'm
1,Auge::N,οφθαλμός,sil'm
2,Ohr::N,αυτί,korv
3,Nase::N,μύτη,nena
4,Mund::N,στόμα,su
5,Zahn::N,δόντι,pi
6,Zahn::N,δόντι,hambaz
7,Zunge::N,γλώσσα,kel'
8,Lippe::N,χείλος,hul'
9,Wange::N,παρειά,modpolišk
10,Wange::N,μάγουλο,modpolišk
11,Gesicht::N,πρόσωπο,mod
12,Stirn::N,μέτωπο,oc
13,Haar::N,μαλλιά,tuk
14,Haar::N,μαλλιά,hibuz
15,Schnurrbart::N,μουστάκι,habinod
16,Bart::N,γένια,bard
17,Kinn::N,πιγούνι,löug
18,Kiefer[Anatomie]::N,σαγόνι,hambazlu
19,Kehle::N,λαρύγγι,kurk
20,Hals::N,λαιμός,kagl
21,Genick::N,σβέρκος,tagarai
22,Kopf::N,κεφάλι,pä
23,Rücken::N,ράχη,sel'g
24,Bauch::N,κοιλιά,vac
25,Bauch::N,κοιλιά,koht
26,Nabel::N,αφαλός,naba
27,Busen::N,στήθος,niža
28,Brust::N,στήθος,rind
29,Schulter::N,ώμος,oug
30,Arm::N,χέρι,käzi
31,Arm::N,μπράτςο,käzi
32,Ellenbogen::N,αγκώνας,künambruz
33,Hand::N,χέρι,käzi
34,Hand::N,χέρι,käzitera
35,Handfläche::N,παλάμη,kämen
36,Finger::N,δάχτυλο,sor'm
37,Fingernagel::N,νύχι,künz'
38,Nagel[Anatomie]::N,νύχι,künz'
39,Zeh::N,δάχτυλο του ποδιού,barbaz
40,Fuß::N,πόδι,jaug
41,Ferse::N,φτέρνα,kand
42,Knie::N,γόνατο,komb
43,Knie::N,γόνατο,pol'v
44,Oberschenkel::N,μηρός,riiže
45,Bein::N,πόδι,jaug
46,Körper::N,σώμα,hibj
47,Körper::N,κορμί,hibj
48,Haut::N,πετσί,nahk
49,Blut::N,αίμα,čak
50,Blut::N,αίμα,veri
51,Ader::N,φλέβα,son'
52,Sehne::N,νεύρο,jände
53,Sehne::N,τένοντας,jände
54,Knochen::N,οστό,lu
55,Knochen::N,κόκκαλο,lu
56,Gehirn::N,μυαλό,aivod
57,Gehirn::N,εγκέφαλος,aivod
58,Herz::N,καρδιά,südäin
59,Magen::N,στομάχι,südäikoht
60,Leber::N,ήπαρ,maks
61,Leber::N,συκωτί,maks
62,Atem::N,αναπνοή,hengaiduz
63,Hunger::N,πείνα,näl'g
64,Träne::N,δάκρυ,kündal'
65,Geschmack::N,γεύση,magu
66,Geruch::N,οσμή,haju
67,Geruch::N,μυρωδία,haju
68,Schlaf::N,ύπνος,uni
69,Traum::N,όνειρο,unikuva
70,Himmel::N,ουρανός,taivaz
71,Sonne::N,ήλιος,päiväine
72,Mond::N,σελήνη,kudmaine
73,Mond::N,φεγγάρι,kudmaine
74,Stern::N,άστρο,tähtaz
75,Stern::N,αστέρι,tähtaz
76,Luft::N,αέρας,il'm
77,Wind::N,αέρας,döl
78,Wind::N,αέρας,tullei
79,Wind::N,άνεμος,döl
80,Wind::N,άνεμος,tullei
81,Welle::N,κύμα,ald
82,Welle::N,κύμα,laineh
83,Wasser::N,νερό,vezi
84,Stein::N,πέτρα,kivi
85,Boden::N,χώμα,ma
86,Boden::N,χώμα,pohj
87,Erde::N,γη,ma
88,Staub::N,σκόνη,pölü
89,Rauch::N,καπνός,savu
90,Funke::N,σπίθα,kibin
91,Funke::N,σπινθήρας,kibin
92,Feuer::N,φωτιά,lämoi
93,Licht::N,φως,vauktuz
94,Schatten::N,σκιά,pil'vez
95,Schatten::N,σκιά,kuvahaine
96,Schatten::N,ίσκιος,pil'vez
97,Schatten::N,ίσκιος,kuvahaine
98,Wetter::N,καιρός,sä
99,Nebel::N,ομίχλη,sumeg
100,Wolke::N,σύννεφο,pil'v
101,Regen::N,βροχή,vihm
102,Schnee::N,χιόνι,lumi
103,Eis::N,πάγος,jä
104,Frost::N,παγωνία,hala
105,Frost::N,παγωνία,pakaine
106,Kälte::N,κρύο,vilu
107,Kälte::N,ψύχος,vilu
108,Hitze::N,ζέστη,räk
109,Raureif::N,πάχνη,hüde
110,Regenbogen::N,ουράνιο τόξο,jumalanbembel'
111,Donner::N,βροντή,juru
112,Donner::N,βροντή,jumalanjuru
113,Strömung::N,ρεύμα,joksmuz
114,Tropfen::N,στάλα,tilkuine
115,Schaum::N,αφρός,vaht
116,Schmutz::N,βρωμιά,redu
117,Schmutz::N,βρωμιά,pačak
118,See::N,λίμνη,järv
119,Sumpf::N,βάλτος,so
120,Moor::N,έλος,so
121,Wiese::N,λιβάδι,nit
122,Wald::N,δάσος,mec
123,Hügel::N,λόφος,kukaz
124,Anhöhe::N,ύψωμα,kukaz
125,Berg::N,όρος,mägi
126,Berg::N,βουνό,mägi
127,Gipfel::N,κορυφή,ladv
128,Höhle::N,σπηλιά,mägionduz
129,Abhang::N,πλαγιά,paute
130,Quelle::N,πηγή,lähte
131,Quelle::N,βρύση,lähte
132,Bach::N,ρυάκι,oja
133,Fluss::N,ποτάμι,jogi
134,Fluss::N,ποταμός,jogi
135,Ufer::N,όχθη,rand
136,Küste::N,ακτή,randišt
137,Küste::N,ακρογιαλιά,randišt
138,Festland::N,στεριά,kuivma
139,Meer::N,θάλασσα,meri
140,Bucht::N,κόλπος,laht
141,Insel::N,νησί,sar'
142,Insel::N,νήσος,sar'
143,Blume::N,άνθος,änik
144,Blume::N,λουλούδι,änik
145,Gras::N,χόρτο,hein
146,Gras::N,χορτάρι,hein
147,Wurzel::N,ρίζα,jur'
148,Baum::N,δέντρο,pu
149,Stamm::N,κορμός,tüvi
150,Rinde::N,φλούδα,kor'
151,Ast::N,κλαδί,oks
152,Zweig::N,κλαδί,oks
153,Zweig::N,κλαδί,barb
154,Zweig::N,κλάδος,oks
155,Zweig::N,κλάδος,barb
156,Blatt::N,φύλλο,lehtez
157,Birke::N,σημύδα,koiv
158,Kiefer[Baum]::N,πεύκο,pedai
159,Weide[Baum]::N,ιτιά,raid
160,Tanne::N,έλατο,kuz'
161,Horn::N,κέρας,sar'v
162,Horn::N,κέρατο,sar'v
163,Feder::N,φτερό,höuneh
164,Fell::N,δέρμα,nahk
165,Fell::N,τομάρι,nahk
166,Flügel::N,πτερύγιο,suug
167,Klaue::N,κουλό,künz'
168,Kralle::N,νύχι,künz'
169,Schwanz::N,ουρά,händ
170,Ei::N,αβγό,muna
171,Nest::N,φωλιά,peza
172,Bau::N,φωλιά,uru
173,Tier::N,ζώο,živat
174,Herde::N,κοπάδι,kogo
175,Kuh::N,αγελάδα,lehm
176,Bulle::N,ταύρος,härg
177,Pferd::N,άλογο,hebo
178,Schaf::N,πρόβατο,lambaz
179,Schwein::N,γουρούνι,siga
180,Hund::N,σκυλί,koir
181,Hund::N,σκύλος,koir
182,Katze::N,γάτα,kaži
183,Bär::N,άρκτος,kondi
184,Bär::N,αρκούδα,kondi
185,Eichhörnchen::N,βερβερίτσα,orav
186,Elch::N,άλκη,hirb'
187,Fuchs::N,αλεπού,reboi
188,Hase::N,λαγός,jäniš
