,Concept_ID,ko,hy
0,Auge::N,눈,աչք
1,Ohr::N,귀,ականջ
2,Nase::N,코,քիթ
3,Mund::N,입,բերան
4,Zahn::N,이,ատամ
5,Zunge::N,혀,լեզու
6,Lippe::N,입술,շրթունք
7,Wange::N,뺨,այտ
8,Wange::N,뺨,թուշ
9,Gesicht::N,얼굴,դեմք
10,Stirn::N,이마,ճակատ
11,Haar::N,털,մազ
12,Schnurrbart::N,윗수몀,բեղ
13,Schnurrbart::N,코밑수염,բեղ
14,Bart::N,수엄,մորուք
15,Kinn::N,아래턱,կզակ
16,Kiefer[Anatomie]::N,턱,ծնոտ
17,Kehle::N,인후,կոկորդ
18,Hals::N,목,վիզ
19,Hals::N,목,պարանոց
20,Genick::N,먹덜이,ծոծրակ
21,Kopf::N,머리,գլուխ
22,Rücken::N,든,մեջք
23,Bauch::N,배,փոր
24,Bauch::N,배,որովայն
25,Nabel::N,배꼽,պորտ
26,Busen::N,가슴속,ծոց
27,Brust::N,가슴,կուրծք
28,Schulter::N,어깨,ուս
29,Arm::N,팔,թեւ
30,Arm::N,팔,բազուկ
31,Ellenbogen::N,팔쿰치,արմունկ
32,Hand::N,손,ձեռք
33,Handfläche::N,손바닥,ափ
34,Finger::N,속가락,մատ
35,Fingernagel::N,손톱,եղունգ
36,Nagel[Anatomie]::N,손톱,եղունգ
37,Zeh::N,발가락,ոտքի մատ
38,Fuß::N,발,ոտք
39,Ferse::N,발꿈치,գարշապար
40,Knie::N,무릎,ծունկ
41,Oberschenkel::N,허벅다리,ազդր
42,Bein::N,다리,ոտք
43,Körper::N,구간,մարմին
44,Haut::N,살갗,մաշկ
45,Blut::N,피,արյուն
46,Ader::N,정맥,երակ
47,Sehne::N,현,ջիղ
48,Sehne::N,현,ձգտան
49,Knochen::N,뼈,ոսկոր
50,Gehirn::N,뇌,խելք
51,Gehirn::N,뇌수,խելք
52,Herz::N,염통,սիրտ
53,Magen::N,위,ստամոքս
54,Leber::N,간,լյարդ
55,Atem::N,기식,շունչ
56,Hunger::N,공복,քաղց
57,Träne::N,눈물,արտասուք
58,Geschmack::N,기호,համ
59,Geschmack::N,기호,բուրմունք
60,Geruch::N,냄새,հոտ
61,Geruch::N,냄새,բուրում
62,Schlaf::N,수면,քուն
63,Traum::N,쿰,երազ
64,Himmel::N,하늘,երկինք
65,Sonne::N,해,արեւ
66,Mond::N,달,լուսին
67,Stern::N,별,աստղ
68,Luft::N,동준,օդ
69,Luft::N,가스채,օդ
70,Wind::N,바람,քամի
71,Welle::N,물결,ալիք
72,Wasser::N,물,ջուր
73,Stein::N,돌,քար
74,Boden::N,바닥,գետին
75,Erde::N,흙,հող
76,Staub::N,먼지,փոշի
77,Rauch::N,연기,ծուխ
78,Funke::N,불티,կայծ
79,Feuer::N,불,կրակ
80,Feuer::N,불,հրդեհ
81,Licht::N,불,լույս
82,Schatten::N,어스레함,ստվեր
83,Wetter::N,기상,եղանակ
84,Nebel::N,안개,մեգ
85,Nebel::N,안개,մառախուղ
86,Wolke::N,구름,ամպ
87,Regen::N,비,անձրև
88,Schnee::N,눈,ձյուն
89,Eis::N,얼음,սառույց
90,Frost::N,혹한,սառնամանիք
91,Kälte::N,추위,դող
92,Kälte::N,차가움,դող
93,Hitze::N,고온,շոգ
94,Hitze::N,더위,շոգ
95,Regenbogen::N,무지개,ծիածան
96,Donner::N,뇌명,որոտ
97,Strömung::N,유동,հոսանք
98,Tropfen::N,물방울,կաթիլ
99,Schaum::N,포말,փրփուր
100,Schmutz::N,때,կեղտ
101,See::N,호수,լիճ
102,Sumpf::N,습지,ճահիճ
103,Moor::N,저습지,ճահիճ
104,Wiese::N,목초지,մարգագետին
105,Wald::N,숲,անտառ
106,Hügel::N,언덕,բլուր
107,Anhöhe::N,언덕,բարձունք
108,Berg::N,산,լեռ
109,Gipfel::N,졀졍,գագաթ
110,Gipfel::N,졀졍,կատար
111,Höhle::N,공동,քարայր
112,Abhang::N,몰매,լանջ
113,Abhang::N,몰매,զառիվայր
114,Quelle::N,근원,աղբյուր
115,Bach::N,내,վտակ
116,Fluss::N,강,գետ
117,Ufer::N,강변,ծովափ
118,Ufer::N,바닷가,ծովափ
119,Küste::N,해변,ափ
120,Küste::N,해변,ծովափ
121,Küste::N,해변가,ափ
122,Küste::N,해변가,ծովափ
123,Festland::N,본토,ցամաք
124,Meer::N,바다,ծով
125,Bucht::N,협만,հաչիւն
126,Insel::N,섬,վղզի
127,Blume::N,꽃,ծաղիկ
128,Gras::N,풀,խոտ
129,Wurzel::N,뿌리,արմատ
130,Baum::N,나무,ծառ
131,Stamm::N,대,իրան
132,Rinde::N,나무껍질,կեղեւ
133,Rinde::N,나무껍질,հաչոց
134,Ast::N,가지,ճյուղ
135,Zweig::N,가지,ճյուղ
136,Blatt::N,잎,տերեւ
137,Birke::N,자작나무,ցարասի
138,Kiefer[Baum]::N,소나무,սոճի
139,Weide[Baum]::N,쉬양버들,ուռենի
140,Tanne::N,전나무,եղեւին
141,Horn::N,뿔,
142,Feder::N,깃털,փետուր
143,Fell::N,피혁모피,մորթի
144,Flügel::N,날개,թեւ
145,Klaue::N,갈고리 발톺,չանչ
146,Kralle::N,발툭,ճանկ
147,Schwanz::N,꼬리,պոչ
148,Ei::N,알,ձու
149,Nest::N,보금자리,բույն
150,Bau::N,굴,որջ
151,Bau::N,굴,բայոց
