,Concept_ID,kl,ml
0,Auge::N,isi,കണ്ണ്
1,Ohr::N,siut,ചെവി
2,Mund::N,paaq,വായ
3,Mund::N,qaneq,വായ
4,Zahn::N,kigut,പല്ല്
5,Zunge::N,oqaq,നാക്ക്
6,Lippe::N,qarloq,ചുണ്ട്
7,Wange::N,ersaq,കവിൾത്തടം
8,Gesicht::N,kiinaq,മുഖം
9,Stirn::N,qaaq,നെറ്റി
10,Haar::N,meqqoq,തലമുടി
11,Bart::N,umik,താടിരോമം
12,Kinn::N,talloq,താടി
13,Kiefer[Anatomie]::N,alleroq,താടിയെല്ല്
14,Kehle::N,malaq,കണ്ഠനാളം
15,Hals::N,qungaseq,കഴുത്ത്
16,Genick::N,pukusuk,പിടലി
17,Kopf::N,niaqoq,തല
18,Rücken::N,qimerlut,മുതുക്
19,Bauch::N,naaq,നയറ്
20,Nabel::N,qalaseq,നാഭി
21,Busen::N,iviangeq,സ്തനം
22,Brust::N,iviangeq,സ്തനം
23,Schulter::N,ersik,തോൾ
24,Schulter::N,assaqqoq,തോൾ
25,Arm::N,taleq,കൈ
26,Ellenbogen::N,ikusik,കൈമുട്ട്
27,Hand::N,assak,കൈ
28,Handfläche::N,itumak,ഉള്ളം കൈ
29,Finger::N,inuak,വിരൽ
30,Fingernagel::N,kikiak,നഖം
31,Nagel[Anatomie]::N,kukik,നഖം
32,Zeh::N,isigak,കാൽവിരൽ
33,Ferse::N,kimmik,ഉപ്പൂറ്റി
34,Knie::N,seeqqoq,കാൽമുട്ട്
35,Oberschenkel::N,uppat,തുട
36,Oberschenkel::N,quttoraq,തുട
37,Bein::N,isigak,കാൽ
38,Körper::N,timi,ശരീരം
39,Haut::N,mattak,ചർമ്മം
40,Blut::N,aak,രക്തം
41,Ader::N,taqaq,ഞരമ്പ്
42,Sehne::N,ujalu,സ്നായു
43,Sehne::N,ujaloq,സ്നായു
44,Knochen::N,saanikut,അസ്ഥി
45,Gehirn::N,qarasaq,തലച്ചോറ്
46,Herz::N,uummat,ഹൃദയം
47,Magen::N,aqajaroq,വയർ
48,Leber::N,tinguk,കരൾ
49,Atem::N,anerneq,ശ്വാസം
50,Hunger::N,kaanneq,വിശപ്പ്
51,Träne::N,qia,കണ്ണീർ
52,Träne::N,qiak,കണ്ണീർ
53,Geschmack::N,qilanaartuut,രുചി
54,Geruch::N,tipi,ഗന്ധം
55,Geruch::N,tipik,ഗന്ധം
56,Traum::N,sinnattoq,സ്വപ്നം
57,Traum::N,sinnattugaq,സ്വപ്നം
58,Himmel::N,qilak,ആകാശം
59,Sonne::N,seqineq,സൂര്യൻ
60,Mond::N,qaammat,ചന്ദ്രൻ
61,Stern::N,ulloriaq,നക്ഷത്രം
62,Luft::N,silaannaq,കാറ്റ്
63,Wind::N,anori,കാറ്റ്
64,Wind::N,anorsarik,കാറ്റ്
65,Welle::N,aalappaa,തിരമാല
66,Wasser::N,imeq,വെള്ളം
67,Stein::N,ujarak,ശില
68,Stein::N,ujarak,കല്ല്
69,Boden::N,nateq,തറ
70,Boden::N,nateq,നിലം
71,Erde::N,issoq,മണ്ണ്
72,Staub::N,pujualanerit,പൊടി
73,Staub::N,pujoralanerit,പൊടി
74,Rauch::N,iseq,പുക
75,Rauch::N,pujoq,പുക
76,Funke::N,illoorneq,തീപ്പൊരി
77,Feuer::N,inneq,തീ
78,Licht::N,qaamaneq,വിളക്ക്
79,Licht::N,qaamaneq,സൂര്യപ്രകാശം
