,Concept_ID,ga,myv
158,Stamm::N,tamhan,рунго
159,Rinde::N,coirt,суд
160,Rinde::N,coirt,керь
161,Rinde::N,craiceann,суд
162,Rinde::N,craiceann,керь
163,Ast::N,géag,морго
164,Zweig::N,géag,тарад
165,Zweig::N,craobh,тарад
166,Blatt::N,duille,лопа
167,Blatt::N,duilleog,лопа
168,Birke::N,beith,килей
169,Birke::N,crann beithe,килей
170,Kiefer[Baum]::N,péine,пиче
171,Weide[Baum]::N,saileach,каль
172,Tanne::N,giúis,куз
173,Horn::N,adharc,сюро
174,Feder::N,cleite,толга
175,Fell::N,clúmh,пона
176,Flügel::N,eite,сёлмо
177,Flügel::N,sciathán,сёлмо
178,Klaue::N,crúb,кенже
179,Klaue::N,crobh,кенже
180,Kralle::N,crobh,кенже
181,Schwanz::N,eireaball,пуло
182,Ei::N,ubh,ал
183,Nest::N,nead,пизэ
184,Bau::N,brocais,варя
185,Bau::N,brocais,пизе
186,Tier::N,ainmhí,ракша
187,Tier::N,beithíoch,ракша
188,Herde::N,tréad,стада
189,Kuh::N,bó,скал
190,Bulle::N,tarbh,бука
191,Pferd::N,each,лишме
192,Pferd::N,capall,лишме
193,Schaf::N,caora,реве
194,Schwein::N,muc,туво
195,Hund::N,madra,пине
196,Hund::N,madra,киска
197,Katze::N,cat,псака
198,Bär::N,béar,овто
199,Eichhörnchen::N,iora,ур
200,Elch::N,eilc,сярдо
201,Fuchs::N,sionnach,ривезь
202,Fuchs::N,madra rua,ривезь
203,Hase::N,giorria,нумоло
204,Maus::N,luch,чеерь
205,Wolf::N,mac tíre,верьгиз
206,Vogel::N,éan,нармунь
207,Schwarm::N,saithe,полк
208,Schwarm::N,saithe,стада
209,Huhn::N,cearc,сараз
210,Hahn::N,coileach,атякш
211,Gans::N,gé,гала
212,Gans::N,gé,мацей
213,Adler::N,iolar,куцькан
214,Adler::N,iolar,тумоатякш
215,Ente::N,lacha,яксярго
216,Eule::N,ulchabhán,корж
217,Kranich::N,grús,карго
218,Krähe::N,caróg,варака
219,Krähe::N,préachán,варака
220,Kuckuck::N,cuach,куко
221,Schwan::N,eala,локсей
222,Fisch::N,iasc,кал
223,Barsch::N,péirse,окунь
224,Hecht::N,liús,щука
225,Schlange[Tier]::N,nathair,гуй
226,Wurm::N,péist,сукс
227,Spinne::N,damhán alla,шанжав
228,Ameise::N,seangán,коткудав
229,Laus::N,míol,сий
230,Mücke::N,muiscít,сеське
231,Mücke::N,corrmhíol,сеське
232,Fliege::N,cuil,карво
233,Fliege::N,cuileog,карво
234,Schmetterling::N,féileacán,нимиляв
235,Beere::N,caor,умарь
236,Apfel::N,úll,умарь
237,Pilz::N,beacán,панго
238,Pilz::N,muisiriún,панго
239,Zwiebel::N,oinniún,чурька
240,Saat::N,síol,видьметь
241,Korn::N,gráinne,сюро
242,Heu::N,féar,тикше
243,Schale::N,scaimh,кедь
244,Schale::N,scaimh,ваткавкс
245,Grube::N,poll,латко
246,Falle::N,gaiste,тувор
247,Falle::N,gaiste,кундамка
248,Schlinge::N,sealán,килькш
249,Spur::N,rian,челькс
250,Spur::N,rian,пильгеки
251,Asche::N,luaith,кулов
252,Dreck::N,salachar,рудаз
253,Eisen::N,iarann,кшни
254,Gold::N,ór,сырне
255,Silber::N,airgead,сия
256,Kohle::N,gual,сэдь
257,Kohle::N,gual,уголия
258,Glas::N,gloine,сулика
259,Lehm::N,cré,сёвонь
260,Sand::N,gaineamh,човар
261,Mensch::N,duine,ломань
262,Mann::N,fear,аля
263,Mann::N,fear,цёраломань
264,Frau::N,bean,ава
265,Kind::N,gasúr,эйкакш
266,Kind::N,páiste,эйкакш
267,Junge::N,buachaill,цёрыне
268,Mädchen::N,cailín,тейтерне
269,Familie::N,teaghlach,семия
270,Familie::N,comhluadar,семия
271,Großvater::N,seanathair,покштя
272,Großmutter::N,seanmháthair,баба
273,Eltern::N,tuismitheoirí,тетят-ават
274,Vater::N,athair,тетя
275,Mutter::N,máthair,ава
276,Sohn::N,mac,цёра
277,Tochter::N,iníon,тейтерь
278,Bruder::N,deartháir,леля
279,Bruder::N,deartháir,ялакс
280,Schwester::N,deirfiúr,сазор
281,Onkel::N,uncail,леля
282,Tante::N,aintín,патя
283,Ehemann::N,fear céile,мирде
284,Ehefrau::N,bean chéile,ни
285,Freude::N,áthas,кеняркс
286,Gelächter::N,gáire,ракамо
287,Gelächter::N,gáire,пейдема
288,Glück::N,séan,уцяска
289,Glück::N,sonas,уцяска
290,Kummer::N,brón,рискс
291,Kummer::N,brón,мелявкс
292,Kummer::N,buairt,рискс
293,Kummer::N,buairt,мелявкс
294,Wunsch::N,guí,мель
295,Wunsch::N,guí,бажамо
296,Wunsch::N,achainí,мель
297,Wunsch::N,achainí,бажамо
298,Lust::N,fonn,бажамо
299,Geist::N,meon,ойме
300,Geist::N,spiorad,ойме
301,Gedanke::N,smaoineamh,мель
302,Gedächtnis::N,cuimhne,мель
303,Verstand::N,ciall,прев
304,Verstand::N,intinn,прев
305,Sinn::N,brí,толк
306,Sinn::N,brí,смысла
307,Sinn::N,ciall,толк
308,Sinn::N,ciall,смысла
309,Grund::N,fáth,тувтал
310,Wahrheit::N,fírinne,видечи
311,Gespräch::N,comhrá,кортнема
312,Märchen::N,scéal,ёвкс
313,Erzählung::N,scéal,ёвтнема
314,Nachricht::N,teachtaireacht,куля
315,Neuigkeit::N,scéala,куля
316,Name::N,ainm,лем
317,Rätsel::N,tomhas,содамоёвкс
318,Rede::N,óráid,кортамо
319,Rede::N,aitheasc,кортамо
320,Sprache::N,teanga,кель
321,Stimme::N,guth,ваигель
322,Wort::N,focal,вал
323,Zeichen::N,comhartha,теште
324,Ruf::N,glaoch,тердема
325,Lärm::N,torann,шалнома
326,Laut::N,fuaim,вайгель
327,Ton::N,ton,гайнема
328,Lied::N,amhrán,моро
329,Ruhe::N,suaimhneas,оймамо
330,Leute::N,muintir,ломанть
331,Volk::N,pobal,народ
332,Arbeit::N,obair,тев
333,Gast::N,aoi,инже
334,Geschenk::N,féirín,казне
335,Geschenk::N,bronntanas,казне
336,Spiel::N,cluiche,налксема
337,Gesellschaft::N,comhluadar,община
338,Hilfe::N,cúnamh,лездамо
339,Hilfe::N,cabhair,лездамо
340,Freund::N,cara,оя
341,Freund::N,cara,ялга
342,Kamerad::N,comrádaí,оя
343,Kamerad::N,comrádaí,ялга
344,Angelegenheit::N,ábhar,тев
345,Anzahl::N,líon,ламоксчи
346,Art::N,sórt,вид
347,Art::N,saghas,вид
348,Stück::N,píosa,пакш
349,Stück::N,píosa,пелькс
350,Teil::N,cuid,часть
351,Teil::N,cuid,пелькс
352,Teil::N,páirt,часть
353,Teil::N,páirt,пелькс
354,Hälfte::N,leath,пель
355,Hälfte::N,leath,пелькс
356,Kreis::N,ciorcal,кирькс
357,Kreuz::N,cros,крёст
358,Linie::N,líne,кикс
359,Strich::N,stríoc,межа
360,Abstand::N,achar,ютко
361,Entfernung::N,fad,ютко
362,Gegend::N,ceantar,тарка
363,Gegend::N,ceantar,пертьпелькс
364,Platz::N,áit,васолкс
365,Platz::N,spás,васолкс
366,Ort::N,áit,тарка
367,Seite::N,taobh,ён
368,Seite::N,taobh,чире
369,Mitte::N,lár,куншка
370,Gegenstand::N,ball,предмет
371,Gegenstand::N,ábhar,предмет
372,Sache::N,ní,тев
373,Sache::N,ní,веща
374,Sache::N,rud,тев
375,Sache::N,rud,веща
376,Rand::N,imeall,пе
377,Rand::N,imeall,чире
378,Rand::N,ciumhais,пе
379,Rand::N,ciumhais,чире
380,Kante::N,corr,ирдез
381,Kante::N,colbha,ирдез
382,Ecke::N,coirnéal,ужо
383,Spitze::N,gob,пряне
384,Spitze::N,gob,пе
385,Spitze::N,barr,пряне
386,Spitze::N,barr,пе
387,Ende::N,ceann,пе
388,Ende::N,foirceann,пе
389,Loch::N,poll,варя
390,Winkel::N,cúinne,ужо
391,Winkel::N,uillinn,ужо
392,Muster::N,patrún,сёрма
