,Concept_ID,mn,ml
147,Weide[Baum]::N,бургас,വില്ലോ
148,Tanne::N,гачуур,ദേവദാരു
149,Horn::N,эвэр,മൃഗത്തിൻറെ കൊമ്പ്
150,Feder::N,өд,തൂവൽ
151,Fell::N,арьс,മൃദുരോമം
152,Flügel::N,жигүүр,ചിറക്
153,Flügel::N,далавч,ചിറക്
154,Klaue::N,савар,നഖം
155,Klaue::N,хумс,നഖം
156,Kralle::N,савар,നഖം
157,Schwanz::N,сүүл,വാൽ
158,Ei::N,өндөг,മുട്ട
159,Nest::N,үүр,കൂട്
160,Bau::N,нүх,മാളം
161,Bau::N,элүү,മാളം
162,Tier::N,амьтан,മൃഗം
163,Tier::N,адгуус,മൃഗം
164,Herde::N,сүрэг,കൂട്ടം
165,Kuh::N,үнээ,പശു
166,Bulle::N,бух,കാള
167,Pferd::N,морь,കുതിര
168,Pferd::N,адуу,കുതിര
169,Schaf::N,хонь,ആട്
170,Schwein::N,гахай,പന്നി
171,Hund::N,нохой,നായ്
172,Katze::N,муур,പൂച്ച
173,Katze::N,мигуй,പൂച്ച
174,Bär::N,баавгай,കരടി
175,Eichhörnchen::N,хэрэм,അണ്ണാൻ
176,Elch::N,хандгай,കടമാന്
177,Fuchs::N,үнэг,കുറുക്കൻ
178,Hase::N,туулай,മുയൽ
179,Maus::N,хулгана,ചുണ്ടലി
180,Wolf::N,чоно,ചെന്നായ
181,Vogel::N,шувуу,പക്ഷി
182,Schwarm::N,сүрэг,കൂട്ടം
183,Huhn::N,тахиа,കോഴി
184,Hahn::N,эр тахиа,പൂവൻകോഴി
185,Gans::N,галуу,അരയന്നം
186,Adler::N,бүргэд,കഴുകൻ
187,Ente::N,нугас,താറാവ്
188,Eule::N,ууль,മൂങ്ങ
189,Kranich::N,тогоруу,കൊക്ക്
190,Krähe::N,хэрээ,കാക്ക
191,Kuckuck::N,хөхөө,കുയിൽ
192,Schwan::N,хун,അരയന്നം
193,Fisch::N,загас,മത്സ്യം
194,Barsch::N,алгана,ഒരിനം മത്സ്യം
195,Hecht::N,цурхай,ഒരു മത്സ്യം
196,Schlange[Tier]::N,могой,പാമ്പ്
197,Wurm::N,өт,വിര
198,Wurm::N,хорхой,വിര
199,Spinne::N,аалз,ചിലന്തി
200,Ameise::N,шоргоолж,ഉറുമ്പ്
201,Laus::N,бөөс,പേന്
202,Mücke::N,шумуул,മശകം
203,Fliege::N,ялаа,ഈച്ച
204,Schmetterling::N,эрвээхэй,ചിത്രശലഭം
205,Beere::N,жимсгэнэ,ബെറി
206,Apfel::N,алим,ആപ്പിൾ
207,Pilz::N,мөөг,കൂൺ
208,Zwiebel::N,сонгино,സവാള
209,Saat::N,тариа,വിത്ത്
210,Korn::N,үр,ധാന്യം
211,Korn::N,мөхлөг,ധാന്യം
212,Heu::N,өвс,വയ്ക്കോൽ
213,Schale::N,хальс,തൊലി
214,Grube::N,алам,കുഴി
215,Grube::N,нүх,കുഴി
216,Falle::N,хавх,കെണി
217,Falle::N,занга,കെണി
218,Schlinge::N,урхи,കുടുക്ക്
219,Spur::N,мөр,ചുവട്
220,Asche::N,үнс,ചാരം
221,Dreck::N,хир,അഴുക്ക്
222,Eisen::N,төмөр,ഇരുമ്പ്
223,Gold::N,алт,സ്വർണ്ണം
224,Silber::N,мөнгө,വെള്ളി
225,Kohle::N,нүүрс,കൽക്കരി
226,Glas::N,шил,ഗ്ലാസ്
227,Lehm::N,шавар,കളിമണ്ണ്
228,Sand::N,элс,മണൽ
229,Mensch::N,хүн,മനുഷ്യർ
230,Mann::N,эр,പുരുഷൻ
231,Mann::N,эрэгтэй,പുരുഷൻ
232,Frau::N,эмэгтэй,സ്ത്രീ
233,Frau::N,хатагтай,സ്ത്രീ
234,Kind::N,хүүхэд,കുഞ്ഞ്
235,Junge::N,хүү,ആൺകുട്ടി
236,Mädchen::N,охин,പെൺകുട്ടി
237,Mädchen::N,бүсгүй,പെൺകുട്ടി
238,Familie::N,айл,കുടുംബം
239,Großvater::N,өвгөн аав,അപ്പൂപ്പൻ
240,Großmutter::N,эмэг эх,അമ്മുമ്മ
241,Großmutter::N,эмгээ,അമ്മുമ്മ
242,Eltern::N,эцэг эх,മാതാപിതാക്കള്
243,Vater::N,аав,അച്ഛൻ
244,Vater::N,эцэг,അച്ഛൻ
245,Mutter::N,эх,അമ്മ
246,Mutter::N,ээж,അമ്മ
247,Sohn::N,хүү,മകൻ
248,Tochter::N,охин,മകൾ
249,Bruder::N,ах,ചേട്ടൻ
250,Bruder::N,ах,അനിയൻ
251,Bruder::N,дүү,ചേട്ടൻ
252,Bruder::N,дүү,അനിയൻ
253,Schwester::N,эгч,ചേച്ചി
