,Concept_ID,bn,pt
0,Auge::N,চক্ষু,olho
1,Ohr::N,কর্ণ,orelha
2,Nase::N,নাক,nariz
3,Mund::N,মুখ,boca
4,Zahn::N,দাঁত,dente
5,Zunge::N,জিহবা,língua
6,Lippe::N,অধর,lábio
7,Wange::N,গণ্ড,face
8,Gesicht::N,মুখমণ্ডল,cara
9,Gesicht::N,মুখমণ্ডল,rosto
10,Stirn::N,কপাল,testa
11,Haar::N,চুল,cabelo
12,Schnurrbart::N,গোঁফ,bigode
13,Bart::N,শ্মশ্রু,barba
14,Kinn::N,চিবুক,queixo
15,Kiefer[Anatomie]::N,চোয়াল,maxila
16,Kiefer[Anatomie]::N,চোয়াল,mandíbula
17,Kehle::N,কণ্ঠ,garganta
18,Hals::N,গল,colo
19,Hals::N,গল,pescoço
20,Genick::N,ঘাড়,nuca
21,Kopf::N,মাথা,cabeça
22,Rücken::N,পৃষ্ঠ,dorso
23,Rücken::N,পৃষ্ঠ,costas
24,Bauch::N,উদর,ventre
25,Bauch::N,উদর,barriga
26,Nabel::N,নাভি,umbigo
27,Busen::N,স্তন,seio
28,Brust::N,বুক,peito
29,Schulter::N,স্কন্ধ,ombro
30,Arm::N,বাহু,braço
31,Ellenbogen::N,কনুই,cotovelo
32,Hand::N,হাত,mão
33,Handfläche::N,করতল,palma
34,Handfläche::N,করতল,palma da mão
35,Finger::N,আঙ্গুল,dedo
36,Fingernagel::N,হাতের নখ,unha
37,Nagel[Anatomie]::N,নখ,unha
38,Zeh::N,আঙ্গুল,dedo do pé
39,Fuß::N,পা,pé
40,Ferse::N,গোড়ালি,calcanhar
41,Knie::N,হাঁটু,joelho
42,Oberschenkel::N,ঊরু,coxa
43,Bein::N,পা,perna
44,Körper::N,দেহ,corpo
45,Haut::N,ত্বক,pele
46,Blut::N,রক্ত,sangue
47,Ader::N,শিরা,veia
48,Sehne::N,কণ্ডরা,tendão
49,Knochen::N,অস্থি,osso
50,Gehirn::N,মস্তিষ্ক,cérebro
51,Herz::N,হৃৎপিণ্ড,coração
52,Magen::N,পাকস্থলী,estômago
53,Leber::N,যকৃৎ,fígado
54,Atem::N,শ্বাস,fôlego
55,Hunger::N,ক্ষুধা,fome
56,Träne::N,অশ্রু,lágrima
57,Geschmack::N,স্বাদ,gosto
58,Geruch::N,গন্ধ,odor
59,Geruch::N,গন্ধ,cheiro
60,Schlaf::N,ঘুম,sono
61,Traum::N,স্বপ্ন,sonho
62,Himmel::N,আকাশ,céu
63,Sonne::N,সূর্য,sol
64,Mond::N,চন্দ্র,lua
65,Stern::N,নক্ষত্র,estrela
66,Luft::N,বায়ু,ar
67,Wind::N,বাতাস,vento
68,Welle::N,ঢেউ,onda
69,Welle::N,তরঙ্গ,onda
70,Wasser::N,জল,água
71,Stein::N,ঢিল,pedra
72,Stein::N,প্রস্তর,pedra
73,Boden::N,ভূতল,solo
74,Erde::N,ভূমি,terra
75,Staub::N,ধুলা,pó
76,Rauch::N,ধোঁয়া,fumo
77,Funke::N,স্ফুলিঙ্গ,faísca
78,Funke::N,স্ফুলিঙ্গ,centelha
79,Feuer::N,অগ্নি,fogo
80,Licht::N,আলো,luz
81,Schatten::N,ছায়া,sombra
82,Wetter::N,আবহাওয়া,tempo
83,Nebel::N,কুহেলিকা,nevoeiro
84,Wolke::N,মেঘ,nuvem
85,Regen::N,বৃষ্টি,chuva
86,Schnee::N,তুষার,neve
87,Eis::N,বরফ,gelo
88,Frost::N,তুষার,gelo
89,Frost::N,তুষার,geada
90,Kälte::N,শৈত্য,frio
91,Hitze::N,তাপ,ardor
92,Raureif::N,তুহিন,geada
93,Regenbogen::N,রামধনু,arco-iris
94,Donner::N,বজ্রধ্বনি,trovão
95,Strömung::N,স্রোত,corrente
96,Tropfen::N,ফোঁটা,gota
97,Schaum::N,ফেনা,espuma
98,Schmutz::N,ধুলা,sujidade
99,Schmutz::N,ধুলা,imundície
100,See::N,হ্রদ,lago
101,Sumpf::N,জলা,charco
102,Sumpf::N,জলা,pântano
103,Moor::N,মাঠ,pântano
104,Wiese::N,তৃণভূমি,prado
105,Wald::N,বন,bosque
106,Wald::N,বন,floresta
107,Hügel::N,পাহাড়,colina
108,Anhöhe::N,টিলা,alto
109,Anhöhe::N,টিলা,outeiro
110,Berg::N,পর্বত,monte
111,Berg::N,পর্বত,montanha
112,Gipfel::N,শীর্ষ,pico
113,Höhle::N,গুহা,caverna
114,Abhang::N,ঢাল,encosta
115,Quelle::N,উৎস,fonte
116,Bach::N,ক্ষুদ্র নদী,regato
117,Bach::N,ক্ষুদ্র নদী,ribeiro
118,Fluss::N,নদী,rio
119,Ufer::N,উপকূল,beira
120,Küste::N,তীর,costa
121,Festland::N,ভূমি,terra firme
122,Meer::N,সমুদ্র,mar
123,Bucht::N,উপসাগর,baía
124,Insel::N,দ্বীপ,ilha
125,Blume::N,ফুল,flor
126,Gras::N,ঘাস,erva
127,Wurzel::N,শিকড়,raiz
128,Baum::N,গাছ,árvore
129,Stamm::N,স্কন্ধ,tronco
130,Rinde::N,বল্কল,casca
131,Ast::N,শাখা,ramo
132,Zweig::N,ডাল,galho
133,Blatt::N,পর্ণ,folha
134,Birke::N,ভুর্জ,bétula
135,Kiefer[Baum]::N,পাইন গাছ,pinheiro
136,Weide[Baum]::N,উইলো,salgueiro
137,Tanne::N,দেবদারূ গাছ,abeto
138,Horn::N,শিং,corno
139,Horn::N,শিং,chifre
140,Feder::N,পালক,pena
141,Fell::N,রোম,pele
142,Flügel::N,ডানা,asa
143,Klaue::N,নখর,pata
144,Kralle::N,নখর,unha
145,Kralle::N,নখর,garra
146,Schwanz::N,লেজ,rabo
147,Schwanz::N,লেজ,cauda
148,Ei::N,ডিম,ovo
149,Nest::N,কুলায়,ninho
150,Bau::N,ডেরা,toca
151,Bau::N,ডেরা,covil
152,Tier::N,জন্তু,animal
153,Herde::N,ঝাঁক,rebanho
154,Kuh::N,গোরু,vaca
155,Bulle::N,বৃষ,touro
156,Pferd::N,ঘোড়া,cavalo
157,Schaf::N,ভেড়া,ovelha
158,Schwein::N,শূকর,porco
159,Hund::N,কুকুর,cão
160,Katze::N,বেড়াল,gata
161,Bär::N,ভল্লুক,urso
162,Eichhörnchen::N,কাঠবিড়াল,esquilo
163,Elch::N,হরিণবিশেষ,alce
164,Fuchs::N,পাঁতিশিয়াল,raposa
165,Hase::N,শশক,lebre
166,Maus::N,নেংটি ইঁদুর,rato
167,Wolf::N,নেকড়ে,lobo
168,Vogel::N,পক্ষী,ave
169,Vogel::N,পক্ষী,pássaro
170,Schwarm::N,ঝাঁক,bando
171,Schwarm::N,ঝাঁক,enxame
172,Huhn::N,মোরগ,galinha
173,Hahn::N,কুক্কুট,galo
174,Gans::N,হংসী,ganso
175,Adler::N,ইগল,águia
176,Ente::N,হংসী,pata
177,Eule::N,পেচক,mocho
178,Eule::N,পেচক,coruja
179,Kranich::N,সারস,grou
180,Krähe::N,কাক,gralha
181,Kuckuck::N,কোকিল,cuco
182,Schwan::N,মরাল,cisne
183,Fisch::N,মাছ,peixe
184,Barsch::N,মৎন্যবিশেষ,perca
185,Hecht::N,বানমাছ,lúcio
186,Schlange[Tier]::N,সর্প,serpente
187,Wurm::N,কীট,verme
188,Spinne::N,মাকড়সা,aranha
189,Ameise::N,পিপীলিকা,formiga
190,Laus::N,উকুন,piolho
191,Mücke::N,মশা,mosquito
192,Fliege::N,মাছি,mosca
193,Schmetterling::N,প্রজাপতি,borboleta
194,Beere::N,বেরি,bago
195,Apfel::N,আপেল,maçã
196,Pilz::N,ছত্রক,fungo
197,Pilz::N,ছত্রক,cogumelo
198,Zwiebel::N,পিয়াজ,cebola
199,Saat::N,বীজ,sementeira
200,Korn::N,শস্য,grão
201,Heu::N,খড়,feno
202,Schale::N,খোসা,casca
203,Grube::N,গর্ত,cova
204,Grube::N,গর্ত,fossa
205,Falle::N,ফাঁদ,armadilha
206,Schlinge::N,পাশ,laço
207,Spur::N,চিহ্ন,pista
208,Spur::N,চিহ্ন,vestígio
209,Asche::N,ভস্ম,cinza
210,Dreck::N,ময়লা,sujidade
211,Eisen::N,লোহা,ferro
212,Gold::N,স্বর্ণ,ouro
213,Silber::N,রৌপ্য,prata
214,Kohle::N,অঙ্গার,carvão
215,Glas::N,কাচ,vidro
216,Lehm::N,মৃত্তিকা,barro
217,Lehm::N,মৃত্তিকা,argila
218,Sand::N,বালি,areia
219,Mensch::N,নর,homem
220,Mensch::N,নর,pessoa
221,Mensch::N,মানুষ,homem
222,Mensch::N,মানুষ,pessoa
223,Mann::N,মানুষ,homem
224,Frau::N,নারী,mulher
225,Kind::N,বাচ্চা,filho
226,Kind::N,বাচ্চা,criança
227,Junge::N,ছেলে,rapaz
228,Junge::N,ছেলে,menino
229,Mädchen::N,মেয়ে,menina
230,Mädchen::N,মেয়ে,rapariga
231,Familie::N,পরিবার,família
232,Großvater::N,মাতামহ,avô
233,Großmutter::N,মাতামহী,avó
234,Eltern::N,মাতাপিতা,pais
235,Vater::N,পিতা,pai
236,Mutter::N,মাতা,mãe
237,Sohn::N,ছেলে,filho
238,Tochter::N,মেয়ে,filha
239,Bruder::N,দাদা,irmão
240,Schwester::N,বোন,irmã
241,Schwester::N,দিদি,irmã
242,Onkel::N,মামা,tio
243,Tante::N,মাসী,tia
244,Ehemann::N,স্বামী,esposo
245,Ehefrau::N,পত্নী,esposa
246,Freude::N,উল্লাস,prazer
