,Concept_ID,he,hu
0,Auge::N,עין,szem
1,Ohr::N,אזן,fül
2,Nase::N,אף,orr
3,Nase::N,חטם,orr
4,Mund::N,פה,száj
5,Zahn::N,שן,fog
6,Zunge::N,לשון,nyelv
7,Lippe::N,שפה,ajak
8,Wange::N,לחי,orca
9,Gesicht::N,פנים,arc
10,Stirn::N,מצח,homlok
11,Haar::N,שערה,haj
12,Schnurrbart::N,שפם,bajusz
13,Bart::N,זקן,szakáll
14,Kinn::N,סנטר,áll
15,Kiefer[Anatomie]::N,לסת,állkapocs
16,Kehle::N,גרון,gége
17,Kehle::N,גרון,torok
18,Hals::N,צואר,nyak
19,Genick::N,ערף,tarkó
20,Kopf::N,ראש,fő
21,Kopf::N,ראש,fej
22,Rücken::N,גב,hát
23,Bauch::N,בטן,has
24,Nabel::N,טבור,köldök
25,Busen::N,שד,mell
26,Busen::N,שד,kebel
27,Brust::N,חזה,mell
28,Schulter::N,כתף,váll
29,Arm::N,זרוע,kar
30,Ellenbogen::N,מרפק,könyök
31,Hand::N,יד,kéz
32,Handfläche::N,כף יד,tenyér
33,Finger::N,אצבע,ujj
34,Fingernagel::N,צפרן,köröm
35,Nagel[Anatomie]::N,צפרן,köröm
36,Zeh::N,אצבע,lábujj
37,Fuß::N,רגל,láb
38,Ferse::N,עקב,sarok
39,Knie::N,ברך,térd
40,Oberschenkel::N,ירך,comb
41,Bein::N,רגל,láb
42,Bein::N,רגל,lábszár
43,Körper::N,גוף,test
44,Haut::N,עור,bőr
45,Blut::N,דם,vér
46,Ader::N,וריד,ér
47,Sehne::N,גיד,ín
48,Knochen::N,עצם,csont
49,Gehirn::N,מוח,agy
50,Gehirn::N,מוח,agyvelő
51,Herz::N,לב,szív
52,Magen::N,קבה,gyomor
53,Leber::N,כבד,máj
54,Atem::N,נשימה,lehelet
55,Atem::N,נשימה,lélegzet
56,Hunger::N,רעב,éhség
57,Träne::N,דמעה,könny
58,Geschmack::N,טעם,íz
59,Geruch::N,ריח,szag
60,Schlaf::N,שנה,álom
61,Schlaf::N,שנה,alvás
62,Traum::N,חלום,álom
63,Himmel::N,שמים,ég
64,Himmel::N,שמים,menny
65,Sonne::N,שמש,nap
66,Mond::N,ירח,hold
67,Stern::N,כוכב,csillag
68,Luft::N,אויר,levegő
69,Wind::N,רוח,szél
70,Welle::N,גל,hullám
71,Wasser::N,מים,víz
72,Stein::N,אבן,kő
73,Boden::N,קרקע,föld
74,Boden::N,קרקע,talaj
75,Erde::N,אדמה,föld
76,Staub::N,אבק,por
77,Rauch::N,עשן,füst
78,Funke::N,ניצוץ,szikra
79,Feuer::N,אש,tűz
80,Licht::N,אור,fény
81,Schatten::N,צל,árnyék
82,Wetter::N,מזג אויר,idő
83,Wetter::N,מזג אויר,időjárás
84,Nebel::N,ערפל,köd
85,Wolke::N,ענן,felhő
86,Regen::N,גשם,eső
87,Schnee::N,שלג,hó
88,Eis::N,קרח,jég
89,Frost::N,צנה,fagy
90,Kälte::N,קר,hideg
91,Hitze::N,חם,hő
92,Hitze::N,חם,hőség
93,Raureif::N,כפור,zúzmara
94,Regenbogen::N,קשת,szivárvány
95,Donner::N,רעם,dörgés
96,Donner::N,רעם,mennydörgés
97,Strömung::N,זרימה,áramlat
98,Tropfen::N,טפה,csepp
99,Schaum::N,קצף,hab
100,Schaum::N,קצף,tajték
101,Schmutz::N,לכלוך,piszok
102,See::N,אגם,tó
103,Sumpf::N,בצה,mocsár
104,Moor::N,בצה,láp
105,Wiese::N,מרעה,rét
106,Wiese::N,מרעה,mező
