,Concept_ID,mhr,et
0,Auge::N,шинча́,silm
1,Ohr::N,пы́лыш,kõrv
2,Nase::N,нер,nina
3,Mund::N,умша́,suu
4,Zahn::N,пӱй,hammas
5,Zunge::N,йы́лме,keel
6,Lippe::N,тӱ́рвӧ,huul
7,Wange::N,шӱ́ргӧ,põsk
8,Gesicht::N,чури́й,nägu
9,Stirn::N,саҥга́,otsmik
10,Haar::N,ӱп,juus
11,Schnurrbart::N,ӧ́рыш,vurrud
12,Schnurrbart::N,ӧ́рыш,vuntsid
13,Bart::N,понда́ш,habe
14,Kinn::N,оҥыла́ш,lõug
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,lõualuu
16,Kiefer[Anatomie]::N,пӱйората́,lõualuu
17,Kehle::N,лога́р,kõri
18,Hals::N,шӱй,kael
19,Genick::N,шӱйло́дыш,kukal
20,Kopf::N,вуй,pea
21,Rücken::N,туп,selg
22,Bauch::N,мӱ́шкыр,kõht
23,Nabel::N,кы́лымде,naba
24,Busen::N,чы́зе,rind
25,Brust::N,оҥ,rind
26,Schulter::N,ва́че,õlg
27,Arm::N,кид,käsivars
28,Ellenbogen::N,кынерву́й,küünarnukk
29,Hand::N,кид,käsi
30,Hand::N,копа́,käsi
31,Handfläche::N,со́во,pihk
32,Finger::N,парня́,sõrm
33,Fingernagel::N,кидкӱ́ч,küüs
34,Fingernagel::N,парнягӱ́ч,küüs
35,Nagel[Anatomie]::N,кӱч,küüs
36,Zeh::N,йолварня́,varvas
37,Fuß::N,йол,jalg
38,Fuß::N,йолкопа́,jalg
39,Ferse::N,тага́н,kand
40,Knie::N,пулву́й,põlv
41,Oberschenkel::N,э́рде,reis
42,Bein::N,йол,jalg
43,Körper::N,кап,ihu
44,Körper::N,кап,keha
45,Haut::N,кова́ште,nahk
46,Blut::N,вӱр,veri
47,Ader::N,шӧн,veen
48,Sehne::N,шӧн,kõõlus
49,Sehne::N,кӱсе́н,kõõlus
50,Knochen::N,лу,luu
51,Gehirn::N,вем,aju
52,Gehirn::N,вуйве́м,aju
53,Herz::N,шӱм,süda
54,Magen::N,пага́р,magu
55,Leber::N,мокш,maks
56,Atem::N,шӱ́лыш,hingeõhk
57,Atem::N,шӱ́лыш,hingamine
58,Hunger::N,шужыма́ш,nälg
59,Träne::N,шинчавӱ́д,pisar
60,Geschmack::N,там,maitse
61,Geruch::N,пуш,lõhn
62,Schlaf::N,о́мо,uni
63,Traum::N,йӱдо́мо,unenägu
64,Himmel::N,кава́,taevas
65,Sonne::N,ке́че,päike
66,Mond::N,ты́лзе,kuu
67,Stern::N,шӱ́дыр,täht
68,Luft::N,юж,õhk
69,Wind::N,марде́ж,tuul
70,Welle::N,то́лкын,laine
71,Wasser::N,вӱд,vesi
72,Stein::N,кӱ,kivi
73,Boden::N,рок,maa
74,Boden::N,рок,pinnas
75,Erde::N,мла́нде,maa
76,Staub::N,пура́к,põrm
77,Rauch::N,шикш,suits
78,Funke::N,сеске́м,säde
79,Funke::N,тулйы́п,säde
80,Feuer::N,тул,tuli
81,Licht::N,со́то,valgus
82,Schatten::N,ӱ́мыл,vari
83,Wetter::N,иге́че,ilm
84,Nebel::N,тӱтыра́,udu
85,Wolke::N,пыл,pilv
86,Regen::N,йӱр,sadu
87,Schnee::N,лум,lumi
88,Eis::N,ий,jää
89,Frost::N,чатлама́,pakane
90,Kälte::N,йӱ́штӧ,külm
91,Kälte::N,йӱ́штӧ,külmus
92,Hitze::N,шо́кшо,kuumus
93,Hitze::N,шо́кшо,palavus
94,Raureif::N,пӧрш,härmatis
95,Raureif::N,по́кшым,härmatis
96,Regenbogen::N,шонанпы́л,vikerkaar
97,Donner::N,кӱ́дырчӧ,kõu
98,Donner::N,кӱ́дырчӧ,müristamine
99,Strömung::N,йо́гын,voolus
100,Strömung::N,йо́гын,jõevool
101,Tropfen::N,чӱча́лтыш,tilk
102,Schaum::N,шоҥ,vaht
103,Schmutz::N,лавыра́,pori
104,Schmutz::N,лавыра́,mustus
105,See::N,ер,järv
106,Sumpf::N,лӱ́кӧ,soo
107,Moor::N,куп,raba
108,Wiese::N,о́лык,aas
109,Wiese::N,о́лык,nurm
110,Wald::N,чодыра́,mets
111,Hügel::N,арка́,küngas
112,Anhöhe::N,тӧва́,küngas
113,Anhöhe::N,кӱкшака́,küngas
114,Berg::N,ку́рык,mägi
115,Gipfel::N,чаҥга́,mäetipp
116,Gipfel::N,курыкву́й,mäetipp
117,Höhle::N,пеще́р,koobas
118,Höhle::N,курыкпо́мыш,koobas
119,Abhang::N,та́йыл,nõlvak
120,Quelle::N,важ,allikas
121,Quelle::N,вӱдшинча́,allikas
122,Bach::N,изэҥе́р,oja
123,Fluss::N,эҥе́р,jõgi
124,Ufer::N,сер,kallas
125,Küste::N,вӱдтӱ́р,rannik
126,Festland::N,мла́нде,mander
127,Festland::N,мла́нде,maismaa
128,Meer::N,те́ҥыз,meri
129,Bucht::N,икса́,laht
130,Insel::N,отро́,saar
131,Blume::N,пеле́дыш,lill
132,Gras::N,шу́до,rohi
133,Wurzel::N,вож,juur
134,Baum::N,пуше́ҥге,puu
135,Stamm::N,йы́тыр,tüvi
136,Rinde::N,шӱм,koor
137,Ast::N,укш,oks
138,Zweig::N,торма́к,oks
139,Blatt::N,лышта́ш,leht
140,Birke::N,куэ́,kask
141,Kiefer[Baum]::N,пӱ́нчӧ,mänd
142,Weide[Baum]::N,уа́,paju
143,Tanne::N,кож,nulg
144,Horn::N,шур,sarv
145,Feder::N,пы́стыл,sulg
146,Fell::N,кова́ште,karvkate
147,Fell::N,кова́ште,karusnahk
148,Flügel::N,шу́лдыр,tiib
149,Flügel::N,шу́лдыр,tiivik
150,Klaue::N,кӱч,küüs
151,Kralle::N,ла́па,küünis
152,Kralle::N,копа́,küünis
153,Schwanz::N,поч,saba
154,Ei::N,му́но,muna
155,Nest::N,пыжа́ш,pesa
156,Bau::N,пыжа́ш,urg
157,Tier::N,я́нлык,loom
158,Tier::N,живо́тный,loom
159,Herde::N,кӱ́тӱ,kari
160,Herde::N,тӱшка́,kari
161,Kuh::N,ушка́л,lehm
162,Bulle::N,ӱ́шкыж,pull
163,Pferd::N,и́мне,hobune
164,Schaf::N,шо́рык,lammas
165,Schwein::N,сӧсна́,siga
166,Hund::N,пий,koer
167,Katze::N,пы́рыс,kass
168,Bär::N,маска́,karu
169,Eichhörnchen::N,ур,orav
170,Elch::N,шо́рдо,põder
171,Fuchs::N,ры́выж,rebane
172,Hase::N,мера́ҥ,jänes
173,Maus::N,коля́,hiir
174,Wolf::N,пи́ре,hunt
175,Vogel::N,ка́йык,lind
176,Schwarm::N,каша́к,parv
177,Huhn::N,чы́ве,kana
178,Hahn::N,агыта́н,kukk
179,Gans::N,ко́мбо,hani
180,Adler::N,карагу́ш,kotkas
181,Ente::N,лу́до,part
182,Eule::N,тумна́,kakk
183,Eule::N,тумна́,öökull
184,Kranich::N,турня́,kurg
185,Krähe::N,кора́к,vares
186,Kuckuck::N,куку́,kägu
187,Schwan::N,йӱ́ксӧ,luik
188,Fisch::N,кол,kala
189,Barsch::N,ола́ҥге,ahven
190,Hecht::N,нуж,haug
191,Hecht::N,чорта́н,haug
192,Schlange[Tier]::N,ки́шке,uss
193,Wurm::N,шукш,uss
194,Wurm::N,шукш,vagel
195,Spinne::N,эҥыре́мыш,ämblik
196,Ameise::N,ку́тко,sipelgas
197,Laus::N,тий,täi
198,Mücke::N,шыҥа́,sääsk
199,Fliege::N,ка́рме,kärbes
200,Schmetterling::N,лы́ве,liblikas
201,Beere::N,мӧр,mari
202,Apfel::N,олма́,õun
203,Pilz::N,по́ҥго,seen
204,Zwiebel::N,шога́н,sibul
205,Saat::N,нӧ́шмӧ,seeme
206,Saat::N,туш,seeme
207,Korn::N,шу́рно,iva
208,Korn::N,шу́рно,tera
209,Heu::N,шу́до,hein
210,Schale::N,шӱм,koor
211,Grube::N,выне́м,kaevand
212,Falle::N,лӧ́дӧ,lõks
213,Falle::N,лӧ́дӧ,püünis
214,Schlinge::N,о́птыш,aas
215,Schlinge::N,шӧрга́лтыш,aas
216,Spur::N,кыша́,jälg
217,Asche::N,ло́мыж,tuhk
218,Dreck::N,лавыра́,saast
219,Dreck::N,лавыра́,mustus
220,Eisen::N,кӱ́ртньӧ,raud
221,Gold::N,шӧ́ртньӧ,kuld
222,Silber::N,ший,hõbe
223,Kohle::N,мландышӱ́й,süsi
224,Glas::N,янда́,klaas
225,Lehm::N,шун,savi
226,Sand::N,ошма́,liiv
227,Mensch::N,еҥ,inimene
228,Mensch::N,айде́ме,inimene
229,Mann::N,пӧръе́ҥ,mees
230,Frau::N,ӱдырама́ш,naine
231,Kind::N,аза́,laps
232,Junge::N,рве́зе,poiss
233,Mädchen::N,ӱдыра́ш,tüdruk
234,Familie::N,еш,perekond
235,Großvater::N,коча́,vanaisa
236,Großmutter::N,кова́,vanaema
237,Eltern::N,ача́-ава́,vanemad
238,Vater::N,ача́,isa
239,Mutter::N,ава́,ema
240,Sohn::N,э́рге,poeg
241,Tochter::N,ӱ́дыр,tütar
242,Bruder::N,иза́,vend
243,Bruder::N,шо́льо,vend
244,Schwester::N,ака́,õde
245,Onkel::N,иза́,onu
246,Tante::N,кока́,tädi
247,Ehemann::N,мари́й,mees
248,Ehemann::N,мари́й,abikaasa
249,Ehefrau::N,ва́те,naine
250,Ehefrau::N,ва́те,abikaasa
251,Freude::N,куа́н,rõõm
252,Freude::N,куаныма́ш,rõõm
253,Gelächter::N,во́штылтыш,naer
254,Glück::N,пиа́л,õnn
255,Kummer::N,о́йго,mure
256,Kummer::N,о́йго,kurbus
257,Wunsch::N,ку́мыл,soov
258,Lust::N,ку́мыл,himu
259,Geist::N,ӧрт,vaim
260,Geist::N,чон,vaim
261,Gedanke::N,ой,mõte
262,Gedanke::N,шоныма́ш,mõte
263,Gedächtnis::N,шарныма́ш,mälu
264,Verstand::N,уш,aru
265,Verstand::N,уш,mõistus
266,Sinn::N,смысл,tähendus
267,Grund::N,ама́л,põhjus
268,Wahrheit::N,чын,tõde
269,Gespräch::N,мутланыма́ш,kõne
270,Gespräch::N,мутланыма́ш,vestlus
271,Märchen::N,йома́к,muinasjutt
272,Erzählung::N,ойлыма́ш,jutustus
273,Nachricht::N,увертарыма́ш,teade
274,Neuigkeit::N,уве́р,uudis
275,Name::N,лӱм,nimi
276,Rätsel::N,ту́што,mõistatus
277,Rede::N,ойлыма́ш,kõne
278,Sprache::N,йы́лме,keel
279,Stimme::N,йӱк,hääl
280,Wort::N,ой,sõna
281,Wort::N,мут,sõna
282,Zeichen::N,ти́ште,märk
283,Zeichen::N,знак,märk
284,Ruf::N,ӱжма́ш,hüüe
285,Lärm::N,лӱшкыма́ш,müra
286,Lärm::N,йӱк-йӱа́н,müra
287,Laut::N,йӱк,hääl
288,Ton::N,йӱксе́м,toon
289,Lied::N,му́ро,laul
290,Ruhe::N,ты́мык,rahu
291,Ruhe::N,ты́мык,vaikus
292,Leute::N,еҥ-влак,inimesed
293,Volk::N,ка́лык,rahvas
294,Arbeit::N,паша́,töö
295,Gast::N,уна́,külaline
296,Geschenk::N,пӧле́к,kingitus
297,Spiel::N,мо́дыш,mäng
298,Spiel::N,модма́ш,mäng
299,Gesellschaft::N,тӱшка́,selts
300,Hilfe::N,по́лыш,abi
301,Freund::N,таҥ,sõber
302,Freund::N,йолта́ш,sõber
303,Kamerad::N,таҥ,sõber
304,Angelegenheit::N,паша́,asi
305,Anzahl::N,чот,arv
306,Anzahl::N,чот,hulk
307,Art::N,вид,liik
308,Stück::N,ка́тыш,tükk
309,Stück::N,ла́стык,tükk
310,Teil::N,ужа́ш,osa
311,Hälfte::N,пел,pool
