,Concept_ID,lbe,no
0,Auge::N,я,øye
1,Ohr::N,вичӏи,øre
2,Nase::N,май,nese
3,Mund::N,кьацӏ,munn
4,Zahn::N,ккарччи,tann
5,Zunge::N,маз,tunge
6,Lippe::N,мурччи,leppe
7,Wange::N,чӏав,kinn
8,Gesicht::N,лажин,fjes
9,Gesicht::N,лажин,ansikt
10,Stirn::N,ненттабакӏ,panne
11,Haar::N,чӏара,hår
12,Schnurrbart::N,ссирссилтту,bart
13,Bart::N,чӏири,skjegg
14,Kinn::N,лунттубакӏ,hake
15,Kiefer[Anatomie]::N,ххинчулул,kjeve
16,Kehle::N,кьакьари,strupe
17,Hals::N,ссурссу,hals
18,Genick::N,махъабакӏ,nakke
19,Kopf::N,бакӏ,hode
20,Rücken::N,ттиликӏ,rygg
21,Bauch::N,лякьа,buk
22,Bauch::N,лякьа,mage
23,Nabel::N,цӏумуккутӏ,navle
24,Busen::N,ккукку,barm
25,Brust::N,хъазам,bryst
26,Schulter::N,хъачӏ,skulder
27,Arm::N,ка,arm
28,Ellenbogen::N,ссюрхъ,albue
29,Hand::N,бартка,hånd
30,Handfläche::N,хъат,håndflate
31,Handfläche::N,битӏянхъ,håndflate
32,Finger::N,кӏисса,finger
33,Fingernagel::N,михь,fingernegl
34,Nagel[Anatomie]::N,михь,negl
35,Zeh::N,кӏисса,tå
36,Fuß::N,чӏанччан,fot
37,Ferse::N,никъа,hæl
38,Knie::N,ник,kne
39,Oberschenkel::N,жира,lår
40,Bein::N,ччан,bein
41,Körper::N,чурх,kropp
42,Körper::N,чурх,legeme
43,Haut::N,бурчу,hud
44,Haut::N,бурчу,skinn
45,Blut::N,оь,blod
46,Ader::N,тунну,åre
47,Sehne::N,хьхьа,sene
48,Knochen::N,ттаркӏ,bein
49,Knochen::N,ттаркӏ,knokkel
50,Gehirn::N,ня,hjerne
51,Herz::N,дакӏ,hjerte
52,Herz::N,къюкӏ,hjerte
53,Magen::N,лякьа,mage
54,Atem::N,ссихӏ ласаву,pust
55,Atem::N,ссихӏ бигьаву,pust
56,Hunger::N,ккаши,sult
57,Träne::N,макь,tåre
58,Geschmack::N,тӏин,smak
59,Geschmack::N,тӏааьн,smak
60,Geruch::N,кьанкь,lukt
61,Schlaf::N,шану,søvn
62,Traum::N,макӏру,drøm
63,Himmel::N,ссав,himmel
64,Sonne::N,баргъ,sol
65,Mond::N,барз,måne
66,Stern::N,цӏуку,stjerne
67,Luft::N,гьава,luft
68,Wind::N,марч,vind
69,Welle::N,щатӏи,bølge
70,Wasser::N,щин,vann
71,Stein::N,чару,stein
72,Boden::N,аьрщи,bakke
73,Erde::N,аьрщи,jord
74,Staub::N,ххит,støv
75,Rauch::N,пуркӏу,røyk
76,Funke::N,пиягь,gnist
77,Feuer::N,цӏу,ild
78,Licht::N,чани,lys
79,Schatten::N,ххют,skygge
80,Wetter::N,гьава,vær
81,Nebel::N,шархь ттурлу,tåke
82,Wolke::N,ттурлу,sky
83,Regen::N,гъарал,regn
84,Schnee::N,марххала,snø
85,Eis::N,микӏ,is
86,Frost::N,дяркъу,frost
87,Frost::N,замгьар,frost
88,Kälte::N,дяркъу,kulde
89,Hitze::N,кӏиришиву,hete
90,Raureif::N,сил,rimfrost
91,Raureif::N,бурса,rimfrost
92,Regenbogen::N,ссурул ккуртта,regnbue
93,Donner::N,къув,torden
94,Strömung::N,экьинанаву,strømning
95,Tropfen::N,кӏунтӏ,dråpe
96,Schaum::N,хьама,skum
97,Schmutz::N,кьяркьи,søl
98,Schmutz::N,кьяркьи,skitt
99,See::N,бяр,sjø
100,Sumpf::N,кунцӏа,sump
101,Sumpf::N,кунцӏа,myrlende
102,Wiese::N,кьан,eng
103,Wald::N,вацӏа,skog
104,Hügel::N,бакӏу,haug
105,Hügel::N,бакӏу,bakke
106,Berg::N,зунтту,berg
107,Berg::N,зунтту,fjell
108,Gipfel::N,мицӏ,topp
109,Höhle::N,нух,hule
110,Abhang::N,сун,li
111,Abhang::N,сун,skråning
112,Quelle::N,дайдихьу,kilde
113,Quelle::N,бакӏ,kilde
114,Bach::N,чӏрир нех,bekk
115,Fluss::N,нех,elv
116,Ufer::N,зума,bredd
117,Küste::N,зумаинхалу,kyst
118,Küste::N,зуманицӏалу,kyst
119,Festland::N,кьири,fastland
120,Meer::N,хьхьири,hav
121,Insel::N,жазира,øy
122,Blume::N,тӏутӏи,blomst
123,Gras::N,уртту,gress
124,Wurzel::N,мархха,rot
125,Baum::N,мурхь,tre
126,Stamm::N,ттарцӏ,stamme
127,Rinde::N,ккамара,bark
128,Ast::N,матӏи,gren
129,Zweig::N,къяртта,kvist
130,Blatt::N,чӏапӏи,blad
131,Birke::N,кӏялахӏи,bjørk
132,Birke::N,кӏялахӏилул мурхь,bjørk
133,Kiefer[Baum]::N,ттар,furu
134,Kiefer[Baum]::N,ттарлил мурхь,furu
135,Weide[Baum]::N,щавщи,selje
136,Weide[Baum]::N,щавщи,piletre
137,Tanne::N,ттарлил мурхь,gran
138,Horn::N,хъи,horn
139,Feder::N,лелуххул тӏиму,fjær
140,Fell::N,бурчу,skinn
141,Flügel::N,хъа,vinge
142,Flügel::N,ххурупӏайрал тӏиму,vinge
143,Klaue::N,михь,klauv
144,Kralle::N,ххяппа,klo
145,Schwanz::N,магъ,hale
