,Concept_ID,sk,kl
0,Auge::N,oko,isi
1,Ohr::N,ucho,siut
2,Nase::N,nos,
3,Mund::N,ústa,paaq
4,Mund::N,ústa,qaneq
5,Zahn::N,zub,kigut
6,Zunge::N,jazyk,oqaq
7,Lippe::N,pera,qarloq
8,Wange::N,líce,ersaq
9,Gesicht::N,tvár,kiinaq
10,Gesicht::N,obličaj,kiinaq
11,Stirn::N,čelo,qaaq
12,Haar::N,vlas,meqqoq
13,Schnurrbart::N,fúzy,
14,Bart::N,brada,umik
15,Kinn::N,brada,talloq
16,Kiefer[Anatomie]::N,čeľusť,alleroq
17,Kehle::N,hrdlo,malaq
18,Hals::N,krk,qungaseq
19,Genick::N,väzy,pukusuk
20,Kopf::N,hlava,niaqoq
21,Rücken::N,chrbát,qimerlut
22,Bauch::N,brucho,naaq
23,Nabel::N,pupok,qalaseq
24,Busen::N,prsia,iviangeq
25,Brust::N,hruď,iviangeq
26,Schulter::N,plece,ersik
27,Schulter::N,plece,assaqqoq
28,Arm::N,rameno,taleq
29,Ellenbogen::N,lakeť,ikusik
30,Hand::N,ruka,assak
31,Handfläche::N,dlaň,itumak
32,Finger::N,prst,inuak
33,Fingernagel::N,necht,kikiak
34,Nagel[Anatomie]::N,necht,kukik
35,Zeh::N,prst na nohe,isigak
36,Fuß::N,noha,
37,Ferse::N,päta,kimmik
38,Knie::N,koleno,seeqqoq
39,Oberschenkel::N,stehno,uppat
40,Oberschenkel::N,stehno,quttoraq
41,Bein::N,noha,isigak
42,Körper::N,telo,timi
43,Haut::N,koža,mattak
44,Blut::N,krv,aak
45,Ader::N,žila,taqaq
46,Sehne::N,šľacha,ujalu
47,Sehne::N,šľacha,ujaloq
48,Knochen::N,kosť,saanikut
49,Gehirn::N,mozog,qarasaq
50,Herz::N,srdce,uummat
51,Magen::N,žalúdok,aqajaroq
52,Leber::N,pečeň,tinguk
53,Atem::N,dych,anerneq
54,Hunger::N,hlad,kaanneq
55,Träne::N,slza,qia
56,Träne::N,slza,qiak
57,Geschmack::N,chuť,qilanaartuut
58,Geruch::N,pach,tipi
59,Geruch::N,pach,tipik
60,Schlaf::N,spánok,
61,Traum::N,sen,sinnattoq
62,Traum::N,sen,sinnattugaq
63,Himmel::N,nebo,qilak
64,Sonne::N,slnko,seqineq
65,Mond::N,mesiac,qaammat
66,Stern::N,hviezda,ulloriaq
67,Luft::N,vzduch,silaannaq
68,Wind::N,vietor,anori
69,Wind::N,vietor,anorsarik
70,Welle::N,vlna,aalappaa
71,Wasser::N,voda,imeq
72,Stein::N,kameň,ujarak
73,Boden::N,zem,nateq
74,Boden::N,pôda,nateq
75,Erde::N,zem,issoq
76,Staub::N,prach,pujualanerit
77,Staub::N,prach,pujoralanerit
78,Rauch::N,dym,iseq
79,Rauch::N,dym,pujoq
80,Funke::N,iskra,illoorneq
81,Feuer::N,oheň,inneq
82,Licht::N,svetlo,qaamaneq
83,Schatten::N,tieň,tarraq
84,Wetter::N,počasie,sila
85,Nebel::N,hmla,pujoq
86,Wolke::N,oblak,nuia
87,Wolke::N,mračno,nuia
88,Regen::N,dážď,sialuk
89,Schnee::N,sneh,aput
90,Eis::N,ľad,siku
91,Frost::N,mráz,issi
92,Frost::N,mráz,issik
93,Kälte::N,zima,issi
94,Kälte::N,chlad,issi
95,Hitze::N,horúčava,kianneq
96,Hitze::N,horúčava,kiassuseq
97,Raureif::N,srieň,kaneq
98,Raureif::N,inovať,kaneq
99,Regenbogen::N,dúha,neriusaaq
100,Donner::N,hrom,kalleq
101,Strömung::N,prúdenie,
102,Tropfen::N,kvapka,kuseriarneq
103,Schaum::N,pena,qapuk
104,Schmutz::N,špina,minguk
105,Schmutz::N,nečistota,minguk
106,See::N,jazero,taseq
107,Sumpf::N,bahno,maqulluk
108,Moor::N,močiar,
109,Wiese::N,lúka,masarsuk
110,Wald::N,les,
111,Wald::N,hora,
112,Hügel::N,vŕšok,qattuneq
113,Hügel::N,vŕšok,majuariaq
114,Hügel::N,vŕšok,majorajaaq
115,Hügel::N,vŕšok,qaqqannguaq
116,Anhöhe::N,výšina,
117,Anhöhe::N,vyvýšenina,
118,Berg::N,hora,qaqqaq
119,Gipfel::N,vrchol,
120,Höhle::N,jaskyňa,qaarusuk
121,Abhang::N,úbočie,ippik
122,Abhang::N,úbočie,sivinganeq
123,Abhang::N,úbočie,sivingajaaq
124,Abhang::N,úbočie,kussangajaaq
125,Quelle::N,prameň,
126,Bach::N,potok,kuunnguaq
127,Fluss::N,rieka,kuuk
128,Ufer::N,breh,sissap sinaa
129,Küste::N,pobrežie,sineriak
130,Festland::N,pevnina,
131,Meer::N,more,imaq
132,Bucht::N,záliv,ikeq
133,Bucht::N,záliv,kangerluk
134,Bucht::N,záliv,kangerliumaneq
135,Bucht::N,zátoka,ikeq
136,Bucht::N,zátoka,kangerluk
137,Bucht::N,zátoka,kangerliumaneq
138,Insel::N,ostrov,qeqertaq
139,Blume::N,kvet,naasoq
140,Blume::N,kvetina,naasoq
141,Gras::N,tráva,ivigaq
142,Wurzel::N,koreň,niulutaq
143,Baum::N,strom,orpik
144,Stamm::N,kmeň,kanaartaq
145,Rinde::N,kôra,ameraq
146,Ast::N,konár,avalequt
147,Zweig::N,vetva,avalequt
148,Blatt::N,list,pilutaq
149,Birke::N,breza,patitsit
150,Kiefer[Baum]::N,sosna,
151,Kiefer[Baum]::N,borovica,
152,Weide[Baum]::N,vŕba,palleq
153,Tanne::N,jedľa,orsuerneq
154,Horn::N,roh,nassuk
155,Feder::N,pero,suluk
156,Fell::N,koža,ameq
157,Fell::N,kožušina,ameq
158,Flügel::N,krídlo,suluk
159,Flügel::N,krídlo,isaroq
160,Klaue::N,paznecht,kukik
161,Kralle::N,pazúr,kukik
162,Schwanz::N,chvost,pamioq
163,Schwanz::N,chvost,paperuusaq
164,Ei::N,vajce,mannik
165,Ei::N,vajíčko,mannik
166,Nest::N,hniezdo,ullut
167,Bau::N,nora,ini
168,Tier::N,zviera,uumasoq
169,Herde::N,stádo,unguukkat
170,Kuh::N,krava,ussik
171,Bulle::N,býk,angukulak
172,Bulle::N,býk,anguteralak
173,Bulle::N,býk,angutikulooq
174,Pferd::N,kôň,
175,Schaf::N,ovca,sava
176,Schwein::N,sviňa,puuluki
177,Hund::N,pes,qimmeq
178,Katze::N,mačka,puisaaq
179,Bär::N,medveď,allaq
180,Eichhörnchen::N,veverička,sissinnguaq
181,Elch::N,los,
182,Fuchs::N,líška,terianniaq
183,Hase::N,zajac,ukaleq
184,Maus::N,myš,teriannguaq
185,Wolf::N,vlk,amaroq
186,Vogel::N,vták,timmiaq
187,Schwarm::N,roj,
188,Huhn::N,kurča,kukkukooq
189,Huhn::N,kurča,marloraaqaaq
190,Huhn::N,sliepka,kukkukooq
191,Huhn::N,sliepka,marloraaqaaq
192,Hahn::N,kohút,kiasiusaq
193,Gans::N,hus,nerleq
194,Adler::N,orol,nattoralik
195,Ente::N,kačka,
196,Ente::N,kačica,
197,Eule::N,sova,uppik
198,Kranich::N,žeriav,qorlorfik
199,Krähe::N,vrana,tuluatsiaq
200,Kuckuck::N,kukučka,kukkooq
201,Schwan::N,labuť,qussuk
202,Fisch::N,ryba,aalisagaq
203,Barsch::N,ostriež,
204,Hecht::N,šťuka,
205,Schlange[Tier]::N,had,pulateriarsuk
206,Schlange[Tier]::N,had,pulateriaarsuk
207,Wurm::N,červ,
208,Spinne::N,pavúk,aasiaq
209,Spinne::N,pavúk,nissavaarsuk
210,Ameise::N,mravec,uniaaluk
211,Laus::N,voš,kumak
212,Mücke::N,komár,ippernaq
213,Fliege::N,mucha,ippernaq
214,Schmetterling::N,motýľ,paluaq
215,Schmetterling::N,motýľ,pakkaluaq
216,Schmetterling::N,motýľ,utsuppaluaq
217,Schmetterling::N,motýľ,taqaleqisaaq
218,Beere::N,bobuľa,paarmaq
219,Beere::N,bobuľa,paarngaq
220,Apfel::N,jablko,iipili
221,Pilz::N,hríb,anngiusaq
222,Zwiebel::N,cibuľa,uanitsoq
223,Saat::N,osivo,naatsiiassaq
224,Korn::N,zrno,maannineq
225,Heu::N,seno,
226,Schale::N,šupa,niutsivik
227,Schale::N,šupa,ilulissaq qaartussaq
228,Schale::N,škrupina,niutsivik
229,Schale::N,škrupina,ilulissaq qaartussaq
230,Grube::N,jama,itersaq
231,Falle::N,pasca,pualavoq
232,Falle::N,klepec,pualavoq
233,Schlinge::N,slučka,orseq
234,Schlinge::N,slučka,norloq
235,Spur::N,stopa,tumaa
236,Asche::N,popol,arsat
237,Dreck::N,kal,minguk
238,Dreck::N,blato,minguk
239,Eisen::N,železo,savimineq
240,Eisen::N,železo,saffiugassaq
241,Gold::N,zlato,kuulti
242,Silber::N,striebro,siilviuvoq
243,Kohle::N,uhlie,aamarsuit aamaruutissat
244,Glas::N,sklo,igalaaq
245,Glas::N,sklo,imertarfik
246,Glas::N,sklo,igalaamineq
247,Lehm::N,íl,marraq
248,Lehm::N,hlina,marraq
249,Sand::N,piesok,sioqqat
250,Mensch::N,človek,inuk
251,Mensch::N,človek,silamiu
252,Mann::N,muž,angut
253,Mann::N,chlap,angut
254,Frau::N,žena,arnaq
255,Kind::N,dieťa,meeraq
256,Junge::N,chlapec,nukappiaraq
257,Mädchen::N,dievka,arnannguaq
258,Familie::N,rodina,ilaqutakka
259,Familie::N,rodina,ilaqutariit
260,Großvater::N,dedo,aatak
261,Großvater::N,starý otec,aatak
262,Großmutter::N,babička,aanaq
263,Großmutter::N,stará mať,aanaq
264,Eltern::N,rodičia,angajoqqaat
265,Vater::N,otec,ataata
266,Vater::N,otec,ataataq
267,Mutter::N,mať,anaana
268,Mutter::N,matka,anaana
269,Sohn::N,syn,erneq
270,Tochter::N,dcéra,panik
271,Bruder::N,brat,ani
272,Bruder::N,brat,aqqaluk
273,Bruder::N,brat,qatanngut
274,Schwester::N,sestra,naja
275,Schwester::N,sestra,aleqa
276,Schwester::N,sestra,qatanngut
277,Onkel::N,ujo,akkak
278,Onkel::N,strýko,akkak
279,Tante::N,teta,aja
280,Tante::N,teta,ajak
281,Tante::N,teta,atsak
282,Tante::N,tetka,aja
283,Tante::N,tetka,ajak
284,Tante::N,tetka,atsak
285,Ehemann::N,muž,ui
286,Ehemann::N,manžel,ui
287,Ehefrau::N,žena,nuliaq
288,Ehefrau::N,manželka,nuliaq
289,Freude::N,radosť,tipaatsussuseq
290,Gelächter::N,smiech,illaq
291,Glück::N,šťastie,usornaat
292,Glück::N,šťastie,usornarsuseq
293,Kummer::N,žiaľ,
294,Kummer::N,zármutok,
295,Wunsch::N,prianie,kissaat
296,Lust::N,chuť,illigussuseq
297,Lust::N,chuť,piummaseq
298,Geist::N,duch,anerneq
299,Geist::N,duch,toornaq
300,Gedanke::N,myšlienka,isumassaq
301,Gedächtnis::N,pamäť,eqqaamannissuseq
302,Verstand::N,rozum,isuma
303,Verstand::N,rozum,sianissut
304,Verstand::N,rozum,misigissut
305,Verstand::N,rozum,sianissuseq
306,Verstand::N,rozum,silaqassuseq
307,Sinn::N,zmysel,isuma
308,Grund::N,dôvod,patsit
309,Grund::N,príčina,patsit
310,Wahrheit::N,pravda,sallusuissut
311,Gespräch::N,reč,
312,Gespräch::N,rozhovor,
313,Märchen::N,rozprávka,oqalualaarut
314,Märchen::N,rozprávka,oqaluasaaq
315,Erzählung::N,poviedka,oqaluttuaq
316,Nachricht::N,správa,oqaassut
317,Nachricht::N,správa,oqqersuut
318,Neuigkeit::N,novinka,tusarnartaq
319,Name::N,meno,ateq
320,Rätsel::N,záhada,nalorsitsaarut
321,Rätsel::N,hádanka,nalorsitsaarut
322,Rede::N,reč,oqaluuseq
323,Sprache::N,reč,oqaatsit
324,Sprache::N,jazyk,oqaatsit
325,Stimme::N,hlas,erinaq
326,Stimme::N,hlas,qarluuseq
327,Wort::N,slovo,oqaasii
328,Zeichen::N,znak,nalunaaqqut
