,Concept_ID,sl,uk
0,Auge::N,okó,око
1,Ohr::N,uhó,вухо
2,Nase::N,nós,ніс
3,Mund::N,ústa,рот
4,Zahn::N,zób,зуб
5,Zunge::N,jêzik,язик
6,Lippe::N,ústnica,губа
7,Wange::N,líce,щока
8,Gesicht::N,oblíčje,обличчя
9,Stirn::N,čêlo,лоб
10,Haar::N,lás,волосся
11,Schnurrbart::N,bŕki,вуса
12,Bart::N,bráda,борода
13,Kinn::N,bráda,підборіддя
14,Kiefer[Anatomie]::N,čeljúst,щелепа
15,Kehle::N,gŕlo,горло
16,Hals::N,vrát,шия
17,Genick::N,zatílnik,потилиця
18,Kopf::N,gláva,голова
19,Rücken::N,hrbèt,спина
20,Bauch::N,trébuh,живіт
21,Nabel::N,pópek,пупок
22,Busen::N,nédrja,груди
23,Brust::N,pŕsi,груди
24,Schulter::N,ráma,плече
25,Schulter::N,plêče,плече
26,Arm::N,rôka,рука
27,Ellenbogen::N,komólec,лікоть
28,Hand::N,rôka,рука
29,Handfläche::N,dlán,долоня
30,Finger::N,pŕst,палець
31,Fingernagel::N,nóht na rôki,ніготь
32,Nagel[Anatomie]::N,nóht,ніготь
33,Zeh::N,pŕst na nôgi,палець на нозі
34,Fuß::N,nôga,нога
35,Ferse::N,pêta,п’ятка
36,Knie::N,koléno,коліно
37,Oberschenkel::N,stêgno,стегно
38,Bein::N,nôga,нога
39,Körper::N,teló,тіло
40,Haut::N,kóža,шкіра
41,Blut::N,krí,кров
42,Ader::N,žíla,вена
43,Sehne::N,kíta,сухожилля
44,Knochen::N,kóst,кістка
45,Gehirn::N,možgáni,мозок
46,Herz::N,srcé,серце
47,Magen::N,želódec,шлунок
48,Leber::N,jétra,печінка
49,Atem::N,díh,дихання
50,Hunger::N,glád,голод
51,Träne::N,sólza,сльоза
52,Geschmack::N,okús,смак
53,Geruch::N,vónj,запах
54,Schlaf::N,sèn,сон
55,Schlaf::N,sèn,сплячка
56,Schlaf::N,spánec,сон
57,Schlaf::N,spánec,сплячка
58,Traum::N,sánje,сон
59,Himmel::N,nebó,небо
60,Sonne::N,sónce,сонце
61,Mond::N,lúna,місяць
62,Mond::N,mésec,місяць
63,Stern::N,zvézda,зірка
64,Luft::N,zràk,повітря
65,Wind::N,véter,вітер
66,Welle::N,vál,хвиля
67,Wasser::N,vôda,вода
68,Stein::N,kámen,камінь
69,Boden::N,tlà,ґрунт
70,Erde::N,pŕst,земля
71,Erde::N,zêmlja,земля
72,Staub::N,práh,пил
73,Rauch::N,dìm,дим
74,Funke::N,ískra,іскра
75,Feuer::N,ôgenj,вогонь
76,Licht::N,lúč,світло
77,Schatten::N,sénca,тінь
78,Wetter::N,vrême,погода
79,Nebel::N,meglà,туман
80,Wolke::N,oblák,хмара
81,Regen::N,dèž,дощ
82,Schnee::N,snég,сніг
83,Eis::N,léd,лід
84,Frost::N,zmrzál,мороз
85,Kälte::N,mràz,холод
86,Hitze::N,pripéka,жар
87,Raureif::N,ívje,іній
88,Raureif::N,slána,іній
89,Regenbogen::N,mávrica,райдуга
90,Donner::N,gròm,грім
91,Strömung::N,strúja,струмина
92,Tropfen::N,káplja,крапля
93,Schaum::N,péna,піна
94,Schmutz::N,nesnága,бруд
95,See::N,jézero,озеро
96,Sumpf::N,močvírje,драговина
97,Moor::N,bárje,болото
98,Wiese::N,trávnik,луг
99,Wiese::N,trávnik,лука
100,Wald::N,lés,ліс
101,Wald::N,gòzd,ліс
102,Hügel::N,brég,горб
103,Hügel::N,goríca,горб
104,Anhöhe::N,gríč,височина
105,Anhöhe::N,višína,височина
106,Berg::N,gôra,гора
107,Berg::N,planína,гора
108,Gipfel::N,vŕh,вершина
109,Höhle::N,jáma,печера
110,Höhle::N,votlína,печера
111,Abhang::N,pobóčje,схил
112,Quelle::N,izvír,джерело
113,Bach::N,pôtok,струмок
114,Fluss::N,réka,річка
115,Ufer::N,brég,берег
116,Küste::N,obála,узбережжя
117,Küste::N,obréžje,узбережжя
118,Festland::N,celína,суша
119,Festland::N,kopnína,суша
120,Meer::N,mórje,море
121,Bucht::N,zalív,бухта
122,Bucht::N,zalív,затока
123,Insel::N,ôtok,острів
124,Blume::N,cvetlíca,квітка
125,Gras::N,tráva,трава
126,Wurzel::N,korenína,корінь
127,Baum::N,drevó,дерево
128,Stamm::N,dêblo,стовбур
129,Rinde::N,lúbje,кора
130,Rinde::N,skórja,кора
131,Ast::N,véja,гілка
132,Zweig::N,véja,галузь
133,Blatt::N,líst,лист
134,Birke::N,bréza,береза
135,Kiefer[Baum]::N,bòr,сосна
136,Weide[Baum]::N,vŕba,верба
137,Tanne::N,hója,ялиця
138,Horn::N,róg,ріг
139,Feder::N,peró,перо
140,Fell::N,kŕzno,хутро
141,Flügel::N,krílo,крило
142,Klaue::N,párkelj,кіготь
143,Kralle::N,krémpelj,лапа
144,Schwanz::N,rèp,хвіст
145,Ei::N,jájce,яйце
146,Nest::N,gnézdo,гніздо
147,Bau::N,brlòg,лігво
148,Tier::N,živál,тварина
149,Herde::N,čréda,стадо
150,Kuh::N,kráva,корова
151,Bulle::N,bìk,бик
152,Bulle::N,bìk,бугай
153,Pferd::N,kònj,кінь
154,Schaf::N,ôvca,вівця
155,Schwein::N,svínja,свиня
156,Hund::N,pès,собака
157,Katze::N,máčka,кішка
158,Bär::N,mêdved,ведмідь
159,Eichhörnchen::N,véverica,білка
160,Elch::N,lós,лось
161,Fuchs::N,lisíca,лисиця
162,Hase::N,zájec,заєць
163,Maus::N,mìš,миша
164,Wolf::N,vólk,вовк
165,Vogel::N,ptìč,птах
166,Vogel::N,ptíca,птах
167,Schwarm::N,játa,зграя
168,Huhn::N,kokóš,курка
169,Hahn::N,petêlin,півень
170,Gans::N,gós,гуска
171,Adler::N,ôrel,орел
172,Ente::N,ráca,качка
173,Eule::N,sôva,сова
174,Kranich::N,žerjàv,журавель
175,Krähe::N,vrána,ворона
176,Kuckuck::N,kúkavica,зозуля
177,Schwan::N,labód,лебідь
178,Fisch::N,ríba,риба
179,Barsch::N,ostríž,окунь
180,Hecht::N,ščúka,щука
181,Schlange[Tier]::N,káča,змія
182,Wurm::N,čr̀v,черв’як
183,Wurm::N,glísta,черв’як
184,Spinne::N,pájek,павук
185,Ameise::N,mrávlja,мурашка
186,Laus::N,úš,воша
187,Mücke::N,komár,комар
188,Fliege::N,múha,муха
189,Schmetterling::N,metúlj,метелик
190,Beere::N,jágoda,ягода
191,Apfel::N,jábolko,яблуко
192,Pilz::N,góba,гриб
193,Zwiebel::N,čebúla,цибуля
194,Saat::N,séme,сім’я
195,Korn::N,zŕno,зерно
196,Heu::N,senó,сіно
197,Schale::N,lupína,шкірка
198,Grube::N,jáma,яма
199,Falle::N,pást,пастка
200,Schlinge::N,zánka,петля
201,Schlinge::N,pêtlja,петля
202,Spur::N,sléd,слід
203,Asche::N,pepél,зола
204,Asche::N,pepél,попіл
205,Dreck::N,bláto,бруд
206,Eisen::N,želézo,залізо
207,Gold::N,zlató,золото
208,Silber::N,srebró,срібло
209,Kohle::N,ógel,вугілля
210,Glas::N,stêklo,скло
211,Lehm::N,ílo,глина
212,Sand::N,pések,пісок
213,Mensch::N,člôvek,людина
214,Mann::N,móž,чоловік
215,Mann::N,môški,чоловік
216,Frau::N,gospá,жінка
217,Frau::N,žénska,жінка
218,Kind::N,déte,дитина
219,Kind::N,otròk,дитина
220,Junge::N,fànt,хлопець
221,Junge::N,déček,хлопець
222,Mädchen::N,deklè,дівчина
223,Mädchen::N,déklica,дівчина
224,Familie::N,družína,сім’я
225,Familie::N,družína,родина
226,Großvater::N,dèd,дідусь
227,Großvater::N,dédek,дідусь
228,Großmutter::N,bábica,бабуся
229,Eltern::N,stárši,батьки
230,Vater::N,ôče,батько
231,Mutter::N,máma,мати
232,Sohn::N,sín,син
233,Tochter::N,hčí,дочка
234,Tochter::N,hčérka,дочка
235,Bruder::N,bràt,брат
236,Schwester::N,sêstra,сестра
237,Onkel::N,újec,дядько
238,Onkel::N,stríc,дядько
239,Tante::N,têta,тітка
240,Tante::N,strína,тітка
241,Ehemann::N,móž,чоловік
242,Ehemann::N,sopróg,чоловік
243,Ehefrau::N,žêna,жінка
244,Ehefrau::N,žêna,дружина
245,Ehefrau::N,sopróga,жінка
246,Ehefrau::N,sopróga,дружина
247,Freude::N,rádost,радощі
248,Freude::N,vesêlje,радощі
249,Gelächter::N,sméh,сміх
250,Gelächter::N,grohòt,сміх
251,Glück::N,sréča,щастя
252,Kummer::N,gorjé,горе
253,Wunsch::N,žêlja,бажання
254,Lust::N,poželênje,бажання
255,Geist::N,dúša,дух
256,Gedanke::N,mísel,думка
257,Gedächtnis::N,pámet,пам’ять
258,Sinn::N,pomèn,зміст
259,Sinn::N,pomèn,значення
260,Sinn::N,smísel,зміст
261,Sinn::N,smísel,значення
262,Grund::N,vzròk,причина
263,Wahrheit::N,resníca,правда
264,Gespräch::N,pogóvor,розмова
265,Märchen::N,právljica,байка
266,Erzählung::N,povést,повість
267,Erzählung::N,povést,оповідання
268,Nachricht::N,sporočílo,повідомлення
269,Neuigkeit::N,novóst,новина
270,Name::N,imé,ім’я
271,Rätsel::N,ugánka,загадка
272,Rede::N,góvor,промова
273,Sprache::N,jêzik,мова
274,Stimme::N,glás,голос
275,Wort::N,beséda,слово
276,Zeichen::N,znák,знак
277,Ruf::N,klíc,оклик
278,Lärm::N,hrúp,шум
279,Lärm::N,trúšč,шум
280,Laut::N,glás,звук
281,Ton::N,tón,тон
282,Lied::N,pésem,пісня
283,Ruhe::N,pokòj,спокій
284,Leute::N,ljudjé,люди
285,Volk::N,národ,народ
286,Arbeit::N,délo,робота
287,Gast::N,gòst,гість
288,Geschenk::N,darílo,подарунок
289,Spiel::N,ígra,гра
290,Gesellschaft::N,drúžba,товариство
291,Hilfe::N,pomóč,допомога
292,Freund::N,prijátelj,друг
293,Freund::N,prijátelj,приятель
294,Kamerad::N,továriš,товариш
295,Angelegenheit::N,zadéva,справа
296,Anzahl::N,števílo,число
297,Art::N,vŕsta,рід
298,Stück::N,kós,кусок
299,Teil::N,dél,частина
300,Hälfte::N,polovíca,половина
301,Kreis::N,króg,круг
302,Kreis::N,króg,коло
303,Kreis::N,kolobár,круг
304,Kreis::N,kolobár,коло
305,Kreuz::N,kríž,хрест
306,Linie::N,próga,лінія
307,Strich::N,čŕta,штрих
308,Abstand::N,preslédek,проміжок
309,Entfernung::N,oddáljenost,відстань
310,Gegend::N,kràj,місцевість
311,Gegend::N,dežêla,місцевість
312,Platz::N,prôstor,площа
313,Ort::N,mésto,місце
314,Seite::N,bòk,сторона
315,Seite::N,strán,сторона
316,Mitte::N,sredína,середина
317,Gegenstand::N,prédmet,предмет
318,Sache::N,réč,річ
319,Sache::N,stvár,річ
320,Rand::N,kràj,край
321,Kante::N,rób,ребро
322,Ecke::N,vogál,ріг
323,Spitze::N,óst,кінчик
324,Ende::N,kônec,кінець
325,Loch::N,lúknja,діра
326,Winkel::N,kót,куток
327,Muster::N,vzórec,узор
328,Größe::N,veličína,розмір
329,Länge::N,dolžína,довжина
330,Höhe::N,vršína,висота
331,Gewicht::N,téža,вага
332,Menge::N,količína,кількість
333,Haufen::N,kùp,купа
334,Haufen::N,kopíca,купа
335,Reihe::N,níz,ряд
336,Reihe::N,vŕsta,ряд
337,Boot::N,čóln,човен
338,Ruder::N,vêslo,весло
339,Schlitten::N,saní,сани
340,Ski::N,smučí,лижа
