,Concept_ID,et,myv
0,Auge::N,silm,сельме
1,Ohr::N,kõrv,пиле
2,Nase::N,nina,судо
3,Mund::N,suu,курго
4,Zahn::N,hammas,пей
5,Zunge::N,keel,кель
6,Lippe::N,huul,турва
7,Wange::N,põsk,чамабока
8,Wange::N,põsk,чамаумарь
9,Gesicht::N,nägu,чама
10,Stirn::N,otsmik,коня
11,Haar::N,juus,черь
12,Schnurrbart::N,vurrud,ус
13,Schnurrbart::N,vurrud,муюк
14,Schnurrbart::N,vuntsid,ус
15,Schnurrbart::N,vuntsid,муюк
16,Bart::N,habe,сакал
17,Kinn::N,lõug,уло
18,Kiefer[Anatomie]::N,lõualuu,пейпакар
19,Kiefer[Anatomie]::N,lõualuu,пейловажа
20,Kehle::N,kõri,кирьгапарь
21,Hals::N,kael,кирьга
22,Genick::N,kukal,човонь
23,Kopf::N,pea,пря
24,Rücken::N,selg,копорь
25,Bauch::N,kõht,пеке
26,Nabel::N,naba,почо
27,Busen::N,rind,поте
28,Brust::N,rind,меште
29,Schulter::N,õlg,лавтов
30,Arm::N,käsivars,кедь
31,Ellenbogen::N,küünarnukk,кенерепакарь
32,Hand::N,käsi,кедь
33,Handfläche::N,pihk,кедькуншка
34,Handfläche::N,pihk,кедьлапушка
35,Finger::N,sõrm,сур
36,Fingernagel::N,küüs,кенже
37,Nagel[Anatomie]::N,küüs,кенже
38,Zeh::N,varvas,пильге сур
39,Fuß::N,jalg,пильге
40,Ferse::N,kand,кочкаря
41,Knie::N,põlv,эле
42,Knie::N,põlv,эзне
43,Knie::N,põlv,кумажа
44,Oberschenkel::N,reis,качо
45,Bein::N,jalg,пильге
46,Körper::N,ihu,рунго
47,Körper::N,keha,рунго
48,Haut::N,nahk,киське
49,Blut::N,veri,верь
50,Ader::N,veen,сан
51,Sehne::N,kõõlus,коське сан
52,Knochen::N,luu,пакарь
53,Gehirn::N,aju,удем
54,Herz::N,süda,седей
55,Magen::N,magu,пеке
56,Leber::N,maks,максо
57,Atem::N,hingeõhk,лексема
58,Atem::N,hingeõhk,оймень таргсема
59,Atem::N,hingamine,лексема
60,Atem::N,hingamine,оймень таргсема
61,Hunger::N,nälg,вачочи
62,Träne::N,pisar,селведь
63,Geschmack::N,maitse,тансть
64,Geruch::N,lõhn,чине
65,Schlaf::N,uni,удома
66,Traum::N,unenägu,он
67,Himmel::N,taevas,менель
68,Sonne::N,päike,чи
69,Mond::N,kuu,ков
70,Stern::N,täht,теште
71,Luft::N,õhk,кошт
72,Wind::N,tuul,варма
73,Welle::N,laine,толкун
74,Wasser::N,vesi,ведь
75,Stein::N,kivi,кев
76,Boden::N,maa,мода
77,Boden::N,pinnas,мода
78,Erde::N,maa,мастор
79,Staub::N,põrm,пуль
80,Rauch::N,suits,качамо
81,Funke::N,säde,сятко
82,Feuer::N,tuli,тол
83,Licht::N,valgus,валдо
84,Schatten::N,vari,сулей
85,Schatten::N,vari,сулейкс
86,Wetter::N,ilm,ушо
87,Nebel::N,udu,сув
88,Wolke::N,pilv,пель
89,Regen::N,sadu,пиземс
90,Schnee::N,lumi,лов
91,Eis::N,jää,эй
92,Frost::N,pakane,кельме
93,Kälte::N,külm,якшамо
94,Kälte::N,külmus,якшамо
95,Hitze::N,kuumus,пси
96,Hitze::N,palavus,пси
97,Raureif::N,härmatis,лекш
98,Regenbogen::N,vikerkaar,пурьгинечирьке
99,Regenbogen::N,vikerkaar,пурьгинеёнкс
100,Donner::N,kõu,пурьгине
101,Donner::N,müristamine,пурьгине
102,Strömung::N,voolus,чудема
103,Strömung::N,voolus,чудевкс
104,Strömung::N,jõevool,чудема
105,Strömung::N,jõevool,чудевкс
106,Tropfen::N,tilk,петнявкс
