,Concept_ID,ro,bn
0,Auge::N,ochi,চক্ষু
1,Ohr::N,ureche,কর্ণ
2,Nase::N,nas,নাক
3,Mund::N,gură,মুখ
4,Zahn::N,dinte,দাঁত
5,Zunge::N,limbă,জিহবা
6,Lippe::N,buză,অধর
7,Wange::N,bucă,গণ্ড
8,Wange::N,obraz,গণ্ড
9,Gesicht::N,față,মুখমণ্ডল
10,Gesicht::N,figură,মুখমণ্ডল
11,Stirn::N,frunte,কপাল
12,Haar::N,păr,চুল
13,Schnurrbart::N,mustață,গোঁফ
14,Bart::N,barbă,শ্মশ্রু
15,Kinn::N,bărbie,চিবুক
16,Kiefer[Anatomie]::N,falcă,চোয়াল
17,Kehle::N,beregată,কণ্ঠ
18,Hals::N,gât,গল
19,Genick::N,ceafă,ঘাড়
20,Kopf::N,cap,মাথা
21,Rücken::N,dos,পৃষ্ঠ
22,Rücken::N,spate,পৃষ্ঠ
23,Rücken::N,spinare,পৃষ্ঠ
24,Bauch::N,burtă,উদর
25,Bauch::N,pântece,উদর
26,Nabel::N,buric,নাভি
27,Busen::N,sân,স্তন
28,Brust::N,piept,বুক
29,Schulter::N,umăr,স্কন্ধ
30,Schulter::N,spate,স্কন্ধ
31,Arm::N,braț,বাহু
32,Ellenbogen::N,cot,কনুই
33,Hand::N,mână,হাত
34,Handfläche::N,palmă,করতল
35,Finger::N,deget,আঙ্গুল
36,Fingernagel::N,unghie,হাতের নখ
37,Nagel[Anatomie]::N,unghie,নখ
38,Zeh::N,deget de la picior,আঙ্গুল
39,Fuß::N,picior,পা
40,Ferse::N,călcâi,গোড়ালি
41,Knie::N,genunchi,হাঁটু
42,Oberschenkel::N,coapsă,ঊরু
43,Bein::N,picior,পা
44,Körper::N,corp,দেহ
45,Haut::N,piele,ত্বক
46,Blut::N,sânge,রক্ত
47,Ader::N,vână,শিরা
48,Ader::N,arteră,শিরা
49,Sehne::N,tendon,কণ্ডরা
50,Knochen::N,os,অস্থি
51,Gehirn::N,creier,মস্তিষ্ক
52,Herz::N,inimă,হৃৎপিণ্ড
53,Magen::N,stomac,পাকস্থলী
54,Leber::N,ficat,যকৃৎ
55,Atem::N,răsuflare,শ্বাস
56,Atem::N,respirație,শ্বাস
57,Hunger::N,foame,ক্ষুধা
58,Träne::N,lacrimă,অশ্রু
59,Geschmack::N,gust,স্বাদ
60,Geruch::N,miros,গন্ধ
61,Schlaf::N,somn,ঘুম
62,Traum::N,vis,স্বপ্ন
63,Himmel::N,cer,আকাশ
64,Sonne::N,soare,সূর্য
65,Mond::N,lună,চন্দ্র
66,Stern::N,stea,নক্ষত্র
67,Luft::N,aer,বায়ু
68,Wind::N,vânt,বাতাস
69,Welle::N,val,ঢেউ
70,Welle::N,val,তরঙ্গ
71,Welle::N,undă,ঢেউ
72,Welle::N,undă,তরঙ্গ
73,Wasser::N,apă,জল
74,Stein::N,piatră,ঢিল
75,Stein::N,piatră,প্রস্তর
76,Boden::N,sol,ভূতল
77,Boden::N,pământ,ভূতল
78,Erde::N,pământ,ভূমি
79,Staub::N,praf,ধুলা
80,Rauch::N,fum,ধোঁয়া
81,Funke::N,scânteie,স্ফুলিঙ্গ
82,Feuer::N,foc,অগ্নি
83,Licht::N,lumină,আলো
84,Schatten::N,umbră,ছায়া
85,Wetter::N,timp,আবহাওয়া
86,Wetter::N,vreme,আবহাওয়া
87,Nebel::N,ceață,কুহেলিকা
88,Nebel::N,negură,কুহেলিকা
89,Wolke::N,nor,মেঘ
90,Regen::N,ploaie,বৃষ্টি
91,Schnee::N,zăpadă,তুষার
92,Eis::N,gheață,বরফ
93,Frost::N,ger,তুষার
94,Kälte::N,frig,শৈত্য
95,Hitze::N,arșiță,তাপ
96,Hitze::N,căldură,তাপ
97,Raureif::N,chiciură,তুহিন
98,Regenbogen::N,curcubeu,রামধনু
99,Donner::N,tunet,বজ্রধ্বনি
100,Strömung::N,curent,স্রোত
101,Tropfen::N,picătură,ফোঁটা
102,Schaum::N,spumă,ফেনা
103,Schmutz::N,murdărie,ধুলা
104,See::N,lac,হ্রদ
105,Sumpf::N,mlaștină,জলা
106,Moor::N,bărăgan,মাঠ
107,Wiese::N,fânaț,তৃণভূমি
108,Wiese::N,livadă,তৃণভূমি
109,Wald::N,codru,বন
110,Wald::N,pădure,বন
111,Hügel::N,deal,পাহাড়
112,Hügel::N,movilă,পাহাড়
113,Anhöhe::N,deal,টিলা
114,Anhöhe::N,ridicătură,টিলা
115,Berg::N,munte,পর্বত
116,Gipfel::N,pisc,শীর্ষ
117,Höhle::N,peșteră,গুহা
118,Abhang::N,pantă,ঢাল
119,Abhang::N,versant,ঢাল
120,Quelle::N,izvor,উৎস
121,Bach::N,gârlă,ক্ষুদ্র নদী
122,Fluss::N,râu,নদী
123,Fluss::N,fluviu,নদী
124,Ufer::N,mal,উপকূল
125,Ufer::N,țărm,উপকূল
126,Küste::N,coastă,তীর
127,Festland::N,uscat,ভূমি
128,Meer::N,mare,সমুদ্র
129,Bucht::N,golf,উপসাগর
130,Insel::N,insulă,দ্বীপ
131,Blume::N,floare,ফুল
132,Gras::N,iarbă,ঘাস
133,Wurzel::N,rădăcină,শিকড়
134,Baum::N,copac,গাছ
135,Baum::N,arbore,গাছ
136,Stamm::N,tulpină,স্কন্ধ
137,Rinde::N,scoarță,বল্কল
138,Ast::N,cracă,শাখা
139,Ast::N,creangă,শাখা
140,Zweig::N,ramură,ডাল
141,Zweig::N,creangă,ডাল
142,Blatt::N,frunză,পর্ণ
143,Birke::N,mesteacăn,ভুর্জ
144,Kiefer[Baum]::N,pin,পাইন গাছ
145,Weide[Baum]::N,salcie,উইলো
146,Weide[Baum]::N,răchită,উইলো
147,Tanne::N,brad,দেবদারূ গাছ
148,Horn::N,corn,শিং
149,Feder::N,pană,পালক
150,Fell::N,piele,রোম
151,Flügel::N,aripă,ডানা
152,Klaue::N,gheară,নখর
153,Kralle::N,labă,নখর
154,Kralle::N,gheară,নখর
155,Schwanz::N,coadă,লেজ
156,Ei::N,ou,ডিম
157,Nest::N,cuib,কুলায়
158,Bau::N,bârlog,ডেরা
159,Bau::N,vizuină,ডেরা
160,Tier::N,animal,জন্তু
161,Herde::N,turmă,ঝাঁক
162,Herde::N,cireadă,ঝাঁক
163,Kuh::N,vacă,গোরু
164,Bulle::N,taur,বৃষ
165,Pferd::N,cal,ঘোড়া
166,Schaf::N,oaie,ভেড়া
167,Schwein::N,porc,শূকর
168,Hund::N,câine,কুকুর
169,Katze::N,pisică,বেড়াল
170,Bär::N,urs,ভল্লুক
171,Eichhörnchen::N,veveriță,কাঠবিড়াল
172,Elch::N,elan,হরিণবিশেষ
173,Fuchs::N,vulpe,পাঁতিশিয়াল
174,Hase::N,iepure,শশক
175,Maus::N,șoarece,নেংটি ইঁদুর
176,Wolf::N,lup,নেকড়ে
177,Vogel::N,pasăre,পক্ষী
178,Schwarm::N,cârd,ঝাঁক
179,Huhn::N,găină,মোরগ
180,Hahn::N,cocoș,কুক্কুট
181,Gans::N,gâscă,হংসী
182,Adler::N,vultur,ইগল
183,Ente::N,rață,হংসী
184,Eule::N,bufniță,পেচক
185,Kranich::N,cocor,সারস
186,Krähe::N,cioară,কাক
187,Kuckuck::N,cuc,কোকিল
188,Schwan::N,lebădă,মরাল
189,Fisch::N,pește,মাছ
190,Barsch::N,biban,মৎন্যবিশেষ
191,Hecht::N,știucă,বানমাছ
192,Schlange[Tier]::N,șarpe,সর্প
193,Wurm::N,vierme,কীট
194,Spinne::N,păianjen,মাকড়সা
195,Ameise::N,furnică,পিপীলিকা
196,Laus::N,păduche,উকুন
197,Mücke::N,țânțar,মশা
198,Fliege::N,muscă,মাছি
199,Schmetterling::N,fluture,প্রজাপতি
200,Beere::N,boabă,বেরি
201,Apfel::N,măr,আপেল
202,Pilz::N,burete,ছত্রক
203,Pilz::N,ciupercă,ছত্রক
204,Zwiebel::N,ceapă,পিয়াজ
205,Saat::N,semănătură,বীজ
206,Korn::N,grâu,শস্য
207,Heu::N,fân,খড়
208,Schale::N,coajă,খোসা
209,Grube::N,groapă,গর্ত
