,Concept_ID,hy,ro
0,Auge::N,աչք,ochi
1,Ohr::N,ականջ,ureche
2,Nase::N,քիթ,nas
3,Mund::N,բերան,gură
4,Zahn::N,ատամ,dinte
5,Zunge::N,լեզու,limbă
6,Lippe::N,շրթունք,buză
7,Wange::N,այտ,bucă
8,Wange::N,այտ,obraz
9,Wange::N,թուշ,bucă
10,Wange::N,թուշ,obraz
11,Gesicht::N,դեմք,față
12,Gesicht::N,դեմք,figură
13,Stirn::N,ճակատ,frunte
14,Haar::N,մազ,păr
15,Schnurrbart::N,բեղ,mustață
16,Bart::N,մորուք,barbă
17,Kinn::N,կզակ,bărbie
18,Kiefer[Anatomie]::N,ծնոտ,falcă
19,Kehle::N,կոկորդ,beregată
20,Hals::N,վիզ,gât
21,Hals::N,պարանոց,gât
22,Genick::N,ծոծրակ,ceafă
23,Kopf::N,գլուխ,cap
24,Rücken::N,մեջք,dos
25,Rücken::N,մեջք,spate
26,Rücken::N,մեջք,spinare
27,Bauch::N,փոր,burtă
28,Bauch::N,փոր,pântece
29,Bauch::N,որովայն,burtă
30,Bauch::N,որովայն,pântece
31,Nabel::N,պորտ,buric
32,Busen::N,ծոց,sân
33,Brust::N,կուրծք,piept
34,Schulter::N,ուս,umăr
35,Schulter::N,ուս,spate
36,Arm::N,թեւ,braț
37,Arm::N,բազուկ,braț
38,Ellenbogen::N,արմունկ,cot
39,Hand::N,ձեռք,mână
40,Handfläche::N,ափ,palmă
41,Finger::N,մատ,deget
42,Fingernagel::N,եղունգ,unghie
43,Nagel[Anatomie]::N,եղունգ,unghie
44,Zeh::N,ոտքի մատ,deget de la picior
45,Fuß::N,ոտք,picior
46,Ferse::N,գարշապար,călcâi
47,Knie::N,ծունկ,genunchi
48,Oberschenkel::N,ազդր,coapsă
49,Bein::N,ոտք,picior
50,Körper::N,մարմին,corp
51,Haut::N,մաշկ,piele
52,Blut::N,արյուն,sânge
53,Ader::N,երակ,vână
54,Ader::N,երակ,arteră
55,Sehne::N,ջիղ,tendon
56,Sehne::N,ձգտան,tendon
57,Knochen::N,ոսկոր,os
58,Gehirn::N,խելք,creier
59,Herz::N,սիրտ,inimă
60,Magen::N,ստամոքս,stomac
61,Leber::N,լյարդ,ficat
62,Atem::N,շունչ,răsuflare
63,Atem::N,շունչ,respirație
64,Hunger::N,քաղց,foame
65,Träne::N,արտասուք,lacrimă
66,Geschmack::N,համ,gust
67,Geschmack::N,բուրմունք,gust
68,Geruch::N,հոտ,miros
69,Geruch::N,բուրում,miros
70,Schlaf::N,քուն,somn
71,Traum::N,երազ,vis
72,Himmel::N,երկինք,cer
73,Sonne::N,արեւ,soare
74,Mond::N,լուսին,lună
75,Stern::N,աստղ,stea
76,Luft::N,օդ,aer
77,Wind::N,քամի,vânt
78,Welle::N,ալիք,val
79,Welle::N,ալիք,undă
80,Wasser::N,ջուր,apă
81,Stein::N,քար,piatră
82,Boden::N,գետին,sol
83,Boden::N,գետին,pământ
84,Erde::N,հող,pământ
85,Staub::N,փոշի,praf
86,Rauch::N,ծուխ,fum
87,Funke::N,կայծ,scânteie
88,Feuer::N,կրակ,foc
89,Feuer::N,հրդեհ,foc
90,Licht::N,լույս,lumină
91,Schatten::N,ստվեր,umbră
92,Wetter::N,եղանակ,timp
93,Wetter::N,եղանակ,vreme
94,Nebel::N,մեգ,ceață
95,Nebel::N,մեգ,negură
96,Nebel::N,մառախուղ,ceață
97,Nebel::N,մառախուղ,negură
98,Wolke::N,ամպ,nor
99,Regen::N,անձրև,ploaie
100,Schnee::N,ձյուն,zăpadă
101,Eis::N,սառույց,gheață
102,Frost::N,սառնամանիք,ger
103,Kälte::N,դող,frig
104,Hitze::N,շոգ,arșiță
105,Hitze::N,շոգ,căldură
106,Raureif::N,ցօղեղեամ,chiciură
107,Regenbogen::N,ծիածան,curcubeu
108,Donner::N,որոտ,tunet
109,Strömung::N,հոսանք,curent
110,Tropfen::N,կաթիլ,picătură
111,Schaum::N,փրփուր,spumă
112,Schmutz::N,կեղտ,murdărie
113,See::N,լիճ,lac
114,Sumpf::N,ճահիճ,mlaștină
115,Moor::N,ճահիճ,bărăgan
116,Wiese::N,մարգագետին,fânaț
117,Wiese::N,մարգագետին,livadă
118,Wald::N,անտառ,codru
119,Wald::N,անտառ,pădure
120,Hügel::N,բլուր,deal
121,Hügel::N,բլուր,movilă
122,Anhöhe::N,բարձունք,deal
123,Anhöhe::N,բարձունք,ridicătură
124,Berg::N,լեռ,munte
125,Gipfel::N,գագաթ,pisc
126,Gipfel::N,կատար,pisc
127,Höhle::N,քարայր,peșteră
128,Abhang::N,լանջ,pantă
129,Abhang::N,լանջ,versant
130,Abhang::N,զառիվայր,pantă
131,Abhang::N,զառիվայր,versant
132,Quelle::N,աղբյուր,izvor
133,Bach::N,վտակ,gârlă
134,Fluss::N,գետ,râu
135,Fluss::N,գետ,fluviu
136,Ufer::N,ծովափ,mal
137,Ufer::N,ծովափ,țărm
138,Küste::N,ափ,coastă
139,Küste::N,ծովափ,coastă
140,Festland::N,ցամաք,uscat
141,Meer::N,ծով,mare
142,Bucht::N,հաչիւն,golf
143,Insel::N,վղզի,insulă
144,Blume::N,ծաղիկ,floare
145,Gras::N,խոտ,iarbă
146,Wurzel::N,արմատ,rădăcină
147,Baum::N,ծառ,copac
148,Baum::N,ծառ,arbore
149,Stamm::N,իրան,tulpină
150,Rinde::N,կեղեւ,scoarță
151,Rinde::N,հաչոց,scoarță
152,Ast::N,ճյուղ,cracă
153,Ast::N,ճյուղ,creangă
154,Zweig::N,ճյուղ,ramură
155,Zweig::N,ճյուղ,creangă
156,Blatt::N,տերեւ,frunză
157,Birke::N,ցարասի,mesteacăn
158,Kiefer[Baum]::N,սոճի,pin
159,Weide[Baum]::N,ուռենի,salcie
160,Weide[Baum]::N,ուռենի,răchită
161,Tanne::N,եղեւին,brad
162,Feder::N,փետուր,pană
163,Fell::N,մորթի,piele
164,Flügel::N,թեւ,aripă
165,Klaue::N,չանչ,gheară
166,Kralle::N,ճանկ,labă
167,Kralle::N,ճանկ,gheară
168,Schwanz::N,պոչ,coadă
169,Ei::N,ձու,ou
170,Nest::N,բույն,cuib
171,Bau::N,որջ,bârlog
172,Bau::N,որջ,vizuină
173,Bau::N,բայոց,bârlog
174,Bau::N,բայոց,vizuină
175,Tier::N,կենդանի,animal
176,Herde::N,հոտ,turmă
177,Herde::N,հոտ,cireadă
178,Kuh::N,կով,vacă
179,Bulle::N,ցուլ,taur
180,Pferd::N,ձի,cal
181,Schaf::N,ոչխար,oaie
182,Schwein::N,խոզ,porc
183,Hund::N,շուն,câine
184,Katze::N,կատու,pisică
185,Bär::N,արջ,urs
186,Eichhörnchen::N,սկյուռ,veveriță
187,Elch::N,հիւսիսային եղջերու,elan
188,Fuchs::N,աղվես,vulpe
189,Hase::N,նապաստակ,iepure
190,Maus::N,մուկ,șoarece
191,Wolf::N,գայլ,lup
192,Vogel::N,թռչուն,pasăre
193,Schwarm::N,երամ,cârd
194,Huhn::N,հավ,găină
195,Hahn::N,աքաղաղ,cocoș
196,Gans::N,սագ,gâscă
197,Adler::N,արծիվ,vultur
198,Ente::N,բադ,rață
199,Eule::N,բու,bufniță
200,Kranich::N,կռունկ,cocor
201,Krähe::N,ագռավ,cioară
202,Kuckuck::N,կուկու,cuc
203,Schwan::N,կարապ,lebădă
204,Fisch::N,ձուկ,pește
205,Barsch::N,պերկես,biban
206,Hecht::N,գայլաձուկ,știucă
207,Schlange[Tier]::N,օձ,șarpe
208,Wurm::N,որդ,vierme
209,Wurm::N,ճիճու,vierme
210,Spinne::N,սարդ,păianjen
211,Ameise::N,միջյուն,furnică
212,Laus::N,ոջիլ,păduche
213,Mücke::N,մժղուկ,țânțar
214,Fliege::N,ճանճ,muscă
