,Concept_ID,da,eu
0,Auge::N,øje,begi
1,Ohr::N,øre,belarri
2,Nase::N,næse,sudur
3,Mund::N,mund,aho
4,Zahn::N,tand,hortz
5,Zunge::N,tunge,mihi
6,Lippe::N,læbe,ezpain
7,Wange::N,kind,masail
8,Gesicht::N,ansigt,aurpegi
9,Stirn::N,pande,bekoki
10,Haar::N,hår,ile
11,Haar::N,hår,bilo
12,Schnurrbart::N,overskæg,bibote
13,Schnurrbart::N,overskæg,sudurpeko
14,Bart::N,skæg,bizar
15,Kinn::N,hage,kokots
16,Kiefer[Anatomie]::N,kæbe,masailezur
17,Kehle::N,strube,eztarri
18,Hals::N,hals,sama
19,Genick::N,nakke,garondo
20,Kopf::N,hoved,buru
21,Rücken::N,ryg,bizkar
22,Bauch::N,mave,sabel
23,Nabel::N,navle,zilbor
24,Busen::N,barm,titi
25,Busen::N,barm,ugatz
26,Brust::N,bryst,bular
27,Schulter::N,skulder,besaburu
28,Arm::N,arm,beso
29,Ellenbogen::N,albue,ukondo
30,Hand::N,hånd,esku
31,Handfläche::N,håndflade,ahur
32,Finger::N,finger,hatz
33,Fingernagel::N,fingernegl,azazkal
34,Nagel[Anatomie]::N,negl,azazkal
35,Zeh::N,tå,behatz
36,Fuß::N,fod,oin
37,Ferse::N,hæl,orpo
38,Ferse::N,hæl,oinburu
39,Knie::N,knæ,belaun
40,Oberschenkel::N,lår,izter
41,Bein::N,ben,zango
42,Körper::N,krop,soin
43,Körper::N,legeme,soin
44,Haut::N,hud,azal
45,Blut::N,blod,odol
46,Ader::N,åre,zain
47,Sehne::N,sene,gihar-zain
48,Knochen::N,ben,hezur
49,Gehirn::N,hjerne,garun
50,Gehirn::N,hjerne,burmuin
51,Herz::N,hjerte,bihotz
52,Magen::N,mave,urdail
53,Leber::N,lever,gibel
54,Atem::N,ånde,hats
55,Atem::N,ånde,arnasa
56,Hunger::N,sult,gose
57,Träne::N,tåre,malko
58,Geschmack::N,smag,dasta
59,Geruch::N,lugt,usain
60,Schlaf::N,søvn,lo
61,Traum::N,drøm,amets
62,Himmel::N,himmel,zeru
63,Sonne::N,sol,eguzki
64,Mond::N,måne,ilargi
65,Stern::N,stjerne,izar
66,Luft::N,luft,aire
67,Wind::N,vind,haize
68,Welle::N,bølge,uhin
69,Welle::N,bølge,olatu
70,Wasser::N,vand,ur
71,Stein::N,sten,harri
72,Boden::N,jord,lur
73,Boden::N,jord,zoru
74,Erde::N,jord,lur
75,Staub::N,støv,hauts
76,Rauch::N,røg,ke
77,Funke::N,gnist,zirta
78,Funke::N,gnist,txinparta
79,Feuer::N,ild,su
80,Licht::N,lys,argi
81,Schatten::N,skygge,itzal
82,Schatten::N,skygge,geriza
83,Wetter::N,vejr,eguraldi
84,Nebel::N,tåge,laino
85,Wolke::N,sky,hodei
86,Regen::N,regn,euri
87,Schnee::N,sne,elur
88,Eis::N,is,horma
89,Frost::N,frost,izotzaldi
90,Kälte::N,kulde,hotz
91,Hitze::N,hede,bero
92,Raureif::N,rimfrost,antzigar
93,Regenbogen::N,regnbue,ostadar
94,Regenbogen::N,regnbue,ortzadar
95,Donner::N,torden,ostots
96,Donner::N,torden,ihurtzuri
97,Strömung::N,strømning,laster
98,Tropfen::N,dråbe,xorta
99,Schaum::N,skum,bits
100,Schmutz::N,snavs,lohi
101,Schmutz::N,snavs,zikin
102,See::N,sø,laku
103,See::N,sø,aintzira
104,Sumpf::N,sump,zingira
105,Moor::N,mose,zohikaztegi
106,Wiese::N,eng,larre
107,Wiese::N,eng,belardi
108,Wald::N,skov,baso
109,Wald::N,skov,oihan
110,Hügel::N,høj,muino
111,Hügel::N,høj,pentoka
112,Hügel::N,bakke,muino
113,Hügel::N,bakke,pentoka
114,Anhöhe::N,høj,garai
115,Anhöhe::N,høj,goragune
116,Anhöhe::N,bakke,garai
117,Anhöhe::N,bakke,goragune
118,Berg::N,bjerg,mendi
119,Gipfel::N,top,gain
120,Gipfel::N,top,tontor
121,Höhle::N,hule,kobazulo
122,Abhang::N,skrænt,aldapa
123,Abhang::N,skråning,aldapa
124,Quelle::N,kilde,iturri
125,Quelle::N,kilde,iturbegi
126,Bach::N,bæk,lats
127,Bach::N,bæk,erreka
128,Fluss::N,flod,ibai
129,Fluss::N,flod,uhaitz
130,Ufer::N,bred,bazter
131,Küste::N,kyst,itsasalde
132,Festland::N,fastland,lehor
133,Meer::N,hav,itsaso
134,Bucht::N,bugt,golko
135,Insel::N,ø,irla
136,Insel::N,ø,uharte
137,Blume::N,blomst,lili
138,Gras::N,græs,belar
139,Wurzel::N,rod,zuztar
140,Wurzel::N,rod,sustrai
141,Baum::N,træ,zuhaitz
142,Stamm::N,stamme,enbor
143,Rinde::N,bark,azal
144,Ast::N,gren,adar
145,Zweig::N,kvist,abar
146,Blatt::N,blad,hosto
147,Birke::N,birk,urki
148,Kiefer[Baum]::N,fyrretræ,ler
149,Weide[Baum]::N,piletræ,zume
150,Weide[Baum]::N,piletræ,sahats
151,Tanne::N,gran,izei
152,Horn::N,horn,adar
153,Feder::N,fjer,luma
154,Feder::N,fjer,hegaki
155,Fell::N,skind,ile
156,Fell::N,skind,larru
157,Flügel::N,vinge,hego
158,Klaue::N,klov,atzapar
159,Kralle::N,klo,erpe
160,Kralle::N,klo,atzapar
161,Schwanz::N,hale,isats
162,Schwanz::N,hale,buztan
163,Ei::N,æg,arrautza
164,Nest::N,rede,habia
165,Bau::N,bo,ohantze
166,Tier::N,dyr,abere
167,Tier::N,dyr,piztia
168,Herde::N,flok,saldo
169,Herde::N,flok,abere talde
170,Kuh::N,ko,behi
171,Bulle::N,tyr,zezen
172,Pferd::N,hest,zaldi
173,Schaf::N,får,ardi
174,Schwein::N,gris,urde
175,Schwein::N,gris,txerri
176,Hund::N,hund,txakur
177,Katze::N,kat,katu
178,Bär::N,bjørn,hartz
179,Eichhörnchen::N,egern,urtxintxa
180,Elch::N,elg,altze
181,Fuchs::N,ræv,azeri
182,Hase::N,hare,erbi
183,Maus::N,mus,sagu
184,Wolf::N,ulv,otso
185,Vogel::N,fugl,txori
186,Vogel::N,fugl,hegazti
187,Schwarm::N,sværm,aldra
188,Huhn::N,høne,oilo
189,Hahn::N,hane,oilar
190,Gans::N,gås,antzara
191,Adler::N,ørn,arrano
192,Ente::N,and,ahate
193,Eule::N,ugle,hontza
194,Kranich::N,trane,kurrilo
195,Krähe::N,krage,bele
196,Kuckuck::N,gøg,kuku
197,Schwan::N,svane,beltxarga
198,Fisch::N,fisk,arrain
199,Barsch::N,aborre,perka
200,Hecht::N,gedde,lutxo
201,Schlange[Tier]::N,slange,suge
202,Wurm::N,orm,har
203,Spinne::N,edderkop,armiarma
204,Ameise::N,myre,inurri
205,Laus::N,lus,zorri
206,Mücke::N,myg,eltxo
207,Fliege::N,flue,euli
208,Schmetterling::N,sommerfugl,pinpirin
209,Schmetterling::N,sommerfugl,tximeleta
210,Beere::N,bær,baia
211,Apfel::N,æble,sagar
212,Pilz::N,svamp,onddo
213,Pilz::N,svamp,perretxiko
214,Zwiebel::N,løg,tipula
215,Saat::N,sæd,haziak
216,Korn::N,korn,ale
217,Korn::N,korn,pikor
218,Heu::N,hø,belar ondu
219,Schale::N,skræl,azal
220,Grube::N,grav,hobi
221,Falle::N,fælde,harrapagailu
222,Schlinge::N,snare,bilur
223,Schlinge::N,snare,xedera
224,Spur::N,spor,lorratz
225,Asche::N,aske,errauts
226,Dreck::N,snavs,satsukeria
227,Eisen::N,jern,burdina
228,Gold::N,guld,urre
