,Concept_ID,udm,hi
89,Leber::N,мус,यकृत्
90,Atem::N,лул,दम
91,Atem::N,лул,साँस
92,Atem::N,лул,श्वास
93,Atem::N,шокан,दम
94,Atem::N,шокан,साँस
95,Atem::N,шокан,श्वास
96,Hunger::N,кӧтсюман,भूख
97,Hunger::N,кӧтсюман,क्षुधा
98,Träne::N,синкыли,आँसू
99,Träne::N,синкыли,अश्रु
100,Geschmack::N,шӧм,स्वाद
101,Geschmack::N,шӧм,ज़ायक़ा
102,Geruch::N,зын,बू
103,Geruch::N,зын,गंध
104,Schlaf::N,вӧт,नींद
105,Schlaf::N,вӧт,निद्रा
106,Traum::N,уйвӧт,सपना
107,Traum::N,уйвӧт,स्वप्न
108,Himmel::N,ин,आकाश
109,Himmel::N,ин,आसमान
110,Sonne::N,шунды,रवि
111,Sonne::N,шунды,सूरज
112,Sonne::N,шунды,सूर्य
113,Mond::N,толэзь,चाँद
114,Mond::N,толэзь,चंद्र
115,Stern::N,кизили,तारा
116,Stern::N,кизили,सितारा
117,Luft::N,омыр,हवा
118,Luft::N,омыр,वायु
119,Wind::N,тӧл,पाद
120,Welle::N,тулкым,लहर
121,Welle::N,тулкым,तरंग
122,Wasser::N,ву,जल
123,Wasser::N,ву,पानी
124,Stein::N,из,पत्थर
125,Boden::N,музъем,मिट्टी
126,Erde::N,му,भूमि
127,Erde::N,му,ज़मीन
128,Staub::N,пыль,धूल
129,Rauch::N,ӵын,धूआँ
130,Rauch::N,ӵын,धुम्र
131,Funke::N,гизьы,चिनगारी
132,Funke::N,гизьы,स्फुलिंग
133,Feuer::N,тыл,आग
134,Feuer::N,тыл,आतिश
135,Feuer::N,тыл,अग्नि
136,Licht::N,тыл,रोशनी
137,Licht::N,тыл,प्रकाश
138,Schatten::N,вужер,छाया
139,Schatten::N,вужер,परछाई
140,Wetter::N,куазь,ऋतु
141,Wetter::N,куазь,मौसम
142,Nebel::N,бус,धुँध
143,Nebel::N,бус,कुहरा
144,Wolke::N,пилем,मेघ
145,Wolke::N,пилем,अभ्र
146,Regen::N,зор,मेंह
147,Regen::N,зор,बारिश
148,Schnee::N,лымы,हिम
149,Schnee::N,лымы,बर्फ़
150,Eis::N,йӧ,हिम
151,Eis::N,йӧ,बर्फ़
152,Frost::N,кезьыт,ठंड
153,Kälte::N,кезьыт,सर्दी
154,Kälte::N,кезьыт,शीतलता
155,Hitze::N,пӧсь,ताप
156,Hitze::N,пӧсь,गरमी
157,Raureif::N,гӧр,पाला
158,Regenbogen::N,вуюись,इंद्र-धनुष
159,Donner::N,гудыри,गरज
160,Donner::N,гудыри,मेघ-गर्जन
161,Strömung::N,бызён,बहाव
162,Strömung::N,бызён,प्रवाह
163,Tropfen::N,шапык,बूँद
164,Schaum::N,шукы,झाग
165,Schmutz::N,нӧд,गंद
166,Schmutz::N,нӧд,कीचड़
167,Schmutz::N,дэри,गंद
168,Schmutz::N,дэри,कीचड़
169,See::N,ты,झील
170,See::N,ты,सरोवर
171,Sumpf::N,нюр,दलदल
172,Sumpf::N,нюр,धँसान
173,Moor::N,нюр,झाबर
174,Moor::N,нюр,धँसान
175,Wiese::N,возь,घास-स्थल
176,Wiese::N,возьвыл,घास-स्थल
177,Wald::N,сик,जंगल
178,Wald::N,нюлэс,जंगल
179,Hügel::N,выр,टीला
180,Hügel::N,выр,पहाड़
181,Hügel::N,вырйыл,टीला
182,Hügel::N,вырйыл,पहाड़
183,Anhöhe::N,выр,टीला
184,Anhöhe::N,выр,पहाड़ी
185,Anhöhe::N,вырйыл,टीला
186,Anhöhe::N,вырйыл,पहाड़ी
187,Berg::N,гурезь,पहाड़
188,Gipfel::N,йыл,शिखर
189,Höhle::N,гу,गुहा
190,Höhle::N,гу,गुफ़ा
191,Abhang::N,бам,ढाल
192,Abhang::N,бам,ढलान
193,Quelle::N,ошмес,चश्मा
194,Bach::N,пичи шур,सोता
195,Bach::N,пичи шур,नदिका
196,Fluss::N,шур,नदी
197,Fluss::N,шур,सरिता
198,Ufer::N,ярдур,तट
199,Ufer::N,ярдур,किनारा
200,Küste::N,вудур,समुद्र-तट
201,Festland::N,мувыр,महाद्वीप
202,Meer::N,зарезь,सागर
203,Meer::N,зарезь,समुद्र
204,Bucht::N,вукож,खाड़ी
205,Insel::N,вумуӵ,टापू
206,Insel::N,вумуӵ,द्वीप
207,Insel::N,шормуӵ,टापू
208,Insel::N,шормуӵ,द्वीप
209,Blume::N,сяська,फूल
210,Blume::N,сяська,पुष्प
211,Gras::N,турын,घास
212,Wurzel::N,выжы,मूल
213,Baum::N,пу,पेड़
214,Baum::N,пу,वृक्ष
215,Stamm::N,модос,धड़
216,Rinde::N,сул,छाल
217,Rinde::N,сул,वल्कल
218,Ast::N,ул,डाल
219,Ast::N,ул,शाखा
220,Zweig::N,вай,टहनी
221,Blatt::N,куар,पत्र
222,Blatt::N,куар,पत्ता
223,Birke::N,кызьпу,भूर्ज
224,Kiefer[Baum]::N,пужым,पाइन-वृक्ष
225,Weide[Baum]::N,бадьпу,बेंत
226,Tanne::N,кыз,फ़र
227,Horn::N,сюр,सींग
228,Horn::N,сюр,विषाण
229,Feder::N,тылы,पर
230,Feder::N,тылы,पंख
231,Fell::N,ку,खाल
232,Fell::N,ку,पशु-चर्म
233,Flügel::N,бурд,पंख
234,Flügel::N,бурд,डैना
235,Klaue::N,гижы,पंजा
236,Kralle::N,пыд,पंजा
237,Kralle::N,пыд,नाख़ून
238,Schwanz::N,быж,पूँछ
239,Ei::N,пуз,अंडा
240,Ei::N,кукей,अंडा
241,Nest::N,кар,नीड़
242,Nest::N,кар,घोंसला
243,Nest::N,пузкар,नीड़
244,Nest::N,пузкар,घोंसला
245,Bau::N,кар,बिल
246,Bau::N,кар,माँद
247,Bau::N,гу,बिल
248,Bau::N,гу,माँद
249,Tier::N,пӧйшур,पशु
250,Tier::N,пӧйшур,जानवर
251,Herde::N,уллё,गल्ला
252,Kuh::N,скал,गौ
253,Kuh::N,скал,गाय
254,Bulle::N,ош,साँड़
255,Bulle::N,пороз,साँड़
256,Pferd::N,вал,अश्व
257,Pferd::N,вал,घोड़ा
258,Schaf::N,ыж,भेड़
259,Schwein::N,парсь,शूकर
260,Hund::N,пуны,श्वान
261,Hund::N,пуны,कुत्ता
262,Katze::N,коӵыш,बिल्ली
263,Bär::N,гондыр,रीछ
