,Concept_ID,sl,ka
0,Auge::N,okó,თვალი
1,Ohr::N,uhó,ყური
2,Nase::N,nós,ცხვირი
3,Mund::N,ústa,პირი
4,Zahn::N,zób,კბილი
5,Zunge::N,jêzik,ენა
6,Lippe::N,ústnica,ბაგე
7,Wange::N,líce,ლოყა
8,Gesicht::N,oblíčje,სახე
9,Stirn::N,čêlo,შუბლი
10,Haar::N,lás,თმა
11,Schnurrbart::N,bŕki,ულვაში
12,Bart::N,bráda,წვერი
13,Kinn::N,bráda,ნიკაპი
14,Kiefer[Anatomie]::N,čeljúst,ყბა
15,Kehle::N,gŕlo,ყელი
16,Hals::N,vrát,ყელი
17,Hals::N,vrát,კისერი
18,Genick::N,zatílnik,კეფა
19,Kopf::N,gláva,თავი
20,Rücken::N,hrbèt,ზურგი
21,Bauch::N,trébuh,მუცელი
22,Nabel::N,pópek,ჭიპი
23,Busen::N,nédrja,ძუძუ
24,Brust::N,pŕsi,მკერდი
25,Schulter::N,ráma,მხარი
26,Schulter::N,ráma,მკლავი
27,Schulter::N,plêče,მხარი
28,Schulter::N,plêče,მკლავი
29,Arm::N,rôka,ხელი
30,Ellenbogen::N,komólec,იდაყვი
31,Hand::N,rôka,ხელი
32,Handfläche::N,dlán,ნები
33,Handfläche::N,dlán,ხელისგული
34,Finger::N,pŕst,თითი
35,Fingernagel::N,nóht na rôki,ფრჩხილი
36,Nagel[Anatomie]::N,nóht,ფრჩხილი
37,Zeh::N,pŕst na nôgi,ფეხის თითი
38,Fuß::N,nôga,ტერფი
39,Fuß::N,nôga,ფეხისგული
40,Ferse::N,pêta,ქუსლი
41,Knie::N,koléno,მუხლი
42,Oberschenkel::N,stêgno,ბარძაყი
43,Bein::N,nôga,ფეხი
44,Körper::N,teló,ტანი
45,Körper::N,teló,სხეული
46,Haut::N,kóža,კანი
47,Blut::N,krí,სისხლი
48,Ader::N,žíla,ძარღვი
49,Sehne::N,kíta,მყესი
50,Knochen::N,kóst,ძვალი
51,Gehirn::N,možgáni,ტვინი
52,Herz::N,srcé,გული
53,Magen::N,želódec,კუჭი
54,Leber::N,jétra,ღვიძლი
55,Atem::N,díh,სუნთქვა
56,Hunger::N,glád,შიმშილი
57,Träne::N,sólza,ცრემლი
58,Geschmack::N,okús,გემო
59,Geruch::N,vónj,სუნი
60,Schlaf::N,sèn,ძილი
61,Schlaf::N,spánec,ძილი
62,Traum::N,sánje,სიზმარი
63,Himmel::N,nebó,ცა
64,Sonne::N,sónce,მზე
65,Mond::N,lúna,მთვარე
66,Mond::N,mésec,მთვარე
67,Stern::N,zvézda,ვარსკვლავი
68,Luft::N,zràk,ჰაერი
69,Wind::N,véter,ქარი
70,Welle::N,vál,ტალღა
71,Wasser::N,vôda,წყალი
72,Stein::N,kámen,ქვა
73,Boden::N,tlà,მიწა
74,Erde::N,pŕst,ნიადაგი
75,Erde::N,zêmlja,ნიადაგი
76,Staub::N,práh,მტვერი
77,Rauch::N,dìm,ბოლი
78,Rauch::N,dìm,კვამლი
79,Funke::N,ískra,ნაკვესი
80,Feuer::N,ôgenj,ცეცხლი
81,Licht::N,lúč,შუქი
82,Licht::N,lúč,სინათლე
83,Schatten::N,sénca,ლანდი
84,Schatten::N,sénca,ჩრდილი
85,Wetter::N,vrême,ამინდი
86,Nebel::N,meglà,ნისლი
87,Wolke::N,oblák,ღრუბელი
88,Regen::N,dèž,წვიმა
89,Schnee::N,snég,თოვლი
90,Eis::N,léd,თოში
91,Eis::N,léd,ყინული
92,Frost::N,zmrzál,ყინვა
93,Kälte::N,mràz,სიცივე
94,Hitze::N,pripéka,სიცხე
95,Raureif::N,ívje,ჭირხლი
96,Raureif::N,ívje,თრთვილი
97,Raureif::N,slána,ჭირხლი
98,Raureif::N,slána,თრთვილი
99,Regenbogen::N,mávrica,ცისარტყელა
100,Donner::N,gròm,ქუხილი
101,Strömung::N,strúja,დინება
102,Tropfen::N,káplja,წვეთი
103,Schaum::N,péna,ქაფი
104,Schaum::N,péna,დორბლი
105,Schmutz::N,nesnága,ჭუჭყი
106,Schmutz::N,nesnága,ტალახი
107,See::N,jézero,ტბა
108,Sumpf::N,močvírje,ჭაობი
109,Moor::N,bárje,ტორფნარი
110,Wiese::N,trávnik,ველი
111,Wiese::N,trávnik,მდელო
112,Wald::N,lés,ტყე
113,Wald::N,gòzd,ტყე
114,Hügel::N,brég,ბორცვი
115,Hügel::N,goríca,ბორცვი
116,Anhöhe::N,gríč,მაღლობი
117,Anhöhe::N,višína,მაღლობი
118,Berg::N,gôra,მთა
119,Berg::N,planína,მთა
120,Gipfel::N,vŕh,მწვერვალი
121,Höhle::N,jáma,მღვიმე
122,Höhle::N,jáma,გამოქვებული
123,Höhle::N,votlína,მღვიმე
124,Höhle::N,votlína,გამოქვებული
125,Abhang::N,pobóčje,ფერდობი
126,Quelle::N,izvír,წყარო
127,Quelle::N,izvír,სათავე
128,Bach::N,pôtok,რუ
129,Bach::N,pôtok,ნაკადული
130,Fluss::N,réka,მდინარე
131,Ufer::N,brég,კიდე
132,Ufer::N,brég,ნაპირი
133,Küste::N,obála,ნაპირი
134,Küste::N,obréžje,ნაპირი
135,Festland::N,celína,ხმელეთი
136,Festland::N,kopnína,ხმელეთი
137,Meer::N,mórje,ზღვა
138,Bucht::N,zalív,ყურე
139,Insel::N,ôtok,კუნძული
140,Blume::N,cvetlíca,ყვავილი
141,Gras::N,tráva,ბალახი
142,Wurzel::N,korenína,ძირი
143,Wurzel::N,korenína,ფესვი
144,Baum::N,drevó,ხე
145,Stamm::N,dêblo,ტანი
146,Rinde::N,lúbje,ქერქი
147,Rinde::N,skórja,ქერქი
148,Ast::N,véja,ტოტი
149,Zweig::N,véja,შტო
150,Blatt::N,líst,ფოთოლი
151,Birke::N,bréza,არყი
152,Kiefer[Baum]::N,bòr,ფიჭვი
153,Weide[Baum]::N,vŕba,ტირიფი
154,Tanne::N,hója,ნაძვი
155,Horn::N,róg,რქა
156,Feder::N,peró,ფრთა
157,Fell::N,kŕzno,ტყავი
158,Flügel::N,krílo,ფრთა
159,Klaue::N,párkelj,კლანჭი
160,Kralle::N,krémpelj,ტორი
161,Schwanz::N,rèp,კუდი
162,Ei::N,jájce,კვერცხი
163,Nest::N,gnézdo,ბუდე
164,Bau::N,brlòg,სორო
165,Tier::N,živál,ნადირი
166,Tier::N,živál,ცხოველი
167,Herde::N,čréda,ფარა
168,Kuh::N,kráva,ფური
169,Kuh::N,kráva,ძროხა
170,Bulle::N,bìk,ხარი
171,Pferd::N,kònj,რაში
172,Pferd::N,kònj,ცხენი
173,Schaf::N,ôvca,ცხვარი
174,Schwein::N,svínja,ღორი
175,Hund::N,pès,ძაღლი
176,Katze::N,máčka,კატა
177,Bär::N,mêdved,დათვი
178,Eichhörnchen::N,véverica,ციყვი
179,Elch::N,lós,ცხენ-ირემი
180,Fuchs::N,lisíca,მელა
181,Hase::N,zájec,კურდღელი
182,Maus::N,mìš,თაგვი
183,Wolf::N,vólk,მგელი
184,Vogel::N,ptìč,ჩიტი
185,Vogel::N,ptìč,ფრინველი
186,Vogel::N,ptíca,ჩიტი
187,Vogel::N,ptíca,ფრინველი
188,Schwarm::N,játa,გუნდი
189,Huhn::N,kokóš,დედალი
190,Hahn::N,petêlin,მამალი
