,Concept_ID,mn,lv
0,Auge::N,нүд,син
1,Auge::N,нүд,acs
2,Ohr::N,чих,пель
3,Ohr::N,чих,auss
4,Nase::N,хамар,ныр
5,Nase::N,хамар,deguns
6,Mund::N,ам,вом
7,Mund::N,ам,mute
8,Zahn::N,шүд,пинь
9,Zahn::N,шүд,zobs
10,Zunge::N,хэл,кыв
11,Zunge::N,хэл,mēle
12,Lippe::N,уруул,вом дор
13,Lippe::N,уруул,lūpa
14,Wange::N,хацар,бан
15,Wange::N,хацар,vaigs
16,Gesicht::N,царай,чужӧм
17,Gesicht::N,царай,seja
18,Gesicht::N,царай,ģīmis
19,Gesicht::N,нүүр,чужӧм
20,Gesicht::N,нүүр,seja
21,Gesicht::N,нүүр,ģīmis
22,Stirn::N,дух,плеш
23,Stirn::N,дух,кымӧс
24,Stirn::N,дух,piere
25,Haar::N,үс,си
26,Haar::N,үс,юрси
27,Haar::N,үс,mats
28,Schnurrbart::N,дээд сахал,ус
29,Schnurrbart::N,дээд сахал,пыртсим
30,Schnurrbart::N,дээд сахал,ūsas
31,Schnurrbart::N,живэр сахал,ус
32,Schnurrbart::N,живэр сахал,пыртсим
33,Schnurrbart::N,живэр сахал,ūsas
34,Bart::N,сахал,тош
35,Bart::N,сахал,bārda
36,Kinn::N,эрүү,тшӧка
37,Kinn::N,эрүү,zods
38,Kinn::N,эрүү,smakrs
39,Kiefer[Anatomie]::N,эрүү,черлы
40,Kiefer[Anatomie]::N,эрүү,алака лы
41,Kiefer[Anatomie]::N,эрүү,вомкӧтш лы
42,Kiefer[Anatomie]::N,эрүү,žoklis
43,Kehle::N,хоолой,голя
44,Kehle::N,хоолой,rīkle
45,Hals::N,хүзүү,сьылі
46,Hals::N,хүзүү,kakls
47,Genick::N,шил,юрбӧр
48,Genick::N,шил,балябӧж
49,Genick::N,шил,sprands
50,Genick::N,хүзүү,юрбӧр
51,Genick::N,хүзүү,балябӧж
52,Genick::N,хүзүү,sprands
53,Kopf::N,толгой,юр
54,Kopf::N,толгой,galva
55,Rücken::N,ар,мыш
56,Rücken::N,ар,mugura
57,Rücken::N,нуруу,мыш
58,Rücken::N,нуруу,mugura
59,Bauch::N,хэвлий,рушку
60,Bauch::N,хэвлий,vēders
61,Bauch::N,гэдэс,рушку
62,Bauch::N,гэдэс,vēders
63,Nabel::N,хүйс,гӧг
64,Nabel::N,хүйс,naba
65,Busen::N,хөх,морӧс
66,Busen::N,хөх,krūts
67,Brust::N,цээж,морӧс
68,Brust::N,цээж,krūts
69,Schulter::N,мөр,пельпом
70,Schulter::N,мөр,plecs
71,Schulter::N,бугалга,пельпом
72,Schulter::N,бугалга,plecs
73,Arm::N,гар,ки
74,Arm::N,гар,roka
75,Arm::N,гар,delms
76,Ellenbogen::N,тохой,гырддза
77,Ellenbogen::N,тохой,elkonis
78,Hand::N,гар,ки
79,Hand::N,гар,roka
80,Hand::N,гар,plauksta
81,Hand::N,алга,ки
82,Hand::N,алга,roka
83,Hand::N,алга,plauksta
84,Handfläche::N,алга,ки пыдӧс
85,Handfläche::N,алга,delna
86,Handfläche::N,алга,plauksta
87,Finger::N,хуруу,чунь
88,Finger::N,хуруу,pirksts
89,Fingernagel::N,хурууны хумс,гыж
90,Fingernagel::N,хурууны хумс,nags
91,Nagel[Anatomie]::N,хумс,гыж
92,Nagel[Anatomie]::N,хумс,nags
93,Zeh::N,хуруу,кок чунь
94,Zeh::N,хуруу,pirksts
95,Fuß::N,хөл,кок
96,Fuß::N,хөл,kāja
97,Ferse::N,өсгий,кокбӧр
98,Ferse::N,өсгий,papēdis
99,Knie::N,өвдөг,пидзӧс
100,Knie::N,өвдөг,celis
101,Oberschenkel::N,гуя,лядьвей
102,Oberschenkel::N,гуя,бек
103,Oberschenkel::N,гуя,ciska
104,Oberschenkel::N,гуя,augšstilbs
105,Bein::N,хөл,кок
106,Bein::N,хөл,kāja
107,Körper::N,бие,туша
108,Körper::N,бие,вывтыр
109,Körper::N,бие,miesa
110,Körper::N,бие,ķermenis
111,Haut::N,арьс,ку
112,Haut::N,арьс,āda
113,Blut::N,цус,вир
114,Blut::N,цус,asins
115,Ader::N,судас,сӧн
116,Ader::N,судас,asinsvads
117,Sehne::N,бүлх,вез
118,Sehne::N,бүлх,dzīsla
119,Sehne::N,шандас,вез
120,Sehne::N,шандас,dzīsla
121,Knochen::N,яс,лы
122,Knochen::N,яс,kauls
123,Gehirn::N,тархи,вем
124,Gehirn::N,тархи,smadzenes
125,Herz::N,зүрх,сьӧлӧм
126,Herz::N,зүрх,sirds
127,Magen::N,ходоод,кынӧм
128,Magen::N,ходоод,kuņģis
129,Leber::N,элэг,мус
130,Leber::N,элэг,aknas
131,Atem::N,амьсгаа,лов
132,Atem::N,амьсгаа,elpa
133,Hunger::N,өлсгөлөн,тшыг
134,Hunger::N,өлсгөлөн,bads
135,Hunger::N,өлсгөлөн,izsalkums
136,Träne::N,нулимс,синва
137,Träne::N,нулимс,asara
138,Geschmack::N,амт,кӧр
139,Geschmack::N,амт,чӧсмӧс
140,Geschmack::N,амт,garša
141,Geruch::N,үнэр,зын
142,Geruch::N,үнэр,дук
143,Geruch::N,үнэр,smaka
144,Schlaf::N,нойр,узьӧм
145,Schlaf::N,нойр,miegs
146,Traum::N,зүүд,вӧт
147,Traum::N,зүүд,вӧтасьӧм
148,Traum::N,зүүд,sapnis
149,Himmel::N,тэнгэр,енэж
150,Himmel::N,тэнгэр,debess
151,Himmel::N,огторгуй,енэж
152,Himmel::N,огторгуй,debess
153,Sonne::N,нар,шонді
154,Sonne::N,нар,saule
155,Mond::N,сар,тӧлысь
156,Mond::N,сар,mēness
157,Stern::N,од,кодзув
158,Stern::N,од,zvaigzne
159,Luft::N,агаар,сынӧд
160,Luft::N,агаар,gaiss
161,Wind::N,салхи,тӧв
162,Wind::N,салхи,vējš
163,Welle::N,долгио,гы
164,Welle::N,долгио,vilnis
165,Welle::N,давалгаа,гы
166,Welle::N,давалгаа,vilnis
167,Wasser::N,ус,ва
168,Wasser::N,ус,ūdens
169,Stein::N,чулуу,из
170,Stein::N,чулуу,akmens
171,Boden::N,хөрс,му
172,Boden::N,хөрс,augsne
173,Erde::N,газар,му
174,Erde::N,газар,му-ва
175,Erde::N,газар,zeme
176,Erde::N,шороо,му
177,Erde::N,шороо,му-ва
178,Erde::N,шороо,zeme
179,Staub::N,тоос,бус
180,Staub::N,тоос,putekļi
181,Rauch::N,утаа,тшын
182,Rauch::N,утаа,dūmi
183,Funke::N,оч,кинь
184,Funke::N,оч,би кинь
185,Funke::N,оч,dzirkstele
186,Feuer::N,гал,би
187,Feuer::N,гал,uguns
188,Licht::N,гэрэл,югӧр
189,Licht::N,гэрэл,gaisma
190,Licht::N,гэгээ,югӧр
191,Licht::N,гэгээ,gaisma
192,Schatten::N,сүүдэр,вуджӧр
193,Schatten::N,сүүдэр,ēna
194,Wetter::N,тэнгэр,поводдя
195,Wetter::N,тэнгэр,laiks
196,Wetter::N,цаг уур,поводдя
197,Wetter::N,цаг уур,laiks
198,Nebel::N,будан,ру
199,Nebel::N,будан,онь
200,Nebel::N,будан,migla
201,Wolke::N,үүл,кымӧр
202,Wolke::N,үүл,mākonis
203,Regen::N,бороо,зэр
204,Regen::N,бороо,lietus
205,Schnee::N,цас,лым
206,Schnee::N,цас,sniegs
207,Eis::N,мөс,йи
208,Eis::N,мөс,ledus
209,Frost::N,хүйт,кӧдзыд
210,Frost::N,хүйт,sals
211,Kälte::N,хүйт,кӧдзыд
212,Kälte::N,хүйт,saltums
213,Kälte::N,хүйт,aukstums
214,Hitze::N,халуун,пӧсь
215,Hitze::N,халуун,гожӧд
216,Hitze::N,халуун,karstums
217,Raureif::N,цан,пуж
218,Raureif::N,цан,гыӧр
219,Raureif::N,цан,sarma
220,Raureif::N,хяруу,пуж
221,Raureif::N,хяруу,гыӧр
222,Raureif::N,хяруу,sarma
223,Regenbogen::N,солонго,ӧшкамӧшка
224,Regenbogen::N,солонго,varavīksne
225,Donner::N,тэнгэрийн дуу,гым
226,Donner::N,тэнгэрийн дуу,pērkons
227,Strömung::N,урсгал,ва ныр
228,Strömung::N,урсгал,визувтӧм
229,Strömung::N,урсгал,straume
230,Strömung::N,урсгал,strāvojums
231,Tropfen::N,дусал,войт
232,Tropfen::N,дусал,lāse
233,Schaum::N,хөөс,быг
234,Schaum::N,хөөс,быгзьӧм
235,Schaum::N,хөөс,putas
236,Schmutz::N,хир,няйт
237,Schmutz::N,хир,dubļi
238,Schmutz::N,шавхай,няйт
239,Schmutz::N,шавхай,dubļi
240,See::N,нуур,ты
241,See::N,нуур,ezers
242,Sumpf::N,намаг,гыбад
243,Sumpf::N,намаг,кад
244,Sumpf::N,намаг,dumbrājs
245,Sumpf::N,намаг,staignājs
246,Sumpf::N,балчиг,гыбад
247,Sumpf::N,балчиг,кад
248,Sumpf::N,балчиг,dumbrājs
249,Sumpf::N,балчиг,staignājs
250,Moor::N,хүлрийн намаг,нюр
251,Moor::N,хүлрийн намаг,purvs
252,Moor::N,хүлрийн намаг,muklājs
253,Wiese::N,нуга,видз
254,Wiese::N,нуга,pļava
255,Wald::N,ой,вӧр
256,Wald::N,ой,mežs
257,Hügel::N,болдог,дзиб
258,Hügel::N,болдог,мыльк
259,Hügel::N,болдог,нӧрыс
260,Hügel::N,болдог,paugurs
261,Anhöhe::N,гүвээ,мыльк
262,Anhöhe::N,гүвээ,нӧрыс
263,Anhöhe::N,гүвээ,paugurs
264,Berg::N,уул,чой
265,Berg::N,уул,керӧс
266,Berg::N,уул,kalns
267,Gipfel::N,орой,чук
268,Gipfel::N,орой,virsotne
269,Gipfel::N,оргил,чук
270,Gipfel::N,оргил,virsotne
271,Höhle::N,агуй,рудӧг
272,Höhle::N,агуй,ala
273,Abhang::N,хүр,ньывк
274,Abhang::N,хүр,бокша
275,Abhang::N,хүр,nogāze
276,Quelle::N,булаг,ӧшмӧс
277,Quelle::N,булаг,avots
278,Bach::N,горхи,шор
279,Bach::N,горхи,urga
280,Bach::N,горхи,strauts
281,Fluss::N,гол,ю
282,Fluss::N,гол,upe
283,Fluss::N,мөрөн,ю
284,Fluss::N,мөрөн,upe
285,Ufer::N,эрэг,вадор
286,Ufer::N,эрэг,krasts
287,Küste::N,эрэг,вадор
288,Küste::N,эрэг,piekraste
289,Festland::N,хуурай газар,му
290,Festland::N,хуурай газар,sauszeme
291,Meer::N,далай,саридз
292,Meer::N,далай,jūra
293,Meer::N,тэнгис,саридз
294,Meer::N,тэнгис,jūra
295,Bucht::N,булан,куръя
296,Bucht::N,булан,līcis
297,Bucht::N,далайн тохой,куръя
298,Bucht::N,далайн тохой,līcis
299,Insel::N,арал,ді
300,Insel::N,арал,sala
301,Blume::N,цэцэг,дзоридз
302,Blume::N,цэцэг,puķe
303,Blume::N,цэцэг,zieds
304,Gras::N,өвс,турун
305,Gras::N,өвс,zāle
306,Gras::N,ногоо,турун
307,Gras::N,ногоо,zāle
308,Wurzel::N,үндэс,вуж
309,Wurzel::N,үндэс,sakne
310,Baum::N,мод,пу
311,Baum::N,мод,koks
312,Stamm::N,иш,пучер
313,Stamm::N,иш,stumbrs
314,Stamm::N,гуалин,пучер
315,Stamm::N,гуалин,stumbrs
316,Rinde::N,холтос,кырсь
317,Rinde::N,холтос,miza
318,Ast::N,гишүү,ув
319,Ast::N,гишүү,zars
320,Zweig::N,салаа,вож
321,Zweig::N,салаа,nozare
322,Blatt::N,навч,кор
323,Blatt::N,навч,lapa
324,Birke::N,хус,кыдз
325,Birke::N,хус,bērzs
326,Kiefer[Baum]::N,нарс,пожӧм
327,Kiefer[Baum]::N,нарс,priede
328,Weide[Baum]::N,уд,бадь
329,Weide[Baum]::N,уд,kārkls
330,Weide[Baum]::N,бургас,бадь
331,Weide[Baum]::N,бургас,kārkls
332,Tanne::N,гачуур,коз
333,Tanne::N,гачуур,egle
334,Horn::N,эвэр,сюр
335,Horn::N,эвэр,rags
336,Feder::N,өд,гӧн
337,Feder::N,өд,тывборд
338,Feder::N,өд,spalva
339,Fell::N,арьс,ку
340,Fell::N,арьс,āda
341,Flügel::N,жигүүр,борд
342,Flügel::N,жигүүр,spārns
343,Flügel::N,далавч,борд
344,Flügel::N,далавч,spārns
345,Klaue::N,савар,гыж
346,Klaue::N,савар,nags
347,Klaue::N,хумс,гыж
348,Klaue::N,хумс,nags
349,Kralle::N,савар,гыж
350,Kralle::N,савар,nags
351,Schwanz::N,сүүл,бӧж
352,Schwanz::N,сүүл,ļipa
353,Ei::N,өндөг,кольк
354,Ei::N,өндөг,ola
355,Nest::N,үүр,поз
356,Nest::N,үүр,ligzda
357,Bau::N,нүх,горс
358,Bau::N,нүх,пырмӧс
359,Bau::N,нүх,гу
360,Bau::N,нүх,ala
361,Bau::N,элүү,горс
362,Bau::N,элүү,пырмӧс
363,Bau::N,элүү,гу
364,Bau::N,элүү,ala
365,Tier::N,амьтан,пемӧс
366,Tier::N,амьтан,dzīvnieks
367,Tier::N,адгуус,пемӧс
368,Tier::N,адгуус,dzīvnieks
369,Herde::N,сүрэг,стада
370,Herde::N,сүрэг,кельӧб
371,Herde::N,сүрэг,ganāmpulks
372,Kuh::N,үнээ,мӧс
373,Kuh::N,үнээ,govs
374,Bulle::N,бух,ӧш
375,Bulle::N,бух,bullis
376,Pferd::N,морь,вӧв
377,Pferd::N,морь,zirgs
378,Pferd::N,адуу,вӧв
379,Pferd::N,адуу,zirgs
380,Schaf::N,хонь,ыж
381,Schaf::N,хонь,aita
382,Schwein::N,гахай,порсь
383,Schwein::N,гахай,cūka
384,Hund::N,нохой,пон
385,Hund::N,нохой,suns
386,Katze::N,муур,кань
387,Katze::N,муур,kaķis
388,Katze::N,мигуй,кань
389,Katze::N,мигуй,kaķis
390,Bär::N,баавгай,ош
391,Bär::N,баавгай,lācis
392,Eichhörnchen::N,хэрэм,ур
393,Eichhörnchen::N,хэрэм,vāvere
394,Elch::N,хандгай,йӧра
395,Elch::N,хандгай,alnis
396,Fuchs::N,үнэг,руч
397,Fuchs::N,үнэг,lapsa
398,Hase::N,туулай,кӧч
399,Hase::N,туулай,zaķis
400,Maus::N,хулгана,шыр
401,Maus::N,хулгана,pele
402,Wolf::N,чоно,кӧин
403,Wolf::N,чоно,vilks
404,Vogel::N,шувуу,кай
405,Vogel::N,шувуу,лэбач
406,Vogel::N,шувуу,putns
407,Schwarm::N,сүрэг,чукӧр
408,Schwarm::N,сүрэг,spiets
409,Huhn::N,тахиа,курӧг
410,Huhn::N,тахиа,vista
411,Hahn::N,эр тахиа,петук
412,Hahn::N,эр тахиа,gailis
413,Gans::N,галуу,дзодзӧг
414,Gans::N,галуу,zoss
415,Adler::N,бүргэд,кутш
416,Adler::N,бүргэд,ērglis
417,Ente::N,нугас,утка
418,Ente::N,нугас,pīle
419,Eule::N,ууль,сюзь
420,Eule::N,ууль,pūce
421,Kranich::N,тогоруу,тури
422,Kranich::N,тогоруу,dzērve
423,Krähe::N,хэрээ,рака
424,Krähe::N,хэрээ,vārna
425,Kuckuck::N,хөхөө,кӧк
426,Kuckuck::N,хөхөө,dzeguze
427,Schwan::N,хун,юсь
428,Schwan::N,хун,gulbis
429,Fisch::N,загас,чери
430,Fisch::N,загас,zivs
431,Barsch::N,алгана,ёкыш
432,Barsch::N,алгана,asaris
433,Hecht::N,цурхай,сир
434,Hecht::N,цурхай,līdaka
435,Schlange[Tier]::N,могой,кый
436,Schlange[Tier]::N,могой,čūska
437,Wurm::N,өт,номыр
438,Wurm::N,өт,tārps
439,Wurm::N,хорхой,номыр
