,Concept_ID,cv,bn
0,Auge::N,куҫ,চক্ষু
1,Ohr::N,хӑлха,কর্ণ
2,Nase::N,сӑмса,নাক
3,Mund::N,ҫӑвар,মুখ
4,Zahn::N,шӑл,দাঁত
5,Zunge::N,чӗлхе,জিহবা
6,Lippe::N,тута,অধর
7,Wange::N,пит ҫӑмарти,গণ্ড
8,Gesicht::N,пит,মুখমণ্ডল
9,Gesicht::N,пит-куҫ,মুখমণ্ডল
10,Stirn::N,ҫамка,কপাল
11,Haar::N,ҫӳҫ,চুল
12,Schnurrbart::N,усси,গোঁফ
13,Bart::N,сухал,শ্মশ্রু
14,Kinn::N,янах,চিবুক
15,Kiefer[Anatomie]::N,янах,চোয়াল
16,Kehle::N,пыр,কণ্ঠ
17,Kehle::N,карланкӑ,কণ্ঠ
18,Hals::N,пыр,গল
19,Genick::N,ӗнсе,ঘাড়
20,Kopf::N,пуҫ,মাথা
21,Rücken::N,ҫурӑм,পৃষ্ঠ
22,Nabel::N,кӑвапа,নাভি
23,Busen::N,кӑкӑр,স্তন
24,Brust::N,умӗ,বুক
25,Schulter::N,хул пуҫҫи,স্কন্ধ
26,Arm::N,алӑ,বাহু
27,Ellenbogen::N,чавса,কনুই
28,Hand::N,алӑ сыппи,হাত
29,Handfläche::N,ал лаппи,করতল
30,Finger::N,пӳрне,আঙ্গুল
31,Fingernagel::N,чӗрне,হাতের নখ
32,Nagel[Anatomie]::N,чӗрне,নখ
33,Zeh::N,пӳрне,আঙ্গুল
34,Fuß::N,ура лаппи,পা
35,Ferse::N,кӗле,গোড়ালি
36,Knie::N,чӗркуҫҫи,হাঁটু
37,Oberschenkel::N,пӗҫӗ,ঊরু
38,Bein::N,ура,পা
39,Körper::N,ӳт,দেহ
40,Körper::N,ӳт-пӳ,দেহ
41,Haut::N,тир,ত্বক
42,Blut::N,юн,রক্ত
43,Ader::N,вена,শিরা
44,Sehne::N,шӑнӑр,কণ্ডরা
45,Knochen::N,шӑмӑ,অস্থি
46,Gehirn::N,миме,মস্তিষ্ক
47,Herz::N,чӗре,হৃৎপিণ্ড
48,Magen::N,хырӑмлӑх,পাকস্থলী
49,Leber::N,пӗвер,যকৃৎ
50,Atem::N,сывлав,শ্বাস
51,Hunger::N,выҫлӑх,ক্ষুধা
52,Träne::N,куҫҫуль,অশ্রু
53,Geschmack::N,техӗм,স্বাদ
54,Geruch::N,шӑршӑ,গন্ধ
55,Schlaf::N,ыйхӑ,ঘুম
56,Traum::N,тӗлӗк,স্বপ্ন
57,Himmel::N,пӗлӗт,আকাশ
58,Sonne::N,хӗвел,সূর্য
59,Mond::N,уйӑх,চন্দ্র
60,Stern::N,ҫӑлтӑр,নক্ষত্র
61,Luft::N,сывлӑш,বায়ু
62,Wind::N,ҫил,বাতাস
63,Welle::N,хум,ঢেউ
64,Welle::N,хум,তরঙ্গ
65,Wasser::N,шыв,জল
66,Wasser::N,шыв-шур,জল
67,Stein::N,чул,ঢিল
68,Stein::N,чул,প্রস্তর
69,Boden::N,тӑпра,ভূতল
70,Erde::N,ҫӗр,ভূমি
71,Staub::N,тусан,ধুলা
