,Concept_ID,bg,la
0,Auge::N,око,oculus
1,Ohr::N,ухо,auris
2,Nase::N,нос,nasus
3,Mund::N,уста,os
4,Zahn::N,зъб,dens
5,Zunge::N,език,lingua
6,Lippe::N,устна,labrum
7,Wange::N,буза,gena
8,Gesicht::N,лице,vultus
9,Gesicht::N,образ,vultus
10,Stirn::N,чело,frons
11,Haar::N,коса,capillus
12,Haar::N,косъм,capillus
13,Schnurrbart::N,мустаци,barba labri superioris
14,Bart::N,брада,barba
15,Kinn::N,брада,mentum
16,Kinn::N,брадичка,mentum
17,Kiefer[Anatomie]::N,челюст,mala
18,Kehle::N,гърло,iugulums
19,Hals::N,врат,collum
20,Genick::N,тил,cervices
21,Kopf::N,глава,caput
22,Rücken::N,гръб,tergum
23,Bauch::N,корем,venter
24,Nabel::N,пъп,umbilicus
25,Busen::N,бозка,sinus
26,Brust::N,гръд,pectus
27,Schulter::N,рамо,umerus
28,Schulter::N,плещи,umerus
29,Arm::N,ръка,bracchium
30,Ellenbogen::N,лакът,cubitum
31,Hand::N,ръка,manus
32,Hand::N,китка,manus
33,Handfläche::N,длан,palma
34,Finger::N,пръст,digitus
35,Fingernagel::N,нокът,unguiculus
36,Nagel[Anatomie]::N,нокът,unguis
37,Zeh::N,пръст на крак,digitus
38,Fuß::N,крак,pes
39,Fuß::N,нога,pes
40,Ferse::N,пета,calx
41,Knie::N,коляно,genu
42,Oberschenkel::N,бедро,femur
43,Bein::N,крак,crus
44,Bein::N,нога,crus
45,Körper::N,тяло,corpus
46,Haut::N,кожа,cutis
47,Haut::N,кожа,pellis
48,Blut::N,кръв,sanguis
49,Ader::N,вена,vena
50,Ader::N,артерия,vena
51,Sehne::N,жила,nervus
52,Sehne::N,сухожилие,nervus
53,Knochen::N,кост,os
54,Gehirn::N,мозък,cerebrum
55,Herz::N,сърце,cor
56,Herz::N,сърце,animus
57,Magen::N,стомах,stomachus
58,Leber::N,черен дроб,iecur
59,Atem::N,дишане,spiritus
60,Hunger::N,глад,fames
61,Träne::N,сълза,lacrima
62,Geschmack::N,вкус,sapor
63,Geschmack::N,вкус,gustus
64,Geruch::N,миризма,odor
65,Schlaf::N,сън,somnus
66,Traum::N,сън,somnium
67,Himmel::N,небе,caelum
68,Sonne::N,слънце,sol
69,Mond::N,луна,luna
70,Mond::N,месец,luna
71,Stern::N,звезда,sidus
72,Stern::N,звезда,stella
73,Luft::N,въздух,aer
74,Wind::N,вятър,ventus
75,Welle::N,вълна,unda
76,Wasser::N,вода,aqua
77,Stein::N,камък,lapis
78,Boden::N,земя,solum
79,Boden::N,почва,solum
80,Erde::N,земя,terra
81,Erde::N,почва,terra
82,Staub::N,прах,pulvis
83,Rauch::N,дим,fumus
84,Rauch::N,пушек,fumus
85,Funke::N,искра,scintilla
86,Feuer::N,огън,ignis
87,Licht::N,светлина,lux
88,Licht::N,светлина,lumen
89,Schatten::N,сянка,umbra
90,Wetter::N,време,caelum
91,Wetter::N,време,tempestas
92,Nebel::N,мъгла,nebula
93,Wolke::N,облак,nubes
94,Regen::N,дъжд,imber
95,Regen::N,дъжд,pluvia
96,Schnee::N,сняг,nix
97,Eis::N,лед,glacies
98,Frost::N,мраз,gelu
99,Kälte::N,студ,frigus
100,Hitze::N,жега,calor
101,Hitze::N,жега,aestus
102,Hitze::N,горещина,calor
103,Hitze::N,горещина,aestus
104,Raureif::N,скреж,pruina
105,Raureif::N,слана,pruina
106,Regenbogen::N,дъга,arcus
107,Donner::N,гръм,tonitrus
108,Strömung::N,течение,fluctus
109,Tropfen::N,капка,gutta
110,Schaum::N,пяна,spuma
111,Schmutz::N,кал,sordes
112,Schmutz::N,кал,squalor
113,Schmutz::N,мръсотия,sordes
114,Schmutz::N,мръсотия,squalor
115,See::N,езеро,lacus
116,Sumpf::N,блато,palus
117,Moor::N,мочурище,palus
118,Wiese::N,ливада,pratum
119,Wald::N,гора,silva
120,Hügel::N,рид,collis
121,Hügel::N,хълм,collis
122,Anhöhe::N,могила,specula
123,Anhöhe::N,възвишение,specula
124,Berg::N,планина,mons
125,Gipfel::N,връх,vertex
126,Höhle::N,пещера,caverna
127,Höhle::N,пещера,spelunca
128,Abhang::N,склон,declivum
129,Abhang::N,стръмнина,declivum
130,Quelle::N,извор,fons
131,Bach::N,поток,rivus
132,Fluss::N,река,flumen
133,Ufer::N,бряг,ripa
134,Küste::N,бряг,litus
135,Küste::N,крайбрежие,litus
136,Festland::N,суша,continens
137,Meer::N,море,mare
138,Bucht::N,залив,sinus
139,Insel::N,остров,insula
140,Blume::N,цвете,flos
141,Gras::N,трева,herba
142,Gras::N,трева,gramen
143,Wurzel::N,корен,radix
144,Baum::N,дърво,arbor
145,Stamm::N,стъбло,truncus
146,Rinde::N,кора,cortex
147,Ast::N,клон,ramus
148,Zweig::N,клон,ramus
149,Blatt::N,лист,folium
150,Birke::N,бреза,betulla
151,Kiefer[Baum]::N,бор,pinus
152,Weide[Baum]::N,върба,salix
153,Tanne::N,ела,abies
154,Horn::N,рог,cornu
155,Feder::N,перо,penna
156,Fell::N,кожа,pellis
157,Flügel::N,крило,ala
158,Klaue::N,нокът,unguis
159,Kralle::N,нокът,unguis
160,Schwanz::N,опашка,cauda
161,Ei::N,яйце,ovum
162,Nest::N,гнездо,nidus
163,Bau::N,дупка,cavum
164,Bau::N,дупка,latibulum
165,Tier::N,животно,bestia
166,Herde::N,стадо,grex
167,Kuh::N,крава,vacca
168,Bulle::N,бик,taurus
169,Pferd::N,кон,equus
170,Schaf::N,овца,ovis
171,Schwein::N,свиня,sus
172,Schwein::N,свиня,porcus
173,Hund::N,куче,canis
174,Katze::N,котка,felis
175,Bär::N,мечка,ursus
176,Eichhörnchen::N,катерица,sciurus
177,Elch::N,лос,alces
178,Fuchs::N,лисица,vulpes
179,Hase::N,заек,lepus
180,Maus::N,мишка,mus
181,Wolf::N,вълк,lupus
182,Vogel::N,птица,avis
183,Schwarm::N,рой,examen
184,Schwarm::N,рояк,examen
185,Huhn::N,кокошка,gallina
186,Hahn::N,петел,gallus
187,Gans::N,гъска,anser
188,Adler::N,орел,aquila
189,Ente::N,патица,anas
190,Eule::N,сова,ulula
191,Eule::N,сова,noctua
192,Kranich::N,жерав,grus
193,Krähe::N,врана,cornix
194,Kuckuck::N,кукувица,cuculus
195,Schwan::N,лебед,olor
196,Schwan::N,лебед,cycnus
197,Fisch::N,риба,piscis
198,Barsch::N,костур,perca
199,Hecht::N,щука,esox
200,Schlange[Tier]::N,змия,serpens
201,Wurm::N,червей,vermis
202,Spinne::N,паяк,aranea
203,Ameise::N,мравка,formica
204,Laus::N,въшка,pediculus
205,Mücke::N,комар,culex
206,Fliege::N,муха,musca
207,Schmetterling::N,пеперуда,papilio
208,Beere::N,плод,baca
209,Apfel::N,ябълка,malum
210,Pilz::N,гъба,fungus
211,Zwiebel::N,лук,cepa
212,Zwiebel::N,кромид,cepa
213,Saat::N,семе,seges
214,Korn::N,зърно,granum
215,Heu::N,сено,faenum
216,Schale::N,кора,putamen
217,Grube::N,яма,fovea
218,Grube::N,дупка,fovea
219,Falle::N,примка,pedica
220,Schlinge::N,клуп,laqueus
