,Concept_ID,lt,az
0,Auge::N,akis,göz
1,Ohr::N,ausis,qulaq
2,Nase::N,nosis,burun
3,Mund::N,burna,ağız
4,Zahn::N,dantis,diş
5,Zunge::N,liežuvis,dil
6,Lippe::N,lūpa,dodaq
7,Wange::N,žandas,yanaq
8,Wange::N,skruostas,yanaq
9,Gesicht::N,veidas,üz
10,Stirn::N,kakta,alın
11,Haar::N,plaukai,saç
12,Schnurrbart::N,ūsai,bığ
13,Bart::N,barzda,saqqal
14,Kinn::N,smakras,çənə
15,Kiefer[Anatomie]::N,žandikaulis,çənə
16,Kehle::N,gerklė,boğaz
17,Hals::N,kaklas,boyun
18,Genick::N,sprandas,ənsə
19,Kopf::N,galva,baş
20,Rücken::N,nugara,bel
21,Bauch::N,pilvas,qarın
22,Nabel::N,bamba,göbək
23,Busen::N,krūtinė,məmə
24,Brust::N,krūtis,döş
25,Schulter::N,petys,çiyin
26,Arm::N,ranka,qol
27,Ellenbogen::N,alkūnė,dirsək
28,Hand::N,ranka,əl
29,Hand::N,plaštaka,əl
30,Handfläche::N,delnas,ovuc
31,Handfläche::N,plaštaka,ovuc
32,Finger::N,pirštas,barmaq
33,Fingernagel::N,nagas,barmaq dırnağı
34,Nagel[Anatomie]::N,nagas,dırnak
35,Zeh::N,pirštas,ayaq barmağı
36,Fuß::N,pėda,ayaq
37,Ferse::N,kulnas,daban
38,Knie::N,kelis,diz
39,Oberschenkel::N,kulšis,bud
40,Oberschenkel::N,šlaunis,bud
41,Bein::N,koja,qıç
42,Körper::N,kūnas,əndam
43,Haut::N,oda,dəri
44,Blut::N,kraujas,qan
45,Ader::N,kraujagyslė,damar
46,Sehne::N,sausgyslė,vətər
47,Knochen::N,kaulas,sümük
48,Gehirn::N,smegenys,beyin
49,Herz::N,širdis,ürək
50,Magen::N,skrandis,mədə
51,Leber::N,kepenys,qara ciyər
52,Atem::N,kvapas,nəfəs
53,Hunger::N,badas,aclıq
54,Hunger::N,alkis,aclıq
55,Träne::N,ašara,göz yaşı
56,Geschmack::N,skonis,tam
57,Geschmack::N,skonis,ləzzət
58,Geruch::N,kvapas,qoxu
59,Schlaf::N,miegas,yuxu
60,Traum::N,sapnas,röya
61,Himmel::N,dangus,göy
62,Himmel::N,dangus,səma
63,Sonne::N,saulė,günəş
64,Mond::N,mėnulis,ay
65,Stern::N,žvaigždė,ulduz
66,Luft::N,oras,hava
67,Wind::N,vėjas,yel
68,Wind::N,vėjas,külək
69,Welle::N,banga,dalğa
70,Welle::N,vilnis,dalğa
71,Wasser::N,vanduo,su
72,Stein::N,akmuo,daş
73,Boden::N,žemė,yer
74,Boden::N,žemė,zəmin
75,Boden::N,dugnas,yer
76,Boden::N,dugnas,zəmin
77,Erde::N,žemė,yer torpaq
78,Staub::N,dulkės,toz
79,Rauch::N,dūmai,tüstü
80,Funke::N,kibirkštis,qığılcım
81,Feuer::N,ugnis,od
82,Licht::N,šviesa,işıq
83,Schatten::N,paūksmė,kölgə
84,Wetter::N,oras,hava
85,Nebel::N,migla,duman
86,Nebel::N,rūkas,duman
87,Wolke::N,debesis,bulud
88,Regen::N,lietus,yağış
89,Regen::N,lietus,yağmur
