,Concept_ID,xal,cs
0,Auge::N,нүдн,oko
1,Ohr::N,чикн,ucho
2,Nase::N,хамр,nos
3,Mund::N,амн,pusa
4,Zahn::N,шүдн,zub
5,Zunge::N,келн,jazyk
6,Lippe::N,урл,ret
7,Wange::N,халх,tvář
8,Gesicht::N,нүр,obličej
9,Stirn::N,маңна,čelo
10,Haar::N,үсн,vlas
11,Haar::N,үсн,vlasy
12,Schnurrbart::N,сахл,kníry
13,Bart::N,сахл,vousy
14,Bart::N,өргнә сахл,vousy
15,Kinn::N,өргн,brada
16,Kiefer[Anatomie]::N,өргн,čelist
17,Kehle::N,хол,hrdlo
18,Hals::N,күзүн,krk
19,Genick::N,гиҗг,týl
20,Kopf::N,толһа,hlava
21,Rücken::N,нурһн,záda
22,Rücken::N,нурһн,hřbet
23,Bauch::N,гесн,břicho
24,Nabel::N,киисн,pupek
25,Busen::N,көкн,ňadra
26,Brust::N,чееҗ,prsa
27,Schulter::N,ээм,plece
28,Schulter::N,ээм,rameno
29,Arm::N,һар,ruka
30,Ellenbogen::N,тоха,loket
31,Hand::N,баһлцг,ruka
32,Handfläche::N,альхн,dlaň
33,Finger::N,хурһн,prst
34,Finger::N,һарин хурһн,prst
35,Fingernagel::N,хумсн,nehet
36,Nagel[Anatomie]::N,хумсн,nehet
37,Zeh::N,хурһн,prst u nohy
38,Zeh::N,көлин хурһн,prst u nohy
39,Fuß::N,тавг,noha
40,Ferse::N,өскә,pata
41,Knie::N,өвдг,koleno
42,Oberschenkel::N,һуй,stehno
43,Bein::N,көл,noha
44,Körper::N,махмуд,tělo
45,Haut::N,арсн,kůže
46,Blut::N,цусн,krev
47,Ader::N,судцн,céva
48,Sehne::N,шүрүсн,šlacha
49,Knochen::N,ясн,kost
50,Gehirn::N,экн,mozek
51,Herz::N,зүркн,srdce
52,Magen::N,гесн,žaludek
53,Leber::N,элкн,játra
54,Atem::N,әмсхл,dech
55,Hunger::N,харһнлһн,hlad
56,Träne::N,нульмсн,slza
57,Geschmack::N,амтн,vkus
58,Geruch::N,үнр,vůně
59,Geruch::N,үнр,zápach
60,Schlaf::N,нөр,spánek
61,Traum::N,зүүдн,sen
62,Himmel::N,теңгр,nebe
63,Sonne::N,нарн,slunce
64,Mond::N,сар,měsíc
65,Stern::N,одн,hvězda
66,Luft::N,аһар,vzduch
67,Wind::N,салькн,vítr
68,Welle::N,дольган,vlna
69,Wasser::N,усн,voda
70,Stein::N,чолун,kámen
71,Boden::N,Һазр,půda
72,Erde::N,Һазр,země
73,Staub::N,тоосн,prach
74,Rauch::N,утан,dým
75,Rauch::N,утан,kouř
76,Funke::N,очн,jiskra
77,Feuer::N,һал,oheň
78,Licht::N,герл,světlo
79,Schatten::N,сүүдр,stín
80,Wetter::N,теңгр,počasí
81,Nebel::N,будн,mlha
82,Wolke::N,үүлн,mrak
83,Wolke::N,үүлн,oblak
84,Regen::N,хур,déšť
85,Schnee::N,цасн,sníh
86,Eis::N,мөсн,led
87,Frost::N,киитн,mráz
88,Kälte::N,киитн,chlad
89,Hitze::N,халун,horko
90,Raureif::N,цаң,jinovatka
91,Raureif::N,кирү,jinovatka
92,Regenbogen::N,солңһ,duha
93,Donner::N,оһтрһун дун,hrom
94,Strömung::N,урсхл,proudění
95,Tropfen::N,дусал,kapka
96,Schaum::N,көөсн,pěna
97,Schmutz::N,кир,špína
98,See::N,нур,jezero
99,Sumpf::N,унул,močál
100,Sumpf::N,унул,bažina
101,Moor::N,улм,bažina
102,Moor::N,улм,slatina
103,Wiese::N,хадлһн,louka
104,Wald::N,ө-модн,les
105,Hügel::N,толһа,kopec
106,Anhöhe::N,хамр,pahorek
107,Berg::N,уул,hora
108,Gipfel::N,ора,vrchol
109,Höhle::N,хадин көндә,jeskyně
110,Abhang::N,ташу,svah
111,Abhang::N,ташу,stráň
112,Quelle::N,булг,pramen
113,Bach::N,һооҗур,potok
114,Fluss::N,һол,řeka
115,Ufer::N,көвә,břeh
116,Küste::N,көвә,pobřeží
117,Küste::N,теңгсин көвә,pobřeží
118,Festland::N,хүүрә һазр,souš
119,Festland::N,хүүрә һазр,pevnina
120,Meer::N,теңгс,moře
121,Bucht::N,цекә,záliv
122,Bucht::N,цекә,zátoka
123,Bucht::N,теңгсин цекә,záliv
124,Bucht::N,теңгсин цекә,zátoka
125,Insel::N,арл,ostrov
126,Blume::N,цецг,květina
127,Gras::N,ноһан,tráva
128,Wurzel::N,уңг,kořen
129,Baum::N,модн,strom
130,Stamm::N,шилв,kmen
131,Stamm::N,һол модн,kmen
132,Rinde::N,көрсн,kůra
133,Ast::N,ац,větev
134,Zweig::N,ац,větev
135,Blatt::N,хамтхасн,lupen
136,Birke::N,хусм модн,bříza
137,Kiefer[Baum]::N,шар харһа,sosna
138,Kiefer[Baum]::N,шар харһа,borovice
139,Weide[Baum]::N,удн,vrba
140,Tanne::N,җөөлн цаһан модн,jedle
141,Horn::N,өвр,roh
142,Feder::N,өрвлг,pero
143,Fell::N,арсн,srst
144,Flügel::N,җивр,křídlo
145,Klaue::N,хумсн,dráp
146,Klaue::N,хумсн,pazneht
147,Kralle::N,тавг,dráp
148,Schwanz::N,сүл,ocas
149,Ei::N,өндгн,vejce
150,Nest::N,үр,hnízdo
151,Bau::N,нүкн,nora
152,Tier::N,мал,zvíře
153,Herde::N,сүрг мал,stádo
154,Kuh::N,үкр,kráva
155,Bulle::N,бух,býk
156,Pferd::N,мөрн,kůň
157,Schaf::N,хөн,ovce
158,Schwein::N,һаха,vepř
159,Schwein::N,һаха,prase
160,Hund::N,ноха,pes
161,Katze::N,мис,kočka
162,Bär::N,аю,medvěd
163,Eichhörnchen::N,кермн,veverka
164,Elch::N,хандһа,los
165,Fuchs::N,арат,liška
166,Hase::N,туула,zajíc
167,Maus::N,хулһн,myš
168,Wolf::N,чон,vlk
169,Vogel::N,шовун,pták
170,Schwarm::N,зел,roj
171,Schwarm::N,зел,hejno
172,Huhn::N,така,kuře
173,Huhn::N,така,slepice
174,Hahn::N,эр така,kohout
175,Gans::N,һалун,husa
176,Adler::N,һәрд,orel
177,Ente::N,нуһсн,kachna
178,Eule::N,һурвлһ,sova
179,Kranich::N,тоһрун,jeřáb
180,Krähe::N,шаазһа,vrána
181,Kuckuck::N,эргин хуцдг,kukačka
182,Schwan::N,хун,labuť
183,Fisch::N,заһсн,ryba
184,Barsch::N,шүрг,okoun
185,Hecht::N,цурх,štika
186,Schlange[Tier]::N,моһа,had
187,Wurm::N,өтн,červ
188,Spinne::N,аралҗн,pavouk
189,Ameise::N,шорһлҗн,mravenec
190,Laus::N,бөөсн,veš
191,Mücke::N,бөкүн,komár
192,Fliege::N,батхн,moucha
193,Schmetterling::N,эрвәкә,motýl
194,Beere::N,бөөлҗрһн,bobule
195,Apfel::N,альмн,jablko
196,Pilz::N,теңгрин ки,houba
197,Zwiebel::N,мәңгрснә толһа,cibule
198,Saat::N,буудян экн,osivo
199,Korn::N,экн,zrno
200,Heu::N,өвсн,seno
201,Schale::N,хальсн,slupka
202,Schale::N,хальсн,skořápka
203,Grube::N,нүкн,jáma
204,Falle::N,урх,past
205,Falle::N,урх,léčka
206,Falle::N,хавх,past
207,Falle::N,хавх,léčka
208,Schlinge::N,бүтү,smyčka
209,Spur::N,мөр,stopa
210,Asche::N,үмсн,popel
211,Dreck::N,бальчг,špína
212,Eisen::N,төмр,železo
213,Gold::N,алтн,zlato
214,Silber::N,мөңгн,stříbro
215,Silber::N,цаһан мөңгн,stříbro
216,Kohle::N,нүүрсн,uhlí
217,Glas::N,шил,sklo
218,Lehm::N,шавр,jíl
219,Lehm::N,шавр,hlína
220,Sand::N,элсн,písek
221,Mensch::N,күн,člověk
222,Mensch::N,күмн,člověk
223,Mann::N,эр,muž
224,Frau::N,күүкд күн,žena
225,Kind::N,үрн,dítě
226,Junge::N,көвүн,hoch
227,Junge::N,көвүн,chlapec
228,Mädchen::N,бичкн күүкн,děvče
229,Familie::N,бүл,rodina
230,Großvater::N,өвк эцк,děd
231,Großvater::N,өвк эцк,dědeček
232,Großvater::N,наһц эцк,děd
233,Großvater::N,наһц эцк,dědeček
234,Großmutter::N,эмг эк,babička
235,Großmutter::N,наһц эк,babička
236,Eltern::N,эк эцк хойр,rodiče
237,Vater::N,эцк,otec
238,Mutter::N,эк,matka
239,Sohn::N,көвүн,syn
240,Tochter::N,күүкн,dcera
241,Bruder::N,дү көвүн,bratr
242,Schwester::N,эгч,sestra
243,Schwester::N,дү күүкн,sestra
244,Onkel::N,авһ,strýc
245,Onkel::N,наһцх,strýc
246,Tante::N,наһц эгч,teta
247,Ehemann::N,залу,choť
248,Ehemann::N,залу,manžel
249,Ehefrau::N,гергн,choť
250,Ehefrau::N,гергн,manželka
251,Freude::N,байр,radost
252,Gelächter::N,инәдн,smích
253,Glück::N,җирһл,štěstí
254,Glück::N,сәәхн җирһл,štěstí
255,Kummer::N,зовлң,žal
256,Kummer::N,зовлң,trápení
257,Wunsch::N,дурн,přání
258,Lust::N,җилвтлһн,chuť
259,Geist::N,зөрг,duch
260,Gedanke::N,ухан,myšlenka
261,Gedächtnis::N,чееҗин тодлвр,paměť
262,Verstand::N,ухан,rozum
263,Sinn::N,учр-утх,smysl
264,Grund::N,учр,důvod
265,Grund::N,шалтан,důvod
266,Wahrheit::N,үнн,pravda
267,Gespräch::N,күүндвүр,rozhovor
268,Märchen::N,тууль,pohádka
269,Erzählung::N,келвр,povídka
270,Nachricht::N,медүллһн,zpráva
271,Neuigkeit::N,зәңг,novina
272,Neuigkeit::N,зәңг,novinka
273,Name::N,нерн,jméno
274,Rätsel::N,тәәлвртә тууль,hádanka
275,Rede::N,келлһн,řeč
276,Rede::N,келлһн,proslov
277,Sprache::N,келн,řeč
278,Sprache::N,келн,jazyk
279,Stimme::N,дун,hlas
280,Wort::N,үг,slovo
281,Zeichen::N,темдг,znamení
282,Ruf::N,дуудлһн,zavolání
283,Lärm::N,шууган,hluk
284,Laut::N,ә,zvuk
285,Ton::N,дун,tón
286,Lied::N,дун,píseň
287,Ruhe::N,амулң,klid
288,Ruhe::N,амулң,pokoj
289,Leute::N,әмтн,lidé
290,Volk::N,улс,národ
291,Arbeit::N,көдлмш,práce
292,Gast::N,гиич,host
293,Geschenk::N,белг,dar
294,Spiel::N,наадн,hra
295,Gesellschaft::N,олн,společnost
296,Hilfe::N,нөкд,pomoc
297,Freund::N,иньг,přítel
298,Kamerad::N,үр,kamarád
299,Angelegenheit::N,керг,záležitost
300,Anzahl::N,то,počet
301,Art::N,зүүл,druh
302,Stück::N,хусг,kus
303,Stück::N,хусг,kousek
304,Teil::N,хүв,díl
305,Teil::N,хүв,část
306,Hälfte::N,өрәл,půl
307,Kreis::N,төгрг,kruh
308,Kreuz::N,кирс,kříž
309,Linie::N,зурасн,linka
310,Strich::N,татасн,čára
311,Strich::N,татасн,čárka
312,Abstand::N,зә,vzdálenost
313,Entfernung::N,һазр,vzdálenost
314,Gegend::N,һазр,krajina
315,Platz::N,зә,prostor
316,Ort::N,бәәрн,místo
317,Seite::N,тал,strana
318,Seite::N,хаҗу,strana
319,Seite::N,хәврһ,strana
320,Mitte::N,дунд,střed
321,Mitte::N,дунд,prostředek
322,Gegenstand::N,юмн,předmět
323,Sache::N,юмн,věc
324,Rand::N,зах,kraj
325,Rand::N,зах,okraj
326,Kante::N,ирмәг,hrana
327,Ecke::N,өнцг,roh
328,Spitze::N,үзүр,hrot
329,Spitze::N,үзүр,špička
330,Ende::N,үзүр,konec
331,Loch::N,хаһрха,díra
332,Winkel::N,булң,kout
333,Muster::N,намч,vzor
334,Größe::N,кемҗән,velikost
335,Länge::N,ут,délka
336,Höhe::N,өндр,výška
337,Gewicht::N,күнд,váha
338,Gewicht::N,чиңнүр,váha
339,Menge::N,ик,množství
340,Haufen::N,ова,kupa
341,Haufen::N,ова,hromada
342,Reihe::N,зерг,řada
343,Reihe::N,зерг,řádek
344,Reihe::N,зерглән,řada
345,Reihe::N,зерглән,řádek
346,Boot::N,оңһц,člun
347,Ruder::N,хәәв,veslo
348,Schlitten::N,цан,sáně
349,Ski::N,лыҗ,lyže
350,Lagerfeuer::N,костёр,táborák
351,Last::N,күнд,náklad
352,Last::N,күнд,břemeno
353,Gang::N,йовлһн,chůze
354,Gang::N,йовлһн,chodba
355,Schritt::N,ишкм,krok
356,Norden::N,ар үзг,sever
357,Süden::N,өмн,jih
358,Süden::N,өмн үзг,jih
359,Westen::N,барун,západ
360,Westen::N,барун үзг,západ
361,Osten::N,зүн,východ
362,Osten::N,зүн үзг,východ
363,Holz::N,модн,dřevo
364,Brett::N,харһа,prkno
365,Platte::N,хавтха чолун,deska
366,Stütze::N,тулг,opěra
367,Stange::N,уньн,tyč
368,Stange::N,уньн,tyčka
369,Stock::N,модн,hůlka
370,Stab::N,шуург,hůl
371,Rohr::N,турва,trubka
372,Haus::N,гер,dům
373,Heim::N,гер-бул,domov
374,Ofen::N,беш,kamna
375,Fußboden::N,девскр,podlaha
376,Tisch::N,ширә,stůl
377,Stuhl::N,стул,židle
378,Wiege::N,өлгә,kolébka
379,Wiege::N,дүүҗң,kolébka
380,Bett::N,орн,postel
381,Bett::N,орндг,postel
382,Regal::N,таг,regál
383,Regal::N,таг,police
384,Regal::N,тәвц,regál
385,Regal::N,тәвц,police
386,Kiste::N,яршг,bedna
387,Fenster::N,терз,okno
388,Tür::N,үүдн,dveře
389,Tor::N,үүдн,vrata
390,Tor::N,өргн үүдн,vrata
391,Tor::N,хашан үүдн,vrata
392,Zaun::N,хаша,plot
393,Dach::N,деевр,střecha
394,Leiter::N,шат,žebřík
395,Leiter::N,давшур,žebřík
396,Besen::N,сәвүр,koště
397,Besen::N,сәвүр,smeták
398,Spaten::N,күрз,rýč
399,Schaufel::N,совг,lopata
400,Gabel::N,серә,vidlička
401,Löffel::N,ухр,lžíce
402,Messer::N,утх,nůž
403,Nagel::N,хадасн,hřebík
404,Netz::N,гөлм,síť
405,Haken::N,дегә,hák
406,Griff::N,иш,držadlo
407,Griff::N,бәрүл,držadlo
408,Schloss::N,оньс,zámek
409,Bild::N,зург,obraz
410,Figur::N,фигур,figura
411,Puppe::N,наадһа,panenka
412,Beutel::N,мишг,pytlík
413,Bündel::N,багла,svazek
414,Bündel::N,боодһа,svazek
415,Tasche::N,сумк,taška
416,Tasche::N,сумк,brašna
417,Eimer::N,суулһ,kýbl
418,Eimer::N,суулһ,vědro
419,Deckel::N,бүркәсн,víko
420,Deckel::N,бүркәсн,příklop
421,Geschirr::N,сав,nádobí
422,Geschirr::N,сав-сарх,nádobí
423,Sack::N,мишг,pytel
424,Tasse::N,ааһ,šálek
425,Topf::N,кастрюль,hrnec
426,Kessel::N,хәәсн,kotel
427,Essen::N,зоогллһн,jídlo
428,Nahrung::N,теҗәл,strava
429,Nahrung::N,теҗәл,potrava
430,Speise::N,хот,jídlo
431,Fleisch::N,махн,maso
432,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,obilí
433,Brei::N,хаш,kaše
434,Brot::N,өдмг,chléb
435,Scheibe::N,зүсм,krajíc
436,Fett::N,өөкн,tuk
437,Fett::N,өөкн,omastek
438,Butter::N,тосн,máslo
439,Öl::N,тосн,olej
440,Salz::N,давсн,sůl
441,Suppe::N,шөлн,polévka
442,Honig::N,бал,med
443,Milch::N,үсн,mléko
444,Tee::N,цә,čaj
445,Leder::N,арсн,kůže
446,Wolle::N,утцн,vlna
447,Wolle::N,эд,vlna
448,Stoff::N,эд,látka
449,Nadel::N,зүн,jehla
450,Faden::N,утцн,nit
451,Knopf::N,товч,knoflík
452,Knoten::N,зәңгдә,uzel
453,Farbe::N,будг,barva
454,Kleidung::N,хувцн,šaty
455,Kleidung::N,хувцн,šatstvo
456,Kleidung::N,хувц-хунр,šaty
457,Kleidung::N,хувц-хунр,šatstvo
458,Hemd::N,киилг,košile
459,Kragen::N,зах,límec
460,Ärmel::N,ханцн,rukáv
461,Hose::N,шалвур,kalhoty
462,Gürtel::N,бүс,pás
463,Gürtel::N,бүс,opasek
464,Mütze::N,махла,čepice
465,Schuh::N,башмгуд,bota
466,Stiefel::N,һосн,holínka
467,Ring::N,билцг,prsten
468,Band::N,лент,pásek
469,Kamm::N,сам,hřeben
470,Spiegel::N,толь,zrcadlo
471,Riemen::N,бүс,řemen
472,Schnur::N,деесн,šňůra
473,Leine::N,бурнтг,vodítko
474,Leine::N,нохан көтлвр,vodítko
475,Decke::N,көнҗл,pokrývka
476,Decke::N,көнҗл,přikrývka
477,Kissen::N,дер,polštář
478,Tuch::N,альчур,šátek
479,Handtuch::N,полотенц,ručník
480,Handtuch::N,һар-нүүрин альчур,ručník
481,Kraft::N,күчн,síla
482,Stärke::N,чидл,síla
483,Gesundheit::N,эрүл-менд,zdraví
484,Krankheit::N,өвчн,nemoc
485,Krankheit::N,өвчн,choroba
486,Schmerz::N,өвдлһн,bolest
487,Wunde::N,шав,rána
488,Fieber::N,безг,horečka
489,Arznei::N,эм,lék
490,Brücke::N,тагт,most
491,Brunnen::N,худг,studna
492,Weide::N,малын идг,pastva
493,Weide::N,малын идг,pastvina
494,Pfad::N,цувг,pěšina
495,Weg::N,хаалһ,cesta
496,Straße::N,зам,silnice
497,Dorf::N,хотн,vesnice
498,Stadt::N,балһсн,město
499,Brief::N,бичг,dopis
500,Buch::N,дегтр,kniha
501,Buchstabe::N,үзг,písmeno
502,Zeitung::N,газет,noviny
503,Leben::N,җирһл,život
504,Tod::N,үкл,smrt
505,Tod::N,өңгрлһн,smrt
506,Grab::N,оршалһна нүкн,hrob
507,Kirche::N,чонҗ,kostel
508,Sünde::N,нүл,hřích
509,Sünde::N,килнц,hřích
510,Gott::N,бурхн,bůh
511,Arbeiter::N,көдлмшч,dělník
512,Arbeiter::N,көдлмшч,pracovník
513,Chef::N,толһач,šéf
514,Chef::N,толһач,vedoucí
515,Meister::N,урн,mistr
516,Arzt::N,эмч,lékař
517,Lehrer::N,багш,učitel
518,Geld::N,мөңгн,peníze
519,Geschäft::N,көдлмш,obchod
520,Laden::N,лавк,krám
521,Preis::N,үн,cena
522,Ware::N,эд-тавр,zboží
523,Nutzen::N,олз,užitek
524,Reichtum::N,зөөр,bohatství
525,Welt::N,орчлң,svět
