,Concept_ID,lt,ru
0,Auge::N,akis,глаз
1,Ohr::N,ausis,ухо
2,Nase::N,nosis,нос
3,Mund::N,burna,рот
4,Zahn::N,dantis,зуб
5,Zunge::N,liežuvis,язык
6,Lippe::N,lūpa,губа
7,Wange::N,žandas,щека
8,Wange::N,skruostas,щека
9,Gesicht::N,veidas,лицо
10,Stirn::N,kakta,лоб
11,Haar::N,plaukai,волос
12,Haar::N,plaukai,волосы
13,Schnurrbart::N,ūsai,ус
14,Schnurrbart::N,ūsai,усы
15,Bart::N,barzda,борода
16,Kinn::N,smakras,подбородок
17,Kiefer[Anatomie]::N,žandikaulis,челюсть
18,Kehle::N,gerklė,горло
19,Hals::N,kaklas,шея
20,Genick::N,sprandas,затылок
21,Kopf::N,galva,голова
22,Rücken::N,nugara,спина
23,Bauch::N,pilvas,живот
24,Nabel::N,bamba,пупок
25,Busen::N,krūtinė,женская грудь
26,Brust::N,krūtis,грудь
27,Schulter::N,petys,плечо
28,Arm::N,ranka,рука
29,Ellenbogen::N,alkūnė,локоть
30,Hand::N,ranka,кисть
31,Hand::N,plaštaka,кисть
32,Handfläche::N,delnas,ладонь
33,Handfläche::N,plaštaka,ладонь
34,Finger::N,pirštas,палец
35,Fingernagel::N,nagas,ноготь
36,Nagel[Anatomie]::N,nagas,ноготь
37,Zeh::N,pirštas,палец
38,Fuß::N,pėda,ступня
39,Ferse::N,kulnas,пята
40,Ferse::N,kulnas,пятка
41,Knie::N,kelis,колено
42,Oberschenkel::N,kulšis,бедро
43,Oberschenkel::N,šlaunis,бедро
44,Bein::N,koja,нога
45,Körper::N,kūnas,тело
46,Haut::N,oda,кожа
47,Blut::N,kraujas,кровь
48,Ader::N,kraujagyslė,вена
49,Ader::N,kraujagyslė,сосуд
50,Sehne::N,sausgyslė,жила
51,Sehne::N,sausgyslė,тетива
52,Sehne::N,sausgyslė,сухожилие
53,Knochen::N,kaulas,кость
54,Gehirn::N,smegenys,мозг
55,Herz::N,širdis,сердце
56,Magen::N,skrandis,желудок
57,Leber::N,kepenys,печень
58,Atem::N,kvapas,дух
59,Atem::N,kvapas,дыхание
60,Hunger::N,badas,голод
61,Hunger::N,alkis,голод
62,Träne::N,ašara,слеза
63,Geschmack::N,skonis,вкус
64,Geruch::N,kvapas,запах
65,Schlaf::N,miegas,сон
66,Traum::N,sapnas,сновидение
67,Himmel::N,dangus,небо
68,Sonne::N,saulė,солнце
69,Mond::N,mėnulis,луна
70,Stern::N,žvaigždė,звезда
71,Luft::N,oras,воздух
72,Wind::N,vėjas,ветер
73,Welle::N,banga,волна
74,Welle::N,vilnis,волна
75,Wasser::N,vanduo,вода
76,Stein::N,akmuo,камень
77,Boden::N,žemė,почва
78,Boden::N,dugnas,почва
79,Erde::N,žemė,земля
80,Staub::N,dulkės,пыль
81,Rauch::N,dūmai,дым
82,Funke::N,kibirkštis,искра
83,Feuer::N,ugnis,огонь
84,Licht::N,šviesa,свет
85,Schatten::N,paūksmė,тень
86,Wetter::N,oras,погода
87,Nebel::N,migla,туман
88,Nebel::N,rūkas,туман
89,Wolke::N,debesis,облако
90,Regen::N,lietus,дождь
91,Schnee::N,sniegas,снег
92,Eis::N,ledas,лед
93,Frost::N,šalna,мороз
94,Kälte::N,šaltis,холод
95,Hitze::N,karštis,жара
96,Raureif::N,šerkšnas,иней
97,Regenbogen::N,vaivorykštė,радуга
98,Donner::N,perkūnas,гром
99,Donner::N,griaustinis,гром
100,Strömung::N,tėkmė,течение
101,Tropfen::N,lašas,капля
102,Schaum::N,putos,пена
103,Schmutz::N,purvas,грязь
104,See::N,ežeras,озеро
105,Sumpf::N,klampynė,топь
106,Sumpf::N,liūnas,топь
107,Moor::N,pelkė,болото
108,Wiese::N,pieva,луг
109,Wald::N,miškas,лес
110,Hügel::N,kalva,холм
111,Anhöhe::N,kauburys,возвышенность
112,Berg::N,kalnas,гора
113,Gipfel::N,viršūnė,вершина
114,Höhle::N,ola,пещера
115,Abhang::N,šlaitas,склон
116,Abhang::N,nuokalnė,склон
117,Quelle::N,versmė,источник
118,Quelle::N,šaltinis,источник
119,Bach::N,upelis,ручей
120,Fluss::N,upė,река
121,Ufer::N,krantas,берег
122,Küste::N,pajūris,побережье
123,Festland::N,sausuma,суша
124,Meer::N,jūra,море
125,Bucht::N,įlanka,бухта
126,Bucht::N,užutekis,бухта
127,Insel::N,sala,остров
128,Blume::N,gėlė,цветок
129,Gras::N,žolė,трава
130,Wurzel::N,šaknis,корень
131,Baum::N,medis,дерево
132,Stamm::N,kamienas,ствол
133,Rinde::N,žievė,кора
134,Ast::N,šaka,сук
135,Zweig::N,šakelė,ветвь
136,Blatt::N,lapas,лист
137,Birke::N,beržas,береза
138,Kiefer[Baum]::N,pušis,сосна
139,Weide[Baum]::N,karklas,ива
140,Tanne::N,eglė,ель
141,Tanne::N,kėnis,ель
142,Horn::N,ragas,рог
143,Feder::N,plunksna,перо
144,Fell::N,kailis,шкура
145,Flügel::N,sparnas,крыло
146,Klaue::N,kanopa,коготь
147,Kralle::N,nagas,лапа
148,Schwanz::N,uodega,хвост
149,Ei::N,kiaušinis,яйцо
150,Nest::N,gūžta,гнездо
151,Nest::N,lizdas,гнездо
152,Bau::N,ola,нора
153,Tier::N,gyvūnas,животное
154,Herde::N,banda,стадо
155,Herde::N,kaimenė,стадо
156,Kuh::N,karvė,корова
157,Bulle::N,bulius,бык
158,Pferd::N,arklys,лошадь
159,Schaf::N,avis,овца
160,Schwein::N,kiaulė,свинья
161,Hund::N,šuo,собака
162,Katze::N,katė,кошка
163,Bär::N,lokys,медведь
164,Eichhörnchen::N,voveraitė,белка
165,Elch::N,briedis,лось
