,Concept_ID,tt,bg
0,Auge::N,күз,око
1,Ohr::N,колак,ухо
2,Nase::N,борын,нос
3,Mund::N,авыз,уста
4,Mund::N,тамак,уста
5,Zahn::N,теш,зъб
6,Zunge::N,тел,език
7,Lippe::N,ирен,устна
8,Wange::N,яңак,буза
9,Gesicht::N,йөз,лице
10,Gesicht::N,йөз,образ
11,Stirn::N,маңгай,чело
12,Haar::N,чәч,коса
13,Haar::N,чәч,косъм
14,Schnurrbart::N,мыек,мустаци
15,Bart::N,сакал,брада
16,Kinn::N,ияк,брада
17,Kinn::N,ияк,брадичка
18,Kiefer[Anatomie]::N,казналык,челюст
19,Kehle::N,тамак,гърло
20,Hals::N,бугаз,врат
21,Genick::N,җилкә,тил
22,Kopf::N,баш,глава
23,Rücken::N,сырт,гръб
24,Bauch::N,корсак,корем
25,Nabel::N,кендек,пъп
26,Busen::N,түш,бозка
27,Brust::N,имчәк,гръд
28,Brust::N,күкрәк,гръд
29,Schulter::N,иңбаш,рамо
30,Schulter::N,иңбаш,плещи
31,Schulter::N,кулбаш,рамо
32,Schulter::N,кулбаш,плещи
33,Arm::N,кул,ръка
34,Ellenbogen::N,терсәк,лакът
35,Hand::N,кул,ръка
36,Hand::N,кул,китка
37,Handfläche::N,уч,длан
38,Finger::N,бармак,пръст
39,Fingernagel::N,тырнак,нокът
40,Nagel[Anatomie]::N,тырнак,нокът
41,Zeh::N,бармак,пръст на крак
42,Fuß::N,табан,крак
43,Fuß::N,табан,нога
44,Ferse::N,үкчә,пета
45,Knie::N,тез,коляно
46,Oberschenkel::N,бот,бедро
47,Bein::N,аяк,крак
48,Bein::N,аяк,нога
49,Körper::N,тән,тяло
50,Körper::N,җисем,тяло
51,Haut::N,тире,кожа
52,Blut::N,кан,кръв
53,Ader::N,тамыр,вена
54,Ader::N,тамыр,артерия
55,Sehne::N,сеңер,жила
56,Sehne::N,сеңер,сухожилие
57,Knochen::N,сөяк,кост
58,Gehirn::N,ми,мозък
59,Herz::N,йөрәк,сърце
60,Magen::N,ашказаны,стомах
61,Leber::N,бавыр,черен дроб
62,Atem::N,сулыш,дишане
63,Hunger::N,ачлык,глад
64,Träne::N,яшь,сълза
65,Geschmack::N,тәм,вкус
66,Geschmack::N,зәвык,вкус
67,Geruch::N,ис,миризма
68,Schlaf::N,йокы,сън
69,Traum::N,төш,сън
70,Himmel::N,күк,небе
71,Sonne::N,кояш,слънце
72,Mond::N,ай,луна
73,Mond::N,ай,месец
74,Stern::N,йолдыз,звезда
75,Luft::N,һава,въздух
76,Wind::N,җил,вятър
77,Welle::N,дулкын,вълна
78,Wasser::N,су,вода
79,Stein::N,таш,камък
80,Boden::N,туфрак,земя
81,Boden::N,туфрак,почва
82,Erde::N,җир,земя
83,Erde::N,җир,почва
84,Staub::N,тузан,прах
85,Rauch::N,төтен,дим
86,Rauch::N,төтен,пушек
87,Funke::N,очкын,искра
88,Feuer::N,ут,огън
89,Licht::N,якты,светлина
90,Schatten::N,күләгә,сянка
91,Wetter::N,һава,време
92,Nebel::N,томан,мъгла
93,Wolke::N,болыт,облак
94,Regen::N,яңгыр,дъжд
95,Schnee::N,кар,сняг
96,Eis::N,боз,лед
97,Frost::N,суык,мраз
98,Frost::N,салкын,мраз
99,Kälte::N,суык,студ
100,Kälte::N,салкын,студ
101,Hitze::N,эсселек,жега
102,Hitze::N,эсселек,горещина
103,Raureif::N,бәс,скреж
104,Raureif::N,бәс,слана
105,Raureif::N,сыкы,скреж
106,Raureif::N,сыкы,слана
107,Regenbogen::N,салават күпере,дъга
108,Donner::N,күкрәү,гръм
109,Strömung::N,агыш'агым,течение
110,Tropfen::N,тамчы,капка
111,Schaum::N,күбек,пяна
112,Schmutz::N,пычрак,кал
113,Schmutz::N,пычрак,мръсотия
114,See::N,күл,езеро
115,Sumpf::N,саз,блато
116,Moor::N,торфлык,мочурище
117,Wiese::N,болын,ливада
118,Wald::N,урман,гора
119,Hügel::N,калку,рид
120,Hügel::N,калку,хълм
121,Anhöhe::N,үр,могила
122,Anhöhe::N,үр,възвишение
123,Berg::N,тау,планина
124,Gipfel::N,оч,връх
125,Höhle::N,мәгарә,пещера
126,Abhang::N,кабырга,склон
127,Abhang::N,кабырга,стръмнина
128,Quelle::N,чишмә,извор
129,Bach::N,елга,поток
130,Fluss::N,дәрья,река
131,Ufer::N,су кырые,бряг
132,Küste::N,яр буе,бряг
133,Küste::N,яр буе,крайбрежие
134,Festland::N,коры җир,суша
135,Meer::N,диңгез,море
136,Bucht::N,бухта,залив
137,Bucht::N,култык,залив
138,Insel::N,атау,остров
139,Insel::N,утрау,остров
140,Blume::N,чәчкә,цвете
141,Gras::N,үлән,трева
142,Wurzel::N,тамыр,корен
143,Baum::N,агач,дърво
144,Stamm::N,кәүсә,стъбло
145,Rinde::N,кабык,кора
146,Ast::N,ботак,клон
147,Zweig::N,ботак,клон
148,Zweig::N,тармак,клон
149,Blatt::N,яфрак,лист
150,Birke::N,каен,бреза
151,Kiefer[Baum]::N,нарат,бор
152,Weide[Baum]::N,тал,върба
153,Tanne::N,чыршы,ела
154,Horn::N,мөгез,рог
155,Feder::N,йон,перо
156,Fell::N,тире,кожа
157,Flügel::N,канат,крило
158,Klaue::N,тырнак,нокът
159,Kralle::N,тырнак,нокът
160,Schwanz::N,койрык,опашка
161,Ei::N,күкәй,яйце
162,Ei::N,йомырка,яйце
163,Nest::N,оя,гнездо
164,Bau::N,өн,дупка
165,Tier::N,хайван,животно
166,Herde::N,көтү,стадо
167,Kuh::N,сыер,крава
168,Bulle::N,үгез,бик
169,Pferd::N,ат,кон
170,Schaf::N,сарык,овца
171,Schwein::N,дуңгыз,свиня
172,Hund::N,эт,куче
173,Katze::N,песи,котка
174,Bär::N,аю,мечка
175,Eichhörnchen::N,тиен,катерица
176,Elch::N,поши,лос
177,Fuchs::N,төлке,лисица
178,Hase::N,куян,заек
179,Maus::N,тычкан,мишка
180,Wolf::N,бүре,вълк
181,Vogel::N,кош,птица
182,Schwarm::N,көтү,рой
183,Schwarm::N,көтү,рояк
184,Huhn::N,тавык,кокошка
185,Hahn::N,әтәч,петел
186,Gans::N,каз,гъска
187,Adler::N,каракош,орел
188,Ente::N,үрдәк,патица
189,Eule::N,ябалак,сова
190,Kranich::N,торна,жерав
191,Krähe::N,карга,врана
192,Kuckuck::N,күке,кукувица
193,Kuckuck::N,кәккүк,кукувица
194,Schwan::N,аккош,лебед
195,Fisch::N,балык,риба
196,Barsch::N,алабуга,костур
197,Hecht::N,чуртан,щука
198,Schlange[Tier]::N,елан,змия
199,Wurm::N,корт,червей
200,Spinne::N,үрмәкүч,паяк
201,Ameise::N,кырмыска,мравка
202,Laus::N,бет,въшка
203,Mücke::N,черки,комар
204,Mücke::N,озынборын,комар
205,Fliege::N,чебен,муха
206,Schmetterling::N,күбәләк,пеперуда
207,Beere::N,җиләк,плод
208,Apfel::N,алма,ябълка
209,Pilz::N,гөмбә,гъба
210,Zwiebel::N,суган,лук
211,Zwiebel::N,суган,кромид
212,Zwiebel::N,суганбаш,лук
213,Zwiebel::N,суганбаш,кромид
214,Saat::N,орлык,семе
215,Korn::N,иген,зърно
216,Korn::N,орлык,зърно
217,Heu::N,печән,сено
218,Schale::N,кабык,кора
219,Grube::N,баз,яма
220,Grube::N,баз,дупка
221,Grube::N,чокыр,яма
222,Grube::N,чокыр,дупка
223,Falle::N,тозак,примка
224,Falle::N,капкын,примка
225,Schlinge::N,элмәк,клуп
226,Spur::N,эз,диря
227,Spur::N,эз,следа
228,Asche::N,көл,пепел
229,Dreck::N,пычрак,кал
230,Eisen::N,тимер,желязо
231,Gold::N,алтын,злато
232,Silber::N,көмеш,сребро
233,Kohle::N,күмер,въглища
234,Glas::N,пыяла,стъкло
235,Lehm::N,балчык,глина
236,Sand::N,ком,пясък
237,Mensch::N,адәм,човек
238,Mensch::N,инсан,човек
239,Mann::N,ир,мъж
240,Frau::N,хатын,жена
241,Kind::N,бала,дете
242,Junge::N,малай,момче
243,Mädchen::N,кыз,момиче
244,Familie::N,гаилә,фамилия
245,Familie::N,гаилә,семейство
246,Großvater::N,бабай,дядо
247,Großmutter::N,әби,баба
248,Eltern::N,ата-ана,родители
249,Vater::N,ата,баща
250,Mutter::N,ана,майка
251,Sohn::N,ул,син
252,Tochter::N,кыз,дъщеря
253,Bruder::N,кардәш,брат
254,Schwester::N,апа,сестра
255,Schwester::N,сеңел,сестра
256,Onkel::N,дәдә,чичо
257,Onkel::N,дәдә,вуйчо
258,Onkel::N,дәдәй,чичо
259,Onkel::N,дәдәй,вуйчо
260,Tante::N,түти,леля
261,Tante::N,тәтәй,леля
262,Ehemann::N,ир,съпруг
263,Ehefrau::N,хатын,съпруга
264,Freude::N,сөенеч,радост
265,Gelächter::N,көлү,смях
266,Gelächter::N,көлеш,смях
267,Glück::N,бәхет,щастие
268,Kummer::N,хәсрәт,тъга
269,Wunsch::N,теләк,желание
270,Lust::N,теләк,желание
271,Lust::N,теләү,желание
272,Geist::N,рух,дух
273,Gedanke::N,уй,мисъл
274,Gedanke::N,фикер,мисъл
275,Gedächtnis::N,хәтер,памет
276,Verstand::N,акыл,ум
277,Verstand::N,акыл,разум
278,Sinn::N,мәгънә,смисъл
279,Grund::N,сәбәп,причина
280,Wahrheit::N,хак,правда
281,Gespräch::N,әңгәмә,разговор
282,Märchen::N,әкият,приказка
283,Erzählung::N,хикәя,разказ
284,Nachricht::N,хәбәр,вест
285,Nachricht::N,хәбәр,известие
286,Neuigkeit::N,яңалык,новина
287,Name::N,исем,име
288,Rätsel::N,табышмак,гатанка
289,Rede::N,нотык,реч
290,Rede::N,нотык,слово
291,Sprache::N,тел,език
292,Stimme::N,тавыш,глас
293,Wort::N,сүз,дума
294,Zeichen::N,ишарә,знак
295,Ruf::N,дәшү,зов
296,Lärm::N,шау,шум
297,Lärm::N,шау,глъчка
298,Laut::N,аваз,звук
299,Ton::N,шалтырату,тон
300,Lied::N,җыр,песен
301,Ruhe::N,тынлык,тишина
302,Ruhe::N,тынлык,спокойствие
303,Leute::N,халык,хора
304,Volk::N,халык,народ
305,Arbeit::N,эш,труд
306,Arbeit::N,эш,работа
307,Arbeit::N,хезмәт,труд
308,Arbeit::N,хезмәт,работа
309,Gast::N,кунак,гост
310,Geschenk::N,бүләк,дар
311,Geschenk::N,бүләк,подарък
312,Spiel::N,уен,игра
313,Gesellschaft::N,җәмгыять,общество
314,Hilfe::N,ярдәм,помощ
315,Hilfe::N,булышлык,помощ
316,Freund::N,дус,приятел
317,Kamerad::N,иптәш,другар
318,Angelegenheit::N,эш,работа
319,Anzahl::N,микъдар,брой
320,Anzahl::N,микъдар,количество
321,Art::N,төр,вид
322,Stück::N,кисәк,къс
323,Stück::N,кисәк,парче
324,Teil::N,өлеш,дял
325,Teil::N,өлеш,част
326,Hälfte::N,ярым,половина
327,Kreis::N,түгәрәк,кръг
328,Kreuz::N,хач,кръст
329,Kreuz::N,тәре,кръст
330,Linie::N,сызык,черта
331,Strich::N,сызык,щрих
332,Strich::N,сызык,черта
333,Abstand::N,ара,дистанция
334,Abstand::N,ара,разстояние
335,Entfernung::N,ераклык,разстояние
336,Gegend::N,урын,местност
337,Platz::N,бушлык,място
338,Ort::N,урын,място
339,Seite::N,як,страна
340,Mitte::N,урта,среда
341,Gegenstand::N,нәрсә,предмет
342,Sache::N,нәрсә,вещ
343,Rand::N,чит,ръб
344,Kante::N,кырый,ръб
345,Kante::N,кырый,кант
346,Ecke::N,почмак,ъгъл
347,Spitze::N,оч,връх
348,Spitze::N,оч,острие
349,Ende::N,азак,край
350,Loch::N,тишек,дупка
351,Winkel::N,почмак,кът
352,Winkel::N,почмак,ъгъл
353,Muster::N,парча,десен
354,Muster::N,парча,образец
355,Größe::N,зурлык,големина
356,Länge::N,озынлык,дължина
357,Höhe::N,биеклек,висота
358,Höhe::N,биеклек,височина
359,Gewicht::N,авырлык,тегло
360,Gewicht::N,авырлык,тежест
361,Menge::N,микъдар,количество
362,Haufen::N,өем,куп
363,Haufen::N,өем,грамада
364,Reihe::N,рәт,ред
365,Reihe::N,рәт,редица
366,Boot::N,каек,лодка
367,Boot::N,көймә,лодка
368,Ruder::N,ишкәк,весло
369,Ruder::N,ишкәк,гребло
370,Schlitten::N,чана,шейна
371,Ski::N,чаңгы,ски
372,Lagerfeuer::N,костёр,огнище
373,Last::N,йөк,товар
374,Gang::N,йөреш,ход
375,Gang::N,йөреш,вървеж
376,Schritt::N,адым,стъпка
377,Norden::N,төньяк,север
378,Süden::N,көньяк,юг
379,Westen::N,көнбатыш,запад
380,Osten::N,шәрык,изток
381,Osten::N,көнчыгыш,изток
382,Holz::N,агач,дърво
383,Brett::N,такта,дъска
384,Platte::N,плитә,
385,Stütze::N,таяу,
386,Stange::N,колга,прът
387,Stange::N,колга,върлина
388,Stock::N,таяк,прът
389,Stock::N,таяк,тояга
390,Stab::N,таяк,прът
391,Rohr::N,торба,цев
392,Rohr::N,торба,тръба
393,Haus::N,өй,къща
394,Haus::N,йорт,къща
395,Heim::N,гаилә,дом
396,Heim::N,нәсел,дом
397,Ofen::N,мич,печка
398,Fußboden::N,идән,под
399,Tisch::N,өстәл,маса
