,Concept_ID,vep,ja
0,Auge::N,sil'm,目
1,Ohr::N,korv,耳
2,Nase::N,nena,鼻
3,Mund::N,su,口
4,Zahn::N,pi,歯
5,Zahn::N,hambaz,歯
6,Zunge::N,kel',舌
7,Lippe::N,hul',唇
8,Wange::N,modpolišk,頬
9,Gesicht::N,mod,顔
10,Stirn::N,oc,額
11,Haar::N,tuk,髪
12,Haar::N,hibuz,髪
13,Schnurrbart::N,habinod,口髭
14,Bart::N,bard,髭
15,Kinn::N,löug,顎
16,Kiefer[Anatomie]::N,hambazlu,顎
17,Kehle::N,kurk,喉
18,Hals::N,kagl,首
19,Genick::N,tagarai,首
20,Kopf::N,pä,頭
21,Rücken::N,sel'g,背中
22,Bauch::N,vac,腹
23,Bauch::N,vac,お腹
24,Bauch::N,koht,腹
25,Bauch::N,koht,お腹
26,Nabel::N,naba,へそ
27,Busen::N,niža,乳房
28,Brust::N,rind,胸
29,Schulter::N,oug,肩
30,Arm::N,käzi,腕
31,Ellenbogen::N,künambruz,肘
32,Hand::N,käzi,手
33,Hand::N,käzitera,手
34,Handfläche::N,kämen,手のひら
35,Finger::N,sor'm,指
36,Fingernagel::N,künz',爪
37,Nagel[Anatomie]::N,künz',爪
38,Zeh::N,barbaz,足の指
39,Fuß::N,jaug,足
40,Ferse::N,kand,かかと
41,Knie::N,komb,膝
42,Knie::N,pol'v,膝
43,Oberschenkel::N,riiže,上腿
44,Bein::N,jaug,足
45,Körper::N,hibj,体
46,Haut::N,nahk,皮膚
47,Blut::N,čak,血
48,Blut::N,veri,血
49,Ader::N,son',血管
50,Sehne::N,jände,腱
51,Knochen::N,lu,骨
52,Gehirn::N,aivod,脳
53,Herz::N,südäin,心
54,Herz::N,südäin,心臓
55,Magen::N,südäikoht,胃
56,Leber::N,maks,肝臓
57,Atem::N,hengaiduz,息
58,Atem::N,hengaiduz,呼吸
59,Hunger::N,näl'g,空腹
60,Träne::N,kündal',涙
61,Geschmack::N,magu,味
62,Geruch::N,haju,匂い
63,Schlaf::N,uni,睡眠
64,Traum::N,unikuva,夢
65,Himmel::N,taivaz,空
66,Sonne::N,päiväine,太陽
67,Mond::N,kudmaine,月
68,Stern::N,tähtaz,星
69,Luft::N,il'm,空気
70,Wind::N,döl,風
71,Wind::N,tullei,風
72,Welle::N,ald,波
73,Welle::N,laineh,波
74,Wasser::N,vezi,水
75,Stein::N,kivi,石
76,Boden::N,ma,土地
77,Boden::N,pohj,土地
78,Erde::N,ma,土
79,Staub::N,pölü,埃
80,Rauch::N,savu,煙
81,Funke::N,kibin,火花
82,Feuer::N,lämoi,火
83,Licht::N,vauktuz,光
84,Schatten::N,pil'vez,陰
85,Schatten::N,kuvahaine,陰
86,Wetter::N,sä,天気
87,Nebel::N,sumeg,霧
88,Wolke::N,pil'v,雲
89,Regen::N,vihm,雨
90,Schnee::N,lumi,雪
91,Eis::N,jä,氷
92,Frost::N,hala,霜
93,Frost::N,pakaine,霜
94,Kälte::N,vilu,寒さ
95,Hitze::N,räk,暑さ
96,Raureif::N,hüde,霧氷
97,Regenbogen::N,jumalanbembel',虹
98,Donner::N,juru,雷
99,Donner::N,jumalanjuru,雷
100,Strömung::N,joksmuz,流れ
101,Tropfen::N,tilkuine,滴
102,Schaum::N,vaht,泡
103,Schmutz::N,redu,汚れ
104,Schmutz::N,pačak,汚れ
105,See::N,järv,湖
106,Sumpf::N,so,沼
107,Moor::N,so,湿原
108,Wiese::N,nit,草原
109,Wald::N,mec,森
110,Hügel::N,kukaz,丘
111,Anhöhe::N,kukaz,高み
112,Berg::N,mägi,山
113,Gipfel::N,ladv,頂上
114,Höhle::N,mägionduz,洞窟
115,Abhang::N,paute,斜面
116,Quelle::N,lähte,泉
117,Bach::N,oja,小川
118,Fluss::N,jogi,川
119,Ufer::N,rand,岸
120,Küste::N,randišt,海岸
121,Festland::N,kuivma,陸
122,Meer::N,meri,海
123,Bucht::N,laht,湾
124,Insel::N,sar',島
125,Blume::N,änik,花
126,Gras::N,hein,草
