,Concept_ID,sq,se
0,Auge::N,sy,tjelmie
1,Auge::N,sy,tjalmme
2,Auge::N,sy,čalbmi
3,Auge::N,sy,čalme
4,Auge::N,sy,čâ´lmm
5,Auge::N,sy,ча̄лльм
6,Ohr::N,vesh,bieljie
7,Ohr::N,vesh,biellje
8,Ohr::N,vesh,beallji
9,Ohr::N,vesh,pelji
10,Ohr::N,vesh,pe´llj
11,Ohr::N,vesh,пе̄лльй
12,Nase::N,hundë,njuenie
13,Nase::N,hundë,njunnje
14,Nase::N,hundë,njunni
15,Nase::N,hundë,njuṇe
16,Nase::N,hundë,njuu´nn
17,Nase::N,hundë,нюннҍ
18,Mund::N,gojë,njaelmie
19,Mund::N,gojë,njálmme
20,Mund::N,gojë,njálbmi
21,Mund::N,gojë,njälmi
22,Mund::N,gojë,njä´lmm
23,Mund::N,gojë,ня̄лльм
24,Zahn::N,dhëmb,baenie
25,Zahn::N,dhëmb,bádne
26,Zahn::N,dhëmb,bátni
27,Zahn::N,dhëmb,pääṇi
28,Zahn::N,dhëmb,pää´nn
29,Zahn::N,dhëmb,па̄ннҍ
30,Zunge::N,gjuhë,njoektjeme
31,Zunge::N,gjuhë,njuovtjav
32,Zunge::N,gjuhë,njuovčča
33,Zunge::N,gjuhë,njuovčâ
34,Zunge::N,gjuhë,njuhččâm
35,Zunge::N,gjuhë,нюхчем
36,Lippe::N,buzë,bangseme
37,Lippe::N,buzë,njálmmerabdda
38,Lippe::N,buzë,bavssa
39,Lippe::N,buzë,poovsâ
40,Lippe::N,buzë,põõus
41,Lippe::N,buzë,пэ̄кс
42,Wange::N,faqe,skiehrie
43,Wange::N,faqe,nierra
44,Wange::N,faqe,muohtu
45,Wange::N,faqe,nieṛâ
46,Wange::N,faqe,njiõrr
47,Wange::N,faqe,нӣрр
48,Wange::N,mollëz,skiehrie
49,Wange::N,mollëz,nierra
50,Wange::N,mollëz,muohtu
51,Wange::N,mollëz,nieṛâ
52,Wange::N,mollëz,njiõrr
53,Wange::N,mollëz,нӣрр
54,Gesicht::N,fytyrë,ååredæjja
55,Gesicht::N,fytyrë,muohto
56,Gesicht::N,fytyrë,muođut
57,Gesicht::N,fytyrë,ámadadju
58,Gesicht::N,fytyrë,muáđuh
59,Gesicht::N,fytyrë,muâđ
60,Gesicht::N,fytyrë,ка̄ссв
61,Stirn::N,ballë,gaalloe
62,Stirn::N,ballë,gállo
63,Stirn::N,ballë,gállu
64,Stirn::N,ballë,kállu
65,Stirn::N,ballë,käll
66,Stirn::N,ballë,вуэххьц
67,Haar::N,flokë,voepte
68,Haar::N,flokë,vuoppta
69,Haar::N,flokë,vuokta
70,Haar::N,flokë,vuop'tâ
71,Haar::N,flokë,vuõpt
72,Haar::N,flokë,вӯппт
73,Schnurrbart::N,mustaqe,bijjie-skaavtjoe
74,Schnurrbart::N,mustaqe,njunjevuolskávttjá
75,Schnurrbart::N,mustaqe,seamu
76,Schnurrbart::N,mustaqe,siämu
77,Schnurrbart::N,mustaqe,ää´bben
78,Schnurrbart::N,mustaqe,о̄а̄бпан
79,Bart::N,mjekër,skaavtja
80,Bart::N,mjekër,skaavtjoe
81,Bart::N,mjekër,skávttjá
82,Bart::N,mjekër,seamu
83,Bart::N,mjekër,siämu
84,Bart::N,mjekër,seäm
85,Bart::N,mjekër,ся̄м
86,Kinn::N,mjekër,gaejpie
87,Kinn::N,mjekër,gájbbe
88,Kinn::N,mjekër,gáibi
89,Kinn::N,mjekër,käibi
90,Kinn::N,mjekër,käi´bb
91,Kinn::N,mjekër,ка̄ййп
92,Kiefer[Anatomie]::N,nofull,gaejpie
93,Kiefer[Anatomie]::N,nofull,oalol
94,Kiefer[Anatomie]::N,nofull,oaloldákte
95,Kiefer[Anatomie]::N,nofull,gáibi
96,Kiefer[Anatomie]::N,nofull,uá'lultähti
97,Kiefer[Anatomie]::N,nofull,vuâl'lõš
98,Kiefer[Anatomie]::N,nofull,вуаллнешш
99,Kehle::N,fyt,gealoe
100,Kehle::N,fyt,tjåttå
101,Kehle::N,fyt,njiello
102,Kehle::N,fyt,čotta
103,Kehle::N,fyt,čuudâ
104,Kehle::N,fyt,čoodd
105,Kehle::N,fyt,чонт
106,Kehle::N,fyt,кэ̄ҏс
107,Kehle::N,grykë,gealoe
108,Kehle::N,grykë,tjåttå
109,Kehle::N,grykë,njiello
110,Kehle::N,grykë,čotta
111,Kehle::N,grykë,čuudâ
112,Kehle::N,grykë,čoodd
113,Kehle::N,grykë,чонт
114,Kehle::N,grykë,кэ̄ҏс
115,Hals::N,qafë,tjeapohke
116,Hals::N,qafë,tjiebet
117,Hals::N,qafë,čeabet
118,Hals::N,qafë,čiäppát
119,Hals::N,qafë,čeäppat
120,Hals::N,qafë,ча̄пэх
121,Genick::N,arrëz,tjovrese
122,Genick::N,arrëz,nisske
123,Genick::N,arrëz,niehkki
124,Genick::N,arrëz,niski
