,Concept_ID,he,he
0,Auge::N,עין,עין
1,Ohr::N,אזן,אזן
2,Nase::N,אף,אף
3,Nase::N,אף,חטם
4,Nase::N,חטם,אף
5,Nase::N,חטם,חטם
6,Mund::N,פה,פה
7,Zahn::N,שן,שן
8,Zunge::N,לשון,לשון
9,Lippe::N,שפה,שפה
10,Wange::N,לחי,לחי
11,Gesicht::N,פנים,פנים
12,Stirn::N,מצח,מצח
13,Haar::N,שערה,שערה
14,Schnurrbart::N,שפם,שפם
15,Bart::N,זקן,זקן
16,Kinn::N,סנטר,סנטר
17,Kiefer[Anatomie]::N,לסת,לסת
18,Kehle::N,גרון,גרון
19,Hals::N,צואר,צואר
20,Genick::N,ערף,ערף
21,Kopf::N,ראש,ראש
22,Rücken::N,גב,גב
23,Bauch::N,בטן,בטן
24,Nabel::N,טבור,טבור
25,Busen::N,שד,שד
26,Brust::N,חזה,חזה
27,Schulter::N,כתף,כתף
28,Arm::N,זרוע,זרוע
29,Ellenbogen::N,מרפק,מרפק
30,Hand::N,יד,יד
31,Handfläche::N,כף יד,כף יד
32,Finger::N,אצבע,אצבע
33,Fingernagel::N,צפרן,צפרן
34,Nagel[Anatomie]::N,צפרן,צפרן
35,Zeh::N,אצבע,אצבע
36,Fuß::N,רגל,רגל
37,Ferse::N,עקב,עקב
38,Knie::N,ברך,ברך
39,Oberschenkel::N,ירך,ירך
40,Bein::N,רגל,רגל
41,Körper::N,גוף,גוף
42,Haut::N,עור,עור
43,Blut::N,דם,דם
44,Ader::N,וריד,וריד
45,Sehne::N,גיד,גיד
46,Knochen::N,עצם,עצם
47,Gehirn::N,מוח,מוח
48,Herz::N,לב,לב
49,Magen::N,קבה,קבה
50,Leber::N,כבד,כבד
51,Atem::N,נשימה,נשימה
52,Hunger::N,רעב,רעב
53,Träne::N,דמעה,דמעה
54,Geschmack::N,טעם,טעם
55,Geruch::N,ריח,ריח
56,Schlaf::N,שנה,שנה
57,Traum::N,חלום,חלום
58,Himmel::N,שמים,שמים
59,Sonne::N,שמש,שמש
60,Mond::N,ירח,ירח
61,Stern::N,כוכב,כוכב
62,Luft::N,אויר,אויר
63,Wind::N,רוח,רוח
64,Welle::N,גל,גל
65,Wasser::N,מים,מים
66,Stein::N,אבן,אבן
67,Boden::N,קרקע,קרקע
68,Erde::N,אדמה,אדמה
69,Staub::N,אבק,אבק
70,Rauch::N,עשן,עשן
71,Funke::N,ניצוץ,ניצוץ
72,Feuer::N,אש,אש
73,Licht::N,אור,אור
74,Schatten::N,צל,צל
75,Wetter::N,מזג אויר,מזג אויר
76,Nebel::N,ערפל,ערפל
77,Wolke::N,ענן,ענן
78,Regen::N,גשם,גשם
79,Schnee::N,שלג,שלג
80,Eis::N,קרח,קרח
81,Frost::N,צנה,צנה
82,Kälte::N,קר,קר
83,Hitze::N,חם,חם
84,Raureif::N,כפור,כפור
85,Regenbogen::N,קשת,קשת
86,Donner::N,רעם,רעם
87,Strömung::N,זרימה,זרימה
88,Tropfen::N,טפה,טפה
89,Schaum::N,קצף,קצף
90,Schmutz::N,לכלוך,לכלוך
91,See::N,אגם,אגם
92,Sumpf::N,בצה,בצה
93,Moor::N,בצה,בצה
94,Wiese::N,מרעה,מרעה
95,Wald::N,יער,יער
96,Hügel::N,תל,תל
97,Anhöhe::N,מעלה,מעלה
98,Berg::N,הר,הר
99,Gipfel::N,פסגה,פסגה
100,Höhle::N,מערה,מערה
101,Abhang::N,מדרון,מדרון
102,Abhang::N,מדרון,שפוע
103,Abhang::N,שפוע,מדרון
104,Abhang::N,שפוע,שפוע
105,Quelle::N,מעין,מעין
106,Bach::N,נחל,נחל
107,Fluss::N,נהר,נהר
108,Ufer::N,גדה,גדה
109,Küste::N,חוף,חוף
110,Festland::N,יבשה,יבשה
111,Meer::N,ים,ים
112,Bucht::N,מפרץ,מפרץ
113,Insel::N,אי,אי
114,Blume::N,פרח,פרח
115,Gras::N,דשא,דשא
116,Wurzel::N,שרש,שרש
117,Baum::N,עץ,עץ
118,Stamm::N,גזע,גזע
119,Rinde::N,קלפת עץ,קלפת עץ
120,Ast::N,ענף,ענף
121,Zweig::N,ענף,ענף
122,Blatt::N,עלה,עלה
123,Birke::N,שדר,שדר
124,Kiefer[Baum]::N,ארן,ארן
125,Weide[Baum]::N,ערבה,ערבה
126,Tanne::N,אשוח,אשוח
127,Horn::N,קרן,קרן
128,Feder::N,נוצה,נוצה
129,Fell::N,פרוה,פרוה
130,Flügel::N,כנף,כנף
131,Klaue::N,טלף,טלף
132,Kralle::N,טפר,טפר
133,Schwanz::N,זנב,זנב
134,Ei::N,ביצה,ביצה
135,Nest::N,קן,קן
136,Bau::N,מחלה,מחלה
137,Tier::N,חיה,חיה
138,Herde::N,עדר,עדר
139,Kuh::N,פרה,פרה
140,Bulle::N,פר,פר
141,Pferd::N,סוס,סוס
142,Schaf::N,כבשה,כבשה
143,Schwein::N,חזיר,חזיר
144,Hund::N,כלב,כלב
145,Katze::N,חתול,חתול
146,Bär::N,דב,דב
147,Eichhörnchen::N,סנאי,סנאי
148,Elch::N,דישון,דישון
149,Fuchs::N,שועל,שועל
150,Hase::N,ארנב,ארנב
151,Maus::N,עכבר,עכבר
152,Wolf::N,זאב,זאב
153,Vogel::N,צפור,צפור
154,Schwarm::N,נחיל,נחיל
155,Schwarm::N,נחיל,להקה
156,Schwarm::N,להקה,נחיל
157,Schwarm::N,להקה,להקה
158,Huhn::N,תרנגלת,תרנגלת
159,Hahn::N,תרנגול,תרנגול
160,Gans::N,אוז,אוז
161,Adler::N,עיט,עיט
162,Ente::N,ברוז,ברוז
163,Eule::N,ינשוף,ינשוף
164,Kranich::N,עגור,עגור
165,Kranich::N,עגור,כרוכיה
166,Kranich::N,כרוכיה,עגור
167,Kranich::N,כרוכיה,כרוכיה
168,Krähe::N,עורב,עורב
169,Kuckuck::N,קוקיה,קוקיה
170,Schwan::N,ברבור,ברבור
171,Fisch::N,דג,דג
172,Barsch::N,אוקונוס,אוקונוס
173,Hecht::N,זאב הים,זאב הים
174,Schlange[Tier]::N,נחש,נחש
175,Wurm::N,תולעת,תולעת
176,Spinne::N,עכביש,עכביש
177,Ameise::N,נמלה,נמלה
178,Laus::N,כנה,כנה
179,Mücke::N,יתוש,יתוש
180,Fliege::N,זבוב,זבוב
181,Schmetterling::N,פרפר,פרפר
182,Beere::N,ענבה,ענבה
183,Apfel::N,תפוח,תפוח
184,Pilz::N,פטריה,פטריה
185,Zwiebel::N,בצל,בצל
186,Saat::N,זרעים,זרעים
187,Korn::N,גרעין,גרעין
188,Heu::N,חציר,חציר
189,Schale::N,קלפה,קלפה
190,Grube::N,בור,בור
191,Grube::N,בור,שוחה
192,Grube::N,שוחה,בור
193,Grube::N,שוחה,שוחה
194,Falle::N,מלכדת,מלכדת
195,Schlinge::N,לולאה,לולאה
196,Spur::N,עקבה,עקבה
197,Asche::N,אפר,אפר
198,Dreck::N,זהמה,זהמה
199,Eisen::N,ברזל,ברזל
200,Gold::N,זהב,זהב
201,Silber::N,כסף,כסף
202,Kohle::N,פחם,פחם
203,Glas::N,זכוכית,זכוכית
204,Lehm::N,חרסית,חרסית
205,Sand::N,חול,חול
206,Mensch::N,אדם,אדם
207,Mann::N,איש,איש
208,Mann::N,איש,גבר
209,Mann::N,גבר,איש
210,Mann::N,גבר,גבר
211,Frau::N,אשה,אשה
212,Frau::N,אשה,גברת
213,Frau::N,גברת,אשה
214,Frau::N,גברת,גברת
215,Kind::N,ילד,ילד
216,Junge::N,ילד,ילד
217,Mädchen::N,נערה,נערה
218,Familie::N,משפחה,משפחה
219,Großvater::N,סבא,סבא
220,Großmutter::N,סבתא,סבתא
221,Eltern::N,הורים,הורים
222,Vater::N,אב,אב
223,Mutter::N,אם,אם
224,Sohn::N,בן,בן
225,Tochter::N,בת,בת
226,Bruder::N,אח,אח
227,Schwester::N,אחות,אחות
228,Onkel::N,דוד,דוד
229,Tante::N,דודה,דודה
230,Ehemann::N,איש,איש
231,Ehemann::N,איש,בעל
232,Ehemann::N,בעל,איש
233,Ehemann::N,בעל,בעל
234,Ehefrau::N,אשה,אשה
235,Freude::N,שמחה,שמחה
236,Gelächter::N,צחוק,צחוק
237,Glück::N,אשר,אשר
238,Kummer::N,יגון,יגון
239,Kummer::N,יגון,עגמה
240,Kummer::N,עגמה,יגון
241,Kummer::N,עגמה,עגמה
242,Wunsch::N,אחול,אחול
243,Wunsch::N,אחול,משאלה
244,Wunsch::N,משאלה,אחול
245,Wunsch::N,משאלה,משאלה
246,Lust::N,חשק,חשק
247,Lust::N,חשק,תשוקה
248,Lust::N,תשוקה,חשק
249,Lust::N,תשוקה,תשוקה
250,Geist::N,רוח,רוח
251,Gedanke::N,מחשבה,מחשבה
252,Gedächtnis::N,זכרון,זכרון
253,Verstand::N,שכל,שכל
254,Sinn::N,מובן,מובן
255,Sinn::N,מובן,משמעות
256,Sinn::N,משמעות,מובן
257,Sinn::N,משמעות,משמעות
258,Grund::N,סבה,סבה
259,Wahrheit::N,אמת,אמת
260,Gespräch::N,דיון,דיון
261,Märchen::N,אגדה,אגדה
262,Erzählung::N,ספור,ספור
263,Nachricht::N,ידיעה,ידיעה
264,Neuigkeit::N,חדשה,חדשה
265,Name::N,שם,שם
