,Concept_ID,de,ps
0,Auge::N,Auge,سترګه
1,Ohr::N,Ohr,غوږ
2,Nase::N,Nase,پوزه
3,Mund::N,Mund,خوله
4,Zahn::N,Zahn,غاښ
5,Zunge::N,Zunge,جبه
6,Lippe::N,Lippe,شونډه
7,Wange::N,Wange,باړخو
8,Gesicht::N,Gesicht,مخ
9,Stirn::N,Stirn,تندی
10,Stirn::N,Stirn,وچولی
11,Haar::N,Haar,وېښته
12,Schnurrbart::N,Schnurrbart,برېت
13,Bart::N,Bart,ږیره
14,Kinn::N,Kinn,زنه
15,Kiefer[Anatomie]::N,Kiefer,جامه
16,Kehle::N,Kehle,غاړه
17,Hals::N,Hals,غاړه
18,Genick::N,Genick,ورمېږ
19,Kopf::N,Kopf,سر
20,Rücken::N,Rücken,شا
21,Bauch::N,Bauch,نس
22,Bauch::N,Bauch,ګېډه
23,Nabel::N,Nabel,نوم
24,Busen::N,Busen,تی
25,Brust::N,Brust,سینه
26,Schulter::N,Schulter,اوږه
27,Arm::N,Arm,لاس
28,Ellenbogen::N,Ellenbogen,څنګل
29,Hand::N,Hand,لاس
30,Handfläche::N,Handfläche,ورغوی
31,Finger::N,Finger,ګوته
32,Fingernagel::N,Fingernagel,نوک
33,Nagel[Anatomie]::N,Nagel,نوک
34,Zeh::N,Zeh,ګوته
35,Fuß::N,Fuß,پښه
36,Ferse::N,Ferse,پونده
37,Knie::N,Knie,زنګون
38,Oberschenkel::N,Oberschenkel,پتون
39,Bein::N,Bein,پښه
40,Körper::N,Körper,ځان
41,Haut::N,Haut,پوټکی
42,Blut::N,Blut,وینه
43,Ader::N,Ader,رګ
44,Sehne::N,Sehne,پله
45,Knochen::N,Knochen,هډوکی
46,Gehirn::N,Gehirn,ماغزه
47,Herz::N,Herz,زړه
48,Magen::N,Magen,معده
49,Leber::N,Leber,ينه
50,Leber::N,Leber,ځیګر
51,Atem::N,Atem,نفس
52,Hunger::N,Hunger,ولږه
53,Träne::N,Träne,اوښکه
54,Geschmack::N,Geschmack,مزه
55,Geschmack::N,Geschmack,خوند
56,Geruch::N,Geruch,بوی
57,Schlaf::N,Schlaf,خوب
58,Traum::N,Traum,خوب
59,Himmel::N,Himmel,اسمان
60,Sonne::N,Sonne,لمر
61,Mond::N,Mond,سپوږمۍ
62,Stern::N,Stern,ستوری
63,Luft::N,Luft,هوا
64,Wind::N,Wind,ورښ
65,Welle::N,Welle,موج
66,Wasser::N,Wasser,اوبه
67,Stein::N,Stein,ډبره
68,Boden::N,Boden,مځکه
69,Erde::N,Erde,خاوره
70,Staub::N,Staub,ګرد
71,Staub::N,Staub,خاوره
72,Rauch::N,Rauch,دود
73,Rauch::N,Rauch,لوګی
74,Funke::N,Funke,سپرغۍ
75,Feuer::N,Feuer,اور
76,Licht::N,Licht,رڼا
77,Schatten::N,Schatten,سیوری
78,Wetter::N,Wetter,هوا
79,Nebel::N,Nebel,لړه
80,Wolke::N,Wolke,ورېځ
81,Regen::N,Regen,وریا
82,Regen::N,Regen,باران
83,Schnee::N,Schnee,واوره
84,Eis::N,Eis,یخ
85,Eis::N,Eis,کنګل
86,Frost::N,Frost,یخ
87,Kälte::N,Kälte,ساړه
88,Hitze::N,Hitze,تودوخي
89,Raureif::N,Raureif,سپینه پرخه
90,Regenbogen::N,Regenbogen,بوډۍ ټال
91,Regenbogen::N,Regenbogen,سره زرغونه
92,Donner::N,Donner,تالنده
93,Strömung::N,Strömung,بهېدنه
94,Tropfen::N,Tropfen,قطره
95,Tropfen::N,Tropfen,څاڅکی
96,Schaum::N,Schaum,ځګ
97,Schmutz::N,Schmutz,ناپاکي
98,See::N,See,جهیل
99,Sumpf::N,Sumpf,جبه
100,Moor::N,Moor,جبه
101,Wiese::N,Wiese,چمن
102,Wiese::N,Wiese,شنېلی
103,Wald::N,Wald,ځنګل
104,Hügel::N,Hügel,تپه
105,Anhöhe::N,Anhöhe,غونډۍ
106,Berg::N,Berg,غ‍‍‍‍‍ر
107,Gipfel::N,Gipfel,څوکه
108,Höhle::N,Höhle,کاز
109,Abhang::N,Abhang,لمن
110,Quelle::N,Quelle,چینه
111,Bach::N,Bach,واله
112,Fluss::N,Fluss,سیند
113,Ufer::N,Ufer,غاړه
114,Küste::N,Küste,ساحل
115,Festland::N,Festland,وچه
116,Meer::N,Meer,بحر
117,Meer::N,Meer,سمندر
118,Bucht::N,Bucht,کارۍ
119,Insel::N,Insel,ټاپو
120,Insel::N,Insel,جزيره
121,Blume::N,Blume,ګل
122,Gras::N,Gras,واښه
123,Wurzel::N,Wurzel,ریښه
124,Baum::N,Baum,ونه
125,Stamm::N,Stamm,ډډ
126,Rinde::N,Rinde,پوستکی
127,Ast::N,Ast,ښاخ
128,Zweig::N,Zweig,څانګه
129,Blatt::N,Blatt,پاڼه
130,Birke::N,Birke,توس
131,Kiefer[Baum]::N,Kiefer,نښتر
132,Weide[Baum]::N,Weide,وله
133,Tanne::N,Tanne,ناجو
134,Horn::N,Horn,ښکر
135,Feder::N,Feder,بڼکه
136,Fell::N,Fell,پوستکی
137,Flügel::N,Flügel,وزر
138,Klaue::N,Klaue,پنجه
139,Klaue::N,Klaue,منګول
140,Kralle::N,Kralle,پنجه
141,Kralle::N,Kralle,منګول
142,Schwanz::N,Schwanz,لکۍ
143,Ei::N,Ei,وۍ
144,Ei::N,Ei,هګۍ
145,Nest::N,Nest,جاله
146,Bau::N,Bau,کاز
147,Tier::N,Tier,ژوی
148,Tier::N,Tier,حیوان
149,Herde::N,Herde,رمه
150,Herde::N,Herde,غېله
151,Kuh::N,Kuh,غوا
152,Bulle::N,Bulle,غوئی
153,Pferd::N,Pferd,آس
154,Schaf::N,Schaf,پسه
155,Schwein::N,Schwein,سرکوزی
156,Hund::N,Hund,سپی
157,Katze::N,Katze,پشه
158,Bär::N,Bär,خرس
159,Eichhörnchen::N,Eichhörnchen,خړ لمی
160,Elch::N,Elch,ګوزن
161,Fuchs::N,Fuchs,سپلم
162,Hase::N,Hase,سوی
163,Maus::N,Maus,مږک
164,Wolf::N,Wolf,لېوه
165,Vogel::N,Vogel,مرغه
166,Schwarm::N,Schwarm,سېل
167,Huhn::N,Huhn,چرګه
168,Hahn::N,Hahn,چرګ
169,Gans::N,Gans,بته
170,Adler::N,Adler,عقاب
171,Ente::N,Ente,ایلۍ
172,Eule::N,Eule,ګونګی
173,Kranich::N,Kranich,کلنګ
174,Krähe::N,Krähe,کارغه
175,Kuckuck::N,Kuckuck,فاخته
176,Schwan::N,Schwan,قو
177,Fisch::N,Fisch,کب
178,Fisch::N,Fisch,ماهی
179,Barsch::N,Barsch,
180,Hecht::N,Hecht,
181,Schlange[Tier]::N,Schlange,مار
182,Wurm::N,Wurm,چینجی
183,Spinne::N,Spinne,غڼه
184,Spinne::N,Spinne,تارکښ
185,Ameise::N,Ameise,مېږی
186,Laus::N,Laus,سپږه
187,Mücke::N,Mücke,ماشی
188,Fliege::N,Fliege,مچ
189,Schmetterling::N,Schmetterling,پتنګ
190,Beere::N,Beere,مېوۍ
191,Apfel::N,Apfel,مڼه
