,Concept_ID,lbe,bg
175,Wolf::N,барцӏ,вълк
176,Vogel::N,лелуххи,птица
177,Schwarm::N,гьухъала,рой
178,Schwarm::N,гьухъала,рояк
179,Huhn::N,аьнакӏи,кокошка
180,Hahn::N,ажари,петел
181,Gans::N,къаз,гъска
182,Adler::N,барзу,орел
183,Ente::N,урдак,патица
184,Eule::N,ису,сова
185,Eule::N,ччиккумяв,сова
186,Kranich::N,кьурукь,жерав
187,Krähe::N,хъатӏу,врана
188,Kuckuck::N,ччикку,кукувица
189,Schwan::N,урттил къаз,лебед
190,Fisch::N,чавахъ,риба
191,Schlange[Tier]::N,шатта,змия
192,Wurm::N,кьюнукьай шатта,червей
193,Spinne::N,ххялцу,паяк
194,Ameise::N,митӏикьукьу,мравка
195,Mücke::N,мичӏак,комар
196,Fliege::N,зимиз,муха
197,Schmetterling::N,чӏимучӏали,пеперуда
198,Beere::N,хӏаллил ахъулсса,плод
199,Apfel::N,гьивч,ябълка
200,Pilz::N,ттуккул иис,гъба
201,Zwiebel::N,лаччул чсмусул бакӏ,лук
202,Zwiebel::N,лаччул чсмусул бакӏ,кромид
203,Saat::N,гьанна,семе
204,Korn::N,къама,зърно
205,Heu::N,ххулув,сено
206,Schale::N,ккиртту,кора
207,Grube::N,кӏаланг,яма
208,Grube::N,кӏаланг,дупка
209,Falle::N,къатӏа,примка
210,Schlinge::N,хӏатӏ,клуп
211,Spur::N,ша,диря
212,Spur::N,ша,следа
213,Asche::N,лах,пепел
214,Dreck::N,кьяркьи,кал
215,Dreck::N,венп,кал
216,Eisen::N,мах,желязо
217,Gold::N,муси,злато
218,Silber::N,арцу,сребро
219,Kohle::N,кӏалаш,въглища
220,Kohle::N,хъуручӏ,въглища
221,Glas::N,пюрун,стъкло
222,Lehm::N,сина аьрщи,глина
223,Sand::N,къун,пясък
224,Mensch::N,инсан,човек
225,Mann::N,чув,мъж
226,Mann::N,адимина,мъж
227,Frau::N,щарсса,жена
228,Frau::N,хъамитайпа,жена
229,Kind::N,чӏиви оьрчӏ,дете
230,Junge::N,оьрчӏ,момче
231,Junge::N,бурхьин оьрчӏ,момче
232,Mädchen::N,душ,момиче
233,Familie::N,кулпат,фамилия
234,Familie::N,кулпат,семейство
235,Großvater::N,ттатта,дядо
236,Großvater::N,ниттил ппу,дядо
237,Großmutter::N,буттал нину,баба
238,Eltern::N,нину-ппу,родители
239,Vater::N,ппу,баща
240,Mutter::N,нину,майка
241,Sohn::N,арс,син
242,Tochter::N,душ,дъщеря
243,Bruder::N,уссу,брат
244,Schwester::N,ссу,сестра
245,Onkel::N,буттауссу,чичо
246,Onkel::N,буттауссу,вуйчо
247,Tante::N,буттал ссу,леля
248,Ehemann::N,лас,съпруг
249,Ehefrau::N,щар,съпруга
250,Ehefrau::N,щарсса,съпруга
251,Freude::N,шадшиву,радост
252,Freude::N,ххаришиву,радост
253,Gelächter::N,хъяхъаву,смях
254,Glück::N,талихӏ,щастие
255,Kummer::N,дард,тъга
256,Wunsch::N,мурад,желание
257,Lust::N,гьавас,желание
258,Lust::N,ччаву,желание
259,Geist::N,рухӏ,дух
260,Gedanke::N,пикри,мисъл
261,Gedächtnis::N,дакӏний личӏаву,памет
262,Verstand::N,аькьлу,ум
263,Verstand::N,аькьлу,разум
264,Sinn::N,мяъна,смисъл
265,Grund::N,багьана,причина
266,Wahrheit::N,тӏайламур,правда
267,Wahrheit::N,хӏакьмур,правда
268,Gespräch::N,ихтилат,разговор
269,Märchen::N,магьа,приказка
270,Erzählung::N,хавар,разказ
271,Nachricht::N,хавар,вест
272,Nachricht::N,хавар,известие
273,Neuigkeit::N,хавар,новина
274,Name::N,цӏа,име
275,Rätsel::N,ссигьа,гатанка
276,Rede::N,гъалгъа,реч
277,Rede::N,гъалгъа,слово
278,Sprache::N,маз,език
279,Stimme::N,чӏу,глас
280,Stimme::N,чӏукӏа,глас
281,Wort::N,махъ,дума
282,Zeichen::N,лишан,знак
283,Lärm::N,чӏу,шум
284,Lärm::N,чӏу,глъчка
285,Laut::N,чӏу,звук
286,Ton::N,чӏу,тон
287,Lied::N,балай,песен
288,Ruhe::N,дигьалагру,тишина
289,Ruhe::N,дигьалагру,спокойствие
290,Leute::N,инсантал,хора
291,Volk::N,ил,народ
292,Volk::N,халкь,народ
293,Arbeit::N,заву,труд
294,Arbeit::N,заву,работа
295,Gast::N,хъамаличу,гост
296,Geschenk::N,бухчакарши,дар
297,Geschenk::N,бухчакарши,подарък
298,Geschenk::N,лажинккакку,дар
299,Geschenk::N,лажинккакку,подарък
300,Spiel::N,тӏуркӏу,игра
301,Gesellschaft::N,жямат,общество
302,Gesellschaft::N,ккуран,общество
303,Hilfe::N,кумаг,помощ
304,Freund::N,дус,приятел
305,Kamerad::N,хӏаласу,другар
306,Angelegenheit::N,иш,работа
307,Anzahl::N,аьдад,брой
308,Anzahl::N,аьдад,количество
309,Art::N,жинс,вид
310,Stück::N,касак,къс
311,Stück::N,касак,парче
312,Teil::N,бутӏа,дял
313,Teil::N,бутӏа,част
314,Hälfte::N,дачӏи,половина
315,Kreis::N,кюрщан,кръг
316,Kreuz::N,ххач,кръст
