,Concept_ID,se,mdf
0,Auge::N,tjelmie,сельме
1,Auge::N,tjalmme,сельме
2,Auge::N,čalbmi,сельме
3,Auge::N,čalme,сельме
4,Auge::N,čâ´lmm,сельме
5,Auge::N,ча̄лльм,сельме
6,Ohr::N,bieljie,пиле
7,Ohr::N,biellje,пиле
8,Ohr::N,beallji,пиле
9,Ohr::N,pelji,пиле
10,Ohr::N,pe´llj,пиле
11,Ohr::N,пе̄лльй,пиле
12,Nase::N,njuenie,шалхка
13,Nase::N,njunnje,шалхка
14,Nase::N,njunni,шалхка
15,Nase::N,njuṇe,шалхка
16,Nase::N,njuu´nn,шалхка
17,Nase::N,нюннҍ,шалхка
18,Mund::N,njaelmie,курга
19,Mund::N,njálmme,курга
20,Mund::N,njálbmi,курга
21,Mund::N,njälmi,курга
22,Mund::N,njä´lmm,курга
23,Mund::N,ня̄лльм,курга
24,Zahn::N,baenie,пей
25,Zahn::N,bádne,пей
26,Zahn::N,bátni,пей
27,Zahn::N,pääṇi,пей
28,Zahn::N,pää´nn,пей
29,Zahn::N,па̄ннҍ,пей
30,Zunge::N,njoektjeme,кяль
31,Zunge::N,njuovtjav,кяль
32,Zunge::N,njuovčča,кяль
33,Zunge::N,njuovčâ,кяль
34,Zunge::N,njuhččâm,кяль
35,Zunge::N,нюхчем,кяль
36,Lippe::N,bangseme,търва́
37,Lippe::N,njálmmerabdda,търва́
38,Lippe::N,bavssa,търва́
39,Lippe::N,poovsâ,търва́
40,Lippe::N,põõus,търва́
41,Lippe::N,пэ̄кс,търва́
42,Wange::N,skiehrie,щёка
43,Wange::N,nierra,щёка
44,Wange::N,muohtu,щёка
45,Wange::N,nieṛâ,щёка
46,Wange::N,njiõrr,щёка
47,Wange::N,нӣрр,щёка
48,Gesicht::N,ååredæjja,шама
49,Gesicht::N,muohto,шама
50,Gesicht::N,muođut,шама
51,Gesicht::N,ámadadju,шама
52,Gesicht::N,muáđuh,шама
53,Gesicht::N,muâđ,шама
54,Gesicht::N,ка̄ссв,шама
55,Stirn::N,gaalloe,коня
56,Stirn::N,gállo,коня
57,Stirn::N,gállu,коня
58,Stirn::N,kállu,коня
59,Stirn::N,käll,коня
60,Stirn::N,вуэххьц,коня
61,Haar::N,voepte,шя́ярь
62,Haar::N,vuoppta,шя́ярь
63,Haar::N,vuokta,шя́ярь
64,Haar::N,vuop'tâ,шя́ярь
65,Haar::N,vuõpt,шя́ярь
66,Haar::N,вӯппт,шя́ярь
67,Schnurrbart::N,bijjie-skaavtjoe,уса́
68,Schnurrbart::N,njunjevuolskávttjá,уса́
69,Schnurrbart::N,seamu,уса́
70,Schnurrbart::N,siämu,уса́
71,Schnurrbart::N,ää´bben,уса́
72,Schnurrbart::N,о̄а̄бпан,уса́
73,Bart::N,skaavtja,сакал
74,Bart::N,skaavtjoe,сакал
75,Bart::N,skávttjá,сакал
76,Bart::N,seamu,сакал
77,Bart::N,siämu,сакал
78,Bart::N,seäm,сакал
79,Bart::N,ся̄м,сакал
80,Kinn::N,gaejpie,ула
81,Kinn::N,gájbbe,ула
82,Kinn::N,gáibi,ула
83,Kinn::N,käibi,ула
84,Kinn::N,käi´bb,ула
85,Kinn::N,ка̄ййп,ула
86,Kiefer[Anatomie]::N,gaejpie,саласка
87,Kiefer[Anatomie]::N,oalol,саласка
88,Kiefer[Anatomie]::N,oaloldákte,саласка
89,Kiefer[Anatomie]::N,gáibi,саласка
90,Kiefer[Anatomie]::N,uá'lultähti,саласка
91,Kiefer[Anatomie]::N,vuâl'lõš,саласка
92,Kiefer[Anatomie]::N,вуаллнешш,саласка
93,Kehle::N,gealoe,кълдома
94,Kehle::N,gealoe,кърга́парь
95,Kehle::N,tjåttå,кълдома
96,Kehle::N,tjåttå,кърга́парь
97,Kehle::N,njiello,кълдома
98,Kehle::N,njiello,кърга́парь
99,Kehle::N,čotta,кълдома
100,Kehle::N,čotta,кърга́парь
101,Kehle::N,čuudâ,кълдома
102,Kehle::N,čuudâ,кърга́парь
103,Kehle::N,čoodd,кълдома
104,Kehle::N,čoodd,кърга́парь
105,Kehle::N,чонт,кълдома
106,Kehle::N,чонт,кърга́парь
107,Kehle::N,кэ̄ҏс,кълдома
108,Kehle::N,кэ̄ҏс,кърга́парь
109,Hals::N,tjeapohke,сялдаз
110,Hals::N,tjiebet,сялдаз
111,Hals::N,čeabet,сялдаз
112,Hals::N,čiäppát,сялдаз
113,Hals::N,čeäppat,сялдаз
114,Hals::N,ча̄пэх,сялдаз
115,Genick::N,tjovrese,шовонь
116,Genick::N,nisske,шовонь
117,Genick::N,niehkki,шовонь
118,Genick::N,niski,шовонь
119,Genick::N,niek'ki,шовонь
120,Genick::N,nji´šǩǩmaadd,шовонь
121,Genick::N,нышшькмоант,шовонь
122,Kopf::N,åejjie,пря
123,Kopf::N,oajvve,пря
124,Kopf::N,oaivi,пря
125,Kopf::N,uái'vi,пря
126,Kopf::N,vuei´vv,пря
127,Kopf::N,вуэййв,пря
128,Rücken::N,rudtje,копорь
129,Rücken::N,hárddo,копорь
130,Rücken::N,tjavelk,копорь
131,Rücken::N,sealgi,копорь
132,Rücken::N,selgi,копорь
133,Rücken::N,čielgi,копорь
134,Rücken::N,seä´lǧǧ,копорь
135,Rücken::N,се̄лльк,копорь
136,Bauch::N,tjåejjie,пеке
137,Bauch::N,tjoajvve,пеке
138,Bauch::N,čoavji,пеке
139,Bauch::N,čuáv'ji,пеке
140,Bauch::N,čåu´jj,пеке
141,Bauch::N,чо̄ввьй,пеке
142,Nabel::N,naepie,по́кон
143,Nabel::N,náhpe,по́кон
144,Nabel::N,náhpi,по́кон
145,Nabel::N,nääpi,по́кон
146,Nabel::N,nää´pp,по́кон
147,Nabel::N,на̄бпь,по́кон
148,Busen::N,boenge,потя
149,Busen::N,bållå,потя
150,Busen::N,čižži,потя
151,Busen::N,njamma,потя
152,Busen::N,njižže,потя
153,Busen::N,nje´ǯǯ,потя
154,Busen::N,раннҍт,потя
155,Brust::N,mïelke,мяште
156,Brust::N,radde,мяште
157,Brust::N,mielgga,мяште
158,Brust::N,raddi,мяште
159,Brust::N,radde,мяште
160,Brust::N,râ´dd,мяште
161,Brust::N,раннҍт,мяште
162,Schulter::N,åelkie,лафту
163,Schulter::N,oalgge,лафту
164,Schulter::N,hárdu,лафту
165,Schulter::N,ärdee,лафту
166,Schulter::N,uál'gi,лафту
167,Schulter::N,a´rddi,лафту
168,Schulter::N,vuä´lǧǧ,лафту
169,Schulter::N,вуэллык,лафту
170,Arm::N,gïete,кядь
171,Arm::N,giehta,кядь
172,Arm::N,giehta,кядь
173,Arm::N,kietâ,кядь
174,Arm::N,kie'tâkaaṿâ,кядь
175,Arm::N,ǩiõtt,кядь
176,Arm::N,кӣдт,кядь
177,Ellenbogen::N,gernjere,кенерьба́карь
178,Ellenbogen::N,garŋŋel,кенерьба́карь
179,Ellenbogen::N,gargŋil,кенерьба́карь
180,Ellenbogen::N,käŋŋir,кенерьба́карь
181,Ellenbogen::N,kõõnjâr,кенерьба́карь
182,Ellenbogen::N,карьнэль,кенерьба́карь
183,Hand::N,gïete,кядь
184,Hand::N,giehta,кядь
185,Hand::N,giehta,кядь
186,Hand::N,kietâ,кядь
187,Hand::N,ǩiõtt,кядь
188,Hand::N,кӣдт,кядь
189,Handfläche::N,gïeten-låapoe,кядьлапш
190,Handfläche::N,giehtavuodo,кядьлапш
191,Handfläche::N,tjårmmåvuodo,кядьлапш
192,Handfläche::N,giehtaloahpu,кядьлапш
193,Handfläche::N,kiämád,кядьлапш
194,Handfläche::N,kuámmir,кядьлапш
195,Handfläche::N,kuä´m'mer,кядьлапш
196,Handfläche::N,ǩiõttǩeä´m'men,кядьлапш
197,Handfläche::N,ко̄а̄ллдэгк,кядьлапш
198,Handfläche::N,кӣдткоалдэгк,кядьлапш
