,Concept_ID,lv,az
0,Auge::N,син,göz
1,Auge::N,acs,göz
2,Ohr::N,пель,qulaq
3,Ohr::N,auss,qulaq
4,Nase::N,ныр,burun
5,Nase::N,deguns,burun
6,Mund::N,вом,ağız
7,Mund::N,mute,ağız
8,Zahn::N,пинь,diş
9,Zahn::N,zobs,diş
10,Zunge::N,кыв,dil
11,Zunge::N,mēle,dil
12,Lippe::N,вом дор,dodaq
13,Lippe::N,lūpa,dodaq
14,Wange::N,бан,yanaq
15,Wange::N,vaigs,yanaq
16,Gesicht::N,чужӧм,üz
17,Gesicht::N,seja,üz
18,Gesicht::N,ģīmis,üz
19,Stirn::N,плеш,alın
20,Stirn::N,кымӧс,alın
21,Stirn::N,piere,alın
22,Haar::N,си,saç
23,Haar::N,юрси,saç
24,Haar::N,mats,saç
25,Schnurrbart::N,ус,bığ
26,Schnurrbart::N,пыртсим,bığ
27,Schnurrbart::N,ūsas,bığ
28,Bart::N,тош,saqqal
29,Bart::N,bārda,saqqal
30,Kinn::N,тшӧка,çənə
31,Kinn::N,zods,çənə
32,Kinn::N,smakrs,çənə
33,Kiefer[Anatomie]::N,черлы,çənə
34,Kiefer[Anatomie]::N,алака лы,çənə
35,Kiefer[Anatomie]::N,вомкӧтш лы,çənə
36,Kiefer[Anatomie]::N,žoklis,çənə
37,Kehle::N,голя,boğaz
38,Kehle::N,rīkle,boğaz
39,Hals::N,сьылі,boyun
40,Hals::N,kakls,boyun
41,Genick::N,юрбӧр,ənsə
42,Genick::N,балябӧж,ənsə
43,Genick::N,sprands,ənsə
44,Kopf::N,юр,baş
45,Kopf::N,galva,baş
46,Rücken::N,мыш,bel
47,Rücken::N,mugura,bel
48,Bauch::N,рушку,qarın
49,Bauch::N,vēders,qarın
50,Nabel::N,гӧг,göbək
51,Nabel::N,naba,göbək
52,Busen::N,морӧс,məmə
53,Busen::N,krūts,məmə
54,Brust::N,морӧс,döş
55,Brust::N,krūts,döş
56,Schulter::N,пельпом,çiyin
57,Schulter::N,plecs,çiyin
58,Arm::N,ки,qol
59,Arm::N,roka,qol
60,Arm::N,delms,qol
61,Ellenbogen::N,гырддза,dirsək
62,Ellenbogen::N,elkonis,dirsək
63,Hand::N,ки,əl
64,Hand::N,roka,əl
65,Hand::N,plauksta,əl
66,Handfläche::N,ки пыдӧс,ovuc
67,Handfläche::N,delna,ovuc
68,Handfläche::N,plauksta,ovuc
69,Finger::N,чунь,barmaq
70,Finger::N,pirksts,barmaq
71,Fingernagel::N,гыж,barmaq dırnağı
72,Fingernagel::N,nags,barmaq dırnağı
73,Nagel[Anatomie]::N,гыж,dırnak
74,Nagel[Anatomie]::N,nags,dırnak
75,Zeh::N,кок чунь,ayaq barmağı
76,Zeh::N,pirksts,ayaq barmağı
77,Fuß::N,кок,ayaq
78,Fuß::N,kāja,ayaq
79,Ferse::N,кокбӧр,daban
80,Ferse::N,papēdis,daban
81,Knie::N,пидзӧс,diz
82,Knie::N,celis,diz
83,Oberschenkel::N,лядьвей,bud
84,Oberschenkel::N,бек,bud
85,Oberschenkel::N,ciska,bud
86,Oberschenkel::N,augšstilbs,bud
87,Bein::N,кок,qıç
88,Bein::N,kāja,qıç
89,Körper::N,туша,əndam
90,Körper::N,вывтыр,əndam
91,Körper::N,miesa,əndam
92,Körper::N,ķermenis,əndam
93,Haut::N,ку,dəri
94,Haut::N,āda,dəri
95,Blut::N,вир,qan
96,Blut::N,asins,qan
97,Ader::N,сӧн,damar
98,Ader::N,asinsvads,damar
99,Sehne::N,вез,vətər
100,Sehne::N,dzīsla,vətər
101,Knochen::N,лы,sümük
102,Knochen::N,kauls,sümük
103,Gehirn::N,вем,beyin
104,Gehirn::N,smadzenes,beyin
105,Herz::N,сьӧлӧм,ürək
106,Herz::N,sirds,ürək
107,Magen::N,кынӧм,mədə
108,Magen::N,kuņģis,mədə
109,Leber::N,мус,qara ciyər
110,Leber::N,aknas,qara ciyər
111,Atem::N,лов,nəfəs
112,Atem::N,elpa,nəfəs
113,Hunger::N,тшыг,aclıq
114,Hunger::N,bads,aclıq
115,Hunger::N,izsalkums,aclıq
116,Träne::N,синва,göz yaşı
117,Träne::N,asara,göz yaşı
118,Geschmack::N,кӧр,tam
119,Geschmack::N,кӧр,ləzzət
120,Geschmack::N,чӧсмӧс,tam
121,Geschmack::N,чӧсмӧс,ləzzət
122,Geschmack::N,garša,tam
123,Geschmack::N,garša,ləzzət
124,Geruch::N,зын,qoxu
125,Geruch::N,дук,qoxu
126,Geruch::N,smaka,qoxu
127,Schlaf::N,узьӧм,yuxu
128,Schlaf::N,miegs,yuxu
129,Traum::N,вӧт,röya
130,Traum::N,вӧтасьӧм,röya
131,Traum::N,sapnis,röya
132,Himmel::N,енэж,göy
133,Himmel::N,енэж,səma
134,Himmel::N,debess,göy
135,Himmel::N,debess,səma
136,Sonne::N,шонді,günəş
137,Sonne::N,saule,günəş
138,Mond::N,тӧлысь,ay
139,Mond::N,mēness,ay
140,Stern::N,кодзув,ulduz
141,Stern::N,zvaigzne,ulduz
142,Luft::N,сынӧд,hava
143,Luft::N,gaiss,hava
144,Wind::N,тӧв,yel
145,Wind::N,тӧв,külək
146,Wind::N,vējš,yel
147,Wind::N,vējš,külək
148,Welle::N,гы,dalğa
149,Welle::N,vilnis,dalğa
150,Wasser::N,ва,su
151,Wasser::N,ūdens,su
152,Stein::N,из,daş
153,Stein::N,akmens,daş
154,Boden::N,му,yer
155,Boden::N,му,zəmin
156,Boden::N,augsne,yer
157,Boden::N,augsne,zəmin
158,Erde::N,му,yer torpaq
159,Erde::N,му-ва,yer torpaq
160,Erde::N,zeme,yer torpaq
161,Staub::N,бус,toz
162,Staub::N,putekļi,toz
163,Rauch::N,тшын,tüstü
164,Rauch::N,dūmi,tüstü
165,Funke::N,кинь,qığılcım
166,Funke::N,би кинь,qığılcım
167,Funke::N,dzirkstele,qığılcım
168,Feuer::N,би,od
169,Feuer::N,uguns,od
170,Licht::N,югӧр,işıq
171,Licht::N,gaisma,işıq
172,Schatten::N,вуджӧр,kölgə
173,Schatten::N,ēna,kölgə
174,Wetter::N,поводдя,hava
175,Wetter::N,laiks,hava
176,Nebel::N,ру,duman
177,Nebel::N,онь,duman
178,Nebel::N,migla,duman
179,Wolke::N,кымӧр,bulud
180,Wolke::N,mākonis,bulud
181,Regen::N,зэр,yağış
182,Regen::N,зэр,yağmur
183,Regen::N,lietus,yağış
184,Regen::N,lietus,yağmur
185,Schnee::N,лым,qar
186,Schnee::N,sniegs,qar
187,Eis::N,йи,buz
188,Eis::N,ledus,buz
189,Frost::N,кӧдзыд,ayaz
190,Frost::N,sals,ayaz
191,Kälte::N,кӧдзыд,soyuq
192,Kälte::N,saltums,soyuq
193,Kälte::N,aukstums,soyuq
194,Hitze::N,пӧсь,coşğunluq
195,Hitze::N,гожӧд,coşğunluq
196,Hitze::N,karstums,coşğunluq
197,Raureif::N,пуж,qırov
198,Raureif::N,гыӧр,qırov
199,Raureif::N,sarma,qırov
200,Regenbogen::N,ӧшкамӧшка,göy qurşağı
201,Regenbogen::N,varavīksne,göy qurşağı
202,Donner::N,гым,göy gurultusu
203,Donner::N,pērkons,göy gurultusu
204,Strömung::N,ва ныр,axın
205,Strömung::N,визувтӧм,axın
206,Strömung::N,straume,axın
207,Strömung::N,strāvojums,axın
208,Tropfen::N,войт,damcı
209,Tropfen::N,lāse,damcı
210,Schaum::N,быг,köpük
211,Schaum::N,быгзьӧм,köpük
212,Schaum::N,putas,köpük
213,Schmutz::N,няйт,çamır
214,Schmutz::N,dubļi,çamır
215,See::N,ты,göl
216,See::N,ezers,göl
217,Sumpf::N,гыбад,bataqlıq
218,Sumpf::N,кад,bataqlıq
219,Sumpf::N,dumbrājs,bataqlıq
220,Sumpf::N,staignājs,bataqlıq
221,Moor::N,нюр,bataqlıq
222,Moor::N,purvs,bataqlıq
223,Moor::N,muklājs,bataqlıq
224,Wiese::N,видз,çəmən
225,Wiese::N,pļava,çəmən
226,Wald::N,вӧр,meşə
227,Wald::N,mežs,meşə
228,Hügel::N,дзиб,təpə
229,Hügel::N,мыльк,təpə
230,Hügel::N,нӧрыс,təpə
231,Hügel::N,paugurs,təpə
232,Anhöhe::N,мыльк,təpə
233,Anhöhe::N,нӧрыс,təpə
234,Anhöhe::N,paugurs,təpə
235,Berg::N,чой,dağ
236,Berg::N,керӧс,dağ
237,Berg::N,kalns,dağ
238,Gipfel::N,чук,zirvə
239,Gipfel::N,virsotne,zirvə
240,Höhle::N,рудӧг,mağara
241,Höhle::N,ala,mağara
242,Abhang::N,ньывк,yamac
243,Abhang::N,бокша,yamac
244,Abhang::N,nogāze,yamac
245,Quelle::N,ӧшмӧс,bulaq
246,Quelle::N,avots,bulaq
247,Bach::N,шор,kiçik çay
248,Bach::N,urga,kiçik çay
249,Bach::N,strauts,kiçik çay
250,Fluss::N,ю,çay
251,Fluss::N,upe,çay
252,Ufer::N,вадор,kənar
253,Ufer::N,krasts,kənar
254,Küste::N,вадор,sahil
255,Küste::N,piekraste,sahil
256,Festland::N,му,materik
257,Festland::N,sauszeme,materik
258,Meer::N,саридз,dəniz
259,Meer::N,jūra,dəniz
260,Bucht::N,куръя,körfəz
261,Bucht::N,līcis,körfəz
262,Insel::N,ді,ada
263,Insel::N,sala,ada
264,Blume::N,дзоридз,çiçək
265,Blume::N,puķe,çiçək
266,Blume::N,zieds,çiçək
267,Gras::N,турун,ot
268,Gras::N,zāle,ot
269,Wurzel::N,вуж,kök
270,Wurzel::N,sakne,kök
271,Baum::N,пу,ağac
272,Baum::N,koks,ağac
273,Stamm::N,пучер,gövdə
274,Stamm::N,stumbrs,gövdə
275,Rinde::N,кырсь,qabıq
276,Rinde::N,miza,qabıq
277,Ast::N,ув,şax
278,Ast::N,zars,şax
279,Zweig::N,вож,budaq
280,Zweig::N,nozare,budaq
281,Blatt::N,кор,yarpaq
282,Blatt::N,lapa,yarpaq
283,Birke::N,кыдз,tozağacı
284,Birke::N,bērzs,tozağacı
285,Kiefer[Baum]::N,пожӧм,şam
286,Kiefer[Baum]::N,priede,şam
287,Weide[Baum]::N,бадь,söyüd
288,Weide[Baum]::N,kārkls,söyüd
289,Tanne::N,коз,küknar
290,Tanne::N,egle,küknar
291,Horn::N,сюр,buynuz
292,Horn::N,rags,buynuz
293,Feder::N,гӧн,tük
294,Feder::N,гӧн,lələk
295,Feder::N,тывборд,tük
296,Feder::N,тывборд,lələk
297,Feder::N,spalva,tük
298,Feder::N,spalva,lələk
299,Fell::N,ку,xəz
300,Fell::N,āda,xəz
301,Flügel::N,борд,qanad
302,Flügel::N,spārns,qanad
303,Klaue::N,гыж,pəncə
304,Klaue::N,nags,pəncə
305,Kralle::N,гыж,dırnaq
306,Kralle::N,nags,dırnaq
307,Schwanz::N,бӧж,quyruq
308,Schwanz::N,ļipa,quyruq
309,Ei::N,кольк,yumurta
310,Ei::N,ola,yumurta
311,Nest::N,поз,yuva
312,Nest::N,ligzda,yuva
313,Bau::N,горс,yuva
314,Bau::N,пырмӧс,yuva
