,Concept_ID,zh,myv
0,Auge::N,眼睛,сельме
1,Ohr::N,耳朵,пиле
2,Nase::N,鼻子,судо
3,Mund::N,嘴,курго
4,Zahn::N,牙齿,пей
5,Zunge::N,舌头,кель
6,Lippe::N,嘴唇,турва
7,Wange::N,面颊,чамабока
8,Wange::N,面颊,чамаумарь
9,Gesicht::N,脸,чама
10,Stirn::N,额,коня
11,Haar::N,头发,черь
12,Schnurrbart::N,髭须,ус
13,Schnurrbart::N,髭须,муюк
14,Bart::N,胡子,сакал
15,Kinn::N,下巴,уло
16,Kiefer[Anatomie]::N,颌,пейпакар
17,Kiefer[Anatomie]::N,颌,пейловажа
18,Kehle::N,嗓子,кирьгапарь
19,Hals::N,颈,кирьга
20,Genick::N,后颈,човонь
21,Kopf::N,头,пря
22,Rücken::N,背,копорь
23,Bauch::N,肚子,пеке
24,Nabel::N,肚脐,почо
25,Busen::N,胸脯,поте
26,Brust::N,胸,меште
27,Schulter::N,肩膀,лавтов
28,Arm::N,臂膀,кедь
29,Ellenbogen::N,肘,кенерепакарь
30,Hand::N,手,кедь
31,Handfläche::N,手掌,кедькуншка
32,Handfläche::N,手掌,кедьлапушка
33,Finger::N,手指,сур
34,Fingernagel::N,指甲,кенже
35,Nagel[Anatomie]::N,指甲,кенже
36,Zeh::N,脚趾,пильге сур
37,Fuß::N,脚,пильге
38,Ferse::N,后跟,кочкаря
39,Knie::N,膝,эле
40,Knie::N,膝,эзне
41,Knie::N,膝,кумажа
42,Oberschenkel::N,大腿,качо
43,Bein::N,腿,пильге
44,Körper::N,身体,рунго
45,Haut::N,皮肤,киське
46,Blut::N,血,верь
47,Ader::N,血管,сан
48,Sehne::N,腱,коське сан
49,Knochen::N,骨,пакарь
50,Gehirn::N,脑,удем
51,Herz::N,心,седей
52,Magen::N,胃,пеке
53,Leber::N,肝,максо
54,Atem::N,呼吸,лексема
55,Atem::N,呼吸,оймень таргсема
56,Hunger::N,饿,вачочи
57,Träne::N,眼泪,селведь
58,Geschmack::N,味道,тансть
59,Geruch::N,气味,чине
60,Schlaf::N,睡眠,удома
61,Traum::N,梦,он
62,Himmel::N,天空,менель
63,Sonne::N,太阳,чи
64,Mond::N,月亮,ков
65,Stern::N,星,теште
66,Luft::N,空气,кошт
67,Wind::N,风,варма
68,Welle::N,波,толкун
69,Wasser::N,水,ведь
70,Stein::N,石头,кев
71,Boden::N,地面,мода
72,Erde::N,地,мастор
73,Staub::N,灰尘,пуль
74,Rauch::N,烟,качамо
75,Funke::N,火花,сятко
76,Feuer::N,火,тол
77,Licht::N,光,валдо
78,Schatten::N,影子,сулей
79,Schatten::N,影子,сулейкс
80,Wetter::N,天气,ушо
81,Nebel::N,雾,сув
82,Wolke::N,云,пель
83,Regen::N,雨,пиземс
84,Schnee::N,雪,лов
85,Eis::N,冰,эй
86,Frost::N,霜冻,кельме
87,Kälte::N,寒冷,якшамо
88,Hitze::N,炎热,пси
89,Raureif::N,霜,лекш
90,Regenbogen::N,虹,пурьгинечирьке
91,Regenbogen::N,虹,пурьгинеёнкс
92,Donner::N,雷,пурьгине
93,Strömung::N,水流,чудема
94,Strömung::N,水流,чудевкс
95,Tropfen::N,滴,петнявкс
96,Schaum::N,泡沫,чов
97,Schmutz::N,赃物,рудаз
98,See::N,湖,эрьке
99,Sumpf::N,沼泽,чей
100,Moor::N,沼泽,чей
101,Wiese::N,草地,луга
102,Wald::N,森林,вирь
103,Hügel::N,丘陵,губорь
104,Hügel::N,丘陵,пандыне
105,Anhöhe::N,山丘,губорь
106,Anhöhe::N,山丘,пандыне
107,Berg::N,山,пандо
108,Gipfel::N,峰,пря
109,Höhle::N,洞穴,пещера
110,Abhang::N,斜坡,пандочама
111,Quelle::N,泉,ушодкс
112,Bach::N,溪,чудикерькс
113,Fluss::N,河流,лей
114,Ufer::N,岸,чире
115,Küste::N,海岸,лейчире
116,Festland::N,大陆,мода
117,Meer::N,海,моря
118,Bucht::N,海湾,усия
119,Insel::N,岛,усия
120,Blume::N,花,цеця
121,Gras::N,草,тикше
122,Wurzel::N,根,юр
123,Wurzel::N,根,ундокс
124,Baum::N,树,чувто
125,Stamm::N,树干,рунго
126,Rinde::N,树皮,суд
127,Rinde::N,树皮,керь
128,Ast::N,树枝,морго
129,Zweig::N,树枝,тарад
130,Blatt::N,叶子,лопа
131,Birke::N,桦木,килей
132,Kiefer[Baum]::N,松树,пиче
133,Weide[Baum]::N,柳树,каль
134,Tanne::N,冷杉,куз
135,Horn::N,角,сюро
136,Feder::N,羽毛,толга
137,Fell::N,皮毛,пона
138,Flügel::N,翅膀,сёлмо
139,Klaue::N,爪子,кенже
140,Kralle::N,爪子,кенже
141,Schwanz::N,尾巴,пуло
142,Ei::N,蛋,ал
143,Nest::N,巢,пизэ
144,Bau::N,穴,варя
145,Bau::N,穴,пизе
146,Tier::N,动物,ракша
147,Herde::N,群,стада
148,Kuh::N,母牛,скал
149,Bulle::N,公牛,бука
150,Pferd::N,马,лишме
151,Schaf::N,羊,реве
152,Schwein::N,猪,туво
153,Hund::N,狗,пине
154,Hund::N,狗,киска
155,Katze::N,猫,псака
156,Bär::N,熊,овто
157,Eichhörnchen::N,松鼠,ур
158,Elch::N,麋鹿,сярдо
159,Fuchs::N,狐狸,ривезь
160,Hase::N,兔子,нумоло
161,Maus::N,老鼠,чеерь
162,Wolf::N,狼,верьгиз
163,Vogel::N,鸟,нармунь
164,Schwarm::N,群,полк
165,Schwarm::N,群,стада
166,Huhn::N,鸡,сараз
167,Hahn::N,公鸡,атякш
168,Gans::N,鹅,гала
169,Gans::N,鹅,мацей
170,Adler::N,鹰,куцькан
171,Adler::N,鹰,тумоатякш
172,Ente::N,鸭,яксярго
173,Eule::N,猫头鹰,корж
174,Kranich::N,鹤,карго
175,Krähe::N,乌鸦,варака
176,Kuckuck::N,布谷鸟,куко
177,Schwan::N,天鹅,локсей
178,Fisch::N,鱼,кал
179,Barsch::N,鲈鱼,окунь
180,Hecht::N,狗鱼,щука
181,Schlange[Tier]::N,蛇,гуй
182,Wurm::N,蠕虫,сукс
183,Spinne::N,蜘蛛,шанжав
184,Ameise::N,蚂蚁,коткудав
185,Laus::N,虱子,сий
186,Mücke::N,蚊子,сеське
187,Fliege::N,苍蝇,карво
188,Schmetterling::N,蝴蝶,нимиляв
189,Beere::N,将果,умарь
190,Apfel::N,苹果,умарь
191,Pilz::N,蘑菇,панго
192,Zwiebel::N,洋葱,чурька
193,Saat::N,种子,видьметь
194,Korn::N,谷粒,сюро
195,Heu::N,干草,тикше
196,Schale::N,壳,кедь
197,Schale::N,壳,ваткавкс
198,Grube::N,坑,латко
199,Falle::N,圈套,тувор
200,Falle::N,圈套,кундамка
201,Schlinge::N,活扣,килькш
202,Spur::N,踪迹,челькс
203,Spur::N,踪迹,пильгеки
204,Asche::N,灰烬,кулов
205,Dreck::N,污垢,рудаз
206,Eisen::N,铁,кшни
207,Gold::N,金子,сырне
208,Silber::N,银,сия
209,Kohle::N,煤,сэдь
210,Kohle::N,煤,уголия
211,Glas::N,玻璃,сулика
