,Concept_ID,cy,hy
0,Auge::N,llygad,աչք
1,Ohr::N,clust,ականջ
2,Nase::N,trwyn,քիթ
3,Mund::N,ceg,բերան
4,Zahn::N,dant,ատամ
5,Zunge::N,tafod,լեզու
6,Lippe::N,gwefus,շրթունք
7,Wange::N,boch,այտ
8,Wange::N,boch,թուշ
9,Gesicht::N,wyneb,դեմք
10,Stirn::N,talcen,ճակատ
11,Haar::N,blew,մազ
12,Schnurrbart::N,mwstas,բեղ
13,Bart::N,barf,մորուք
14,Kinn::N,gên,կզակ
15,Kiefer[Anatomie]::N,gên,ծնոտ
16,Kehle::N,gwddf,կոկորդ
17,Hals::N,gwddf,վիզ
18,Hals::N,gwddf,պարանոց
19,Genick::N,gwar,ծոծրակ
20,Genick::N,gwegil,ծոծրակ
21,Kopf::N,pen,գլուխ
22,Rücken::N,cefn,մեջք
23,Bauch::N,bol,փոր
24,Bauch::N,bol,որովայն
25,Nabel::N,bogail,պորտ
26,Busen::N,bron,ծոց
27,Brust::N,brest,կուրծք
28,Schulter::N,ysgwydd,ուս
29,Arm::N,braich,թեւ
30,Arm::N,braich,բազուկ
31,Ellenbogen::N,penelin,արմունկ
32,Hand::N,llaw,ձեռք
33,Handfläche::N,palf,ափ
34,Finger::N,bys,մատ
35,Fingernagel::N,ewin,եղունգ
36,Nagel[Anatomie]::N,ewin,եղունգ
37,Zeh::N,bys troed,ոտքի մատ
38,Fuß::N,troed,ոտք
39,Ferse::N,sawdl,գարշապար
40,Knie::N,glin,ծունկ
41,Oberschenkel::N,clun,ազդր
42,Bein::N,coes,ոտք
43,Körper::N,corff,մարմին
44,Haut::N,croen,մաշկ
45,Blut::N,gwaed,արյուն
46,Ader::N,gwythïen,երակ
47,Sehne::N,gewyn,ջիղ
48,Sehne::N,gewyn,ձգտան
49,Knochen::N,asgwrn,ոսկոր
50,Gehirn::N,ymennydd,խելք
51,Herz::N,calon,սիրտ
52,Magen::N,cylla,ստամոքս
53,Magen::N,stumog,ստամոքս
54,Leber::N,iau,լյարդ
55,Atem::N,anadl,շունչ
56,Hunger::N,newyn,քաղց
57,Träne::N,deigryn,արտասուք
58,Geschmack::N,cyflas,համ
59,Geschmack::N,cyflas,բուրմունք
60,Geruch::N,aroglau,հոտ
61,Geruch::N,aroglau,բուրում
62,Schlaf::N,cwsg,քուն
63,Traum::N,breuddwyd,երազ
64,Himmel::N,awyr,երկինք
65,Sonne::N,haul,արեւ
66,Mond::N,lleuad,լուսին
67,Stern::N,seren,աստղ
68,Luft::N,awyr,օդ
69,Wind::N,gwynt,քամի
70,Welle::N,ton,ալիք
71,Wasser::N,dŵr,ջուր
72,Stein::N,carreg,քար
73,Boden::N,llawr,գետին
74,Erde::N,pridd,հող
75,Staub::N,llwch,փոշի
76,Rauch::N,mwg,ծուխ
77,Funke::N,gwreichioni,կայծ
78,Feuer::N,tân,կրակ
79,Feuer::N,tân,հրդեհ
80,Licht::N,golau,լույս
81,Schatten::N,cysgod,ստվեր
82,Wetter::N,tywydd,եղանակ
83,Nebel::N,niwl,մեգ
84,Nebel::N,niwl,մառախուղ
85,Wolke::N,cwmwl,ամպ
86,Regen::N,glaw,անձրև
87,Schnee::N,ôd,ձյուն
88,Schnee::N,eira,ձյուն
89,Eis::N,iâ,սառույց
90,Frost::N,rhew,սառնամանիք
91,Kälte::N,oerni,դող
92,Kälte::N,annwyd,դող
93,Hitze::N,gwres,շոգ
94,Raureif::N,barrug,ցօղեղեամ
95,Regenbogen::N,enfys,ծիածան
96,Donner::N,tyrfau,որոտ
97,Strömung::N,cerrynt,հոսանք
98,Tropfen::N,dafn,կաթիլ
99,Tropfen::N,diferyn,կաթիլ
100,Schaum::N,ewyn,փրփուր
101,Schmutz::N,baw,կեղտ
102,Schmutz::N,budreddi,կեղտ
103,See::N,llyn,լիճ
104,Sumpf::N,cors,ճահիճ
105,Moor::N,rhos,ճահիճ
106,Wiese::N,dôl,մարգագետին
107,Wald::N,coedwig,անտառ
108,Hügel::N,bryn,բլուր
109,Anhöhe::N,bryn,բարձունք
110,Berg::N,mynydd,լեռ
111,Gipfel::N,copa,գագաթ
112,Gipfel::N,copa,կատար
113,Höhle::N,ogof,քարայր
114,Abhang::N,llethr,լանջ
115,Abhang::N,llethr,զառիվայր
116,Quelle::N,tarddiad,աղբյուր
117,Quelle::N,ffynhonnell,աղբյուր
118,Bach::N,nant,վտակ
119,Bach::N,afonig,վտակ
120,Bach::N,cornant,վտակ
121,Fluss::N,afon,գետ
122,Ufer::N,glan,ծովափ
123,Küste::N,traeth,ափ
124,Küste::N,traeth,ծովափ
125,Küste::N,arfordir,ափ
126,Küste::N,arfordir,ծովափ
127,Festland::N,tir,ցամաք
128,Meer::N,môr,ծով
129,Bucht::N,bae,հաչիւն
130,Insel::N,ynys,վղզի
131,Blume::N,blodyn,ծաղիկ
132,Gras::N,glaswellt,խոտ
133,Wurzel::N,gwreiddyn,արմատ
134,Baum::N,coeden,ծառ
135,Stamm::N,colfen,իրան
136,Stamm::N,boncyff,իրան
137,Rinde::N,rhisgl,կեղեւ
138,Rinde::N,rhisgl,հաչոց
139,Ast::N,cangen,ճյուղ
140,Zweig::N,cainc,ճյուղ
141,Zweig::N,cangen,ճյուղ
142,Blatt::N,deilen,տերեւ
143,Birke::N,bedwen,ցարասի
144,Kiefer[Baum]::N,pinwydden,սոճի
145,Weide[Baum]::N,helygen,ուռենի
146,Tanne::N,ffynidwydden,եղեւին
147,Horn::N,corn,
148,Feder::N,plufyn,փետուր
149,Fell::N,ffwr,մորթի
150,Flügel::N,adain,թեւ
151,Klaue::N,crafanc,չանչ
152,Kralle::N,ewin,ճանկ
153,Schwanz::N,cwt,պոչ
154,Schwanz::N,cynffon,պոչ
155,Ei::N,wy,ձու
156,Nest::N,nyth,բույն
157,Bau::N,ffau,որջ
158,Bau::N,ffau,բայոց
159,Tier::N,anifail,կենդանի
160,Herde::N,praidd,հոտ
161,Herde::N,diadell,հոտ
162,Kuh::N,buwch,կով
163,Bulle::N,tarw,ցուլ
164,Pferd::N,ceffyl,ձի
165,Schaf::N,dafad,ոչխար
166,Schwein::N,mochyn,խոզ
167,Hund::N,ci,շուն
168,Katze::N,cath,կատու
169,Bär::N,arth,արջ
170,Eichhörnchen::N,gwiwer,սկյուռ
171,Elch::N,elc,հիւսիսային եղջերու
172,Fuchs::N,cadno,աղվես
173,Hase::N,ysgyfarnog,նապաստակ
174,Maus::N,llygoden,մուկ
175,Wolf::N,blaidd,գայլ
176,Vogel::N,aderyn,թռչուն
177,Schwarm::N,haid,երամ
178,Huhn::N,cyw,հավ
179,Hahn::N,ceiliog,աքաղաղ
180,Gans::N,gŵydd,սագ
181,Adler::N,eryr,արծիվ
182,Ente::N,hwyad,բադ
183,Eule::N,tylluan,բու
184,Kranich::N,garan,կռունկ
185,Kranich::N,crychydd,կռունկ
186,Krähe::N,brân,ագռավ
187,Kuckuck::N,cog,կուկու
188,Kuckuck::N,cwcw,կուկու
189,Schwan::N,alarch,կարապ
190,Fisch::N,pysgod,ձուկ
191,Barsch::N,draenog,պերկես
192,Hecht::N,penhwyad,գայլաձուկ
193,Schlange[Tier]::N,neidr,օձ
194,Wurm::N,abwydyn,որդ
195,Wurm::N,abwydyn,ճիճու
196,Wurm::N,pryf genwair,որդ
197,Wurm::N,pryf genwair,ճիճու
198,Spinne::N,cor,սարդ
199,Spinne::N,pryf copyn,սարդ
200,Ameise::N,morgrugyn,միջյուն
201,Laus::N,lleuen,ոջիլ
202,Mücke::N,gwybedyn,մժղուկ
203,Fliege::N,cleren,ճանճ
204,Schmetterling::N,glöyn byw,թիթեռ
205,Schmetterling::N,iâr fach yr haf,թիթեռ
206,Beere::N,aeronen,հատապտուղ
207,Apfel::N,afal,խնձոր
208,Pilz::N,madarch,սունկ
209,Zwiebel::N,nionyn,սոխ
210,Zwiebel::N,winwnsyn,սոխ
211,Saat::N,had,սերմ
212,Korn::N,grawn,հատիկ
213,Heu::N,gwair,խոտ
214,Schale::N,croen,կեղեւ
215,Schale::N,plisgyn,կեղեւ
216,Grube::N,pwll,փոս
217,Grube::N,pydew,փոս
218,Falle::N,magl,ծուղակ
219,Schlinge::N,cwlwm rhedeg,խեղդան
220,Spur::N,ôl,հետք
221,Asche::N,lludw,մոխիր
222,Dreck::N,baw,աղտ
223,Dreck::N,budreddi,աղտ
224,Eisen::N,haearn,երկաթ
225,Gold::N,aur,ոսկի
226,Silber::N,arian,արծաթ
227,Kohle::N,glo,քարածուխ
228,Glas::N,gwydr,ապակի
229,Lehm::N,clai,կավ
230,Sand::N,tywod,ավազ
231,Mensch::N,dyn,մարդ
232,Mann::N,dyn,մարդ
233,Mann::N,dyn,տղամարդ
234,Frau::N,merch,կին
235,Frau::N,gwraig,կին
236,Kind::N,plentyn,զավակ
237,Junge::N,hogyn,տղա
238,Junge::N,bachgen,տղա
239,Mädchen::N,merch,աղջիկ
240,Mädchen::N,geneth,աղջիկ
241,Familie::N,teulu,ընտանիք
242,Familie::N,tylwyth,ընտանիք
243,Großvater::N,taid,պապ
244,Großvater::N,tad-cu,պապ
245,Großmutter::N,nain,տատ
246,Großmutter::N,mam-gu,տատ
247,Eltern::N,rhieni,ծնողներ
248,Vater::N,tad,հայր
249,Mutter::N,mam,մայր
250,Sohn::N,mab,որդի
251,Tochter::N,merch,աղջիկ
252,Tochter::N,merch,դուստր
253,Bruder::N,brawd,եղբայր
254,Schwester::N,chwaer,քույր
255,Onkel::N,ewythr,քեռի
256,Onkel::N,ewythr,հորեղբայր
257,Tante::N,modryb,մորաքույր
258,Ehemann::N,gŵr,մարդ
259,Ehemann::N,gŵr,ամուսին
260,Ehefrau::N,gwraig,կին ամուսին
261,Freude::N,gorfoledd,ուրախություն
262,Gelächter::N,chwerthin,ծիծաղ
263,Glück::N,hapusrwydd,երջանկություն
264,Kummer::N,galar,վիշտ
265,Wunsch::N,dymuniad,ցանկություն
266,Lust::N,chwant,փափագ
267,Lust::N,chwant,իղձ
268,Geist::N,ysbryd,ոգի
269,Gedanke::N,meddwl,միտք
270,Gedächtnis::N,cof,հիշողություն
271,Verstand::N,meddwl,խելք
272,Sinn::N,ystyr,իմաստ
273,Grund::N,achos,պատճառ
274,Grund::N,rheswm,պատճառ
275,Wahrheit::N,gwir,ճշմարտություն
276,Wahrheit::N,gwirionedd,ճշմարտություն
277,Gespräch::N,sgwrs,զրույց
278,Märchen::N,chwedl werin,պայիկի պատմություն
279,Erzählung::N,stori,պատմվածք
280,Erzählung::N,stori,պատմություն
281,Nachricht::N,neges,հաղորդագրություն
282,Neuigkeit::N,newydd,լուր
283,Neuigkeit::N,newydd,նորություն
284,Name::N,enw,անուն
285,Rätsel::N,pos,բարդ խնդիր
286,Rede::N,araith,ճառ
287,Rede::N,araith,ելույթ
288,Sprache::N,iaith,լեզու
289,Stimme::N,llais,ձայն
290,Wort::N,gair,բառ
291,Zeichen::N,arwydd,նշան
292,Ruf::N,galwad,կոչ
293,Ruf::N,galwad,կանչ
294,Lärm::N,trwst,աղմուկ
295,Laut::N,sain,հնչյուն
296,Laut::N,sain,ձայն
297,Ton::N,tôn,տոն
298,Lied::N,cân,երգ
299,Ruhe::N,tawelwch,անդորրություն
300,Leute::N,pobl,մարդիկ
301,Volk::N,pobl,ազգ
302,Arbeit::N,gwaith,գործ
303,Arbeit::N,gwaith,աշխատանք
304,Gast::N,gwestai,հյուր
305,Geschenk::N,rhodd,նվեր
306,Geschenk::N,anrheg,նվեր
307,Spiel::N,chwarae,խաղ
308,Gesellschaft::N,cwmni,ընկերություն
309,Hilfe::N,cymorth,օգնությթուն
310,Freund::N,cyfaill,ընկեր
311,Freund::N,cyfaill,բարեկամ
312,Kamerad::N,cydymaith,ուղեկից
313,Angelegenheit::N,pwnc,բան
314,Angelegenheit::N,pwnc,գործ
315,Anzahl::N,cyfrif,քանակ
316,Anzahl::N,cyfrif,գումար
317,Art::N,bath,տեսակ
318,Stück::N,darn,կտոր
319,Teil::N,rhan,մաս
320,Hälfte::N,hanner,կես
321,Kreis::N,cylch,շիջանակ
322,Kreuz::N,croes,խաչ
323,Linie::N,llinell,գիծ
324,Strich::N,strôc,գիծ
325,Strich::N,trawiad,գիծ
326,Abstand::N,bwlch,անջրպետ
327,Abstand::N,pellter,անջրպետ
328,Entfernung::N,pellter,հեռավորություն
329,Gegend::N,cylch,շրջան
330,Platz::N,lle,տարածություն
331,Ort::N,lle,տեղ
332,Ort::N,lle,վայր
333,Seite::N,ochr,կողմ
334,Mitte::N,canol,մեջտեղ
335,Gegenstand::N,eitem,առարկա
336,Sache::N,peth,բան
337,Rand::N,cwr,վերջք
338,Rand::N,ymyl,վերջք
339,Kante::N,min,եզր
340,Kante::N,ymyl,եզր
341,Ecke::N,cornel,անկյուն
342,Spitze::N,blaen,ծայր
343,Ende::N,pen,ծայր
344,Loch::N,twll,անցք
345,Winkel::N,congl,անկյուն
346,Muster::N,patrwm,օրինակ
347,Größe::N,maint,մեծություն
348,Größe::N,maintioli,մեծություն
349,Länge::N,hyd,երկարություն
350,Höhe::N,uchder,բարձրություն
351,Gewicht::N,pwysau,կշիռ
352,Menge::N,swm,քանակ
353,Menge::N,maint,քանակ
354,Haufen::N,pentwr,դեզ
355,Haufen::N,pentwr,կույտ
356,Reihe::N,rhes,շարք
357,Reihe::N,rhes,կարգ
358,Boot::N,cwch,նավակ
359,Ruder::N,rhwyf,թի
360,Ruder::N,rhwyf,թիակ
361,Schlitten::N,sled,բալխիր
362,Schlitten::N,car llusg,բալխիր
363,Ski::N,sgi,դահուկ
364,Lagerfeuer::N,coelcerth,բացօդեայ կրակ
365,Last::N,llwyth,բեռ
366,Gang::N,tro,զբոսանք
367,Schritt::N,cam,քայլ
368,Norden::N,gogledd,հյուսիս
369,Süden::N,de,հարավ
370,Westen::N,gorllewin,արեւմուտք
371,Osten::N,dwyrain,արեւելք
372,Holz::N,pren,փայտ
373,Brett::N,bwrdd,տախտակ
374,Brett::N,astell,տախտակ
375,Platte::N,llech,թիթեղ
376,Stütze::N,ateg,նեցուկ
377,Stütze::N,cynhalydd,նեցուկ
378,Stange::N,polyn,ձող
379,Stock::N,ffon,փայտ
380,Stock::N,brigyn,փայտ
381,Stab::N,ffon,ցուպ
382,Stab::N,ffon,գավազան
383,Rohr::N,pibell,խողովակ
384,Haus::N,tŷ,տուն
385,Heim::N,cartref,տուն
386,Ofen::N,stof,վառարան
387,Fußboden::N,llawr,հատակ
388,Tisch::N,bwrdd,սեղան
389,Stuhl::N,cadair,աթոռ
390,Wiege::N,crud,օրորոց
391,Bett::N,gwely,անկողին
392,Regal::N,silff,դարակ
393,Kiste::N,bocs,տուփ
394,Kiste::N,blwch,տուփ
395,Fenster::N,ffenestr,պատուհան
396,Tür::N,drws,դուռ
397,Tor::N,porth,դարպաս
398,Zaun::N,ffens,ցանկապատ
399,Dach::N,to,տանիք
400,Dach::N,to,կտուր
401,Leiter::N,ysgol,սանդուղք
402,Besen::N,ysgub,ավել
403,Spaten::N,rhaw,բահ
404,Schaufel::N,rhaw,թի
405,Gabel::N,fforc,պատառաքաղ
406,Löffel::N,llwy,գդալ
407,Messer::N,cyllell,դանակ
408,Nagel::N,hoel,մեխ
409,Netz::N,gwe,ցանց
410,Netz::N,rhwyd,ցանց
411,Haken::N,bach,կարթ
412,Griff::N,carn,կոթ
413,Griff::N,carn,բռնակ
414,Schloss::N,clo,կողպեք
415,Bild::N,llun,նկար
416,Bild::N,llun,պատկեր
417,Bild::N,pictiwr,նկար
418,Bild::N,pictiwr,պատկեր
419,Figur::N,ffigur,քանդակ
420,Figur::N,ffigur,պատկեր
421,Puppe::N,dol,տիկնիկ
422,Beutel::N,cwd,տոպրակ
423,Bündel::N,bwndel,կապոց
424,Bündel::N,coflaid,կապոց
