,Concept_ID,hu,sv
1312,verlassen::V,elhagy,överge
1313,retten::V,ment,rädda
1314,bewachen::V,őriz,bevaka
1315,schützen::V,óv,skydda
1316,schützen::V,óv,beskydda
1317,schützen::V,véd,skydda
1318,schützen::V,véd,beskydda
1319,verteidigen::V,véd,försvara
1320,sich schlagen::V,verekszik,slåss
1321,schießen::V,lő,skjuta
1322,siegen::V,győz,segra
1323,ärgern::V,bosszant,förarga
1324,schlagen::V,üt,slå
1325,schlagen::V,ver,slå
1326,treten::V,rúg,sparka
1327,stechen::V,döf,sticka
1328,stechen::V,szúr,sticka
1329,stoßen::V,lök,stöta
1330,stehlen::V,lop,stjäla
1331,stören::V,zavar,störa
1332,belästigen::V,zaklat,genera
1333,belästigen::V,zaklat,besvära
1334,verbergen::V,rejt,dölja
1335,verbergen::V,elrejt,dölja
1336,täuschen::V,megtéveszt,vilseleda
1337,betrügen::V,csal,bedra
1338,töten::V,öl,döda
1339,wohnen::V,lakik,bo
1340,arbeiten::V,dolgozik,arbeta
1341,sammeln::V,szed,samla
1342,sammeln::V,gyűjt,samla
1343,pflücken::V,szed,plocka
1344,jagen::V,vadászik,jaga
1345,fischen::V,halászik,fiska
1346,fassen::V,fog,fånga
1347,hüten::V,őriz,vakta
1348,hüten::V,legeltet,vakta
1349,treiben::V,hajt,driva
1350,anbinden::V,köt,binda fast
1351,füttern::V,etet,fodra
1352,melken::V,fej,mjölka
1353,hacken::V,vág,hacka
1354,gießen::V,öntöz,hälla
1355,gießen::V,öntöz,vattna
1356,reifen::V,érik,mogna
1357,zubereiten::V,elkészít,tillaga
1358,zubereiten::V,elkészít,tillreda
1359,kochen::V,főz,koka
1360,backen::V,süt,baka
1361,braten::V,süt,steka
1362,umrühren::V,megkever,röra om
1363,stricken::V,köt,sticka
1364,nähen::V,varr,sy
1365,färben::V,fest,färga
1366,reinigen::V,tisztít,rensa
1367,reinigen::V,tisztít,rengöra
1368,waschen::V,mos,tvätta
1369,abwischen::V,letöröl,torka av
1370,spülen::V,mosogat,spola
1371,spülen::V,mosogat,skölja
1372,fegen::V,söpör,feja
1373,kehren::V,söpör,sopa
1374,baden::V,fürdik,bada
1375,sich waschen::V,mosdik,tvätta sig
1376,sich waschen::V,mosakszik,tvätta sig
1377,ausziehen::V,levesz,ta av
1378,anziehen::V,felölt,ta på
1379,anziehen::V,felvesz,ta på
1380,sich anziehen::V,öltözik,klä på sig
1381,sich anziehen::V,felöltözik,klä på sig
1382,kämmen::V,fésül,kamma
1383,schmücken::V,díszít,pynta
1384,schmücken::V,díszít,smycka
1385,sagen::V,mond,säga
1386,sprechen::V,beszél,tala
1387,reden::V,beszél,tala
1388,reden::V,beszél,prata
1389,sich unterhalten::V,beszélget,prata
1390,fragen::V,kérdez,fråga
1391,fragen::V,kérdez,spörja
1392,bitten::V,kér,be
1393,erzählen::V,mesél,berätta
1394,erzählen::V,elbeszél,berätta
1395,mitteilen::V,közöl,meddela
1396,nennen::V,hív,kalla
1397,nennen::V,nevez,kalla
1398,rufen::V,hív,ropa
1399,prahlen::V,dicsekszik,pråla
1400,prahlen::V,dicsekszik,skryta
1401,übersetzen::V,fordít,tolka
1402,übersetzen::V,fordít,översätta
1403,denken::V,gondol,tänka
1404,glauben::V,hisz,tro
1405,bemerken::V,észrevesz,uppmärksamma
1406,bemerken::V,észrevesz,lägga märke till
1407,erkennen::V,ráismer,känna igen
1408,erkennen::V,felismer,känna igen
1409,begreifen::V,felfog,begripa
1410,verstehen::V,ért,förstå
1411,verstehen::V,megért,förstå
1412,lernen::V,tanul,lära sig
1413,lernen::V,megtanul,lära sig
1414,wissen::V,tud,veta
1415,sich erinnern an::V,emlékszik,minnas
1416,sich erinnern an::V,emlékszik,komma ihåg
1417,vergessen::V,felejt,glömma
1418,vergessen::V,elfelejt,glömma
1419,messen::V,mér,mäta
1420,messen::V,megmér,mäta
1421,zählen::V,számol,räkna
