,Concept_ID,da,cs
0,Auge::N,øje,oko
1,Ohr::N,øre,ucho
2,Nase::N,næse,nos
3,Mund::N,mund,pusa
4,Zahn::N,tand,zub
5,Zunge::N,tunge,jazyk
6,Lippe::N,læbe,ret
7,Wange::N,kind,tvář
8,Gesicht::N,ansigt,obličej
9,Stirn::N,pande,čelo
10,Haar::N,hår,vlas
11,Haar::N,hår,vlasy
12,Schnurrbart::N,overskæg,kníry
13,Bart::N,skæg,vousy
14,Kinn::N,hage,brada
15,Kiefer[Anatomie]::N,kæbe,čelist
16,Kehle::N,strube,hrdlo
17,Hals::N,hals,krk
18,Genick::N,nakke,týl
19,Kopf::N,hoved,hlava
20,Rücken::N,ryg,záda
21,Rücken::N,ryg,hřbet
22,Bauch::N,mave,břicho
23,Nabel::N,navle,pupek
24,Busen::N,barm,ňadra
25,Brust::N,bryst,prsa
26,Schulter::N,skulder,plece
27,Schulter::N,skulder,rameno
28,Arm::N,arm,ruka
29,Ellenbogen::N,albue,loket
30,Hand::N,hånd,ruka
31,Handfläche::N,håndflade,dlaň
32,Finger::N,finger,prst
33,Fingernagel::N,fingernegl,nehet
34,Nagel[Anatomie]::N,negl,nehet
35,Zeh::N,tå,prst u nohy
36,Fuß::N,fod,noha
37,Ferse::N,hæl,pata
38,Knie::N,knæ,koleno
39,Oberschenkel::N,lår,stehno
40,Bein::N,ben,noha
41,Körper::N,krop,tělo
42,Körper::N,legeme,tělo
43,Haut::N,hud,kůže
44,Blut::N,blod,krev
45,Ader::N,åre,céva
46,Sehne::N,sene,šlacha
47,Knochen::N,ben,kost
48,Gehirn::N,hjerne,mozek
49,Herz::N,hjerte,srdce
50,Magen::N,mave,žaludek
51,Leber::N,lever,játra
52,Atem::N,ånde,dech
53,Hunger::N,sult,hlad
54,Träne::N,tåre,slza
55,Geschmack::N,smag,vkus
56,Geruch::N,lugt,vůně
57,Geruch::N,lugt,zápach
58,Schlaf::N,søvn,spánek
59,Traum::N,drøm,sen
60,Himmel::N,himmel,nebe
61,Sonne::N,sol,slunce
62,Mond::N,måne,měsíc
63,Stern::N,stjerne,hvězda
64,Luft::N,luft,vzduch
65,Wind::N,vind,vítr
66,Welle::N,bølge,vlna
67,Wasser::N,vand,voda
68,Stein::N,sten,kámen
69,Boden::N,jord,půda
70,Erde::N,jord,země
71,Staub::N,støv,prach
72,Rauch::N,røg,dým
73,Rauch::N,røg,kouř
74,Funke::N,gnist,jiskra
75,Feuer::N,ild,oheň
76,Licht::N,lys,světlo
77,Schatten::N,skygge,stín
78,Wetter::N,vejr,počasí
79,Nebel::N,tåge,mlha
80,Wolke::N,sky,mrak
81,Wolke::N,sky,oblak
82,Regen::N,regn,déšť
83,Schnee::N,sne,sníh
84,Eis::N,is,led
85,Frost::N,frost,mráz
86,Kälte::N,kulde,chlad
87,Hitze::N,hede,horko
88,Raureif::N,rimfrost,jinovatka
89,Regenbogen::N,regnbue,duha
90,Donner::N,torden,hrom
91,Strömung::N,strømning,proudění
