,Concept_ID,os,kn
0,Auge::N,цӕст,ಕಣ್ಣು
1,Ohr::N,хъус,ಕಿವಿ
2,Nase::N,фындз,ಮೂಗು
3,Mund::N,дзых,ಬಾಯಿ
4,Zahn::N,дӕндаг,ಹಲ್ಲು
5,Zunge::N,ӕвзаг,ನಾಲಿಗೆ
6,Lippe::N,был,ತುಟಿ
7,Wange::N,рус,ಗಲ್ಲ
8,Wange::N,уадул,ಗಲ್ಲ
9,Wange::N,ӕхсӕрфарс,ಗಲ್ಲ
10,Gesicht::N,цӕсгом,ಮುಖ
11,Stirn::N,ных,ಹಣೆ
12,Haar::N,хил,ಕೂದಲು
13,Schnurrbart::N,рихи,ಮೀಸೆ
14,Bart::N,зачъе,ಗಡ್ಡ
15,Kinn::N,роцъо,ಗದ್ದ
16,Kiefer[Anatomie]::N,ӕфсӕр,ದವಡೆ
17,Kehle::N,хъуыр,ಗಂಟಲು
18,Hals::N,къубал,ಕೊರಳು
19,Genick::N,къӕбут,ಹಿಂಗತ್ತು
20,Kopf::N,сӕр,ತಲೆ
21,Rücken::N,фӕсонтӕ,ಬೆನ್ನು
22,Bauch::N,гуыбын,ಹೊಟ್ಟೆ
23,Nabel::N,бикъ,ಹೊಕ್ಕುಳು
24,Busen::N,дзидзи,ಸ್ತನ
25,Brust::N,риу,ಎದೆ
26,Schulter::N,уӕхск,ಭುಜ
27,Arm::N,цонг,ತೋಳು
28,Ellenbogen::N,рæмбын,ಮೊಣಕೈ
29,Hand::N,къух,ಕೈ
30,Handfläche::N,армытъӕпӕн,ಅಂಗೈ
31,Finger::N,ӕнруылдз,ಕೈಬೆರಳು
32,Fingernagel::N,ных,ಉಗುರು
33,Nagel[Anatomie]::N,ных,ಉಗುರು
34,Zeh::N,къух,ಕಾಲ್ಬೆರಳು
35,Fuß::N,фад,ಪಾದ
36,Ferse::N,зӕвӕт,ಹಿಮ್ಮಡಿ
37,Knie::N,уӕраг,ಮಂಡಿ
38,Oberschenkel::N,агъд,ತೊಡೆ
39,Bein::N,зӕнг,ಕಾಲು
40,Körper::N,буар,ದೇಹ
41,Haut::N,царм,ಚರ್ಮ
42,Blut::N,туг,ರಕ್ತ
43,Ader::N,дадзин,ನರ
44,Ader::N,тугдадзин,ನರ
45,Sehne::N,хъиутæ,ನರ
46,Sehne::N,нуар,ನರ
47,Knochen::N,стӕг,ಮೂಳೆ
48,Gehirn::N,магъз,ಮಿದುಳು
49,Herz::N,зӕрдӕ,ಹೃದಯ
50,Magen::N,ахсӕн,ಉದರ
51,Leber::N,игæр,ಯಕೃತ್ತು
52,Atem::N,улӕфт,ಉಸಿರು
53,Hunger::N,стонг,ಹಸಿವು
54,Träne::N,цæссыг,ಕಣ್ಣೀರು
55,Geschmack::N,ад,ರುಚಿ
56,Geruch::N,смаг,ವಾಸನೆ
57,Schlaf::N,хуыссӕг,ನಿದ್ರೆ
58,Traum::N,фын,ಕನಸು
59,Himmel::N,арв,ಬಾನು
60,Himmel::N,уӕларв,ಬಾನು
61,Sonne::N,хур,ಸೂರ್ಯ
62,Mond::N,мӕй,ಚಂದ್ರ
63,Stern::N,стъалы,ಚುಕ್ಕಿ
