,Concept_ID,tr,se
0,Auge::N,göz,tjelmie
1,Auge::N,göz,tjalmme
2,Auge::N,göz,čalbmi
3,Auge::N,göz,čalme
4,Auge::N,göz,čâ´lmm
5,Auge::N,göz,ча̄лльм
6,Ohr::N,kulak,bieljie
7,Ohr::N,kulak,biellje
8,Ohr::N,kulak,beallji
9,Ohr::N,kulak,pelji
10,Ohr::N,kulak,pe´llj
11,Ohr::N,kulak,пе̄лльй
12,Nase::N,burun,njuenie
13,Nase::N,burun,njunnje
14,Nase::N,burun,njunni
15,Nase::N,burun,njuṇe
16,Nase::N,burun,njuu´nn
17,Nase::N,burun,нюннҍ
18,Mund::N,ağız,njaelmie
19,Mund::N,ağız,njálmme
20,Mund::N,ağız,njálbmi
21,Mund::N,ağız,njälmi
22,Mund::N,ağız,njä´lmm
23,Mund::N,ağız,ня̄лльм
24,Zahn::N,diş,baenie
25,Zahn::N,diş,bádne
26,Zahn::N,diş,bátni
27,Zahn::N,diş,pääṇi
28,Zahn::N,diş,pää´nn
29,Zahn::N,diş,па̄ннҍ
30,Zunge::N,dil,njoektjeme
31,Zunge::N,dil,njuovtjav
32,Zunge::N,dil,njuovčča
33,Zunge::N,dil,njuovčâ
34,Zunge::N,dil,njuhččâm
35,Zunge::N,dil,нюхчем
36,Lippe::N,dudak,bangseme
37,Lippe::N,dudak,njálmmerabdda
38,Lippe::N,dudak,bavssa
39,Lippe::N,dudak,poovsâ
40,Lippe::N,dudak,põõus
41,Lippe::N,dudak,пэ̄кс
42,Wange::N,yanak,skiehrie
43,Wange::N,yanak,nierra
44,Wange::N,yanak,muohtu
45,Wange::N,yanak,nieṛâ
46,Wange::N,yanak,njiõrr
47,Wange::N,yanak,нӣрр
48,Gesicht::N,yüz,ååredæjja
49,Gesicht::N,yüz,muohto
50,Gesicht::N,yüz,muođut
51,Gesicht::N,yüz,ámadadju
52,Gesicht::N,yüz,muáđuh
53,Gesicht::N,yüz,muâđ
54,Gesicht::N,yüz,ка̄ссв
55,Stirn::N,alın,gaalloe
56,Stirn::N,alın,gállo
57,Stirn::N,alın,gállu
58,Stirn::N,alın,kállu
59,Stirn::N,alın,käll
60,Stirn::N,alın,вуэххьц
61,Haar::N,saç,voepte
62,Haar::N,saç,vuoppta
63,Haar::N,saç,vuokta
64,Haar::N,saç,vuop'tâ
65,Haar::N,saç,vuõpt
66,Haar::N,saç,вӯппт
67,Schnurrbart::N,bıyık,bijjie-skaavtjoe
68,Schnurrbart::N,bıyık,njunjevuolskávttjá
69,Schnurrbart::N,bıyık,seamu
70,Schnurrbart::N,bıyık,siämu
71,Schnurrbart::N,bıyık,ää´bben
72,Schnurrbart::N,bıyık,о̄а̄бпан
73,Bart::N,sakal,skaavtja
74,Bart::N,sakal,skaavtjoe
75,Bart::N,sakal,skávttjá
76,Bart::N,sakal,seamu
77,Bart::N,sakal,siämu
78,Bart::N,sakal,seäm
79,Bart::N,sakal,ся̄м
80,Kinn::N,çene,gaejpie
81,Kinn::N,çene,gájbbe
82,Kinn::N,çene,gáibi
83,Kinn::N,çene,käibi
84,Kinn::N,çene,käi´bb
85,Kinn::N,çene,ка̄ййп
86,Kiefer[Anatomie]::N,çene,gaejpie
87,Kiefer[Anatomie]::N,çene,oalol
88,Kiefer[Anatomie]::N,çene,oaloldákte
89,Kiefer[Anatomie]::N,çene,gáibi
90,Kiefer[Anatomie]::N,çene,uá'lultähti
91,Kiefer[Anatomie]::N,çene,vuâl'lõš
92,Kiefer[Anatomie]::N,çene,вуаллнешш
93,Kehle::N,boğaz,gealoe
94,Kehle::N,boğaz,tjåttå
95,Kehle::N,boğaz,njiello
96,Kehle::N,boğaz,čotta
97,Kehle::N,boğaz,čuudâ
98,Kehle::N,boğaz,čoodd
99,Kehle::N,boğaz,чонт
100,Kehle::N,boğaz,кэ̄ҏс
101,Hals::N,boyun,tjeapohke
102,Hals::N,boyun,tjiebet
103,Hals::N,boyun,čeabet
104,Hals::N,boyun,čiäppát
105,Hals::N,boyun,čeäppat
106,Hals::N,boyun,ча̄пэх
107,Hals::N,gerdan,tjeapohke
108,Hals::N,gerdan,tjiebet
109,Hals::N,gerdan,čeabet
110,Hals::N,gerdan,čiäppát
111,Hals::N,gerdan,čeäppat
112,Hals::N,gerdan,ча̄пэх
113,Genick::N,ense,tjovrese
114,Genick::N,ense,nisske
115,Genick::N,ense,niehkki
116,Genick::N,ense,niski
117,Genick::N,ense,niek'ki
118,Genick::N,ense,nji´šǩǩmaadd
119,Genick::N,ense,нышшькмоант
120,Kopf::N,baş,åejjie
121,Kopf::N,baş,oajvve
122,Kopf::N,baş,oaivi
123,Kopf::N,baş,uái'vi
124,Kopf::N,baş,vuei´vv
125,Kopf::N,baş,вуэййв
126,Kopf::N,kafa,åejjie
127,Kopf::N,kafa,oajvve
128,Kopf::N,kafa,oaivi
129,Kopf::N,kafa,uái'vi
130,Kopf::N,kafa,vuei´vv
131,Kopf::N,kafa,вуэййв
132,Rücken::N,arka,rudtje
133,Rücken::N,arka,hárddo
134,Rücken::N,arka,tjavelk
135,Rücken::N,arka,sealgi
136,Rücken::N,arka,selgi
137,Rücken::N,arka,čielgi
138,Rücken::N,arka,seä´lǧǧ
139,Rücken::N,arka,се̄лльк
140,Bauch::N,karın,tjåejjie
141,Bauch::N,karın,tjoajvve
142,Bauch::N,karın,čoavji
143,Bauch::N,karın,čuáv'ji
144,Bauch::N,karın,čåu´jj
145,Bauch::N,karın,чо̄ввьй
146,Nabel::N,göbek,naepie
147,Nabel::N,göbek,náhpe
148,Nabel::N,göbek,náhpi
149,Nabel::N,göbek,nääpi
150,Nabel::N,göbek,nää´pp
151,Nabel::N,göbek,на̄бпь
152,Busen::N,koyun,boenge
153,Busen::N,koyun,bållå
154,Busen::N,koyun,čižži
155,Busen::N,koyun,njamma
156,Busen::N,koyun,njižže
157,Busen::N,koyun,nje´ǯǯ
158,Busen::N,koyun,раннҍт
159,Brust::N,göğüs,mïelke
160,Brust::N,göğüs,radde
161,Brust::N,göğüs,mielgga
162,Brust::N,göğüs,raddi
163,Brust::N,göğüs,radde
164,Brust::N,göğüs,râ´dd
165,Brust::N,göğüs,раннҍт
166,Schulter::N,omuz,åelkie
167,Schulter::N,omuz,oalgge
168,Schulter::N,omuz,hárdu
169,Schulter::N,omuz,ärdee
170,Schulter::N,omuz,uál'gi
171,Schulter::N,omuz,a´rddi
172,Schulter::N,omuz,vuä´lǧǧ
173,Schulter::N,omuz,вуэллык
174,Arm::N,kol,gïete
175,Arm::N,kol,giehta
176,Arm::N,kol,giehta
177,Arm::N,kol,kietâ
178,Arm::N,kol,kie'tâkaaṿâ
179,Arm::N,kol,ǩiõtt
180,Arm::N,kol,кӣдт
181,Ellenbogen::N,dirsek,gernjere
182,Ellenbogen::N,dirsek,garŋŋel
183,Ellenbogen::N,dirsek,gargŋil
184,Ellenbogen::N,dirsek,käŋŋir
185,Ellenbogen::N,dirsek,kõõnjâr
186,Ellenbogen::N,dirsek,карьнэль
187,Hand::N,el,gïete
188,Hand::N,el,giehta
189,Hand::N,el,giehta
190,Hand::N,el,kietâ
191,Hand::N,el,ǩiõtt
192,Hand::N,el,кӣдт
193,Handfläche::N,avuç,gïeten-låapoe
194,Handfläche::N,avuç,giehtavuodo
195,Handfläche::N,avuç,tjårmmåvuodo
196,Handfläche::N,avuç,giehtaloahpu
197,Handfläche::N,avuç,kiämád
198,Handfläche::N,avuç,kuámmir
199,Handfläche::N,avuç,kuä´m'mer
200,Handfläche::N,avuç,ǩiõttǩeä´m'men
201,Handfläche::N,avuç,ко̄а̄ллдэгк
202,Handfläche::N,avuç,кӣдткоалдэгк
203,Handfläche::N,el ayası,gïeten-låapoe
