,Concept_ID,he,sk
0,Auge::N,עין,oko
1,Ohr::N,אזן,ucho
2,Nase::N,אף,nos
3,Nase::N,חטם,nos
4,Mund::N,פה,ústa
5,Zahn::N,שן,zub
6,Zunge::N,לשון,jazyk
7,Lippe::N,שפה,pera
8,Wange::N,לחי,líce
9,Gesicht::N,פנים,tvár
10,Gesicht::N,פנים,obličaj
11,Stirn::N,מצח,čelo
12,Haar::N,שערה,vlas
13,Schnurrbart::N,שפם,fúzy
14,Bart::N,זקן,brada
15,Kinn::N,סנטר,brada
16,Kiefer[Anatomie]::N,לסת,čeľusť
17,Kehle::N,גרון,hrdlo
18,Hals::N,צואר,krk
19,Genick::N,ערף,väzy
20,Kopf::N,ראש,hlava
21,Rücken::N,גב,chrbát
22,Bauch::N,בטן,brucho
23,Nabel::N,טבור,pupok
24,Busen::N,שד,prsia
25,Brust::N,חזה,hruď
26,Schulter::N,כתף,plece
27,Arm::N,זרוע,rameno
28,Ellenbogen::N,מרפק,lakeť
29,Hand::N,יד,ruka
30,Handfläche::N,כף יד,dlaň
31,Finger::N,אצבע,prst
32,Fingernagel::N,צפרן,necht
33,Nagel[Anatomie]::N,צפרן,necht
34,Zeh::N,אצבע,prst na nohe
35,Fuß::N,רגל,noha
36,Ferse::N,עקב,päta
37,Knie::N,ברך,koleno
38,Oberschenkel::N,ירך,stehno
39,Bein::N,רגל,noha
40,Körper::N,גוף,telo
41,Haut::N,עור,koža
42,Blut::N,דם,krv
43,Ader::N,וריד,žila
44,Sehne::N,גיד,šľacha
45,Knochen::N,עצם,kosť
46,Gehirn::N,מוח,mozog
47,Herz::N,לב,srdce
48,Magen::N,קבה,žalúdok
49,Leber::N,כבד,pečeň
50,Atem::N,נשימה,dych
51,Hunger::N,רעב,hlad
52,Träne::N,דמעה,slza
53,Geschmack::N,טעם,chuť
54,Geruch::N,ריח,pach
55,Schlaf::N,שנה,spánok
56,Traum::N,חלום,sen
57,Himmel::N,שמים,nebo
58,Sonne::N,שמש,slnko
59,Mond::N,ירח,mesiac
60,Stern::N,כוכב,hviezda
61,Luft::N,אויר,vzduch
62,Wind::N,רוח,vietor
63,Welle::N,גל,vlna
64,Wasser::N,מים,voda
65,Stein::N,אבן,kameň
66,Boden::N,קרקע,zem
67,Boden::N,קרקע,pôda
68,Erde::N,אדמה,zem
69,Staub::N,אבק,prach
70,Rauch::N,עשן,dym
71,Funke::N,ניצוץ,iskra
72,Feuer::N,אש,oheň
73,Licht::N,אור,svetlo
74,Schatten::N,צל,tieň
75,Wetter::N,מזג אויר,počasie
76,Nebel::N,ערפל,hmla
77,Wolke::N,ענן,oblak
78,Wolke::N,ענן,mračno
79,Regen::N,גשם,dážď
80,Schnee::N,שלג,sneh
81,Eis::N,קרח,ľad
82,Frost::N,צנה,mráz
83,Kälte::N,קר,zima
84,Kälte::N,קר,chlad
85,Hitze::N,חם,horúčava
86,Raureif::N,כפור,srieň
87,Raureif::N,כפור,inovať
88,Regenbogen::N,קשת,dúha
89,Donner::N,רעם,hrom
90,Strömung::N,זרימה,prúdenie
91,Tropfen::N,טפה,kvapka
92,Schaum::N,קצף,pena
93,Schmutz::N,לכלוך,špina
94,Schmutz::N,לכלוך,nečistota
95,See::N,אגם,jazero
96,Sumpf::N,בצה,bahno
97,Moor::N,בצה,močiar
98,Wiese::N,מרעה,lúka
99,Wald::N,יער,les
100,Wald::N,יער,hora
101,Hügel::N,תל,vŕšok
102,Anhöhe::N,מעלה,výšina
103,Anhöhe::N,מעלה,vyvýšenina
104,Berg::N,הר,hora
105,Gipfel::N,פסגה,vrchol
106,Höhle::N,מערה,jaskyňa
107,Abhang::N,מדרון,úbočie
108,Abhang::N,שפוע,úbočie
109,Quelle::N,מעין,prameň
110,Bach::N,נחל,potok
111,Fluss::N,נהר,rieka
112,Ufer::N,גדה,breh
113,Küste::N,חוף,pobrežie
114,Festland::N,יבשה,pevnina
115,Meer::N,ים,more
116,Bucht::N,מפרץ,záliv
117,Bucht::N,מפרץ,zátoka
118,Insel::N,אי,ostrov
119,Blume::N,פרח,kvet
120,Blume::N,פרח,kvetina
121,Gras::N,דשא,tráva
122,Wurzel::N,שרש,koreň
