,Concept_ID,cy,fr
0,Auge::N,llygad,œil
1,Ohr::N,clust,oreille
2,Nase::N,trwyn,nez
3,Mund::N,ceg,bouche
4,Zahn::N,dant,dent
5,Zunge::N,tafod,langue
6,Lippe::N,gwefus,lèvre
7,Wange::N,boch,joue
8,Gesicht::N,wyneb,face
9,Gesicht::N,wyneb,visage
10,Stirn::N,talcen,front
11,Haar::N,blew,cheveu
12,Schnurrbart::N,mwstas,moustache
13,Bart::N,barf,barbe
14,Kinn::N,gên,menton
15,Kiefer[Anatomie]::N,gên,mâchoire
16,Kehle::N,gwddf,gorge
17,Hals::N,gwddf,cou
18,Genick::N,gwar,nuque
19,Genick::N,gwegil,nuque
20,Kopf::N,pen,tête
21,Rücken::N,cefn,dos
22,Bauch::N,bol,ventre
23,Nabel::N,bogail,nombril
24,Busen::N,bron,sein
25,Brust::N,brest,poitrine
26,Schulter::N,ysgwydd,épaule
27,Arm::N,braich,bras
28,Ellenbogen::N,penelin,coude
29,Hand::N,llaw,main
30,Handfläche::N,palf,paume
31,Finger::N,bys,doigt
32,Fingernagel::N,ewin,ongle
33,Nagel[Anatomie]::N,ewin,ongle
34,Zeh::N,bys troed,orteil
35,Zeh::N,bys troed,doigt de pied
36,Fuß::N,troed,pied
37,Ferse::N,sawdl,talon
38,Knie::N,glin,genou
39,Oberschenkel::N,clun,cuisse
40,Bein::N,coes,jambe
41,Körper::N,corff,corps
42,Haut::N,croen,peau
43,Blut::N,gwaed,sang
44,Ader::N,gwythïen,veine
45,Sehne::N,gewyn,tendon
46,Knochen::N,asgwrn,os
47,Gehirn::N,ymennydd,cerveau
48,Herz::N,calon,cœur
49,Magen::N,cylla,estomac
50,Magen::N,stumog,estomac
51,Leber::N,iau,foie
52,Atem::N,anadl,haleine
53,Hunger::N,newyn,faim
54,Träne::N,deigryn,larme
55,Geschmack::N,cyflas,goût
56,Geschmack::N,cyflas,saveur
57,Geruch::N,aroglau,odeur
58,Schlaf::N,cwsg,sommeil
59,Traum::N,breuddwyd,songe
60,Himmel::N,awyr,ciel
61,Sonne::N,haul,soleil
62,Mond::N,lleuad,lune
63,Stern::N,seren,étoile
64,Luft::N,awyr,air
65,Wind::N,gwynt,vent
66,Welle::N,ton,vague
67,Wasser::N,dŵr,eau
68,Stein::N,carreg,pierre
69,Boden::N,llawr,sol
70,Boden::N,llawr,terrain
71,Erde::N,pridd,terre
72,Staub::N,llwch,poussière
73,Rauch::N,mwg,fumée
74,Funke::N,gwreichioni,étincelle
75,Feuer::N,tân,feu
76,Licht::N,golau,lumière
77,Schatten::N,cysgod,ombre
78,Wetter::N,tywydd,temps
79,Nebel::N,niwl,brume
80,Nebel::N,niwl,brouillard
81,Wolke::N,cwmwl,nuage
82,Regen::N,glaw,pluie
83,Schnee::N,ôd,neige
84,Schnee::N,eira,neige
85,Eis::N,iâ,glace
86,Frost::N,rhew,gel
87,Frost::N,rhew,gelée
88,Kälte::N,oerni,froid
89,Kälte::N,annwyd,froid
90,Hitze::N,gwres,chaleur
91,Raureif::N,barrug,givre
92,Regenbogen::N,enfys,arc-en-ciel
93,Donner::N,tyrfau,tonnerre
94,Strömung::N,cerrynt,courant
95,Tropfen::N,dafn,goutte
96,Tropfen::N,diferyn,goutte
97,Schaum::N,ewyn,écume
98,Schaum::N,ewyn,mousse
99,Schmutz::N,baw,boue
100,Schmutz::N,baw,saleté
101,Schmutz::N,budreddi,boue
102,Schmutz::N,budreddi,saleté
103,See::N,llyn,lac
104,Sumpf::N,cors,marais
105,Sumpf::N,cors,marécage
106,Moor::N,rhos,tourbière
107,Wiese::N,dôl,pré
108,Wald::N,coedwig,bois
109,Wald::N,coedwig,forêt
110,Hügel::N,bryn,coteau
111,Hügel::N,bryn,colline
112,Anhöhe::N,bryn,éminence
113,Anhöhe::N,bryn,élévation
114,Berg::N,mynydd,mont
115,Berg::N,mynydd,montagne
116,Gipfel::N,copa,cime
117,Gipfel::N,copa,sommet
118,Höhle::N,ogof,caverne
119,Abhang::N,llethr,pente
120,Abhang::N,llethr,versant
121,Quelle::N,tarddiad,source
122,Quelle::N,tarddiad,fontaine
123,Quelle::N,ffynhonnell,source
124,Quelle::N,ffynhonnell,fontaine
125,Bach::N,nant,ruisseau
126,Bach::N,afonig,ruisseau
127,Bach::N,cornant,ruisseau
128,Fluss::N,afon,fleuve
129,Fluss::N,afon,rivière
130,Ufer::N,glan,bord
131,Ufer::N,glan,rivage
132,Küste::N,traeth,côte
133,Küste::N,arfordir,côte
134,Festland::N,tir,terre ferme
135,Meer::N,môr,mer
136,Bucht::N,bae,baie
137,Insel::N,ynys,île
138,Blume::N,blodyn,fleur
139,Gras::N,glaswellt,herbe
140,Wurzel::N,gwreiddyn,racine
141,Baum::N,coeden,arbre
142,Stamm::N,colfen,tronc
143,Stamm::N,boncyff,tronc
144,Rinde::N,rhisgl,écorce
145,Ast::N,cangen,branche
146,Zweig::N,cainc,rameau
147,Zweig::N,cangen,rameau
148,Blatt::N,deilen,feuille
149,Birke::N,bedwen,bouleau
150,Kiefer[Baum]::N,pinwydden,pin
151,Weide[Baum]::N,helygen,saule
152,Tanne::N,ffynidwydden,sapin
153,Horn::N,corn,corne
154,Feder::N,plufyn,plume
155,Fell::N,ffwr,peau
156,Flügel::N,adain,aile
157,Klaue::N,crafanc,serre
158,Kralle::N,ewin,ongle
159,Kralle::N,ewin,griffe
160,Schwanz::N,cwt,queue
161,Schwanz::N,cynffon,queue
162,Ei::N,wy,œuf
163,Nest::N,nyth,nid
164,Bau::N,ffau,terrier
165,Tier::N,anifail,animal
166,Herde::N,praidd,troupeau
167,Herde::N,diadell,troupeau
168,Kuh::N,buwch,vache
169,Bulle::N,tarw,taureau
170,Pferd::N,ceffyl,cheval
171,Schaf::N,dafad,mouton
172,Schwein::N,mochyn,porc
173,Schwein::N,mochyn,cochon
174,Hund::N,ci,chien
175,Katze::N,cath,chat
176,Bär::N,arth,ours
177,Eichhörnchen::N,gwiwer,écureuil
178,Elch::N,elc,élan
179,Fuchs::N,cadno,renard
180,Hase::N,ysgyfarnog,lièvre
181,Maus::N,llygoden,souris
182,Wolf::N,blaidd,loup
183,Vogel::N,aderyn,oiseau
184,Schwarm::N,haid,nuée
185,Schwarm::N,haid,volée
186,Huhn::N,cyw,poule
187,Hahn::N,ceiliog,coq
188,Gans::N,gŵydd,oie
189,Adler::N,eryr,aigle
190,Ente::N,hwyad,canard
191,Eule::N,tylluan,hibou
192,Kranich::N,garan,grue
193,Kranich::N,crychydd,grue
