,Concept_ID,ja,cs
113,Fluss::N,川,řeka
114,Ufer::N,岸,břeh
115,Küste::N,海岸,pobřeží
116,Festland::N,陸,souš
117,Festland::N,陸,pevnina
118,Meer::N,海,moře
119,Bucht::N,湾,záliv
120,Bucht::N,湾,zátoka
121,Insel::N,島,ostrov
122,Blume::N,花,květina
123,Gras::N,草,tráva
124,Wurzel::N,根,kořen
125,Baum::N,木,strom
126,Stamm::N,幹,kmen
127,Rinde::N,皮層,kůra
128,Ast::N,枝,větev
129,Zweig::N,小枝,větev
130,Blatt::N,葉,lupen
131,Birke::N,樺,bříza
132,Kiefer[Baum]::N,松,sosna
133,Kiefer[Baum]::N,松,borovice
134,Weide[Baum]::N,柳,vrba
135,Tanne::N,樅,jedle
136,Horn::N,角,roh
137,Feder::N,羽根,pero
138,Fell::N,毛皮,srst
139,Flügel::N,羽,křídlo
140,Klaue::N,鉤爪,dráp
141,Klaue::N,鉤爪,pazneht
142,Kralle::N,爪,dráp
143,Schwanz::N,尻尾,ocas
144,Ei::N,卵,vejce
145,Nest::N,巣,hnízdo
146,Bau::N,穴,nora
147,Tier::N,動物,zvíře
148,Herde::N,群れ,stádo
149,Kuh::N,牛,kráva
150,Bulle::N,雄牛,býk
151,Pferd::N,馬,kůň
152,Schaf::N,羊,ovce
153,Schwein::N,豚,vepř
154,Schwein::N,豚,prase
155,Hund::N,犬,pes
156,Katze::N,猫,kočka
157,Bär::N,熊,medvěd
158,Eichhörnchen::N,栗鼠,veverka
159,Elch::N,ヘラジカ,los
160,Fuchs::N,狐,liška
161,Hase::N,兎,zajíc
162,Maus::N,鼠,myš
163,Wolf::N,狼,vlk
164,Vogel::N,鳥,pták
165,Schwarm::N,群れ,roj
166,Schwarm::N,群れ,hejno
167,Huhn::N,鶏,kuře
168,Huhn::N,鶏,slepice
169,Hahn::N,雄鶏,kohout
170,Gans::N,ガチョウ,husa
171,Adler::N,鷲,orel
172,Ente::N,鴨,kachna
173,Eule::N,フクロウ,sova
174,Kranich::N,鶴,jeřáb
175,Krähe::N,烏,vrána
176,Kuckuck::N,郭公,kukačka
177,Schwan::N,白鳥,labuť
178,Fisch::N,魚,ryba
179,Barsch::N,鱸,okoun
180,Hecht::N,川魳,štika
181,Schlange[Tier]::N,蛇,had
182,Wurm::N,虫,červ
183,Spinne::N,蜘蛛,pavouk
184,Ameise::N,蟻,mravenec
185,Laus::N,虱,veš
186,Mücke::N,蚊,komár
187,Fliege::N,蝿,moucha
188,Schmetterling::N,蝶,motýl
189,Beere::N,漿果,bobule
190,Apfel::N,林檎,jablko
191,Pilz::N,茸,houba
192,Zwiebel::N,玉葱,cibule
193,Saat::N,種,osivo
194,Korn::N,粒,zrno
195,Heu::N,干し草,seno
196,Schale::N,皮,slupka
197,Schale::N,皮,skořápka
198,Grube::N,穴,jáma
199,Falle::N,わな,past
200,Falle::N,わな,léčka
201,Schlinge::N,輪,smyčka
202,Spur::N,跡,stopa
203,Asche::N,灰,popel
204,Dreck::N,泥,špína
205,Eisen::N,鉄,železo
206,Gold::N,金,zlato
207,Silber::N,銀,stříbro
208,Kohle::N,炭,uhlí
209,Glas::N,ガラス,sklo
210,Lehm::N,ローム,jíl
211,Lehm::N,ローム,hlína
212,Sand::N,砂,písek
213,Mensch::N,人,člověk
