,Concept_ID,sk,ab
0,Auge::N,oko,ала
1,Ohr::N,ucho,алымҳа
2,Nase::N,nos,аҧынҵа
3,Mund::N,ústa,аҧышə
4,Zahn::N,zub,ахаҧыц
5,Zunge::N,jazyk,абз
6,Lippe::N,pera,ақьышə
7,Wange::N,líce,аӡамҩа
8,Gesicht::N,tvár,аҿы
9,Gesicht::N,obličaj,аҿы
10,Stirn::N,čelo,алахь
11,Haar::N,vlas,ахəыц
12,Schnurrbart::N,fúzy,аҧаҵа
13,Bart::N,brada,ажакьа
14,Kinn::N,brada,ацламкəыгə
15,Kiefer[Anatomie]::N,čeľusť,ацламҳəа
16,Kehle::N,hrdlo,ахəда
17,Hals::N,krk,ахəда
18,Genick::N,väzy,ахəдаџьал
19,Kopf::N,hlava,ахы
20,Rücken::N,chrbát,азқəа
21,Bauch::N,brucho,амгəа
22,Nabel::N,pupok,аҷапан
23,Busen::N,prsia,агəыҧҳəы
24,Brust::N,hruď,агəышҧы
25,Schulter::N,plece,ажəҩахыр
26,Arm::N,rameno,амахəар
27,Ellenbogen::N,lakeť,амашьхəылҵ
28,Hand::N,ruka,анапы
29,Handfläche::N,dlaň,анапсаргəыҵа
30,Finger::N,prst,анацəа
31,Fingernagel::N,necht,анапхыц
32,Nagel[Anatomie]::N,necht,ашьапхыц
33,Zeh::N,prst na nohe,ашьацəа
34,Fuß::N,noha,ашьапсыргəыҵа
35,Ferse::N,päta,ашьхəа
36,Knie::N,koleno,ашьамхы
37,Oberschenkel::N,stehno,ауаҭəа
38,Bein::N,noha,ашьапы
39,Körper::N,telo,ацəеижь
40,Haut::N,koža,ацəа
41,Blut::N,krv,ашьа
42,Ader::N,žila,ада
43,Sehne::N,šľacha,адаш
44,Knochen::N,kosť,абаҩ
45,Gehirn::N,mozog,ахшлыбаҩ
46,Gehirn::N,mozog,ахшыбаҩ
47,Herz::N,srdce,агəы
48,Magen::N,žalúdok,аца
49,Magen::N,žalúdok,ацар
50,Leber::N,pečeň,агəаҵəа
51,Atem::N,dych,аҧсыҧлагаҩгара
52,Hunger::N,hlad,амла
53,Träne::N,slza,алабжыш
54,Geschmack::N,chuť,агьама
55,Geruch::N,pach,афҩы
56,Schlaf::N,spánok,ацəа
57,Traum::N,sen,аҧхыӡ
58,Himmel::N,nebo,ажəҩан
59,Sonne::N,slnko,амра
60,Mond::N,mesiac,амза
61,Stern::N,hviezda,аеҵəа
62,Luft::N,vzduch,аҳаир
63,Wind::N,vietor,аҧша
64,Welle::N,vlna,ацəқəырҧа
65,Wasser::N,voda,аӡы
66,Stein::N,kameň,ахаҳə
67,Boden::N,zem,адгьыл
68,Boden::N,pôda,адгьыл
69,Erde::N,zem,адгьыл
70,Staub::N,prach,асаба
71,Rauch::N,dym,алҩа
72,Funke::N,iskra,акəиц
73,Funke::N,iskra,ацҧхь
74,Feuer::N,oheň,амца
75,Licht::N,svetlo,алашара
76,Schatten::N,tieň,ашəшьыра
77,Wetter::N,počasie,амш
78,Nebel::N,hmla,анаҟəа
79,Wolke::N,oblak,аҧсҭҳəа
80,Wolke::N,mračno,аҧсҭҳəа
81,Regen::N,dážď,ақəа
82,Schnee::N,sneh,асы
83,Eis::N,ľad,аҵаа
84,Frost::N,mráz,аҵаа
85,Kälte::N,zima,ахьҭа
86,Kälte::N,chlad,ахьҭа
87,Hitze::N,horúčava,ашоура
88,Raureif::N,srieň,аҵааҧшқа
89,Raureif::N,inovať,аҵааҧшқа
90,Regenbogen::N,dúha,ацəаҟəа
91,Donner::N,hrom,адыд
92,Strömung::N,prúdenie,аиасра
93,Strömung::N,prúdenie,амҩасра
94,Tropfen::N,kvapka,ацəыкəбар
95,Schaum::N,pena,ашəах
96,Schmutz::N,špina,алымт
97,Schmutz::N,nečistota,алымт
98,See::N,jazero,аӡиа
99,Sumpf::N,bahno,аӡмах
100,Moor::N,močiar,
101,Wiese::N,lúka,адəы
102,Wald::N,les,абна
103,Wald::N,hora,абна
104,Hügel::N,vŕšok,ахəы
105,Anhöhe::N,výšina,аҳаракыра
106,Anhöhe::N,vyvýšenina,аҳаракыра
107,Berg::N,hora,ашьха
108,Gipfel::N,vrchol,ацəқəа
109,Höhle::N,jaskyňa,аҳаҧы
110,Abhang::N,úbočie,анаара
111,Quelle::N,prameň,аҵҵырҭа
112,Bach::N,potok,акəараҷҷа
113,Fluss::N,rieka,аӡиас
114,Ufer::N,breh,ахықə
115,Küste::N,pobrežie,ахықə
116,Festland::N,pevnina,абарра
117,Meer::N,more,амшын
118,Bucht::N,záliv,аӡбжьахала
119,Bucht::N,zátoka,аӡбжьахала
120,Insel::N,ostrov,адгьылбжьаха
121,Blume::N,kvet,ашəҭ
122,Blume::N,kvetina,ашəҭ
123,Gras::N,tráva,аҳасакьын
124,Wurzel::N,koreň,адац
125,Baum::N,strom,аҵла
126,Stamm::N,kmeň,ашьапы
127,Rinde::N,kôra,ацəа
128,Ast::N,konár,амахə
129,Ast::N,konár,амахəҭа
130,Zweig::N,vetva,амахə
131,Zweig::N,vetva,амахəҭа
132,Blatt::N,list,абҕьы
133,Birke::N,breza,аҵааҵла
134,Kiefer[Baum]::N,sosna,амза
135,Kiefer[Baum]::N,borovica,амза
136,Weide[Baum]::N,vŕba,аҧслыш
137,Tanne::N,jedľa,аҧсаӡ
138,Horn::N,roh,атəыҩа
139,Feder::N,pero,ахӡы
140,Fell::N,koža,ацəа
141,Fell::N,kožušina,ацəа
142,Flügel::N,krídlo,амҵəыжəа
143,Klaue::N,paznecht,ашьапхыц
144,Kralle::N,pazúr,
145,Schwanz::N,chvost,аҵыхəа
146,Ei::N,vajce,акəтаӷь
147,Ei::N,vajíčko,акəтаӷь
148,Nest::N,hniezdo,аҭра
149,Nest::N,hniezdo,аҵысҭра
150,Bau::N,nora,аҭыҩра
151,Tier::N,zviera,аҧстəы
152,Tier::N,zviera,агыгшəыг
153,Herde::N,stádo,агəарҭа
154,Kuh::N,krava,ажə
155,Bulle::N,býk,ацə
156,Pferd::N,kôň,аҽы
157,Schaf::N,ovca,ауаса
158,Schwein::N,sviňa,аҳəа
159,Hund::N,pes,ала
160,Katze::N,mačka,ацгəы
161,Bär::N,medveď,амшə
162,Eichhörnchen::N,veverička,аеш
163,Elch::N,los,аҽаҩа
164,Fuchs::N,líška,абгахəыҷы
165,Hase::N,zajac,ажьа
166,Maus::N,myš,аҳəынаҧ
167,Wolf::N,vlk,абгаду
168,Vogel::N,vták,аҧсаатə
169,Schwarm::N,roj,
170,Huhn::N,kurča,акəты
171,Huhn::N,sliepka,акəты
172,Hahn::N,kohút,арбаҕь
173,Gans::N,hus,аҟыз
174,Adler::N,orol,ауарба
175,Ente::N,kačka,акəата
176,Ente::N,kačica,акəата
177,Eule::N,sova,аты
178,Kranich::N,žeriav,апҟа
179,Krähe::N,vrana,аҟəараан
180,Kuckuck::N,kukučka,акəыкəу
181,Schwan::N,labuť,агьад
182,Fisch::N,ryba,аҧсыӡ
183,Barsch::N,ostriež,ацəыбла
184,Hecht::N,šťuka,ахиаала
185,Schlange[Tier]::N,had,амаҭ
186,Wurm::N,červ,ахəа
187,Wurm::N,červ,ахəац
188,Spinne::N,pavúk,абызкаҭаҳа
189,Ameise::N,mravec,ашышкамс
190,Laus::N,voš,аҵа
191,Mücke::N,komár,акəыбры
192,Fliege::N,mucha,амҵ
193,Schmetterling::N,motýľ,аҧарҧалыкь
194,Beere::N,bobuľa,аргуц
195,Apfel::N,jablko,аҵəа
196,Pilz::N,hríb,акəкəбаа
197,Zwiebel::N,cibuľa,аџьымшьы
198,Zwiebel::N,cibuľa,аџьымшьхы
199,Saat::N,osivo,ажəла
200,Korn::N,zrno,арыц
201,Heu::N,seno,аҭəа
202,Schale::N,šupa,ацəа
203,Schale::N,škrupina,ацəа
204,Grube::N,jama,ажра
205,Grube::N,jama,атыша
206,Falle::N,pasca,арыҧҟьа
207,Falle::N,klepec,арыҧҟьа
208,Schlinge::N,slučka,аҟəараҟəантə
209,Spur::N,stopa,ашьҭа
210,Asche::N,popol,ахəа
211,Dreck::N,kal,аҳəынҵəа
212,Dreck::N,kal,аҟьамсар
213,Dreck::N,blato,аҳəынҵəа
214,Dreck::N,blato,аҟьамсар
215,Eisen::N,železo,аиха
216,Gold::N,zlato,ахьы
217,Silber::N,striebro,аразны
218,Kohle::N,uhlie,арацəа
219,Glas::N,sklo,асаркьа
220,Lehm::N,íl,анышəаҧшь
221,Lehm::N,hlina,анышəаҧшь
222,Sand::N,piesok,аҧслымӡ
223,Mensch::N,človek,ауаҩы
224,Mann::N,muž,ахаҵа
225,Mann::N,chlap,ахаҵа
226,Frau::N,žena,аҧҳəыс
227,Kind::N,dieťa,ахəыҷы
228,Junge::N,chlapec,аҷкəын
229,Junge::N,chlapec,ахаҵарҧыс
230,Mädchen::N,dievka,аӡӷаб
231,Familie::N,rodina,аҭаацəа
232,Großvater::N,dedo,абду
233,Großvater::N,starý otec,абду
234,Großmutter::N,babička,анду
235,Großmutter::N,stará mať,анду
236,Eltern::N,rodičia,ани аби
237,Vater::N,otec,аб
238,Mutter::N,mať,ан
239,Mutter::N,matka,ан
240,Sohn::N,syn,аҧа
241,Tochter::N,dcéra,аҧҳа
242,Bruder::N,brat,аиашьа
243,Schwester::N,sestra,Аҳəшьа
244,Onkel::N,ujo,абиашьа
245,Onkel::N,ujo,аншьа
246,Onkel::N,strýko,абиашьа
247,Onkel::N,strýko,аншьа
248,Tante::N,teta,абиаҳəшьа
249,Tante::N,tetka,абиаҳəшьа
250,Ehemann::N,muž,ахаҵа
251,Ehemann::N,muž,аҧшəма
252,Ehemann::N,manžel,ахаҵа
253,Ehemann::N,manžel,аҧшəма
254,Ehefrau::N,žena,аҧҳəыс
255,Ehefrau::N,manželka,аҧҳəыс
256,Freude::N,radosť,агəырӷьара
257,Gelächter::N,smiech,ачча
258,Gelächter::N,smiech,аччара
259,Glück::N,šťastie,аразҟы
260,Kummer::N,žiaľ,агəырҩа
261,Kummer::N,zármutok,агəырҩа
262,Wunsch::N,prianie,агəхəтəы
263,Wunsch::N,prianie,аҭахра
264,Lust::N,chuť,агəазыҳəара
265,Geist::N,duch,аҧсы
266,Gedanke::N,myšlienka,ахəыцырҭа
267,Gedächtnis::N,pamäť,агəынкылара
268,Verstand::N,rozum,ахшыҩ
269,Sinn::N,zmysel,аҵакы
270,Grund::N,dôvod,амзыз
271,Grund::N,príčina,амзыз
272,Wahrheit::N,pravda,аиаша
273,Gespräch::N,reč,аиҿцәажәара
274,Gespräch::N,rozhovor,аиҿцәажәара
275,Märchen::N,rozprávka,алакə
276,Erzählung::N,poviedka,ажәабжь
277,Nachricht::N,správa,адырраҭара
278,Neuigkeit::N,novinka,ажәабжь ҿыц
279,Name::N,meno,ахьӡ
280,Rätsel::N,záhada,ацуфара
281,Rätsel::N,hádanka,ацуфара
282,Rede::N,reč,ажәа
283,Sprache::N,reč,абызшəа
284,Sprache::N,jazyk,абызшəа
285,Stimme::N,hlas,абжьы
286,Wort::N,slovo,ажәа
287,Zeichen::N,znak,адырга
288,Ruf::N,volanie,аҿҭы
289,Ruf::N,zavolanie,аҿҭы
290,Lärm::N,hluk,ашьҭыбжь
291,Lärm::N,hurhaj,ашьҭыбжь
292,Laut::N,zvuk,ашьҭыбжь
293,Ton::N,tón,атон
294,Ton::N,zvuk,атон
295,Lied::N,pieseň,ашəа
296,Ruhe::N,pokoj,аҭынчра
297,Leute::N,ľudia,ауаа
298,Volk::N,ľud,ажəлар
299,Volk::N,národ,ажəлар
300,Arbeit::N,práca,аусура
301,Arbeit::N,robota,аусура
302,Gast::N,hosť,асас
303,Geschenk::N,dar,аҳамҭа
304,Geschenk::N,dar,аҿанҵа
305,Spiel::N,hra,ахəмарра
306,Gesellschaft::N,spoločnosť,агəыҧ
307,Hilfe::N,pomoc,ацхыраара
308,Freund::N,priateľ,аҩыза
309,Kamerad::N,kamarát,Аҧхнагьла
310,Angelegenheit::N,vec,аус
311,Angelegenheit::N,záležitosť,аус
312,Anzahl::N,počet,ахыҧхьаӡара
313,Anzahl::N,množstvo,ахыҧхьаӡара
314,Art::N,druh,ахкы
315,Stück::N,kus,аҽыҭ
316,Stück::N,kúsok,аҽыҭ
317,Teil::N,časť,ахəҭа
318,Hälfte::N,polka,абжа
319,Hälfte::N,polovica,абжа
320,Kreis::N,kruh,агьагьа
321,Kreuz::N,kríž,аџьар
322,Linie::N,línia,аицтәар
323,Strich::N,čiara,ацəаҳəа
324,Abstand::N,vzdialenosť,абжьара
325,Entfernung::N,vzdialenosť,абжьара
326,Gegend::N,kraj,аҭыҧ
327,Gegend::N,krajina,аҭыҧ
328,Platz::N,miesto,аҭыҧ
329,Ort::N,miesto,аҭыҧ
330,Seite::N,bok,аган
331,Seite::N,strana,аган
332,Mitte::N,stred,агəҭа
333,Gegenstand::N,predmet,амаҭəар
334,Sache::N,vec,
335,Rand::N,kraj,аҵкар
336,Rand::N,okraj,аҵкар
337,Kante::N,hrana,авардым
338,Ecke::N,roh,акəакь
339,Spitze::N,hrot,аҧынҵа
340,Spitze::N,špička,аҧынҵа
341,Ende::N,koniec,анаӡара
342,Loch::N,diera,акылҵəара
343,Winkel::N,kút,агҿаҩра
344,Winkel::N,kút,акəындхə
345,Winkel::N,kút,акəакь
346,Muster::N,vzor,аҟҟа
347,Muster::N,vzorka,аҟҟа
348,Größe::N,veľkosť,изаҟароу
349,Länge::N,dĺžka,аура
350,Höhe::N,výška,агылара
351,Gewicht::N,váha,акапан
352,Menge::N,množstvo,
353,Haufen::N,hŕba,ачаҟəа
354,Reihe::N,rad,ацəаҳəа
355,Boot::N,čln,анышь
356,Ruder::N,veslo,ажəҩа
357,Schlitten::N,sane,ашəаҩауардын
358,Ski::N,lyža,ашəаҩа
359,Ski::N,lyža,ашьахаха
360,Lagerfeuer::N,táborák,еиқуу амца
361,Last::N,ťarcha,ахьанҭара
362,Last::N,bremeno,ахьанҭара
363,Gang::N,chôdza,аныҟəара
364,Schritt::N,krok,ашьаҿа
365,Norden::N,sever,аҩада
366,Süden::N,juh,алада
367,Westen::N,západ,амраҭашəара
368,Osten::N,východ,амрагылара
