,Concept_ID,kl,ku
0,Auge::N,isi,çav
1,Ohr::N,siut,guh
2,Mund::N,paaq,dev
3,Mund::N,qaneq,dev
4,Zahn::N,kigut,didan
5,Zunge::N,oqaq,ziman
6,Lippe::N,qarloq,lêv
7,Wange::N,ersaq,dêm
8,Wange::N,ersaq,hinarik
9,Gesicht::N,kiinaq,rû
10,Stirn::N,qaaq,enî
11,Haar::N,meqqoq,por
12,Bart::N,umik,rih
13,Kinn::N,talloq,zenî
14,Kiefer[Anatomie]::N,alleroq,arguşk
15,Kehle::N,malaq,qirik
16,Hals::N,qungaseq,stû
17,Hals::N,qungaseq,qirik
18,Genick::N,pukusuk,stû
19,Kopf::N,niaqoq,serî
20,Rücken::N,qimerlut,pişt
21,Bauch::N,naaq,ûr
22,Bauch::N,naaq,zik
23,Nabel::N,qalaseq,navik
24,Busen::N,iviangeq,sîng
25,Brust::N,iviangeq,sîng
26,Schulter::N,ersik,mil
27,Schulter::N,assaqqoq,mil
28,Arm::N,taleq,çepil
29,Ellenbogen::N,ikusik,enîşk
30,Hand::N,assak,dest
31,Handfläche::N,itumak,kefadest
32,Finger::N,inuak,tilî
33,Fingernagel::N,kikiak,neynuk
34,Nagel[Anatomie]::N,kukik,bizmar
35,Zeh::N,isigak,tilî linga
36,Ferse::N,kimmik,pahnî
37,Knie::N,seeqqoq,kabok
38,Oberschenkel::N,uppat,rahn
39,Oberschenkel::N,quttoraq,rahn
40,Bein::N,isigak,çip
41,Körper::N,timi,laş
42,Körper::N,timi,gowde
43,Haut::N,mattak,çerm
44,Blut::N,aak,xwîn
45,Ader::N,taqaq,reh
46,Sehne::N,ujalu,reh
47,Sehne::N,ujaloq,reh
48,Knochen::N,saanikut,hestî
49,Gehirn::N,qarasaq,mêjî
50,Herz::N,uummat,dil
51,Magen::N,aqajaroq,navêş
52,Leber::N,tinguk,kezeb
53,Atem::N,anerneq,hilm
54,Hunger::N,kaanneq,birçîtî
55,Träne::N,qia,hêstir
56,Träne::N,qiak,hêstir
57,Geschmack::N,qilanaartuut,tam
58,Geruch::N,tipi,bêhn
59,Geruch::N,tipik,bêhn
60,Traum::N,sinnattoq,xewn
61,Traum::N,sinnattugaq,xewn
62,Himmel::N,qilak,ezman
63,Sonne::N,seqineq,roj
64,Mond::N,qaammat,heyv
65,Stern::N,ulloriaq,stêrk
66,Luft::N,silaannaq,ba
67,Wind::N,anori,ba
68,Wind::N,anorsarik,ba
69,Welle::N,aalappaa,şewl
70,Wasser::N,imeq,av
71,Stein::N,ujarak,kevir
72,Boden::N,nateq,herd
73,Erde::N,issoq,ax
74,Staub::N,pujualanerit,toz
75,Staub::N,pujoralanerit,toz
76,Rauch::N,iseq,dû
77,Rauch::N,pujoq,dû
78,Funke::N,illoorneq,çirûşk
79,Feuer::N,inneq,agir
80,Licht::N,qaamaneq,ronahî
81,Schatten::N,tarraq,sî
82,Wetter::N,sila,hewa
83,Nebel::N,pujoq,mij
84,Wolke::N,nuia,ewr
85,Regen::N,sialuk,baran
86,Schnee::N,aput,berf
87,Eis::N,siku,qeşa
88,Frost::N,issi,xûsik
89,Frost::N,issik,xûsik
90,Kälte::N,issi,serma
91,Hitze::N,kianneq,germayî
92,Hitze::N,kiassuseq,germayî
93,Raureif::N,kaneq,şext
94,Regenbogen::N,neriusaaq,heftreng
95,Donner::N,kalleq,gire-gir
96,Tropfen::N,kuseriarneq,dilop
97,Schaum::N,qapuk,kef
98,Schmutz::N,minguk,gemar
99,See::N,taseq,gol
100,Sumpf::N,maqulluk,hezek
101,Wiese::N,masarsuk,sûrik
102,Hügel::N,qattuneq,gir
103,Hügel::N,majuariaq,gir
104,Hügel::N,majorajaaq,gir
105,Hügel::N,qaqqannguaq,gir
106,Berg::N,qaqqaq,kaş
107,Höhle::N,qaarusuk,şikeft
108,Abhang::N,ippik,kaş
109,Abhang::N,sivinganeq,kaş
110,Abhang::N,sivingajaaq,kaş
111,Abhang::N,kussangajaaq,kaş
112,Bach::N,kuunnguaq,çem
113,Fluss::N,kuuk,çem
114,Fluss::N,kuuk,rûbar
115,Ufer::N,sissap sinaa,kevî
116,Küste::N,sineriak,berav
117,Meer::N,imaq,behr
118,Bucht::N,ikeq,derav
119,Bucht::N,kangerluk,derav
