,Concept_ID,kv,sq
0,Auge::N,син,sy
1,Ohr::N,пель,vesh
2,Nase::N,ныр,hundë
3,Mund::N,ӧм,gojë
4,Zahn::N,пинь,dhëmb
5,Zunge::N,кыв,gjuhë
6,Lippe::N,тырп,buzë
7,Wange::N,рожабан,faqe
8,Wange::N,рожабан,mollëz
9,Gesicht::N,бан,fytyrë
10,Stirn::N,кымӧс,ballë
11,Haar::N,юрси,flokë
12,Schnurrbart::N,уссэз,mustaqe
13,Bart::N,тош,mjekër
14,Kinn::N,тшӧка,mjekër
15,Kiefer[Anatomie]::N,ан,nofull
16,Kehle::N,юан,fyt
17,Kehle::N,юан,grykë
18,Hals::N,юан,qafë
19,Genick::N,юр бӧр,arrëz
20,Kopf::N,юр,kokë
21,Rücken::N,мышк,kurriz
22,Bauch::N,кынӧм,bark
23,Nabel::N,гӧг,kërthizë
24,Busen::N,морос,gji
25,Brust::N,морос,gjoks
26,Brust::N,морос,kraharor
27,Schulter::N,пельпон,sup
28,Schulter::N,пельпон,krah
29,Arm::N,ки,krah
30,Ellenbogen::N,гырдзза,bërryl
31,Hand::N,кикар,dorë
32,Handfläche::N,ки пыдӧс,pëllëmbë
33,Finger::N,чунь,gisht
34,Fingernagel::N,гыж,thua
35,Nagel[Anatomie]::N,гыж,thua
36,Zeh::N,чунь,gisht i këmbës
37,Fuß::N,кокпыдӧс,këmbë
38,Ferse::N,кокдзир,thembër
39,Knie::N,пидзӧс,gju
40,Oberschenkel::N,лядьбей,kofshë
41,Bein::N,кок,këmbë
42,Körper::N,вывтыр,trup
43,Haut::N,кучик,lëkurë
44,Blut::N,вир,gjak
45,Ader::N,сӧн,venë
46,Sehne::N,жила,dell
47,Knochen::N,коска,asht
48,Knochen::N,коска,kockë
49,Gehirn::N,вем,tru
50,Herz::N,сьӧлӧм,zemër
51,Magen::N,жӧвдӧк,stomak
52,Leber::N,мус,mëlçi
53,Atem::N,лолалӧм,frymë
54,Hunger::N,тшыг,uri
55,Träne::N,синва,lot
56,Geschmack::N,кӧр,shije
57,Geruch::N,дук,erë
58,Schlaf::N,он,gjumë
59,Traum::N,вӧт,ëndërr
60,Himmel::N,небо,qiell
61,Sonne::N,шондi,diell
62,Mond::N,тӧлiсь,hënë
63,Stern::N,кӧдзыв,yll
64,Luft::N,ру,ajër
