,Concept_ID,he,ce
0,Auge::N,עין,бӏаьрг
1,Ohr::N,אזן,лерг
2,Nase::N,אף,мара
3,Nase::N,חטם,мара
4,Mund::N,פה,бага
5,Zahn::N,שן,церг
6,Zunge::N,לשון,мотт
7,Lippe::N,שפה,балда
8,Wange::N,לחי,бесни
9,Gesicht::N,פנים,юьхь
10,Stirn::N,מצח,хьаж
11,Haar::N,שערה,мас
12,Schnurrbart::N,שפם,мекх
13,Bart::N,זקן,маж
14,Kinn::N,סנטר,чӏениг
15,Kiefer[Anatomie]::N,לסת,мочхал
16,Kehle::N,גרון,къамкъарг
17,Hals::N,צואר,ворта
18,Genick::N,ערף,кӏесаркӏаг
19,Kopf::N,ראש,корта
20,Rücken::N,גב,букъ
21,Bauch::N,בטן,кийра
22,Nabel::N,טבור,цӏонга
23,Busen::N,שד,зударийн накха
24,Brust::N,חזה,накха
25,Schulter::N,כתף,белш
26,Arm::N,זרוע,пхьарс
27,Ellenbogen::N,מרפק,пхьаьрсан гола
28,Hand::N,יד,куьг
29,Handfläche::N,כף יד,кераюкъ
30,Finger::N,אצבע,пӏелг
31,Fingernagel::N,צפרן,мӏара
32,Nagel[Anatomie]::N,צפרן,мӏара
33,Zeh::N,אצבע,кога пӏелг
34,Fuß::N,רגל,ког
35,Ferse::N,עקב,кӏажа
36,Knie::N,ברך,гола
37,Oberschenkel::N,ירך,варе
38,Bein::N,רגל,ког
39,Körper::N,גוף,хӏума
40,Haut::N,עור,чкъор
41,Blut::N,דם,цӏий
42,Ader::N,וריד,пха
43,Sehne::N,גיד,хьорзам
44,Knochen::N,עצם,даьӏахк
45,Gehirn::N,מוח,хье
46,Herz::N,לב,дог
47,Magen::N,קבה,зорх
48,Leber::N,כבד,доӏах
49,Atem::N,נשימה,садеӏар
50,Hunger::N,רעב,мацалла
51,Träne::N,דמעה,бӏаьрхи
52,Geschmack::N,טעם,чам
53,Geruch::N,ריח,хьожа
54,Schlaf::N,שנה,наб
55,Traum::N,חלום,гӏан
56,Himmel::N,שמים,стигал
57,Sonne::N,שמש,малх
58,Mond::N,ירח,бутт
59,Stern::N,כוכב,седа
60,Luft::N,אויר,xӏаваъ
61,Wind::N,רוח,мох
62,Welle::N,גל,тулгӏе
63,Wasser::N,מים,хи
64,Stein::N,אבן,тӏулг
65,Boden::N,קרקע,цӏенкъа
66,Erde::N,אדמה,латта
67,Staub::N,אבק,чан
68,Rauch::N,עשן,кӏур
69,Funke::N,ניצוץ,суй
70,Feuer::N,אש,цӏе
71,Licht::N,אור,серло
72,Schatten::N,צל,ӏиндагӏ
73,Wetter::N,מזג אויר,хенан хӏоттам
74,Nebel::N,ערפל,дохк
75,Wolke::N,ענן,марха
76,Regen::N,גשם,догӏа
77,Schnee::N,שלג,ло
78,Eis::N,קרח,ша
79,Frost::N,צנה,шело
80,Kälte::N,קר,шело
81,Hitze::N,חם,йовхо
82,Raureif::N,כפור,йис
83,Regenbogen::N,קשת,стелаӏад
84,Donner::N,רעם,ткъес
85,Strömung::N,זרימה,дӏаэхар
86,Strömung::N,זרימה,дӏасалелар
87,Tropfen::N,טפה,тӏадам
88,Schaum::N,קצף,чопа
89,Schmutz::N,לכלוך,хатт
90,See::N,אגם,ӏам
91,Sumpf::N,בצה,уьшал
92,Moor::N,בצה,уьшал
93,Wiese::N,מרעה,бай
94,Wald::N,יער,хьун
95,Hügel::N,תל,гу
96,Hügel::N,תל,шу
97,Hügel::N,תל,барз
98,Anhöhe::N,מעלה,акъари
99,Berg::N,הר,лам
100,Gipfel::N,פסגה,бохь
101,Höhle::N,מערה,хьех
102,Abhang::N,מדרון,басе
103,Abhang::N,שפוע,басе
104,Quelle::N,מעין,шовда
105,Bach::N,נחל,татол
106,Fluss::N,נהר,хи
107,Ufer::N,גדה,хийист
108,Küste::N,חוף,йист
109,Festland::N,יבשה,латта
110,Meer::N,ים,xӏорд
111,Bucht::N,מפרץ,чож
112,Insel::N,אי,гӏайре
113,Blume::N,פרח,зезаг
114,Gras::N,דשא,буц
115,Wurzel::N,שרש,орам
116,Baum::N,עץ,дитт
117,Stamm::N,גזע,гӏад
118,Stamm::N,גזע,тайпа
119,Rinde::N,קלפת עץ,кевстиг
120,Ast::N,ענף,га
121,Zweig::N,ענף,га
122,Blatt::N,עלה,гӏа
123,Birke::N,שדר,дакх
124,Kiefer[Baum]::N,ארן,бага
125,Weide[Baum]::N,ערבה,дак
126,Tanne::N,אשוח,база
127,Horn::N,קרן,маӏа
128,Feder::N,נוצה,пелаг
129,Fell::N,פרוה,цӏока
130,Flügel::N,כנף,тӏам
131,Klaue::N,טלף,мӏара
132,Kralle::N,טפר,тlод
133,Schwanz::N,זנב,цӏога
134,Ei::N,ביצה,xӏoa
135,Nest::N,קן,бен
136,Bau::N,מחלה,lуьрг
137,Tier::N,חיה,дийнат
138,Herde::N,עדר,жа
139,Kuh::N,פרה,етт
140,Bulle::N,פר,сту
141,Pferd::N,סוס,говр
142,Schaf::N,כבשה,жий
143,Schaf::N,כבשה,уьстагӏ
144,Schwein::N,חזיר,хьакха
145,Hund::N,כלב,жӏаьла
146,Katze::N,חתול,цициг
147,Bär::N,דב,ча
148,Eichhörnchen::N,סנאי,тарсал
149,Elch::N,דישון,сай
150,Fuchs::N,שועל,цхьогал
151,Hase::N,ארנב,пхьагал
152,Maus::N,עכבר,дахка
153,Wolf::N,זאב,борз
154,Vogel::N,צפור,олхазар
155,Schwarm::N,נחיל,
156,Schwarm::N,להקה,
157,Huhn::N,תרנגלת,котам
158,Hahn::N,תרנגול,нӏаьна
159,Hahn::N,תרנגול,боргӏал
160,Gans::N,אוז,гӏаз
161,Adler::N,עיט,aьрзу
162,Ente::N,ברוז,бад
163,Eule::N,ינשוף,бухӏа
164,Kranich::N,עגור,гӏаргӏули
165,Kranich::N,כרוכיה,гӏаргӏули
166,Krähe::N,עורב,къиг
167,Kuckuck::N,קוקיה,aттйокх
168,Schwan::N,ברבור,гӏургӏаз
169,Fisch::N,דג,чӏара
170,Barsch::N,אוקונוס,окунь
171,Hecht::N,זאב הים,гӏазкхийн чӏара
172,Schlange[Tier]::N,נחש,лаьхьа
173,Wurm::N,תולעת,нӏаьна
174,Spinne::N,עכביש,гезг
175,Ameise::N,נמלה,зингат
176,Laus::N,כנה,меза
177,Laus::N,כנה,гӏениг
178,Mücke::N,יתוש,чуьрк
179,Fliege::N,זבוב,моза
180,Schmetterling::N,פרפר,полла
181,Beere::N,ענבה,цӏазам
182,Apfel::N,תפוח,ӏаж
183,Pilz::N,פטריה,жӏаьлин нускал
184,Zwiebel::N,בצל,xох
185,Saat::N,זרעים,чlу
186,Korn::N,גרעין,буьртиг
187,Heu::N,חציר,йол
188,Schale::N,קלפה,пардо
189,Grube::N,בור,ор
190,Grube::N,שוחה,ор
191,Falle::N,מלכדת,кӏело
192,Schlinge::N,לולאה,
193,Spur::N,עקבה,лар
194,Asche::N,אפר,чим
195,Dreck::N,זהמה,мода
196,Eisen::N,ברזל,эчиг
197,Gold::N,זהב,деши
198,Silber::N,כסף,дети
199,Kohle::N,פחם,кӏора
200,Glas::N,זכוכית,aнгали
201,Lehm::N,חרסית,поппар
202,Sand::N,חול,гӏум
203,Mensch::N,אדם,адам
204,Mann::N,איש,майра
205,Mann::N,גבר,майра
206,Frau::N,אשה,зуда
207,Frau::N,גברת,зуда
208,Kind::N,ילד,бер
209,Junge::N,ילד,жимха
210,Mädchen::N,נערה,жима йоӏ
211,Familie::N,משפחה,доьзал
212,Großvater::N,סבא,ненада
213,Großmutter::N,סבתא,денана
214,Eltern::N,הורים,да-нана
215,Vater::N,אב,да
216,Mutter::N,אם,нана
217,Sohn::N,בן,кӏант
218,Tochter::N,בת,йоӏ
219,Bruder::N,אח,ваша
220,Schwester::N,אחות,йиша
221,Onkel::N,דוד,деваша
222,Tante::N,דודה,дейиша
223,Ehemann::N,איש,майра
224,Ehemann::N,בעל,майра
225,Ehefrau::N,אשה,зуда
226,Freude::N,שמחה,самукъа
227,Freude::N,שמחה,хазахетар
228,Gelächter::N,צחוק,белам
229,Glück::N,אשר,ирс
