,Concept_ID,xal,lez
0,Auge::N,нүдн,вил
1,Ohr::N,чикн,яб
2,Nase::N,хамр,нер
3,Mund::N,амн,сив
4,Zahn::N,шүдн,сас
5,Zahn::N,шүдн,свах
6,Zunge::N,келн,мез
7,Lippe::N,урл,пӏуз
8,Wange::N,халх,хъвехъ
9,Gesicht::N,нүр,ччин
10,Stirn::N,маңна,пел
11,Haar::N,үсн,чӏар
12,Schnurrbart::N,сахл,спел
13,Schnurrbart::N,сахл,спелар
14,Bart::N,сахл,ччуру
15,Bart::N,өргнә сахл,ччуру
16,Kinn::N,өргн,чене
17,Kiefer[Anatomie]::N,өргн,чене
18,Kehle::N,хол,туьд
19,Hals::N,күзүн,гардан
20,Genick::N,гиҗг,кьам
21,Kopf::N,толһа,кьил
22,Rücken::N,нурһн,далу
23,Bauch::N,гесн,руфун
24,Nabel::N,киисн,пицӏ
25,Busen::N,көкн,мам
26,Brust::N,чееҗ,хур
27,Schulter::N,ээм,къуьн
28,Arm::N,һар,гъил
29,Ellenbogen::N,тоха,кьуьнт
30,Hand::N,баһлцг,капаш
31,Handfläche::N,альхн,капан юкь
32,Finger::N,хурһн,тӏуб
33,Finger::N,һарин хурһн,тӏуб
34,Fingernagel::N,хумсн,кек
35,Nagel[Anatomie]::N,хумсн,кек
36,Zeh::N,хурһн,кул
37,Zeh::N,көлин хурһн,кул
38,Fuß::N,тавг,кӏвач
39,Ferse::N,өскә,дабан
40,Knie::N,өвдг,мет
41,Oberschenkel::N,һуй,
42,Bein::N,көл,кӏвач
43,Körper::N,махмуд,беден
44,Haut::N,арсн,хам
45,Blut::N,цусн,иви
46,Ader::N,судцн,дамар
47,Sehne::N,шүрүсн,кьуру дамар
48,Knochen::N,ясн,кӏараб
49,Gehirn::N,экн,мефт
50,Herz::N,зүркн,рикӏ
51,Magen::N,гесн,хук
52,Leber::N,элкн,лекь
53,Atem::N,әмсхл,ял
54,Atem::N,әмсхл,нефес
55,Hunger::N,харһнлһн,каш
56,Träne::N,нульмсн,вилин нагъв
57,Geschmack::N,амтн,дад
58,Geschmack::N,амтн,тӏям
59,Geruch::N,үнр,ни
60,Schlaf::N,нөр,ахвар
61,Traum::N,зүүдн,ахвар
62,Himmel::N,теңгр,цав
63,Sonne::N,нарн,рагъ
64,Mond::N,сар,варз
65,Stern::N,одн,гъед
66,Luft::N,аһар,гьава
67,Wind::N,салькн,гар
68,Welle::N,дольган,лепе
69,Wasser::N,усн,яд
70,Stein::N,чолун,къван
71,Boden::N,Һазр,накьв
72,Erde::N,Һазр,ччил
73,Staub::N,тоосн,руг
74,Rauch::N,утан,гум
75,Funke::N,очн,цӏелхем
76,Feuer::N,һал,цӏай
77,Licht::N,герл,экв
78,Schatten::N,сүүдр,серин
79,Wetter::N,теңгр,гьава
80,Nebel::N,будн,ччилин циф
81,Wolke::N,үүлн,циф
82,Regen::N,хур,марф
83,Schnee::N,цасн,жив
84,Eis::N,мөсн,мурк
85,Frost::N,киитн,аяз
86,Kälte::N,киитн,мекь
87,Kälte::N,киитн,мекьивал
88,Hitze::N,халун,зегьем
89,Raureif::N,цаң,къирав
90,Raureif::N,кирү,къирав
91,Regenbogen::N,солңһ,яргъируш
92,Donner::N,оһтрһун дун,цавун ван
93,Strömung::N,урсхл,
94,Tropfen::N,дусал,стӏал
95,Schaum::N,көөсн,каф
96,Schmutz::N,кир,чирк
97,Schmutz::N,кир,кьуруш
98,See::N,нур,вир
99,Sumpf::N,унул,уьлен
100,Moor::N,улм,
