,Concept_ID,myv,ml
0,Auge::N,сельме,കണ്ണ്
1,Ohr::N,пиле,ചെവി
2,Nase::N,судо,മൂക്ക്
3,Mund::N,курго,വായ
4,Zahn::N,пей,പല്ല്
5,Zunge::N,кель,നാക്ക്
6,Lippe::N,турва,ചുണ്ട്
7,Wange::N,чамабока,കവിൾത്തടം
8,Wange::N,чамаумарь,കവിൾത്തടം
9,Gesicht::N,чама,മുഖം
10,Stirn::N,коня,നെറ്റി
11,Haar::N,черь,തലമുടി
12,Schnurrbart::N,ус,മീശ
13,Schnurrbart::N,муюк,മീശ
14,Bart::N,сакал,താടിരോമം
15,Kinn::N,уло,താടി
16,Kiefer[Anatomie]::N,пейпакар,താടിയെല്ല്
17,Kiefer[Anatomie]::N,пейловажа,താടിയെല്ല്
18,Kehle::N,кирьгапарь,കണ്ഠനാളം
19,Hals::N,кирьга,കഴുത്ത്
20,Genick::N,човонь,പിടലി
21,Kopf::N,пря,തല
22,Rücken::N,копорь,മുതുക്
23,Bauch::N,пеке,നയറ്
24,Nabel::N,почо,നാഭി
25,Busen::N,поте,സ്തനം
26,Brust::N,меште,സ്തനം
27,Schulter::N,лавтов,തോൾ
28,Arm::N,кедь,കൈ
29,Ellenbogen::N,кенерепакарь,കൈമുട്ട്
30,Hand::N,кедь,കൈ
31,Handfläche::N,кедькуншка,ഉള്ളം കൈ
32,Handfläche::N,кедьлапушка,ഉള്ളം കൈ
33,Finger::N,сур,വിരൽ
34,Fingernagel::N,кенже,നഖം
35,Nagel[Anatomie]::N,кенже,നഖം
36,Zeh::N,пильге сур,കാൽവിരൽ
37,Fuß::N,пильге,കാൽപ്പാദം
38,Ferse::N,кочкаря,ഉപ്പൂറ്റി
39,Knie::N,эле,കാൽമുട്ട്
40,Knie::N,эзне,കാൽമുട്ട്
41,Knie::N,кумажа,കാൽമുട്ട്
42,Oberschenkel::N,качо,തുട
43,Bein::N,пильге,കാൽ
44,Körper::N,рунго,ശരീരം
45,Haut::N,киське,ചർമ്മം
46,Blut::N,верь,രക്തം
47,Ader::N,сан,ഞരമ്പ്
48,Sehne::N,коське сан,സ്നായു
49,Knochen::N,пакарь,അസ്ഥി
50,Gehirn::N,удем,തലച്ചോറ്
51,Herz::N,седей,ഹൃദയം
52,Magen::N,пеке,വയർ
53,Leber::N,максо,കരൾ
54,Atem::N,лексема,ശ്വാസം
55,Atem::N,оймень таргсема,ശ്വാസം
56,Hunger::N,вачочи,വിശപ്പ്
57,Träne::N,селведь,കണ്ണീർ
58,Geschmack::N,тансть,രുചി
59,Geruch::N,чине,ഗന്ധം
60,Schlaf::N,удома,ഉറകും
61,Traum::N,он,സ്വപ്നം
62,Himmel::N,менель,ആകാശം
63,Sonne::N,чи,സൂര്യൻ
64,Mond::N,ков,ചന്ദ്രൻ
65,Stern::N,теште,നക്ഷത്രം
66,Luft::N,кошт,കാറ്റ്
67,Wind::N,варма,കാറ്റ്
68,Welle::N,толкун,തിരമാല
69,Wasser::N,ведь,വെള്ളം
70,Stein::N,кев,ശില
71,Stein::N,кев,കല്ല്
72,Boden::N,мода,തറ
73,Boden::N,мода,നിലം
74,Erde::N,мастор,മണ്ണ്
75,Staub::N,пуль,പൊടി
76,Rauch::N,качамо,പുക
77,Funke::N,сятко,തീപ്പൊരി
78,Feuer::N,тол,തീ
79,Licht::N,валдо,വിളക്ക്
80,Licht::N,валдо,സൂര്യപ്രകാശം
