,Concept_ID,it,hi
0,Auge::N,occhio,आँख
1,Auge::N,occhio,चक्षु
2,Ohr::N,orecchio,कान
3,Ohr::N,orecchio,कर्ण
4,Nase::N,naso,नाक
5,Nase::N,naso,नासा
6,Mund::N,bocca,मुख
7,Mund::N,bocca,मुँह
8,Zahn::N,dente,दंत
9,Zahn::N,dente,दाँत
10,Zunge::N,lingua,जीभ
11,Zunge::N,lingua,ज़बान
12,Zunge::N,lingua,जिह्वा
13,Lippe::N,labbro,ओंठ
14,Lippe::N,labbro,होंठ
15,Wange::N,guancia,गाल
16,Wange::N,guancia,कपोल
17,Gesicht::N,viso,मुँह
18,Gesicht::N,viso,चेहरा
19,Gesicht::N,faccia,मुँह
20,Gesicht::N,faccia,चेहरा
21,Stirn::N,fronte,माथा
22,Stirn::N,fronte,मस्तक
23,Haar::N,capello,बाल
24,Schnurrbart::N,baffi,मूँछें
25,Schnurrbart::N,mustacchi,मूँछें
26,Bart::N,barba,दाढ़ी
27,Kinn::N,mento,चिबुक
28,Kiefer[Anatomie]::N,mascella,जबड़ा
29,Kehle::N,gola,गला
30,Hals::N,collo,गला
31,Hals::N,collo,गरदन
32,Genick::N,nuca,गरदन
33,Genick::N,nuca,ग्रीवा
34,Kopf::N,capo,सिर
35,Kopf::N,capo,शीर्ष
36,Kopf::N,testa,सिर
37,Kopf::N,testa,शीर्ष
38,Rücken::N,dorso,पीठ
39,Rücken::N,schiena,पीठ
40,Bauch::N,ventre,उदर
41,Nabel::N,ombelico,नाभि
42,Nabel::N,ombelico,ढोंढी
43,Busen::N,seno,कुच
44,Busen::N,seno,स्तन
45,Brust::N,petto,वक्ष
46,Schulter::N,spalla,कंधा
47,Schulter::N,spalla,स्कंध
48,Arm::N,braccio,बाँह
49,Arm::N,braccio,बाज़ू
50,Ellenbogen::N,gomito,कुहनी
51,Hand::N,mano,हाथ
52,Hand::N,mano,हस्त
53,Handfläche::N,palma,हथेली
54,Finger::N,dito,उँगली
55,Finger::N,dito,अँगुली
56,Fingernagel::N,unghia,नख
57,Fingernagel::N,unghia,नाख़ून
58,Nagel[Anatomie]::N,unghia,नख
59,Nagel[Anatomie]::N,unghia,नाख़ून
60,Zeh::N,dito del piede,उँगली
61,Zeh::N,dito del piede,पाँव की उँगली
62,Fuß::N,piede,चरण
63,Fuß::N,piede,पाँव
64,Ferse::N,tallone,एड़ी
65,Ferse::N,calcagno,एड़ी
66,Knie::N,ginocchio,जानु
67,Knie::N,ginocchio,घुटना
68,Oberschenkel::N,fèmore,उरु
69,Bein::N,gamba,टाँग
70,Körper::N,corpo,तन
71,Körper::N,corpo,देह
72,Körper::N,corpo,शरीर
73,Haut::N,pelle,चर्म
74,Haut::N,pelle,त्वचा
75,Blut::N,sangue,लहू
76,Blut::N,sangue,ख़ून
77,Ader::N,vena,रग
78,Ader::N,vena,शिरा
79,Sehne::N,tèndine,कंडरा
80,Sehne::N,tèndine,स्नायु
81,Knochen::N,osso,अस्थि
82,Gehirn::N,cervello,दिमाग़
83,Gehirn::N,cervello,मस्तिष्क
84,Herz::N,cuore,दिल
85,Herz::N,cuore,हृदय
86,Magen::N,stòmaco,मेदा
87,Magen::N,stòmaco,अमाशय
88,Leber::N,fegato,जिगर
89,Leber::N,fegato,यकृत्
90,Atem::N,fiato,दम
91,Atem::N,fiato,साँस
92,Atem::N,fiato,श्वास
93,Atem::N,respiro,दम
94,Atem::N,respiro,साँस
95,Atem::N,respiro,श्वास
96,Hunger::N,fame,भूख
97,Hunger::N,fame,क्षुधा
98,Träne::N,làcrima,आँसू
99,Träne::N,làcrima,अश्रु
100,Geschmack::N,gusto,स्वाद
101,Geschmack::N,gusto,ज़ायक़ा
102,Geschmack::N,sapore,स्वाद
103,Geschmack::N,sapore,ज़ायक़ा
104,Geruch::N,odore,बू
105,Geruch::N,odore,गंध
106,Schlaf::N,sonno,नींद
107,Schlaf::N,sonno,निद्रा
108,Traum::N,sogno,सपना
109,Traum::N,sogno,स्वप्न
110,Himmel::N,cielo,आकाश
111,Himmel::N,cielo,आसमान
112,Sonne::N,sole,रवि
113,Sonne::N,sole,सूरज
114,Sonne::N,sole,सूर्य
115,Mond::N,luna,चाँद
116,Mond::N,luna,चंद्र
117,Stern::N,stella,तारा
118,Stern::N,stella,सितारा
119,Luft::N,aria,हवा
120,Luft::N,aria,वायु
121,Wind::N,vento,पाद
122,Welle::N,onda,लहर
123,Welle::N,onda,तरंग
124,Wasser::N,acqua,जल
125,Wasser::N,acqua,पानी
126,Stein::N,sasso,पत्थर
127,Stein::N,pietra,पत्थर
128,Boden::N,suolo,मिट्टी
129,Boden::N,terreno,मिट्टी
130,Erde::N,terra,भूमि
131,Erde::N,terra,ज़मीन
132,Staub::N,polvere,धूल
133,Rauch::N,fumo,धूआँ
134,Rauch::N,fumo,धुम्र
135,Funke::N,scintilla,चिनगारी
136,Funke::N,scintilla,स्फुलिंग
137,Feuer::N,fuoco,आग
138,Feuer::N,fuoco,आतिश
139,Feuer::N,fuoco,अग्नि
140,Licht::N,luce,रोशनी
141,Licht::N,luce,प्रकाश
142,Schatten::N,ombra,छाया
143,Schatten::N,ombra,परछाई
144,Wetter::N,tempo,ऋतु
145,Wetter::N,tempo,मौसम
146,Nebel::N,nebbia,धुँध
147,Nebel::N,nebbia,कुहरा
148,Wolke::N,nube,मेघ
149,Wolke::N,nube,अभ्र
150,Wolke::N,nùvola,मेघ
151,Wolke::N,nùvola,अभ्र
152,Regen::N,pioggia,मेंह
153,Regen::N,pioggia,बारिश
154,Schnee::N,neve,हिम
155,Schnee::N,neve,बर्फ़
156,Eis::N,ghiaccio,हिम
157,Eis::N,ghiaccio,बर्फ़
158,Frost::N,gelo,ठंड
159,Kälte::N,freddo,सर्दी
160,Kälte::N,freddo,शीतलता
161,Hitze::N,caldo,ताप
162,Hitze::N,caldo,गरमी
163,Hitze::N,calura,ताप
164,Hitze::N,calura,गरमी
165,Raureif::N,brina,पाला
166,Regenbogen::N,arcobaleno,इंद्र-धनुष
167,Donner::N,tuono,गरज
168,Donner::N,tuono,मेघ-गर्जन
169,Strömung::N,corrente,बहाव
170,Strömung::N,corrente,प्रवाह
171,Tropfen::N,goccia,बूँद
172,Schaum::N,spuma,झाग
173,Schaum::N,schiuma,झाग
174,Schmutz::N,sudiciume,गंद
175,Schmutz::N,sudiciume,कीचड़
176,See::N,lago,झील
177,See::N,lago,सरोवर
178,Sumpf::N,palude,दलदल
179,Sumpf::N,palude,धँसान
180,Moor::N,torbiera,झाबर
181,Moor::N,torbiera,धँसान
182,Wiese::N,prato,घास-स्थल
183,Wald::N,bosco,जंगल
184,Wald::N,foresta,जंगल
