,Concept_ID,it,mrj
0,Auge::N,occhio,сӹнзӓ
1,Ohr::N,orecchio,пӹлӹш
2,Nase::N,naso,нер
3,Mund::N,bocca,ышма
4,Zahn::N,dente,пӱ
5,Zunge::N,lingua,йӹлмӹ
6,Lippe::N,labbro,тӹрвӹ
7,Wange::N,guancia,шӹргӹ
8,Gesicht::N,viso,лицӓ
9,Gesicht::N,faccia,лицӓ
10,Stirn::N,fronte,лепкӓ
11,Haar::N,capello,ӱп
12,Schnurrbart::N,baffi,öрш
13,Schnurrbart::N,mustacchi,öрш
14,Bart::N,barba,пандаш
15,Kinn::N,mento,онгылаш
16,Kiefer[Anatomie]::N,mascella,пӱ арата
17,Kehle::N,gola,логер
18,Hals::N,collo,шӱ
19,Genick::N,nuca,ланга
20,Kopf::N,capo,вуй
21,Kopf::N,testa,вуй
22,Rücken::N,dorso,туп
23,Rücken::N,schiena,туп
24,Bauch::N,ventre,мӹшкӹр
25,Nabel::N,ombelico,кӹлӹмдӹ
26,Busen::N,seno,цӹзӹ
27,Brust::N,petto,мел
28,Schulter::N,spalla,ӹнгӹжӓ
29,Arm::N,braccio,кид
30,Ellenbogen::N,gomito,кӹнервуй
31,Hand::N,mano,лапа
32,Handfläche::N,palma,кид лапа
33,Finger::N,dito,парня
34,Fingernagel::N,unghia,кӹч
35,Nagel[Anatomie]::N,unghia,кӹч
36,Zeh::N,dito del piede,парня
37,Fuß::N,piede,ял лапа
38,Ferse::N,tallone,ялгавал
39,Ferse::N,tallone,ял кавал
40,Ferse::N,calcagno,ялгавал
41,Ferse::N,calcagno,ял кавал
42,Knie::N,ginocchio,пылвуй
43,Oberschenkel::N,fèmore,ӓрдӹ
44,Bein::N,gamba,ял
45,Körper::N,corpo,монгыр
46,Haut::N,pelle,кавашты
47,Blut::N,sangue,вӹр
48,Ader::N,vena,вӹршӓр
49,Sehne::N,tèndine,кукшышӱн
50,Knochen::N,osso,лу
51,Gehirn::N,cervello,вим
52,Herz::N,cuore,шӱм
53,Magen::N,stòmaco,шӱм
54,Leber::N,fegato,мокш
55,Atem::N,fiato,шӱлӹш
56,Atem::N,respiro,шӱлӹш
57,Hunger::N,fame,шужымаш
58,Träne::N,làcrima,сӹнзӓвӹд
59,Geschmack::N,gusto,тот
60,Geschmack::N,sapore,тот
61,Geruch::N,odore,пыш
62,Schlaf::N,sonno,ом
63,Traum::N,sogno,ом
64,Himmel::N,cielo,пӹлгом
65,Sonne::N,sole,кечӹ
66,Mond::N,luna,тӹлзӹ
67,Stern::N,stella,шӹдӹр
68,Luft::N,aria,юж
69,Luft::N,aria,воздух
70,Wind::N,vento,мардеж
71,Welle::N,onda,ко
72,Welle::N,onda,коэ
73,Wasser::N,acqua,вӹд
74,Stein::N,sasso,кӱ
75,Stein::N,pietra,кӱ
76,Boden::N,suolo,рок
77,Boden::N,terreno,рок
78,Erde::N,terra,свет
79,Staub::N,polvere,пырак
80,Rauch::N,fumo,шӹкш
81,Funke::N,scintilla,ип
82,Funke::N,scintilla,тылип
83,Feuer::N,fuoco,тыл
84,Licht::N,luce,соты
85,Licht::N,luce,валгыды
86,Schatten::N,ombra,ӹмӹл
87,Wetter::N,tempo,игечӹ
88,Nebel::N,nebbia,тӹтӹрӓ
89,Wolke::N,nube,пӹл
90,Wolke::N,nùvola,пӹл
91,Regen::N,pioggia,юр
92,Schnee::N,neve,лым
93,Eis::N,ghiaccio,и
94,Frost::N,gelo,ӱштӹ
95,Kälte::N,freddo,ӱштӹ
96,Hitze::N,caldo,шокшы
97,Hitze::N,calura,шокшы
98,Raureif::N,brina,пöрш
99,Regenbogen::N,arcobaleno,шанавӹл
100,Donner::N,tuono,хӹдӹртӹш
101,Strömung::N,corrente,йогы
102,Tropfen::N,goccia,капльы
103,Tropfen::N,goccia,капльык
104,Schaum::N,spuma,шонг
105,Schaum::N,schiuma,шонг
106,Schmutz::N,sudiciume,лявӹрӓ
107,See::N,lago,йӓр
108,Sumpf::N,palude,лӱкӹ
109,Moor::N,torbiera,куп
110,Wiese::N,prato,алык
111,Wald::N,bosco,шӹргӹ
112,Wald::N,foresta,шӹргӹ
113,Hügel::N,colle,пӱгӹрикӓ
114,Hügel::N,collina,пӱгӹрикӓ
115,Anhöhe::N,altura,кӱкшикӓ
116,Berg::N,monte,кырык
117,Berg::N,montagna,кырык
118,Gipfel::N,cima,неркӓ
119,Höhle::N,grotta,ы́раж
120,Höhle::N,caverna,ы́раж
121,Abhang::N,pendìo,полом
122,Quelle::N,sorgente,вӹдсӹнзӓ
123,Bach::N,ruscello,ӓнгӹр
124,Fluss::N,fiume,вӹд
125,Ufer::N,riva,сир
126,Küste::N,costa,сир
127,Festland::N,terraferma,мӱлӓндӹ
128,Meer::N,mare,тангыж
129,Bucht::N,cala,вӹдъял
130,Insel::N,ìsola,острок
131,Blume::N,fiore,пеледӹш
132,Gras::N,erba,шуды
133,Wurzel::N,radice,важ
134,Baum::N,àlbero,пушӓнгӹ
135,Stamm::N,tronco,пушӓнгӹ тӹнг
136,Rinde::N,corteccia,каргыж
137,Ast::N,ramo,укш
138,Zweig::N,ramo,укш
139,Blatt::N,foglia,листӹ
140,Birke::N,betulla,куги
141,Kiefer[Baum]::N,pino,йӓктӹ
142,Weide[Baum]::N,sàlice,уа
143,Tanne::N,abete,кож
144,Horn::N,corno,шур
145,Feder::N,penna,пын
146,Fell::N,manto,кавашты
147,Fell::N,pelame,кавашты
148,Flügel::N,ala,шылдыр
149,Klaue::N,grinfia,кӹч
