,Concept_ID,ab,ce
0,Auge::N,ала,бӏаьрг
1,Ohr::N,алымҳа,лерг
2,Nase::N,аҧынҵа,мара
3,Mund::N,аҧышə,бага
4,Zahn::N,ахаҧыц,церг
5,Zunge::N,абз,мотт
6,Lippe::N,ақьышə,балда
7,Wange::N,аӡамҩа,бесни
8,Gesicht::N,аҿы,юьхь
9,Stirn::N,алахь,хьаж
10,Haar::N,ахəыц,мас
11,Schnurrbart::N,аҧаҵа,мекх
12,Bart::N,ажакьа,маж
13,Kinn::N,ацламкəыгə,чӏениг
14,Kiefer[Anatomie]::N,ацламҳəа,мочхал
15,Kehle::N,ахəда,къамкъарг
16,Hals::N,ахəда,ворта
17,Genick::N,ахəдаџьал,кӏесаркӏаг
18,Kopf::N,ахы,корта
19,Rücken::N,азқəа,букъ
20,Bauch::N,амгəа,кийра
21,Nabel::N,аҷапан,цӏонга
22,Busen::N,агəыҧҳəы,зударийн накха
23,Brust::N,агəышҧы,накха
24,Schulter::N,ажəҩахыр,белш
25,Arm::N,амахəар,пхьарс
26,Ellenbogen::N,амашьхəылҵ,пхьаьрсан гола
27,Hand::N,анапы,куьг
28,Handfläche::N,анапсаргəыҵа,кераюкъ
29,Finger::N,анацəа,пӏелг
30,Fingernagel::N,анапхыц,мӏара
31,Nagel[Anatomie]::N,ашьапхыц,мӏара
32,Zeh::N,ашьацəа,кога пӏелг
33,Fuß::N,ашьапсыргəыҵа,ког
34,Ferse::N,ашьхəа,кӏажа
35,Knie::N,ашьамхы,гола
36,Oberschenkel::N,ауаҭəа,варе
37,Bein::N,ашьапы,ког
38,Körper::N,ацəеижь,хӏума
39,Haut::N,ацəа,чкъор
40,Blut::N,ашьа,цӏий
41,Ader::N,ада,пха
42,Sehne::N,адаш,хьорзам
43,Knochen::N,абаҩ,даьӏахк
44,Gehirn::N,ахшлыбаҩ,хье
45,Gehirn::N,ахшыбаҩ,хье
46,Herz::N,агəы,дог
47,Magen::N,аца,зорх
48,Magen::N,ацар,зорх
49,Leber::N,агəаҵəа,доӏах
50,Atem::N,аҧсыҧлагаҩгара,садеӏар
51,Hunger::N,амла,мацалла
52,Träne::N,алабжыш,бӏаьрхи
53,Geschmack::N,агьама,чам
54,Geruch::N,афҩы,хьожа
55,Schlaf::N,ацəа,наб
56,Traum::N,аҧхыӡ,гӏан
57,Himmel::N,ажəҩан,стигал
58,Sonne::N,амра,малх
59,Mond::N,амза,бутт
60,Stern::N,аеҵəа,седа
61,Luft::N,аҳаир,xӏаваъ
62,Wind::N,аҧша,мох
63,Welle::N,ацəқəырҧа,тулгӏе
64,Wasser::N,аӡы,хи
65,Stein::N,ахаҳə,тӏулг
66,Boden::N,адгьыл,цӏенкъа
67,Erde::N,адгьыл,латта
