,Concept_ID,ba,os
0,Auge::N,күҙ,цӕст
1,Ohr::N,ҡолаҡ,хъус
2,Nase::N,танау,фындз
3,Mund::N,ауыҙ,дзых
4,Zahn::N,теш,дӕндаг
5,Zunge::N,тел,ӕвзаг
6,Lippe::N,ирен,был
7,Wange::N,яцаҡтар,рус
8,Wange::N,яцаҡтар,уадул
9,Wange::N,яцаҡтар,ӕхсӕрфарс
10,Gesicht::N,бит,цӕсгом
11,Stirn::N,маңлай,ных
12,Haar::N,сәс,хил
13,Schnurrbart::N,мылтыҡ,рихи
14,Bart::N,һаҡал,зачъе
15,Kinn::N,эйэк,роцъо
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,ӕфсӕр
17,Kehle::N,тамаҡ,хъуыр
18,Hals::N,муйын,къубал
19,Genick::N,соңҡа,къӕбут
20,Kopf::N,баш,сӕр
21,Rücken::N,арҡа,фӕсонтӕ
22,Bauch::N,ҡорһаҡ,гуыбын
23,Nabel::N,кендек,бикъ
24,Busen::N,күкрәк,дзидзи
25,Brust::N,түш,риу
26,Schulter::N,яурын,уӕхск
27,Arm::N,ҡул,цонг
28,Ellenbogen::N,терһәк,рæмбын
29,Hand::N,ҡул,къух
30,Hand::N,ҡул суғы,къух
31,Handfläche::N,ус төбө,армытъӕпӕн
32,Finger::N,бармаҡ,ӕнруылдз
33,Fingernagel::N,тырнаҡ,ных
34,Nagel[Anatomie]::N,тырнаҡ,ных
35,Zeh::N,бармаҡ,къух
36,Fuß::N,табан,фад
37,Ferse::N,үксә,зӕвӕт
38,Knie::N,тубыҡ,уӕраг
39,Oberschenkel::N,сандыр,агъд
40,Bein::N,аяҡ,зӕнг
41,Körper::N,тән,буар
42,Haut::N,тире,царм
43,Blut::N,ҡан,туг
44,Ader::N,тамыр,дадзин
45,Ader::N,тамыр,тугдадзин
46,Sehne::N,һеңер,хъиутæ
47,Sehne::N,һеңер,нуар
48,Sehne::N,тарамыш,хъиутæ
49,Sehne::N,тарамыш,нуар
50,Knochen::N,һойәк,стӕг
51,Gehirn::N,мейе,магъз
52,Herz::N,йорәк,зӕрдӕ
53,Magen::N,ашҡаҙан,ахсӕн
54,Leber::N,бауыр,игæр
55,Atem::N,һулыш,улӕфт
56,Hunger::N,аслыҡ,стонг
57,Träne::N,күҙ иәше,цæссыг
58,Geschmack::N,тәм,ад
59,Geruch::N,еҫ,смаг
60,Schlaf::N,йоҡлау,хуыссӕг
61,Traum::N,төш,фын
62,Himmel::N,күк,арв
63,Himmel::N,күк,уӕларв
64,Sonne::N,ҡояш,хур
65,Mond::N,ай,мӕй
66,Stern::N,йондоҙ,стъалы
67,Luft::N,һауа,уӕлдӕф
68,Wind::N,ел,дымгӕ
69,Welle::N,тулҡын,уылӕн
70,Wasser::N,һыу,дон
71,Stein::N,таш,дур
72,Boden::N,тупраҡ,зӕхх
73,Erde::N,балсҡ,сыджыт
74,Staub::N,туҙан,рыг
75,Rauch::N,төтөн,фӕздӕг
76,Funke::N,осҡон,цӕхӕр
77,Feuer::N,ут,зынг
78,Licht::N,яҡтылыҡ,рухс
79,Schatten::N,күләгә,аууон
80,Wetter::N,һауа торошо,боныхъӕд
81,Nebel::N,төман,мигъ
82,Wolke::N,болот,ӕврагъ
83,Regen::N,ямғыр,уарын
84,Schnee::N,ҡар,мит
85,Eis::N,боҙ,их
86,Frost::N,һалҡын,ихæн
87,Kälte::N,һыуыҡ,уазал
88,Hitze::N,томра,ӕнтӕф
89,Hitze::N,эҫелек,ӕнтӕф
90,Raureif::N,ҡырау,халас
91,Regenbogen::N,йәйғор,арвырон
92,Regenbogen::N,йәйғор,арвырдын
93,Donner::N,күк күкрәү,æрвнæрын
94,Strömung::N,ағым,цыд
95,Tropfen::N,тамсы,æртах
96,Schaum::N,күбек,фынк
97,Schmutz::N,батҡаҡ,цъыф
98,See::N,күл,цад
99,Sumpf::N,һаҙлык,цъыфдзаст
100,Moor::N,һаҙ,цъыфдзаст
101,Wiese::N,болон,уыгӕрдӕн
102,Wald::N,урман,хъӕд
103,Hügel::N,түбә,обау
104,Hügel::N,түбә,къуыбыр
105,Anhöhe::N,түбә,уæлвæз
106,Anhöhe::N,түбә,уæлхох
107,Anhöhe::N,ҡалҡыулыҡ,уæлвæз
108,Anhöhe::N,ҡалҡыулыҡ,уæлхох
109,Berg::N,тау,хох
110,Gipfel::N,түбә,цъупп
111,Höhle::N,мәмерйә,лӕгӕт
112,Abhang::N,ипкен,къул
113,Quelle::N,шишмә,суадон
114,Bach::N,шишмә,мӕсчъыдон
115,Fluss::N,йылға,дон
116,Fluss::N,йылға,цӕугӕдон
117,Ufer::N,яр,был
118,Küste::N,яр буйы,донбыл
119,Festland::N,ҡоро ер,сурзæхх
120,Meer::N,диңгез,денджыз
121,Bucht::N,бухта,донбакæлæн
122,Insel::N,үтрау,сакъадах
123,Blume::N,сәскә,дидинӕг
124,Gras::N,үлән,кӕрдӕг
125,Wurzel::N,тамыр,уидаг
126,Baum::N,ағас,бӕлас
127,Stamm::N,олон,хӕтӕл
128,Stamm::N,көбәк,хӕтӕл
129,Rinde::N,ҡабыҡ,цъар
130,Ast::N,ботаҡ,арх
131,Zweig::N,ботаҡ,къалиу
132,Zweig::N,тармаҡ,къалиу
133,Blatt::N,япраҡ,сыф
134,Birke::N,ҡайын,бæрз
135,Kiefer[Baum]::N,ҡарғай,нӕзы
136,Weide[Baum]::N,тал,хӕрис
137,Tanne::N,шыршы,наз
138,Horn::N,мөғөҙ,сыкъа
139,Feder::N,ҡауырһын,сис
140,Fell::N,тире,царм
141,Flügel::N,ҡанат,базыр
142,Klaue::N,тырнаҡ,ных
143,Kralle::N,аяҡ,дзӕмбы
144,Schwanz::N,ҡойроҡ,къӕдзил
145,Ei::N,йомортҡа,айк
146,Nest::N,оя,ахстон
147,Bau::N,оң,хуынкъ
148,Tier::N,жайуан,сырд
149,Tier::N,жайуан,цӕрӕгой
150,Tier::N,йыртҡыс,сырд
151,Tier::N,йыртҡыс,цӕрӕгой
152,Herde::N,көтөү,дзуг
153,Herde::N,көтөү,рӕгъау
154,Kuh::N,һыйыр,хъуг
155,Bulle::N,үгеҙ,гал
156,Pferd::N,ат,бӕх
157,Schaf::N,һарыҡ,фыс
