,Concept_ID,it,et
0,Auge::N,occhio,silm
1,Ohr::N,orecchio,kõrv
2,Nase::N,naso,nina
3,Mund::N,bocca,suu
4,Zahn::N,dente,hammas
5,Zunge::N,lingua,keel
6,Lippe::N,labbro,huul
7,Wange::N,guancia,põsk
8,Gesicht::N,viso,nägu
9,Gesicht::N,faccia,nägu
10,Stirn::N,fronte,otsmik
11,Haar::N,capello,juus
12,Schnurrbart::N,baffi,vurrud
13,Schnurrbart::N,baffi,vuntsid
14,Schnurrbart::N,mustacchi,vurrud
15,Schnurrbart::N,mustacchi,vuntsid
16,Bart::N,barba,habe
17,Kinn::N,mento,lõug
18,Kiefer[Anatomie]::N,mascella,lõualuu
19,Kehle::N,gola,kõri
20,Hals::N,collo,kael
21,Genick::N,nuca,kukal
22,Kopf::N,capo,pea
23,Kopf::N,testa,pea
24,Rücken::N,dorso,selg
25,Rücken::N,schiena,selg
26,Bauch::N,ventre,kõht
27,Nabel::N,ombelico,naba
28,Busen::N,seno,rind
29,Brust::N,petto,rind
30,Schulter::N,spalla,õlg
31,Arm::N,braccio,käsivars
32,Ellenbogen::N,gomito,küünarnukk
33,Hand::N,mano,käsi
34,Handfläche::N,palma,pihk
35,Finger::N,dito,sõrm
36,Fingernagel::N,unghia,küüs
37,Nagel[Anatomie]::N,unghia,küüs
38,Zeh::N,dito del piede,varvas
39,Fuß::N,piede,jalg
40,Ferse::N,tallone,kand
41,Ferse::N,calcagno,kand
42,Knie::N,ginocchio,põlv
43,Oberschenkel::N,fèmore,reis
44,Bein::N,gamba,jalg
45,Körper::N,corpo,ihu
46,Körper::N,corpo,keha
47,Haut::N,pelle,nahk
48,Blut::N,sangue,veri
49,Ader::N,vena,veen
50,Sehne::N,tèndine,kõõlus
51,Knochen::N,osso,luu
52,Gehirn::N,cervello,aju
53,Herz::N,cuore,süda
54,Magen::N,stòmaco,magu
55,Leber::N,fegato,maks
56,Atem::N,fiato,hingeõhk
57,Atem::N,fiato,hingamine
58,Atem::N,respiro,hingeõhk
59,Atem::N,respiro,hingamine
60,Hunger::N,fame,nälg
61,Träne::N,làcrima,pisar
62,Geschmack::N,gusto,maitse
63,Geschmack::N,sapore,maitse
64,Geruch::N,odore,lõhn
65,Schlaf::N,sonno,uni
66,Traum::N,sogno,unenägu
67,Himmel::N,cielo,taevas
68,Sonne::N,sole,päike
69,Mond::N,luna,kuu
70,Stern::N,stella,täht
71,Luft::N,aria,õhk
72,Wind::N,vento,tuul
73,Welle::N,onda,laine
74,Wasser::N,acqua,vesi
75,Stein::N,sasso,kivi
76,Stein::N,pietra,kivi
77,Boden::N,suolo,maa
78,Boden::N,suolo,pinnas
79,Boden::N,terreno,maa
80,Boden::N,terreno,pinnas
81,Erde::N,terra,maa
82,Staub::N,polvere,põrm
83,Rauch::N,fumo,suits
84,Funke::N,scintilla,säde
85,Feuer::N,fuoco,tuli
86,Licht::N,luce,valgus
87,Schatten::N,ombra,vari
88,Wetter::N,tempo,ilm
89,Nebel::N,nebbia,udu
90,Wolke::N,nube,pilv
91,Wolke::N,nùvola,pilv
92,Regen::N,pioggia,sadu
93,Schnee::N,neve,lumi
94,Eis::N,ghiaccio,jää
95,Frost::N,gelo,pakane
96,Kälte::N,freddo,külm
97,Kälte::N,freddo,külmus
98,Hitze::N,caldo,kuumus
99,Hitze::N,caldo,palavus
100,Hitze::N,calura,kuumus
101,Hitze::N,calura,palavus
102,Raureif::N,brina,härmatis
103,Regenbogen::N,arcobaleno,vikerkaar
104,Donner::N,tuono,kõu
105,Donner::N,tuono,müristamine
106,Strömung::N,corrente,voolus
107,Strömung::N,corrente,jõevool
108,Tropfen::N,goccia,tilk
109,Schaum::N,spuma,vaht
110,Schaum::N,schiuma,vaht
111,Schmutz::N,sudiciume,pori
112,Schmutz::N,sudiciume,mustus
113,See::N,lago,järv
114,Sumpf::N,palude,soo
115,Moor::N,torbiera,raba
116,Wiese::N,prato,aas
117,Wiese::N,prato,nurm
118,Wald::N,bosco,mets
119,Wald::N,foresta,mets
120,Hügel::N,colle,küngas
121,Hügel::N,collina,küngas
122,Anhöhe::N,altura,küngas
123,Berg::N,monte,mägi
124,Berg::N,montagna,mägi
125,Gipfel::N,cima,mäetipp
126,Höhle::N,grotta,koobas
127,Höhle::N,caverna,koobas
128,Abhang::N,pendìo,nõlvak
129,Quelle::N,sorgente,allikas
130,Bach::N,ruscello,oja
131,Fluss::N,fiume,jõgi
132,Ufer::N,riva,kallas
133,Küste::N,costa,rannik
134,Festland::N,terraferma,mander
135,Festland::N,terraferma,maismaa
136,Meer::N,mare,meri
137,Bucht::N,cala,laht
138,Insel::N,ìsola,saar
139,Blume::N,fiore,lill
140,Gras::N,erba,rohi
141,Wurzel::N,radice,juur
142,Baum::N,àlbero,puu
143,Stamm::N,tronco,tüvi
144,Rinde::N,corteccia,koor
145,Ast::N,ramo,oks
146,Zweig::N,ramo,oks
147,Blatt::N,foglia,leht
148,Birke::N,betulla,kask
149,Kiefer[Baum]::N,pino,mänd
150,Weide[Baum]::N,sàlice,paju
151,Tanne::N,abete,nulg
152,Horn::N,corno,sarv
153,Feder::N,penna,sulg
154,Fell::N,manto,karvkate
155,Fell::N,manto,karusnahk
156,Fell::N,pelame,karvkate
157,Fell::N,pelame,karusnahk
158,Flügel::N,ala,tiib
159,Flügel::N,ala,tiivik
160,Klaue::N,grinfia,küüs
161,Kralle::N,unghia,küünis
162,Kralle::N,artiglio,küünis
163,Schwanz::N,coda,saba
164,Ei::N,uovo,muna
165,Nest::N,nido,pesa
166,Bau::N,covo,urg
167,Tier::N,bestia,loom
168,Tier::N,animale,loom
169,Herde::N,gregge,kari
170,Kuh::N,vacca,lehm
171,Bulle::N,toro,pull
172,Pferd::N,cavallo,hobune
173,Schaf::N,pècora,lammas
174,Schwein::N,porco,siga
175,Schwein::N,maiale,siga
