,Concept_ID,te,es
0,Auge::N,కన్ను,ojo
1,Ohr::N,చెవి,oreja
2,Nase::N,ముక్కు,nariz
3,Mund::N,నోరు,boca
4,Zahn::N,పల్లు,diente
5,Zunge::N,నాలుక,lengua
6,Lippe::N,పెదవి,labio
7,Wange::N,చెంప,mejilla
8,Gesicht::N,ముఖము,cara
9,Stirn::N,నుదురు,frente
10,Haar::N,వెండ్రుక,cabello
11,Schnurrbart::N,మీసము,bigote
12,Bart::N,గడ్డము,barba
13,Kinn::N,గడ్డము,barbilla
14,Kiefer[Anatomie]::N,దౌడ,mandíbula
15,Kehle::N,గొంతు,garganta
16,Hals::N,మెడ,cuello
17,Genick::N,మూపు,nuca
18,Genick::N,మూపు,cerviz
19,Kopf::N,తల,cabeza
20,Rücken::N,వెన్ను,espalda
21,Bauch::N,కడుపు,vientre
22,Nabel::N,బొడ్డు,ombligo
23,Busen::N,స్తనము,pecho
24,Brust::N,ఱొమ్ము,pecho
25,Schulter::N,భుజము,hombro
26,Arm::N,చేయి,brazo
27,Ellenbogen::N,మోచేయి,codo
28,Hand::N,చేయి,mano
29,Handfläche::N,అరచేయు,palma
30,Finger::N,చేతిప్రేలు,dedo
31,Fingernagel::N,గోరు,uña
32,Nagel[Anatomie]::N,గోరు,uña
33,Zeh::N,కాలిప్రేలు,dedo del pie
34,Fuß::N,అడుగు,pie
35,Ferse::N,మడమ,talón
36,Knie::N,మోకాలు,rodilla
37,Oberschenkel::N,తొడ,muslo
38,Bein::N,కాలు,pierna
39,Körper::N,కాయము,cuerpo
40,Haut::N,చర్మము,piel
41,Blut::N,రక్తము,sangre
42,Ader::N,సిర,vena
43,Sehne::N,స్నాయువు,tendón
44,Knochen::N,ఎముక,hueso
45,Gehirn::N,మెదడు,cerebro
46,Gehirn::N,మెదడు,encéfalo
47,Herz::N,హృదయము,corazón
48,Magen::N,కడుపు,estómago
49,Leber::N,కాలేయము,hígado
50,Atem::N,ఉపిరి,aliento
51,Hunger::N,ఆకలి,hambre
52,Träne::N,కన్నీటిచుక్క,lágrima
53,Geschmack::N,రుచి,gusto
54,Geruch::N,వాసన,olor
55,Schlaf::N,నిద్ర,sueño
56,Traum::N,కల,sueño
57,Traum::N,కల,ensueño
58,Himmel::N,ఆకాశము,cielo
59,Sonne::N,సూర్యుడు,sol
60,Mond::N,చంద్రుడు,luna
61,Stern::N,నక్షత్రము,estrella
62,Luft::N,గాలి,aire
63,Wind::N,వీచుచున్నగాలి,viento
64,Welle::N,అల,ola
65,Welle::N,అల,onda
66,Wasser::N,నీరు,agua
67,Stein::N,ఱాయి,piedra
68,Boden::N,నేల,suelo
69,Erde::N,మన్ను,tierra
70,Staub::N,దుమ్ము,polvo
71,Rauch::N,పొగ,humo
72,Funke::N,అగ్నికణము,chispa
73,Feuer::N,అగ్ని,fuego
74,Licht::N,కాంతి,luz
75,Schatten::N,నీడ,sombra
76,Wetter::N,వాతావరణ స్థితి,tiempo
77,Nebel::N,పొగమంచు,niebla
78,Wolke::N,మేఘము,nube
79,Regen::N,వాన,lluvia
80,Schnee::N,హిమము,nieve
81,Eis::N,మంచుగడ్డ,hielo
82,Frost::N,పేరిన మంచు,helada
83,Kälte::N,చలి,frío
84,Hitze::N,వేడిమి,calor
85,Raureif::N,మంచు,escarcha
86,Regenbogen::N,ఇంద్రధనుస్సు,arco iris
87,Donner::N,ఉరుము,trueno
88,Strömung::N,ప్రవాహము,corriente
89,Tropfen::N,చుక్క,gota
90,Schaum::N,నురుగు,espuma
91,Schmutz::N,మైల,suciedad
92,See::N,సరస్సు,lago
93,Sumpf::N,చిత్తడినేల,pantano
94,Moor::N,చిత్తడినేల,turbera
95,Wiese::N,పచ్చిక బయలు,prado
96,Wiese::N,పచ్చిక బయలు,pradera
97,Wald::N,అడవి,bosque
98,Hügel::N,చివ్నకొండ,colina
99,Anhöhe::N,కొండ,cerro
100,Berg::N,పర్వతము,monte
101,Berg::N,పర్వతము,montaña
102,Gipfel::N,శిఖరము,cima
103,Gipfel::N,శిఖరము,cumbre
104,Höhle::N,గుహ,cueva
105,Höhle::N,గుహ,caverna
106,Abhang::N,ఏటవాలు,cuesta
107,Abhang::N,ఏటవాలు,declive
108,Quelle::N,మూలము,fuente
109,Quelle::N,మూలము,manantial
110,Bach::N,కాలువ,arroyo
111,Fluss::N,నది,río
112,Ufer::N,తీరము,orilla
113,Küste::N,తీరము,costa
114,Festland::N,భూమి,tierra firme
115,Meer::N,సముద్రము,mar
116,Bucht::N,మరుగు,cala
117,Bucht::N,మరుగు,bahía
118,Insel::N,దీవి,isla
119,Blume::N,పుష్పము,flor
120,Gras::N,పచ్చగడ్డి,hierba
121,Wurzel::N,వేరు,raíz
122,Baum::N,చెట్టు,árbol
123,Stamm::N,చెట్టుబోదె,tronco
124,Rinde::N,చెట్టుపట్ట,corteza
125,Ast::N,కొమ్మ,rama
126,Zweig::N,చివుకు,ramo
127,Blatt::N,ఆకు,hoja
128,Birke::N,తరహా చెట్టు,abedul
129,Kiefer[Baum]::N,దేవదారు చెట్టు,pino
130,Weide[Baum]::N,జాతిచెట్టు,sauce
