,Concept_ID,is,zh
0,Auge::N,auga,眼睛
1,Ohr::N,eyra,耳朵
2,Nase::N,nef,鼻子
3,Mund::N,munnur,嘴
4,Zahn::N,tönn,牙齿
5,Zunge::N,tunga,舌头
6,Lippe::N,vör,嘴唇
7,Wange::N,kinn,面颊
8,Wange::N,vangi,面颊
9,Gesicht::N,andlit,脸
10,Stirn::N,enni,额
11,Haar::N,hár,头发
12,Schnurrbart::N,yfirskegg,髭须
13,Bart::N,skegg,胡子
14,Kinn::N,haka,下巴
15,Kiefer[Anatomie]::N,kjálki,颌
16,Kiefer[Anatomie]::N,skoltur,颌
17,Kehle::N,kverk,嗓子
18,Hals::N,háls,颈
19,Genick::N,hnakki,后颈
20,Kopf::N,höfuð,头
21,Rücken::N,hryggur,背
22,Bauch::N,kviður,肚子
23,Nabel::N,nafli,肚脐
24,Busen::N,barmur,胸脯
25,Brust::N,brjóst,胸
26,Schulter::N,öxl,肩膀
27,Arm::N,armur,臂膀
28,Ellenbogen::N,olnbogi,肘
29,Hand::N,hönd,手
30,Handfläche::N,lófi,手掌
31,Finger::N,fingur,手指
32,Fingernagel::N,fingurnögl,指甲
33,Nagel[Anatomie]::N,nögl,指甲
34,Zeh::N,tá,脚趾
35,Fuß::N,fótur,脚
36,Ferse::N,hæll,后跟
37,Knie::N,kné,膝
38,Oberschenkel::N,læri,大腿
39,Bein::N,fótleggur,腿
40,Körper::N,búkur,身体
41,Körper::N,líkami,身体
42,Haut::N,húð,皮肤
43,Haut::N,skinn,皮肤
44,Blut::N,blóð,血
45,Ader::N,æð,血管
46,Sehne::N,sin,腱
47,Knochen::N,bein,骨
48,Gehirn::N,heili,脑
49,Herz::N,hjarta,心
50,Magen::N,magi,胃
51,Leber::N,lifur,肝
52,Atem::N,andi,呼吸
53,Atem::N,andardráttur,呼吸
54,Hunger::N,hungur,饿
55,Träne::N,tár,眼泪
56,Geschmack::N,smekkur,味道
57,Geruch::N,lykt,气味
58,Schlaf::N,svefn,睡眠
59,Traum::N,draumur,梦
60,Himmel::N,himinn,天空
61,Sonne::N,sól,太阳
62,Mond::N,tungl,月亮
63,Stern::N,stjarna,星
64,Luft::N,loft,空气
65,Wind::N,vindur,风
66,Welle::N,alda,波
67,Welle::N,bylgja,波
68,Wasser::N,vatn,水
69,Stein::N,steinn,石头
70,Boden::N,botn,地面
71,Erde::N,jörð,地
72,Staub::N,ryk,灰尘
73,Staub::N,duft,灰尘
74,Rauch::N,reykur,烟
75,Funke::N,neisti,火花
76,Feuer::N,eldur,火
77,Licht::N,ljós,光
78,Schatten::N,skuggi,影子
79,Wetter::N,veður,天气
80,Nebel::N,þoka,雾
81,Wolke::N,ský,云
82,Regen::N,regn,雨
83,Schnee::N,snjór,雪
84,Eis::N,ís,冰
85,Frost::N,frost,霜冻
86,Kälte::N,kuldi,寒冷
87,Hitze::N,hiti,炎热
88,Raureif::N,hrím,霜
89,Regenbogen::N,regnbogi,虹
90,Donner::N,þruma,雷
91,Strömung::N,straumur,水流
92,Tropfen::N,dropi,滴
93,Schaum::N,froða,泡沫
94,Schmutz::N,óhreinindi,赃物
95,See::N,stöðuvatn,湖
96,Sumpf::N,fen,沼泽
97,Moor::N,mýri,沼泽
98,Wiese::N,engi,草地
99,Wald::N,skógur,森林
100,Hügel::N,hæð,丘陵
101,Hügel::N,hóll,丘陵
102,Anhöhe::N,hæð,山丘
103,Anhöhe::N,hóll,山丘
104,Berg::N,fell,山
105,Berg::N,fjall,山
106,Gipfel::N,tindur,峰
