,Concept_ID,ta,ab
0,Auge::N,கண்,ала
1,Ohr::N,காது,алымҳа
2,Nase::N,மூக்கு,аҧынҵа
3,Mund::N,வாய்,аҧышə
4,Zahn::N,பல்,ахаҧыц
5,Zunge::N,நாக்கு,абз
6,Lippe::N,உதடு,ақьышə
7,Wange::N,கன்னம்,аӡамҩа
8,Gesicht::N,முகம்,аҿы
9,Stirn::N,முன்னெற்றி,алахь
10,Haar::N,முடி,ахəыц
11,Schnurrbart::N,மீசை,аҧаҵа
12,Bart::N,தாடி,ажакьа
13,Kinn::N,கீழதாடை,ацламкəыгə
14,Kiefer[Anatomie]::N,தாடை,ацламҳəа
15,Kehle::N,தொண்டை,ахəда
16,Hals::N,கழுத்து,ахəда
17,Genick::N,கழுத்து,ахəдаџьал
18,Kopf::N,தலை,ахы
19,Rücken::N,முதுகு,азқəа
20,Bauch::N,வயிறு,амгəа
21,Nabel::N,தொப்புள்,аҷапан
22,Busen::N,மார்பகம்,агəыҧҳəы
23,Brust::N, மார்பு,агəышҧы
24,Schulter::N,தோள்பட்டை,ажəҩахыр
25,Arm::N,கரம்,амахəар
26,Ellenbogen::N,முழங்கை,амашьхəылҵ
27,Hand::N,கை,анапы
28,Handfläche::N,உள்ளங்கை,анапсаргəыҵа
29,Finger::N,விரல்,анацəа
30,Fingernagel::N,விரல் நகம்,анапхыц
31,Nagel[Anatomie]::N,நகம்,ашьапхыц
32,Zeh::N,கால்விரல்,ашьацəа
33,Fuß::N,கால்,ашьапсыргəыҵа
34,Ferse::N,குதிகால்,ашьхəа
35,Knie::N,முழங்கால்,ашьамхы
36,Oberschenkel::N,தொடை,ауаҭəа
37,Bein::N,கால்,ашьапы
38,Körper::N,உடல்,ацəеижь
39,Haut::N,சருமம்,ацəа
40,Blut::N,இரத்தம்,ашьа
41,Ader::N,நாளம்,ада
42,Sehne::N,தசைநார்,адаш
43,Knochen::N,எலுமபு,абаҩ
44,Gehirn::N,மூனை,ахшлыбаҩ
45,Gehirn::N,மூனை,ахшыбаҩ
46,Herz::N,இதயம,агəы
47,Magen::N,வயிறு,аца
48,Magen::N,வயிறு,ацар
49,Leber::N,கல்லீரல்,агəаҵəа
50,Atem::N,மூச்சு,аҧсыҧлагаҩгара
51,Hunger::N,பசி,амла
52,Träne::N,கண்ணீர்,алабжыш
53,Geschmack::N,நறுமணம்,агьама
54,Geruch::N,துர்நாற்றம்,афҩы
55,Schlaf::N,தூக்கம்,ацəа
56,Traum::N,கனவு,аҧхыӡ
57,Himmel::N,வானம்,ажəҩан
58,Sonne::N,சூரியன்,амра
59,Mond::N,சந்திரன்,амза
60,Stern::N,நட்சத்திரம்,аеҵəа
61,Luft::N,காறறு,аҳаир
62,Wind::N,காற்று,аҧша
63,Welle::N,அலை,ацəқəырҧа
64,Wasser::N,நீர்,аӡы
65,Stein::N,கல்,ахаҳə
66,Boden::N,தரை,адгьыл
67,Erde::N,மண்,адгьыл
68,Staub::N,தூசி,асаба
69,Rauch::N,புகை,алҩа
70,Funke::N,தீப்பொறி,акəиц
71,Funke::N,தீப்பொறி,ацҧхь
72,Feuer::N,தீ,амца
73,Licht::N,வெளிச்சம்,алашара
74,Schatten::N,நிழல்,ашəшьыра
75,Wetter::N,வானிலை,амш
76,Nebel::N,பனிமூட்டம்,анаҟəа
77,Wolke::N,மேகம்,аҧсҭҳəа
78,Regen::N,மழை,ақəа
79,Schnee::N,உறைபனி,асы
80,Eis::N,பனிக்கட்டி,аҵаа
81,Frost::N,உறைபனி,аҵаа
82,Kälte::N,குளிர்ந்த,ахьҭа
83,Hitze::N,சூடு,ашоура
84,Raureif::N,உறைபனி வெண்திரை,аҵааҧшқа
85,Regenbogen::N,வானவில்,ацəаҟəа
86,Donner::N,இடி,адыд
87,Strömung::N,நீரோட்டம்,аиасра
88,Strömung::N,நீரோட்டம்,амҩасра
89,Tropfen::N,துளி,ацəыкəбар
90,Schaum::N,நுரை,ашəах
91,Schmutz::N,அழுக்கு,алымт
92,See::N,ஏரி,аӡиа
93,Sumpf::N,சதுப்பு நிலம்,аӡмах
94,Moor::N,முட்புதற்காடு,
95,Wiese::N,பசும் புல்தரை,адəы
96,Wald::N,காடு,абна
97,Hügel::N,குன்று,ахəы
98,Anhöhe::N,பதுக்கை,аҳаракыра
99,Berg::N,மலை,ашьха
100,Gipfel::N,உச்சி மாநாடு,ацəқəа
