,Concept_ID,uz,fi
0,Auge::N,ko'z,silmä
1,Ohr::N,quloq,korva
2,Nase::N,burun,nenä
3,Mund::N,og'iz,suu
4,Zahn::N,tish,hammas
5,Zunge::N,til,kieli
6,Lippe::N,dudoq,huuli
7,Wange::N,bet,poski
8,Gesicht::N,yuz,naama
9,Gesicht::N,yuz,kasvot
10,Stirn::N,manglay,otsa
11,Haar::N,soch,hius
12,Haar::N,soch,tukka
13,Schnurrbart::N,mo'ylov,viikset
14,Bart::N,soqol,parta
15,Kinn::N,ängak,leuka
16,Kiefer[Anatomie]::N,iyak,leukaluu
17,Kehle::N,bo'g'iz,kurkku
18,Hals::N,bo'yin,kaula
19,Genick::N,gardan,niska
20,Kopf::N,bosh,pää
21,Rücken::N,orqa,selkä
22,Bauch::N,qorin,maha
23,Bauch::N,qorin,vatsa
24,Nabel::N,kindik,napa
25,Busen::N,ämchak,rinta
26,Brust::N,ko'krak,rinta
27,Schulter::N,elka,olka
28,Schulter::N,elka,hartia
29,Schulter::N,elka,olkapää
30,Arm::N,bilak,käsivarsi
31,Ellenbogen::N,tirsak,kyynärpää
32,Hand::N,qo'l,käsi
33,Handfläche::N,kaft,kämmen
34,Finger::N,barmoq,sormi
35,Fingernagel::N,tirnoq,kynsi
36,Nagel[Anatomie]::N,tirnoq,kynsi
37,Zeh::N,oyoq barmog'i,varvas
38,Fuß::N,oyoq,jalka
39,Ferse::N,tovon,kantapää
40,Knie::N,tiz,polvi
41,Oberschenkel::N,son,reisi
42,Bein::N,oyoq,jalka
43,Körper::N,badna,keho
44,Körper::N,badna,ruumis
45,Haut::N,teri,iho
46,Blut::N,qon,veri
47,Ader::N,qon tomir,suoni
48,Sehne::N,tomir,jänne
49,Knochen::N,suyak,luu
50,Gehirn::N,miya,aivot
51,Herz::N,qalb,sydän
52,Magen::N,oshqozon,maha
53,Magen::N,oshqozon,vatsa
54,Leber::N,bag'ir,maksa
55,Atem::N,dam,henki
56,Atem::N,dam,hengitys
57,Hunger::N,ochlik,nälkä
58,Träne::N,yosh,kyynel
59,Geschmack::N,tam,maku
60,Geruch::N,jid,haju
61,Schlaf::N,uyqu,uni
62,Traum::N,tush,uni
63,Himmel::N,osmon,taivas
64,Sonne::N,quyosh,aurinko
65,Mond::N,oy,kuu
66,Stern::N,yulduz,tähti
67,Luft::N,havo,ilma
68,Wind::N,el,tuuli
69,Welle::N,to'lqin,aalto
70,Wasser::N,suv,vesi
71,Stein::N,tosh,kivi
72,Boden::N,tuproq,maa
73,Boden::N,tuproq,maaperä
74,Erde::N,er,maa
75,Staub::N,chang,pöly
76,Rauch::N,tutun,savu
77,Funke::N,yalt,kipinä
78,Feuer::N,o't,tuli
79,Licht::N,yorug',valo
80,Schatten::N,soya,varjo
81,Wetter::N,havo,sää
82,Nebel::N,tuman,sumu
83,Wolke::N,bulut,pilvi
84,Regen::N,yomg'ir,sade
85,Schnee::N,qor,lumi
86,Eis::N,muz,jää
87,Frost::N,ajoz,halla
88,Frost::N,ajoz,pakkanen
89,Kälte::N,ajoz,vilu
90,Kälte::N,ajoz,kylmyys
91,Hitze::N,issiq,helle
92,Hitze::N,issiq,kuumuus
93,Raureif::N,qirov,huurre
94,Regenbogen::N,kamalak,sateenkaari
95,Donner::N,guldur,jyrinä
96,Strömung::N,oqim,virtaus
97,Tropfen::N,tomchi,tippa
98,Tropfen::N,tomchi,pisara
99,Schaum::N,ko'pik,vaahto
100,Schmutz::N,gard,loka
101,See::N,ko'l,järvi
