,Concept_ID,is,mn
0,Auge::N,auga,нүд
1,Ohr::N,eyra,чих
2,Nase::N,nef,хамар
3,Mund::N,munnur,ам
4,Zahn::N,tönn,шүд
5,Zunge::N,tunga,хэл
6,Lippe::N,vör,уруул
7,Wange::N,kinn,хацар
8,Wange::N,vangi,хацар
9,Gesicht::N,andlit,царай
10,Gesicht::N,andlit,нүүр
11,Stirn::N,enni,дух
12,Haar::N,hár,үс
13,Schnurrbart::N,yfirskegg,дээд сахал
14,Schnurrbart::N,yfirskegg,живэр сахал
15,Bart::N,skegg,сахал
16,Kinn::N,haka,эрүү
17,Kiefer[Anatomie]::N,kjálki,эрүү
18,Kiefer[Anatomie]::N,skoltur,эрүү
19,Kehle::N,kverk,хоолой
20,Hals::N,háls,хүзүү
21,Genick::N,hnakki,шил
22,Genick::N,hnakki,хүзүү
23,Kopf::N,höfuð,толгой
24,Rücken::N,hryggur,ар
25,Rücken::N,hryggur,нуруу
26,Bauch::N,kviður,хэвлий
27,Bauch::N,kviður,гэдэс
28,Nabel::N,nafli,хүйс
29,Busen::N,barmur,хөх
30,Brust::N,brjóst,цээж
31,Schulter::N,öxl,мөр
32,Schulter::N,öxl,бугалга
33,Arm::N,armur,гар
34,Ellenbogen::N,olnbogi,тохой
35,Hand::N,hönd,гар
36,Hand::N,hönd,алга
37,Handfläche::N,lófi,алга
38,Finger::N,fingur,хуруу
39,Fingernagel::N,fingurnögl,хурууны хумс
40,Nagel[Anatomie]::N,nögl,хумс
41,Zeh::N,tá,хуруу
42,Fuß::N,fótur,хөл
43,Ferse::N,hæll,өсгий
44,Knie::N,kné,өвдөг
45,Oberschenkel::N,læri,гуя
46,Bein::N,fótleggur,хөл
47,Körper::N,búkur,бие
48,Körper::N,líkami,бие
49,Haut::N,húð,арьс
50,Haut::N,skinn,арьс
51,Blut::N,blóð,цус
52,Ader::N,æð,судас
53,Sehne::N,sin,бүлх
54,Sehne::N,sin,шандас
55,Knochen::N,bein,яс
56,Gehirn::N,heili,тархи
57,Herz::N,hjarta,зүрх
58,Magen::N,magi,ходоод
59,Leber::N,lifur,элэг
60,Atem::N,andi,амьсгаа
61,Atem::N,andardráttur,амьсгаа
62,Hunger::N,hungur,өлсгөлөн
63,Träne::N,tár,нулимс
64,Geschmack::N,smekkur,амт
65,Geruch::N,lykt,үнэр
66,Schlaf::N,svefn,нойр
67,Traum::N,draumur,зүүд
68,Himmel::N,himinn,тэнгэр
69,Himmel::N,himinn,огторгуй
70,Sonne::N,sól,нар
71,Mond::N,tungl,сар
72,Stern::N,stjarna,од
73,Luft::N,loft,агаар
74,Wind::N,vindur,салхи
75,Welle::N,alda,долгио
76,Welle::N,alda,давалгаа
77,Welle::N,bylgja,долгио
78,Welle::N,bylgja,давалгаа
79,Wasser::N,vatn,ус
