,Concept_ID,sah,la
0,Auge::N,харах,oculus
1,Ohr::N,кулгаах,auris
2,Nase::N,мурун,nasus
3,Mund::N,айах,os
4,Zahn::N,тиис,dens
5,Zunge::N,тыл,lingua
6,Lippe::N,уос,labrum
7,Wange::N,иэдэс,gena
8,Gesicht::N,сирэй,vultus
9,Stirn::N,сүүс,frons
10,Haar::N,баттах,capillus
11,Schnurrbart::N,уос бытыга,barba labri superioris
12,Bart::N,сэҥийэ бытыга,barba
13,Kinn::N,сэҥийэ,mentum
14,Kiefer[Anatomie]::N,сыҥаах,mala
15,Kehle::N,тамах,iugulums
16,Kehle::N,күөмэй,iugulums
17,Hals::N,моой,collum
18,Genick::N,кэтэх,cervices
19,Kopf::N,бас,caput
20,Rücken::N,көҕүс,tergum
21,Bauch::N,ис,venter
22,Nabel::N,киин,umbilicus
23,Busen::N,эмиий,sinus
24,Brust::N,түөс,pectus
25,Schulter::N,сарын,umerus
26,Arm::N,илии,bracchium
27,Ellenbogen::N,тоҕонох,cubitum
28,Hand::N,илии,manus
29,Handfläche::N,ытыс,palma
30,Finger::N,тарбах,digitus
31,Fingernagel::N,тыҥырах,unguiculus
32,Nagel[Anatomie]::N,тыҥырах,unguis
33,Zeh::N,тарбах,digitus
34,Fuß::N,уллуҥах,pes
35,Ferse::N,тилэх,calx
36,Knie::N,тобук,genu
37,Knie::N,дьилбэк,genu
38,Oberschenkel::N,уллук,femur
39,Oberschenkel::N,өттүк,femur
40,Bein::N,атах,crus
41,Körper::N,бэйэ,corpus
42,Haut::N,тирии,cutis
43,Haut::N,тирии,pellis
44,Blut::N,хаан,sanguis
45,Ader::N,вена,vena
46,Ader::N,күөх_тымыр,vena
47,Sehne::N,иҥиир,nervus
48,Knochen::N,уҥуох,os
49,Knochen::N,уҥгуох,os
50,Gehirn::N,мэйии,cerebrum
51,Herz::N,сүрэх,cor
52,Herz::N,сүрэх,animus
53,Magen::N,куртах,stomachus
54,Leber::N,быар,iecur
55,Atem::N,тыын,spiritus
56,Hunger::N,аас,fames
57,Träne::N,харах уута,lacrima
58,Geschmack::N,амтан,sapor
59,Geschmack::N,амтан,gustus
60,Geruch::N,сыт,odor
61,Schlaf::N,утуйуу,somnus
62,Traum::N,түүл,somnium
63,Himmel::N,халлаан,caelum
64,Sonne::N,күн,sol
65,Mond::N,ый,luna
66,Stern::N,сулус,sidus
67,Stern::N,сулус,stella
68,Luft::N,салгын,aer
69,Wind::N,тыал,ventus
70,Welle::N,долгун,unda
71,Welle::N,балхаан,unda
72,Wasser::N,уу,aqua
73,Stein::N,таас,lapis
74,Boden::N,сир,solum
75,Erde::N,буор,terra
76,Staub::N,быыл,pulvis
77,Rauch::N,буруо,fumus
78,Funke::N,кыым,scintilla
79,Feuer::N,уот,ignis
80,Licht::N,уот,lux
81,Licht::N,уот,lumen
82,Schatten::N,күлүк,umbra
83,Wetter::N,күн-дьыл,caelum
84,Wetter::N,күн-дьыл,tempestas
85,Nebel::N,туман,nebula
86,Wolke::N,былыт,nubes
87,Regen::N,самыыр,imber
88,Regen::N,самыыр,pluvia
89,Schnee::N,хаар,nix
90,Eis::N,муус,glacies
91,Frost::N,тымныы,gelu
92,Kälte::N,тымныы,frigus
93,Hitze::N,куйаас,calor
94,Hitze::N,куйаас,aestus
95,Raureif::N,кырыа,pruina
96,Regenbogen::N,кустук,arcus
97,Donner::N,этиҥ,tonitrus
98,Strömung::N,сүүрүк,fluctus
99,Tropfen::N,таммах,gutta
100,Tropfen::N,хааппыла,gutta
101,Schaum::N,күүгэн,spuma
102,Schmutz::N,кир,sordes
103,Schmutz::N,кир,squalor
104,See::N,күөл,lacus
105,Sumpf::N,бадараан,palus
106,Moor::N,дьэбэрэ,palus
107,Wiese::N,ходуһа,pratum
108,Wald::N,ойуур,silva
109,Hügel::N,булгунньах,collis
110,Anhöhe::N,үрдэл,specula
111,Berg::N,хайа,mons
112,Gipfel::N,чыпчаал,vertex
113,Höhle::N,хайа_хаспаҕа,caverna
114,Höhle::N,хайа_хаспаҕа,spelunca
115,Höhle::N,көҥүс,caverna
116,Höhle::N,көҥүс,spelunca
117,Abhang::N,эниэ,declivum
118,Quelle::N,дьүүктэ,fons
119,Bach::N,үрүйэ,rivus
120,Fluss::N,өрүс,flumen
121,Ufer::N,биэрэк,ripa
122,Küste::N,кытыл,litus
123,Festland::N,кураанах сир,continens
124,Meer::N,муора,mare
125,Bucht::N,хомо,sinus
126,Bucht::N,бухта,sinus
127,Insel::N,арыы,insula
128,Blume::N,сибэкки,flos
129,Gras::N,от,herba
130,Gras::N,от,gramen
131,Wurzel::N,силис,radix
132,Baum::N,мас,arbor
133,Stamm::N,умнас,truncus
134,Rinde::N,хатырык,cortex
135,Ast::N,мутук,ramus
136,Zweig::N,лабаа,ramus
137,Blatt::N,сэбирдэх,folium
138,Birke::N,хатыҥ,betulla
139,Kiefer[Baum]::N,бэс,pinus
140,Weide[Baum]::N,үөт,salix
141,Weide[Baum]::N,талах,salix
142,Tanne::N,харыйа,abies
143,Horn::N,муос,cornu
144,Feder::N,куорсун,penna
145,Fell::N,тирии,pellis
146,Flügel::N,кынат,ala
147,Klaue::N,тыҥырах,unguis
148,Kralle::N,баппаҕай,unguis
149,Schwanz::N,кутурук,cauda
