,Concept_ID,av,ro
0,Ohr::N,гӏин,ureche
1,Nase::N,мегӏер,nas
2,Mund::N,кӏал,gură
3,Zahn::N,гӏус,dinte
4,Zunge::N,мацӏ,limbă
5,Lippe::N,кӏветӏ,buză
6,Wange::N,гӏоно,bucă
7,Wange::N,гӏоно,obraz
8,Gesicht::N,гьумер,față
9,Gesicht::N,гьумер,figură
10,Stirn::N,нодо,frunte
11,Haar::N,рас,păr
12,Schnurrbart::N,михъ,mustață
13,Bart::N,мегеж,barbă
14,Kinn::N,нилъу,bărbie
15,Kiefer[Anatomie]::N,чанагъ,falcă
16,Kehle::N,щекъер,beregată
17,Hals::N,габур,gât
18,Genick::N,гъванща,ceafă
19,Kopf::N,бетӏер,cap
20,Rücken::N,мугъ,dos
21,Rücken::N,мугъ,spate
22,Rücken::N,мугъ,spinare
23,Bauch::N,чехь,burtă
24,Bauch::N,чехь,pântece
25,Nabel::N,цӏину,buric
26,Busen::N,керен,sân
27,Brust::N,керен,piept
28,Schulter::N,гъажазубетӏер,umăr
29,Schulter::N,гъажазубетӏер,spate
30,Arm::N,гъеж,braț
31,Ellenbogen::N,гӏункӏрукь,cot
32,Hand::N,квер,mână
33,Handfläche::N,огъохъат,palmă
34,Handfläche::N,жанисахъат,palmă
35,Finger::N,килищ,deget
36,Fingernagel::N,малъ,unghie
37,Nagel[Anatomie]::N,малъ,unghie
38,Zeh::N,килищ,deget de la picior
39,Fuß::N,хӏетӏ,picior
40,Fuß::N,хӏетӏе,picior
41,Ferse::N,эгъе,călcâi
42,Knie::N,наку,genunchi
43,Oberschenkel::N,мачӏ,coapsă
44,Bein::N,бох,picior
45,Körper::N,къаркъала,corp
46,Haut::N,тӏом,piele
47,Blut::N,би,sânge
48,Ader::N,бидурихь,vână
49,Ader::N,бидурихь,arteră
50,Knochen::N,ракьа,os
51,Gehirn::N,гӏадалнах,creier
52,Herz::N,ракӏ,inimă
53,Magen::N,кванирукъ,stomac
54,Leber::N,тӏул,ficat
55,Atem::N,хӏухь,răsuflare
56,Atem::N,хӏухь,respirație
57,Hunger::N,ракъи,foame
58,Träne::N,магӏу,lacrimă
59,Geschmack::N,тату,gust
60,Geruch::N,махӏ,miros
61,Schlaf::N,макьу,somn
