,Concept_ID,es,ab
0,Auge::N,ojo,ала
1,Ohr::N,oreja,алымҳа
2,Nase::N,nariz,аҧынҵа
3,Mund::N,boca,аҧышə
4,Zahn::N,diente,ахаҧыц
5,Zunge::N,lengua,абз
6,Lippe::N,labio,ақьышə
7,Wange::N,mejilla,аӡамҩа
8,Gesicht::N,cara,аҿы
9,Stirn::N,frente,алахь
10,Haar::N,cabello,ахəыц
11,Schnurrbart::N,bigote,аҧаҵа
12,Bart::N,barba,ажакьа
13,Kinn::N,barbilla,ацламкəыгə
14,Kiefer[Anatomie]::N,mandíbula,ацламҳəа
15,Kehle::N,garganta,ахəда
16,Hals::N,cuello,ахəда
17,Genick::N,nuca,ахəдаџьал
18,Genick::N,cerviz,ахəдаџьал
19,Kopf::N,cabeza,ахы
20,Rücken::N,espalda,азқəа
21,Bauch::N,vientre,амгəа
22,Nabel::N,ombligo,аҷапан
23,Busen::N,pecho,агəыҧҳəы
24,Brust::N,pecho,агəышҧы
25,Schulter::N,hombro,ажəҩахыр
26,Arm::N,brazo,амахəар
27,Ellenbogen::N,codo,амашьхəылҵ
28,Hand::N,mano,анапы
29,Handfläche::N,palma,анапсаргəыҵа
30,Finger::N,dedo,анацəа
31,Fingernagel::N,uña,анапхыц
32,Nagel[Anatomie]::N,uña,ашьапхыц
33,Zeh::N,dedo del pie,ашьацəа
34,Fuß::N,pie,ашьапсыргəыҵа
35,Ferse::N,talón,ашьхəа
36,Knie::N,rodilla,ашьамхы
37,Oberschenkel::N,muslo,ауаҭəа
38,Bein::N,pierna,ашьапы
39,Körper::N,cuerpo,ацəеижь
40,Haut::N,piel,ацəа
41,Blut::N,sangre,ашьа
42,Ader::N,vena,ада
43,Sehne::N,tendón,адаш
44,Knochen::N,hueso,абаҩ
45,Gehirn::N,cerebro,ахшлыбаҩ
46,Gehirn::N,cerebro,ахшыбаҩ
47,Gehirn::N,encéfalo,ахшлыбаҩ
48,Gehirn::N,encéfalo,ахшыбаҩ
49,Herz::N,corazón,агəы
50,Magen::N,estómago,аца
51,Magen::N,estómago,ацар
52,Leber::N,hígado,агəаҵəа
53,Atem::N,aliento,аҧсыҧлагаҩгара
54,Hunger::N,hambre,амла
55,Träne::N,lágrima,алабжыш
56,Geschmack::N,gusto,агьама
57,Geruch::N,olor,афҩы
58,Schlaf::N,sueño,ацəа
59,Traum::N,sueño,аҧхыӡ
60,Traum::N,ensueño,аҧхыӡ
61,Himmel::N,cielo,ажəҩан
62,Sonne::N,sol,амра
63,Mond::N,luna,амза
64,Stern::N,estrella,аеҵəа
65,Luft::N,aire,аҳаир
66,Wind::N,viento,аҧша
67,Welle::N,ola,ацəқəырҧа
68,Welle::N,onda,ацəқəырҧа
69,Wasser::N,agua,аӡы
70,Stein::N,piedra,ахаҳə
71,Boden::N,suelo,адгьыл
72,Erde::N,tierra,адгьыл
73,Staub::N,polvo,асаба
74,Rauch::N,humo,алҩа
75,Funke::N,chispa,акəиц
76,Funke::N,chispa,ацҧхь
77,Feuer::N,fuego,амца
78,Licht::N,luz,алашара
79,Schatten::N,sombra,ашəшьыра
80,Wetter::N,tiempo,амш
81,Nebel::N,niebla,анаҟəа
82,Wolke::N,nube,аҧсҭҳəа
83,Regen::N,lluvia,ақəа
84,Schnee::N,nieve,асы
85,Eis::N,hielo,аҵаа
86,Frost::N,helada,аҵаа
87,Kälte::N,frío,ахьҭа
88,Hitze::N,calor,ашоура
89,Raureif::N,escarcha,аҵааҧшқа
90,Regenbogen::N,arco iris,ацəаҟəа
91,Donner::N,trueno,адыд
92,Strömung::N,corriente,аиасра
93,Strömung::N,corriente,амҩасра
94,Tropfen::N,gota,ацəыкəбар
95,Schaum::N,espuma,ашəах
96,Schmutz::N,suciedad,алымт
97,See::N,lago,аӡиа
98,Sumpf::N,pantano,аӡмах
99,Moor::N,turbera,
100,Wiese::N,prado,адəы
101,Wiese::N,pradera,адəы
102,Wald::N,bosque,абна
103,Hügel::N,colina,ахəы
104,Anhöhe::N,cerro,аҳаракыра
105,Berg::N,monte,ашьха
106,Berg::N,montaña,ашьха
107,Gipfel::N,cima,ацəқəа
108,Gipfel::N,cumbre,ацəқəа
109,Höhle::N,cueva,аҳаҧы
110,Höhle::N,caverna,аҳаҧы
111,Abhang::N,cuesta,анаара
112,Abhang::N,declive,анаара
113,Quelle::N,fuente,аҵҵырҭа
114,Quelle::N,manantial,аҵҵырҭа
115,Bach::N,arroyo,акəараҷҷа
116,Fluss::N,río,аӡиас
117,Ufer::N,orilla,ахықə
118,Küste::N,costa,ахықə
119,Festland::N,tierra firme,абарра
120,Meer::N,mar,амшын
121,Bucht::N,cala,аӡбжьахала
122,Bucht::N,bahía,аӡбжьахала
123,Insel::N,isla,адгьылбжьаха
124,Blume::N,flor,ашəҭ
125,Gras::N,hierba,аҳасакьын
126,Wurzel::N,raíz,адац
