,Concept_ID,zh,eu
0,Auge::N,眼睛,begi
1,Ohr::N,耳朵,belarri
2,Nase::N,鼻子,sudur
3,Mund::N,嘴,aho
4,Zahn::N,牙齿,hortz
5,Zunge::N,舌头,mihi
6,Lippe::N,嘴唇,ezpain
7,Wange::N,面颊,masail
8,Gesicht::N,脸,aurpegi
9,Stirn::N,额,bekoki
10,Haar::N,头发,ile
11,Haar::N,头发,bilo
12,Schnurrbart::N,髭须,bibote
13,Schnurrbart::N,髭须,sudurpeko
14,Bart::N,胡子,bizar
15,Kinn::N,下巴,kokots
16,Kiefer[Anatomie]::N,颌,masailezur
17,Kehle::N,嗓子,eztarri
18,Hals::N,颈,sama
19,Genick::N,后颈,garondo
20,Kopf::N,头,buru
21,Rücken::N,背,bizkar
22,Bauch::N,肚子,sabel
23,Nabel::N,肚脐,zilbor
24,Busen::N,胸脯,titi
25,Busen::N,胸脯,ugatz
26,Brust::N,胸,bular
27,Schulter::N,肩膀,besaburu
28,Arm::N,臂膀,beso
29,Ellenbogen::N,肘,ukondo
30,Hand::N,手,esku
31,Handfläche::N,手掌,ahur
32,Finger::N,手指,hatz
33,Fingernagel::N,指甲,azazkal
34,Nagel[Anatomie]::N,指甲,azazkal
35,Zeh::N,脚趾,behatz
36,Fuß::N,脚,oin
37,Ferse::N,后跟,orpo
38,Ferse::N,后跟,oinburu
39,Knie::N,膝,belaun
40,Oberschenkel::N,大腿,izter
41,Bein::N,腿,zango
42,Körper::N,身体,soin
43,Haut::N,皮肤,azal
44,Blut::N,血,odol
45,Ader::N,血管,zain
46,Sehne::N,腱,gihar-zain
47,Knochen::N,骨,hezur
48,Gehirn::N,脑,garun
49,Gehirn::N,脑,burmuin
50,Herz::N,心,bihotz
51,Magen::N,胃,urdail
52,Leber::N,肝,gibel
53,Atem::N,呼吸,hats
54,Atem::N,呼吸,arnasa
55,Hunger::N,饿,gose
56,Träne::N,眼泪,malko
57,Geschmack::N,味道,dasta
58,Geruch::N,气味,usain
59,Schlaf::N,睡眠,lo
60,Traum::N,梦,amets
61,Himmel::N,天空,zeru
62,Sonne::N,太阳,eguzki
63,Mond::N,月亮,ilargi
64,Stern::N,星,izar
65,Luft::N,空气,aire
66,Wind::N,风,haize
67,Welle::N,波,uhin
68,Welle::N,波,olatu
69,Wasser::N,水,ur
70,Stein::N,石头,harri
71,Boden::N,地面,lur
72,Boden::N,地面,zoru
73,Erde::N,地,lur
74,Staub::N,灰尘,hauts
