,Concept_ID,zh,uz
0,Auge::N,眼睛,ko'z
1,Ohr::N,耳朵,quloq
2,Nase::N,鼻子,burun
3,Mund::N,嘴,og'iz
4,Zahn::N,牙齿,tish
5,Zunge::N,舌头,til
6,Lippe::N,嘴唇,dudoq
7,Wange::N,面颊,bet
8,Gesicht::N,脸,yuz
9,Stirn::N,额,manglay
10,Haar::N,头发,soch
11,Schnurrbart::N,髭须,mo'ylov
12,Bart::N,胡子,soqol
13,Kinn::N,下巴,ängak
14,Kiefer[Anatomie]::N,颌,iyak
15,Kehle::N,嗓子,bo'g'iz
16,Hals::N,颈,bo'yin
17,Genick::N,后颈,gardan
18,Kopf::N,头,bosh
19,Rücken::N,背,orqa
20,Bauch::N,肚子,qorin
21,Nabel::N,肚脐,kindik
22,Busen::N,胸脯,ämchak
23,Brust::N,胸,ko'krak
24,Schulter::N,肩膀,elka
25,Arm::N,臂膀,bilak
26,Ellenbogen::N,肘,tirsak
27,Hand::N,手,qo'l
28,Handfläche::N,手掌,kaft
29,Finger::N,手指,barmoq
30,Fingernagel::N,指甲,tirnoq
31,Nagel[Anatomie]::N,指甲,tirnoq
32,Zeh::N,脚趾,oyoq barmog'i
33,Fuß::N,脚,oyoq
34,Ferse::N,后跟,tovon
35,Knie::N,膝,tiz
36,Oberschenkel::N,大腿,son
37,Bein::N,腿,oyoq
38,Körper::N,身体,badna
39,Haut::N,皮肤,teri
40,Blut::N,血,qon
41,Ader::N,血管,qon tomir
42,Sehne::N,腱,tomir
43,Knochen::N,骨,suyak
44,Gehirn::N,脑,miya
45,Herz::N,心,qalb
46,Magen::N,胃,oshqozon
47,Leber::N,肝,bag'ir
48,Atem::N,呼吸,dam
49,Hunger::N,饿,ochlik
50,Träne::N,眼泪,yosh
51,Geschmack::N,味道,tam
52,Geruch::N,气味,jid
53,Schlaf::N,睡眠,uyqu
54,Traum::N,梦,tush
55,Himmel::N,天空,osmon
56,Sonne::N,太阳,quyosh
57,Mond::N,月亮,oy
58,Stern::N,星,yulduz
59,Luft::N,空气,havo
60,Wind::N,风,el
61,Welle::N,波,to'lqin
62,Wasser::N,水,suv
63,Stein::N,石头,tosh
64,Boden::N,地面,tuproq
65,Erde::N,地,er
66,Staub::N,灰尘,chang
67,Rauch::N,烟,tutun
68,Funke::N,火花,yalt
69,Feuer::N,火,o't
70,Licht::N,光,yorug'
71,Schatten::N,影子,soya
72,Wetter::N,天气,havo
73,Nebel::N,雾,tuman
74,Wolke::N,云,bulut
75,Regen::N,雨,yomg'ir
76,Schnee::N,雪,qor
77,Eis::N,冰,muz
78,Frost::N,霜冻,ajoz
79,Kälte::N,寒冷,ajoz
80,Hitze::N,炎热,issiq
81,Raureif::N,霜,qirov
82,Regenbogen::N,虹,kamalak
83,Donner::N,雷,guldur
84,Strömung::N,水流,oqim
85,Tropfen::N,滴,tomchi
86,Schaum::N,泡沫,ko'pik
87,Schmutz::N,赃物,gard
88,See::N,湖,ko'l
89,Sumpf::N,沼泽,botqoq
90,Moor::N,沼泽,qir-adir
91,Wiese::N,草地,o'tzor
92,Wald::N,森林,o'rmon
93,Hügel::N,丘陵,tepa
94,Anhöhe::N,山丘,adir
95,Berg::N,山,tog'
96,Gipfel::N,峰,cho'qqi
97,Höhle::N,洞穴,kavak
98,Abhang::N,斜坡,to'sh
99,Quelle::N,泉,buloq
100,Bach::N,溪,o'zan
101,Fluss::N,河流,daryo
102,Ufer::N,岸,sohil
103,Küste::N,海岸,qirg'oq
104,Festland::N,大陆,materik
105,Meer::N,海,dengiz
106,Bucht::N,海湾,qo'ltiq
107,Insel::N,岛,orol
108,Blume::N,花,gul
109,Gras::N,草,sabza
110,Wurzel::N,根,tub
111,Wurzel::N,根,tomir
112,Baum::N,树,daraxt
113,Stamm::N,树干,o'simta
114,Rinde::N,树皮,qobiq
115,Ast::N,树枝,shox
116,Zweig::N,树枝,butoq
117,Blatt::N,叶子,barg
118,Birke::N,桦木,qayin
119,Kiefer[Baum]::N,松树,qarag'ay
120,Weide[Baum]::N,柳树,shum
121,Tanne::N,冷杉,archa
122,Horn::N,角,mugiz
123,Feder::N,羽毛,par
124,Fell::N,皮毛,mo'yna
125,Flügel::N,翅膀,qanot
126,Klaue::N,爪子,tirnoq
127,Kralle::N,爪子,tirnoq
128,Schwanz::N,尾巴,quyruq
129,Ei::N,蛋,tuxum
130,Nest::N,巢,oshyon
131,Bau::N,穴,o'pqon
132,Tier::N,动物,hayvon
133,Herde::N,群,gala
134,Kuh::N,母牛,inak
135,Bulle::N,公牛,ho'kiz
136,Pferd::N,马,ot
137,Schaf::N,羊,qo'y
138,Schwein::N,猪,cho'chqa
139,Hund::N,狗,it
140,Katze::N,猫,mushuk
141,Bär::N,熊,ayiq
142,Eichhörnchen::N,松鼠,tiyin
143,Elch::N,麋鹿,los
144,Fuchs::N,狐狸,tulki
145,Hase::N,兔子,kuyon
146,Maus::N,老鼠,sichqon
147,Wolf::N,狼,bo'ri
148,Vogel::N,鸟,qush
149,Schwarm::N,群,to'da
150,Huhn::N,鸡,tovuq
151,Hahn::N,公鸡,xo'roz
152,Gans::N,鹅,g'oz
153,Adler::N,鹰,burgut
154,Ente::N,鸭,o'rdak
155,Eule::N,猫头鹰,boyo'g'li
