,Concept_ID,ab,ml
0,Auge::N,ала,കണ്ണ്
1,Ohr::N,алымҳа,ചെവി
2,Nase::N,аҧынҵа,മൂക്ക്
3,Mund::N,аҧышə,വായ
4,Zahn::N,ахаҧыц,പല്ല്
5,Zunge::N,абз,നാക്ക്
6,Lippe::N,ақьышə,ചുണ്ട്
7,Wange::N,аӡамҩа,കവിൾത്തടം
8,Gesicht::N,аҿы,മുഖം
9,Stirn::N,алахь,നെറ്റി
10,Haar::N,ахəыц,തലമുടി
11,Schnurrbart::N,аҧаҵа,മീശ
12,Bart::N,ажакьа,താടിരോമം
13,Kinn::N,ацламкəыгə,താടി
14,Kiefer[Anatomie]::N,ацламҳəа,താടിയെല്ല്
15,Kehle::N,ахəда,കണ്ഠനാളം
16,Hals::N,ахəда,കഴുത്ത്
17,Genick::N,ахəдаџьал,പിടലി
18,Kopf::N,ахы,തല
19,Rücken::N,азқəа,മുതുക്
20,Bauch::N,амгəа,നയറ്
21,Nabel::N,аҷапан,നാഭി
22,Busen::N,агəыҧҳəы,സ്തനം
23,Brust::N,агəышҧы,സ്തനം
24,Schulter::N,ажəҩахыр,തോൾ
25,Arm::N,амахəар,കൈ
26,Ellenbogen::N,амашьхəылҵ,കൈമുട്ട്
27,Hand::N,анапы,കൈ
28,Handfläche::N,анапсаргəыҵа,ഉള്ളം കൈ
29,Finger::N,анацəа,വിരൽ
30,Fingernagel::N,анапхыц,നഖം
31,Nagel[Anatomie]::N,ашьапхыц,നഖം
32,Zeh::N,ашьацəа,കാൽവിരൽ
33,Fuß::N,ашьапсыргəыҵа,കാൽപ്പാദം
34,Ferse::N,ашьхəа,ഉപ്പൂറ്റി
35,Knie::N,ашьамхы,കാൽമുട്ട്
36,Oberschenkel::N,ауаҭəа,തുട
37,Bein::N,ашьапы,കാൽ
38,Körper::N,ацəеижь,ശരീരം
39,Haut::N,ацəа,ചർമ്മം
40,Blut::N,ашьа,രക്തം
41,Ader::N,ада,ഞരമ്പ്
42,Sehne::N,адаш,സ്നായു
43,Knochen::N,абаҩ,അസ്ഥി
44,Gehirn::N,ахшлыбаҩ,തലച്ചോറ്
45,Gehirn::N,ахшыбаҩ,തലച്ചോറ്
46,Herz::N,агəы,ഹൃദയം
47,Magen::N,аца,വയർ
48,Magen::N,ацар,വയർ
49,Leber::N,агəаҵəа,കരൾ
50,Atem::N,аҧсыҧлагаҩгара,ശ്വാസം
51,Hunger::N,амла,വിശപ്പ്
52,Träne::N,алабжыш,കണ്ണീർ
53,Geschmack::N,агьама,രുചി
54,Geruch::N,афҩы,ഗന്ധം
55,Schlaf::N,ацəа,ഉറകും
56,Traum::N,аҧхыӡ,സ്വപ്നം
57,Himmel::N,ажəҩан,ആകാശം
58,Sonne::N,амра,സൂര്യൻ
59,Mond::N,амза,ചന്ദ്രൻ
60,Stern::N,аеҵəа,നക്ഷത്രം
61,Luft::N,аҳаир,കാറ്റ്
62,Wind::N,аҧша,കാറ്റ്
63,Welle::N,ацəқəырҧа,തിരമാല
64,Wasser::N,аӡы,വെള്ളം
65,Stein::N,ахаҳə,ശില
66,Stein::N,ахаҳə,കല്ല്
67,Boden::N,адгьыл,തറ
68,Boden::N,адгьыл,നിലം
69,Erde::N,адгьыл,മണ്ണ്
70,Staub::N,асаба,പൊടി
71,Rauch::N,алҩа,പുക
72,Funke::N,акəиц,തീപ്പൊരി
73,Funke::N,ацҧхь,തീപ്പൊരി
74,Feuer::N,амца,തീ
75,Licht::N,алашара,വിളക്ക്
76,Licht::N,алашара,സൂര്യപ്രകാശം
77,Schatten::N,ашəшьыра,തണൽ
78,Wetter::N,амш,കാലാവസ്ഥ
79,Nebel::N,анаҟəа,മൂടൽമഞ്ഞ്
80,Wolke::N,аҧсҭҳəа,മേഘം
81,Regen::N,ақəа,മഴ
82,Schnee::N,асы,മഞ്ഞ്
83,Eis::N,аҵаа,ഐസ്
84,Frost::N,аҵаа,മൂടൽമഞ്ഞ്
85,Kälte::N,ахьҭа,തണുപ്പ്
86,Hitze::N,ашоура,ചൂട്
87,Raureif::N,аҵааҧшқа,കോടമഞ്ഞ്
88,Regenbogen::N,ацəаҟəа,മഴവില്ല്
89,Donner::N,адыд,ഇടി
90,Strömung::N,аиасра,പ്രവാഹം
91,Strömung::N,амҩасра,പ്രവാഹം
92,Tropfen::N,ацəыкəбар,തുള്ളി
93,Schaum::N,ашəах,നുര
94,Schmutz::N,алымт,അഴുക്ക്
95,See::N,аӡиа,തടാകം
96,Sumpf::N,аӡмах,ചതുപ്പുനിലം
97,Wiese::N,адəы,പുൽത്തകിടി
98,Wald::N,абна,വനം
99,Wald::N,абна,കാട്
100,Hügel::N,ахəы,കുന്ന്
101,Anhöhe::N,аҳаракыра,ഉയർന്ന ഭൂമി
102,Berg::N,ашьха,പർവ്വതം
103,Gipfel::N,ацəқəа,ഉച്ചകോടി
104,Höhle::N,аҳаҧы,ഗുഹ
105,Abhang::N,анаара,ചരിവ്
106,Quelle::N,аҵҵырҭа,ഉറവിടം
107,Bach::N,акəараҷҷа,അരുവി
108,Fluss::N,аӡиас,നദി
109,Ufer::N,ахықə,തീരം
110,Küste::N,ахықə,കടൽത്തീരം
111,Festland::N,абарра,കര
112,Meer::N,амшын,കടൽ
113,Bucht::N,аӡбжьахала,ഉൾക്കടല്
114,Insel::N,адгьылбжьаха,ദ്വീപ്
115,Blume::N,ашəҭ,പൂവ്
116,Gras::N,аҳасакьын,പുല്ല്
117,Wurzel::N,адац,വേര്
118,Baum::N,аҵла,മരം
119,Stamm::N,ашьапы,തായ്ത്തടി
120,Rinde::N,ацəа,പട്ട
121,Ast::N,амахə,ശാഖ
122,Ast::N,амахəҭа,ശാഖ
123,Zweig::N,амахə,ശാഖ
124,Zweig::N,амахəҭа,ശാഖ
125,Blatt::N,абҕьы,ഇല
126,Birke::N,аҵааҵла,പൂവരശ്
127,Kiefer[Baum]::N,амза,പൈൻമരം
128,Weide[Baum]::N,аҧслыш,വില്ലോ
129,Tanne::N,аҧсаӡ,ദേവദാരു
130,Horn::N,атəыҩа,മൃഗത്തിൻറെ കൊമ്പ്
131,Feder::N,ахӡы,തൂവൽ
132,Fell::N,ацəа,മൃദുരോമം
133,Flügel::N,амҵəыжəа,ചിറക്
134,Klaue::N,ашьапхыц,നഖം
135,Schwanz::N,аҵыхəа,വാൽ
136,Ei::N,акəтаӷь,മുട്ട
137,Nest::N,аҭра,കൂട്
138,Nest::N,аҵысҭра,കൂട്
139,Bau::N,аҭыҩра,മാളം
140,Tier::N,аҧстəы,മൃഗം
141,Tier::N,агыгшəыг,മൃഗം
142,Herde::N,агəарҭа,കൂട്ടം
143,Kuh::N,ажə,പശു
144,Bulle::N,ацə,കാള
145,Pferd::N,аҽы,കുതിര
146,Schaf::N,ауаса,ആട്
147,Schwein::N,аҳəа,പന്നി
148,Hund::N,ала,നായ്
149,Katze::N,ацгəы,പൂച്ച
150,Bär::N,амшə,കരടി
151,Eichhörnchen::N,аеш,അണ്ണാൻ
152,Elch::N,аҽаҩа,കടമാന്
153,Fuchs::N,абгахəыҷы,കുറുക്കൻ
154,Hase::N,ажьа,മുയൽ
155,Maus::N,аҳəынаҧ,ചുണ്ടലി
156,Wolf::N,абгаду,ചെന്നായ
157,Vogel::N,аҧсаатə,പക്ഷി
158,Huhn::N,акəты,കോഴി
159,Hahn::N,арбаҕь,പൂവൻകോഴി
160,Gans::N,аҟыз,അരയന്നം
161,Adler::N,ауарба,കഴുകൻ
162,Ente::N,акəата,താറാവ്
163,Eule::N,аты,മൂങ്ങ
164,Kranich::N,апҟа,കൊക്ക്
165,Krähe::N,аҟəараан,കാക്ക
166,Kuckuck::N,акəыкəу,കുയിൽ
167,Schwan::N,агьад,അരയന്നം
168,Fisch::N,аҧсыӡ,മത്സ്യം
169,Barsch::N,ацəыбла,ഒരിനം മത്സ്യം
170,Hecht::N,ахиаала,ഒരു മത്സ്യം
171,Schlange[Tier]::N,амаҭ,പാമ്പ്
172,Wurm::N,ахəа,വിര
173,Wurm::N,ахəац,വിര
174,Spinne::N,абызкаҭаҳа,ചിലന്തി
175,Ameise::N,ашышкамс,ഉറുമ്പ്
176,Laus::N,аҵа,പേന്
177,Mücke::N,акəыбры,മശകം
178,Fliege::N,амҵ,ഈച്ച
179,Schmetterling::N,аҧарҧалыкь,ചിത്രശലഭം
180,Beere::N,аргуц,ബെറി
181,Apfel::N,аҵəа,ആപ്പിൾ
182,Pilz::N,акəкəбаа,കൂൺ
183,Zwiebel::N,аџьымшьы,സവാള
184,Zwiebel::N,аџьымшьхы,സവാള
185,Saat::N,ажəла,വിത്ത്
186,Korn::N,арыц,ധാന്യം
187,Heu::N,аҭəа,വയ്ക്കോൽ
188,Schale::N,ацəа,തൊലി
189,Grube::N,ажра,കുഴി
190,Grube::N,атыша,കുഴി
191,Falle::N,арыҧҟьа,കെണി
192,Schlinge::N,аҟəараҟəантə,കുടുക്ക്
193,Spur::N,ашьҭа,ചുവട്
194,Asche::N,ахəа,ചാരം
195,Dreck::N,аҳəынҵəа,അഴുക്ക്
196,Dreck::N,аҟьамсар,അഴുക്ക്
197,Eisen::N,аиха,ഇരുമ്പ്
198,Gold::N,ахьы,സ്വർണ്ണം
199,Silber::N,аразны,വെള്ളി
200,Kohle::N,арацəа,കൽക്കരി
201,Glas::N,асаркьа,ഗ്ലാസ്
